time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
0,6363,5903.44,9406.53,5949.77,915.102,6010.07,2931.21,2459.64,3877.88,7811.66,3578.67,7987.3,774.081,1133.55,2219.97,9640.74,4425.16,7392.98,661.199,7487.4
0.05,6364.4,5904.84,9407.92,5951.17,916.483,6011.46,2932.61,2461.03,3879.27,7813.05,3580.06,7988.69,775.47,1134.94,2221.36,9642.13,4426.55,7394.37,662.604,7488.79
0.1,6365.79,5906.24,9409.3,5952.56,917.863,6012.85,2934,2462.42,3880.66,7814.45,3581.45,7990.08,776.858,1136.33,2222.75,9643.52,4427.94,7395.76,664.008,7490.18
0.15,6367.19,5907.64,9410.68,5953.96,919.244,6014.23,2935.4,2463.81,3882.05,7815.84,3582.84,7991.47,778.247,1137.72,2224.14,9644.91,4429.33,7397.15,665.412,7491.57
0.2,6368.59,5909.04,9412.06,5955.35,920.625,6015.62,2936.8,2465.2,3883.43,7817.24,3584.23,7992.86,779.636,1139.11,2225.53,9646.3,4430.72,7398.55,666.817,7492.96
0.25,6369.99,5910.45,9413.44,5956.75,922.006,6017.01,2938.19,2466.59,3884.82,7818.63,3585.62,7994.25,781.024,1140.5,2226.92,9647.69,4432.11,7399.94,668.221,7494.34
0.3,6371.39,5911.85,9414.83,5958.14,923.386,6018.4,2939.59,2467.98,3886.21,7820.03,3587.01,7995.63,782.413,1141.88,2228.31,9649.08,4433.5,7401.33,669.625,7495.73
0.35,6372.79,5913.25,9416.21,5959.54,924.767,6019.79,2940.99,2469.36,3887.6,7821.42,3588.4,7997.02,783.801,1143.27,2229.7,9650.47,4434.89,7402.72,671.03,7497.12
0.4,6374.19,5914.65,9417.59,5960.93,926.148,6021.18,2942.39,2470.75,3888.99,7822.82,3589.8,7998.41,785.19,1144.66,2231.09,9651.86,4436.28,7404.11,672.434,7498.51
0.45,6375.59,5916.05,9418.97,5962.33,927.529,6022.57,2943.78,2472.14,3890.38,7824.21,3591.19,7999.8,786.578,1146.05,2232.48,9653.24,4437.67,7405.51,673.838,7499.9
0.5,6376.98,5917.45,9420.35,5963.73,928.909,6023.96,2945.18,2473.53,3891.77,7825.61,3592.58,8001.19,787.967,1147.44,2233.87,9654.63,4439.06,7406.9,675.243,7501.29
0.55,6378.38,5918.86,9421.74,5965.12,930.29,6025.35,2946.58,2474.92,3893.16,7827,3593.97,8002.58,789.355,1148.83,2235.26,9656.02,4440.45,7408.29,676.647,7502.68
0.6,6379.78,5920.26,9423.12,5966.52,931.671,6026.73,2947.97,2476.31,3894.55,7828.4,3595.36,8003.96,790.744,1150.22,2236.65,9657.41,4441.84,7409.68,678.051,7504.07
0.65,6381.18,5921.66,9424.5,5967.91,933.052,6028.12,2949.37,2477.7,3895.93,7829.79,3596.75,8005.35,792.132,1151.61,2238.04,9658.8,4443.23,7411.07,679.456,7505.46
0.7,6382.58,5923.06,9425.88,5969.31,934.432,6029.51,2950.77,2479.09,3897.32,7831.19,3598.14,8006.74,793.521,1153,2239.43,9660.19,4444.62,7412.46,680.86,7506.84
0.75,6383.98,5924.46,9427.26,5970.7,935.813,6030.9,2952.16,2480.48,3898.71,7832.58,3599.53,8008.13,794.909,1154.38,2240.82,9661.58,4446,7413.86,682.264,7508.23
0.8,6385.38,5925.86,9428.65,5972.1,937.194,6032.29,2953.56,2481.86,3900.1,7833.98,3600.92,8009.52,796.298,1155.77,2242.21,9662.97,4447.39,7415.25,683.669,7509.62
0.85,6386.78,5927.27,9430.03,5973.49,938.575,6033.68,2954.96,2483.25,3901.49,7835.37,3602.31,8010.91,797.686,1157.16,2243.6,9664.36,4448.78,7416.64,685.073,7511.01
0.9,6388.17,5928.67,9431.41,5974.89,939.955,6035.07,2956.36,2484.64,3902.88,7836.77,3603.7,8012.3,799.075,1158.55,2244.99,9665.74,4450.17,7418.03,686.478,7512.4
0.95,6389.57,5930.07,9432.79,5976.28,941.336,6036.46,2957.75,2486.03,3904.27,7838.16,3605.09,8013.68,800.463,1159.94,2246.38,9667.13,4451.56,7419.42,687.882,7513.79
1,6390.97,5931.47,9434.18,5977.68,942.717,6037.85,2959.15,2487.42,3905.66,7839.56,3606.48,8015.07,801.852,1161.33,2247.77,9668.52,4452.95,7420.82,689.286,7515.18
1.05,6392.37,5932.87,9435.56,5979.07,944.098,6039.23,2960.55,2488.81,3907.05,7840.95,3607.87,8016.46,803.241,1162.72,2249.16,9669.91,4454.34,7422.21,690.691,7516.57
1.1,6393.77,5934.27,9436.94,5980.47,945.478,6040.62,2961.94,2490.2,3908.43,7842.35,3609.26,8017.85,804.629,1164.11,2250.55,9671.3,4455.73,7423.6,692.095,7517.96
1.15,6395.17,5935.68,9438.32,5981.86,946.859,6042.01,2963.34,2491.59,3909.82,7843.74,3610.65,8019.24,806.018,1165.5,2251.94,9672.69,4457.12,7424.99,693.499,7519.34
1.2,6396.57,5937.08,9439.7,5983.26,948.24,6043.4,2964.74,2492.98,3911.21,7845.14,3612.04,8020.63,807.406,1166.88,2253.33,9674.08,4458.51,7426.38,694.904,7520.73
1.25,6397.96,5938.48,9441.09,5984.65,949.621,6044.79,2966.13,2494.36,3912.6,7846.53,3613.43,8022.01,808.795,1168.27,2254.72,9675.47,4459.9,7427.78,696.308,7522.12
1.3,6399.36,5939.88,9442.47,5986.05,951.001,6046.18,2967.53,2495.75,3913.99,7847.93,3614.82,8023.4,810.183,1169.66,2256.11,9676.86,4461.29,7429.17,697.712,7523.51
1.35,6400.76,5941.28,9443.85,5987.44,952.382,6047.57,2968.93,2497.14,3915.38,7849.32,3616.21,8024.79,811.572,1171.05,2257.5,9678.24,4462.68,7430.56,699.117,7524.9
1.4,6402.16,5942.68,9445.23,5988.84,953.763,6048.96,2970.33,2498.53,3916.77,7850.72,3617.6,8026.18,812.96,1172.44,2258.89,9679.63,4464.07,7431.95,700.521,7526.29
1.45,6403.56,5944.09,9446.61,5990.23,955.144,6050.35,2971.72,2499.92,3918.16,7852.11,3618.99,8027.57,814.349,1173.83,2260.28,9681.02,4465.46,7433.34,701.925,7527.68
1.5,6404.96,5945.49,9448,5991.63,956.524,6051.73,2973.12,2501.31,3919.55,7853.51,3620.38,8028.96,815.737,1175.22,2261.67,9682.41,4466.85,7434.73,703.33,7529.07
1.55,6406.36,5946.89,9449.38,5993.02,957.905,6053.12,2974.52,2502.7,3920.93,7854.9,3621.77,8030.34,817.126,1176.61,2263.06,9683.8,4468.24,7436.13,704.734,7530.46
1.6,6407.76,5948.29,9450.76,5994.42,959.286,6054.51,2975.91,2504.09,3922.32,7856.3,3623.16,8031.73,818.514,1178,2264.45,9685.19,4469.63,7437.52,706.138,7531.84
1.65,6409.15,5949.69,9452.14,5995.81,960.667,6055.9,2977.31,2505.48,3923.71,7857.69,3624.55,8033.12,819.903,1179.38,2265.84,9686.58,4471.02,7438.91,707.543,7533.23
1.7,6410.55,5951.09,9453.52,5997.21,962.047,6057.29,2978.71,2506.86,3925.1,7859.09,3625.94,8034.51,821.291,1180.77,2267.23,9687.97,4472.41,7440.3,708.947,7534.62
1.75,6411.95,5952.49,9454.91,5998.6,963.428,6058.68,2980.11,2508.25,3926.49,7860.48,3627.33,8035.9,822.68,1182.16,2268.62,9689.36,4473.8,7441.69,710.351,7536.01
1.8,6413.35,5953.9,9456.29,6000,964.809,6060.07,2981.5,2509.64,3927.88,7861.88,3628.72,8037.29,824.068,1183.55,2270.01,9690.74,4475.19,7443.09,711.756,7537.4
1.85,6414.75,5955.3,9457.67,6001.39,966.19,6061.46,2982.9,2511.03,3929.27,7863.27,3630.11,8038.68,825.457,1184.94,2271.39,9692.13,4476.58,7444.48,713.16,7538.79
1.9,6416.15,5956.7,9459.05,6002.79,967.571,6062.85,2984.3,2512.42,3930.66,7864.67,3631.5,8040.06,826.846,1186.33,2272.78,9693.52,4477.97,7445.87,714.565,7540.18
1.95,6417.55,5958.1,9460.44,6004.18,968.951,6064.23,2985.69,2513.81,3932.05,7866.06,3632.89,8041.45,828.234,1187.72,2274.17,9694.91,4479.36,7447.26,715.969,7541.57
2,6418.94,5959.5,9461.82,6005.58,970.332,6065.62,2987.09,2515.2,3933.43,7867.46,3634.28,8042.84,829.623,1189.11,2275.56,9696.3,4480.75,7448.65,717.373,7542.96
2.05,6420.34,5960.9,9463.2,6006.97,971.713,6067.01,2988.49,2516.59,3934.82,7868.85,3635.67,8044.23,831.011,1190.5,2276.95,9697.69,4482.13,7450.05,718.778,7544.34
2.1,6421.74,5962.31,9464.58,6008.37,973.094,6068.4,2989.88,2517.98,3936.21,7870.25,3637.06,8045.62,832.4,1191.88,2278.34,9699.08,4483.52,7451.44,720.182,7545.73
2.15,6423.14,5963.71,9465.96,6009.77,974.474,6069.79,2991.28,2519.36,3937.6,7871.64,3638.45,8047.01,833.788,1193.27,2279.73,9700.47,4484.91,7452.83,721.586,7547.12
2.2,6424.54,5965.11,9467.35,6011.16,975.855,6071.18,2992.68,2520.75,3938.99,7873.04,3639.84,8048.39,835.177,1194.66,2281.12,9701.86,4486.3,7454.22,722.991,7548.51
2.25,6425.94,5966.51,9468.73,6012.56,977.236,6072.57,2994.08,2522.14,3940.38,7874.43,3641.23,8049.78,836.565,1196.05,2282.51,9703.24,4487.69,7455.61,724.395,7549.9
2.3,6427.34,5967.91,9470.11,6013.95,978.617,6073.96,2995.47,2523.53,3941.77,7875.83,3642.62,8051.17,837.954,1197.44,2283.9,9704.63,4489.08,7457,725.799,7551.29
2.35,6428.74,5969.31,9471.49,6015.35,979.997,6075.35,2996.87,2524.92,3943.16,7877.22,3644.01,8052.56,839.342,1198.83,2285.29,9706.02,4490.47,7458.4,727.204,7552.68
2.4,6430.13,5970.72,9472.87,6016.74,981.378,6076.73,2998.27,2526.31,3944.55,7878.62,3645.4,8053.95,840.731,1200.22,2286.68,9707.41,4491.86,7459.79,728.608,7554.07
2.45,6431.53,5972.12,9474.26,6018.14,982.759,6078.12,2999.66,2527.7,3945.93,7880.01,3646.79,8055.34,842.119,1201.61,2288.07,9708.8,4493.25,7461.18,730.012,7555.46
2.5,6432.93,5973.52,9475.64,6019.53,984.14,6079.51,3001.06,2529.09,3947.32,7881.41,3648.18,8056.73,843.508,1203,2289.46,9710.19,4494.64,7462.57,731.417,7556.84
