time,N1,N2,N3,N4,N5,N6,N7
3.55,6615.89,3742.24,8317.22,9429.72,9488.13,5164.37,8376.24
3.6,6617.28,3743.63,8318.62,9431.1,9489.52,5165.76,8377.65
3.65,6618.67,3745.02,8320.02,9432.47,9490.91,5167.16,8379.05
3.7,6620.06,3746.41,8321.42,9433.84,9492.3,5168.55,8380.46
3.75,6621.45,3747.81,8322.82,9435.22,9493.69,5169.95,8381.86
3.8,6622.84,3749.2,8324.22,9436.59,9495.07,5171.34,8383.27
3.85,6624.22,3750.59,8325.62,9437.96,9496.46,5172.73,8384.67
3.9,6625.61,3751.98,8327.03,9439.34,9497.85,5174.13,8386.08
3.95,6627,3753.37,8328.43,9440.71,9499.24,5175.52,8387.48
4,6628.39,3754.77,8329.83,9442.08,9500.63,5176.92,8388.89
4.05,6629.78,3756.16,8331.23,9443.46,9502.02,5178.31,8390.29
4.1,6631.17,3757.55,8332.63,9444.83,9503.41,5179.71,8391.7
4.15,6632.56,3758.94,8334.03,9446.2,9504.8,5181.1,8393.1
4.2,6633.95,3760.33,8335.43,9447.58,9506.19,5182.49,8394.51
4.25,6635.34,3761.73,8336.83,9448.95,9507.57,5183.89,8395.91
4.3,6636.72,3763.12,8338.23,9450.32,9508.96,5185.28,8397.32
4.35,6638.11,3764.51,8339.64,9451.69,9510.35,5186.68,8398.72
4.4,6639.5,3765.9,8341.04,9453.07,9511.74,5188.07,8400.13
4.45,6640.89,3767.29,8342.44,9454.44,9513.13,5189.47,8401.53
4.5,6642.28,3768.68,8343.84,9455.81,9514.52,5190.86,8402.94
4.55,6643.67,3770.08,8345.24,9457.19,9515.91,5192.26,8404.34
4.6,6645.06,3771.47,8346.64,9458.56,9517.3,5193.65,8405.75
4.65,6646.45,3772.86,8348.04,9459.93,9518.69,5195.04,8407.15
4.7,6647.84,3774.25,8349.44,9461.31,9520.07,5196.44,8408.56
4.75,6649.22,3775.64,8350.84,9462.68,9521.46,5197.83,8409.96
4.8,6650.61,3777.04,8352.25,9464.05,9522.85,5199.23,8411.37
4.85,6652,3778.43,8353.65,9465.42,9524.24,5200.62,8412.77
4.9,6653.39,3779.82,8355.05,9466.8,9525.63,5202.02,8414.18
4.95,6654.78,3781.21,8356.45,9468.17,9527.02,5203.41,8415.58
5,6656.17,3782.6,8357.85,9469.54,9528.41,5204.8,8416.99
5.05,6657.56,3783.99,8359.25,9470.92,9529.8,5206.2,8418.39
5.1,6658.95,3785.39,8360.65,9472.29,9531.19,5207.59,8419.8
5.15,6660.34,3786.78,8362.05,9473.66,9532.57,5208.99,8421.2
5.2,6661.72,3788.17,8363.46,9475.04,9533.96,5210.38,8422.61
5.25,6663.11,3789.56,8364.86,9476.41,9535.35,5211.78,8424.01
5.3,6664.5,3790.95,8366.26,9477.78,9536.74,5213.17,8425.42
5.35,6665.89,3792.35,8367.66,9479.16,9538.13,5214.57,8426.82
5.4,6667.28,3793.74,8369.06,9480.53,9539.52,5215.96,8428.23
