time,N1,N2,N3,N4,N5,N6,N7,N8,N9
2.95,6737.74,5770.61,4555.48,7202.52,383.785,9488.88,151.974,2441.12,3025.3
3,6739.14,5772,4556.87,7203.91,385.173,9490.27,153.357,2442.51,3026.7
3.05,6740.55,5773.39,4558.27,7205.31,386.562,9491.66,154.74,2443.9,3028.1
3.1,6741.95,5774.78,4559.66,7206.7,387.951,9493.04,156.123,2445.29,3029.51
3.15,6743.35,5776.17,4561.06,7208.09,389.34,9494.43,157.506,2446.68,3030.91
3.2,6744.76,5777.56,4562.45,7209.48,390.729,9495.82,158.889,2448.07,3032.31
3.25,6746.16,5778.95,4563.84,7210.88,392.118,9497.21,160.272,2449.46,3033.72
3.3,6747.57,5780.33,4565.24,7212.27,393.507,9498.6,161.655,2450.85,3035.12
3.35,6748.97,5781.72,4566.63,7213.66,394.896,9499.99,163.038,2452.24,3036.52
3.4,6750.37,5783.11,4568.03,7215.06,396.285,9501.37,164.421,2453.63,3037.93
3.45,6751.78,5784.5,4569.42,7216.45,397.673,9502.76,165.804,2455.02,3039.33
3.5,6753.18,5785.89,4570.81,7217.84,399.062,9504.15,167.187,2456.41,3040.73
3.55,6754.59,5787.28,4572.21,7219.23,400.451,9505.54,168.57,2457.8,3042.14
3.6,6755.99,5788.67,4573.6,7220.63,401.84,9506.93,169.953,2459.19,3043.54
3.65,6757.39,5790.06,4575,7222.02,403.229,9508.32,171.336,2460.58,3044.94
3.7,6758.8,5791.45,4576.39,7223.41,404.618,9509.71,172.719,2461.97,3046.35
3.75,6760.2,5792.83,4577.79,7224.8,406.007,9511.09,174.102,2463.36,3047.75
3.8,6761.61,5794.22,4579.18,7226.2,407.396,9512.48,175.485,2464.75,3049.15
3.85,6763.01,5795.61,4580.57,7227.59,408.785,9513.87,176.868,2466.14,3050.56
3.9,6764.42,5797,4581.97,7228.98,410.173,9515.26,178.251,2467.53,3051.96
3.95,6765.82,5798.39,4583.36,7230.38,411.562,9516.65,179.634,2468.92,3053.36
4,6767.22,5799.78,4584.76,7231.77,412.951,9518.04,181.017,2470.31,3054.77
4.05,6768.63,5801.17,4586.15,7233.16,414.34,9519.42,182.401,2471.7,3056.17
4.1,6770.03,5802.56,4587.54,7234.55,415.729,9520.81,183.784,2473.09,3057.57
4.15,6771.44,5803.95,4588.94,7235.95,417.118,9522.2,185.167,2474.48,3058.98
4.2,6772.84,5805.33,4590.33,7237.34,418.507,9523.59,186.55,2475.87,3060.38
4.25,6774.24,5806.72,4591.73,7238.73,419.896,9524.98,187.933,2477.26,3061.78
4.3,6775.65,5808.11,4593.12,7240.12,421.285,9526.37,189.316,2478.65,3063.19
4.35,6777.05,5809.5,4594.52,7241.52,422.673,9527.75,190.699,2480.04,3064.59
4.4,6778.46,5810.89,4595.91,7242.91,424.062,9529.14,192.082,2481.43,3065.99
4.45,6779.86,5812.28,4597.3,7244.3,425.451,9530.53,193.465,2482.82,3067.4
4.5,6781.26,5813.67,4598.7,7245.7,426.84,9531.92,194.848,2484.21,3068.8
4.55,6782.67,5815.06,4600.09,7247.09,428.229,9533.31,196.231,2485.6,3070.2
4.6,6784.07,5816.45,4601.49,7248.48,429.618,9534.7,197.614,2486.99,3071.61
4.65,6785.48,5817.83,4602.88,7249.87,431.007,9536.09,198.997,2488.39,3073.01
4.7,6786.88,5819.22,4604.27,7251.27,432.396,9537.47,200.38,2489.78,3074.41
4.75,6788.28,5820.61,4605.67,7252.66,433.785,9538.86,201.763,2491.17,3075.82
4.8,6789.69,5822,4607.06,7254.05,435.173,9540.25,203.146,2492.56,3077.22
4.85,6791.09,5823.39,4608.46,7255.44,436.562,9541.64,204.529,2493.95,3078.62
4.9,6792.5,5824.78,4609.85,7256.84,437.951,9543.03,205.912,2495.34,3080.03
4.95,6793.9,5826.17,4611.24,7258.23,439.34,9544.42,207.295,2496.73,3081.43
5,6795.3,5827.56,4612.64,7259.62,440.729,9545.8,208.679,2498.12,3082.83
5.05,6796.71,5828.95,4614.03,7261.02,442.118,9547.19,210.062,2499.51,3084.24
5.1,6798.11,5830.33,4615.43,7262.41,443.507,9548.58,211.445,2500.9,3085.64
5.15,6799.52,5831.72,4616.82,7263.8,444.896,9549.97,212.828,2502.29,3087.04
5.2,6800.92,5833.11,4618.22,7265.19,446.285,9551.36,214.211,2503.68,3088.45
5.25,6802.33,5834.5,4619.61,7266.59,447.673,9552.75,215.594,2505.07,3089.85
5.3,6803.73,5835.89,4621,7267.98,449.062,9554.14,216.977,2506.46,3091.25
5.35,6805.13,5837.28,4622.4,7269.37,450.451,9555.52,218.36,2507.85,3092.66
5.4,6806.54,5838.67,4623.79,7270.76,451.84,9556.91,219.743,2509.24,3094.06
5.45,6807.94,5840.06,4625.19,7272.16,453.229,9558.3,221.126,2510.63,3095.46
5.5,6809.35,5841.45,4626.58,7273.55,454.618,9559.69,222.509,2512.02,3096.87
5.55,6810.75,5842.83,4627.97,7274.94,456.007,9561.08,223.892,2513.41,3098.27
5.6,6812.15,5844.22,4629.37,7276.33,457.396,9562.47,225.275,2514.8,3099.67
5.65,6813.56,5845.61,4630.76,7277.73,458.785,9563.85,226.658,2516.19,3101.08
5.7,6814.96,5847,4632.16,7279.12,460.173,9565.24,228.041,2517.58,3102.48
5.75,6816.37,5848.39,4633.55,7280.51,461.562,9566.63,229.424,2518.97,3103.88
5.8,6817.77,5849.78,4634.95,7281.91,462.951,9568.02,230.808,2520.36,3105.29
5.85,6819.17,5851.17,4636.34,7283.3,464.34,9569.41,232.191,2521.75,3106.69
5.9,6820.58,5852.56,4637.73,7284.69,465.729,9570.8,233.574,2523.14,3108.09
5.95,6821.98,5853.95,4639.13,7286.08,467.118,9572.18,234.957,2524.53,3109.5
6,6823.39,5855.33,4640.52,7287.48,468.507,9573.57,236.34,2525.92,3110.9
6.05,6824.79,5856.72,4641.92,7288.87,469.896,9574.96,237.723,2527.31,3112.3
6.1,6826.19,5858.11,4643.31,7290.26,471.285,9576.35,239.106,2528.7,3113.71
6.15,6827.6,5859.5,4644.7,7291.65,472.673,9577.74,240.489,2530.09,3115.11
6.2,6829,5860.89,4646.1,7293.05,474.062,9579.13,241.872,2531.48,3116.51
6.25,6830.41,5862.28,4647.49,7294.44,475.451,9580.52,243.255,2532.87,3117.92
6.3,6831.81,5863.67,4648.89,7295.83,476.84,9581.9,244.638,2534.26,3119.32
