time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
0,4091.37,4160.29,7314.82,8898.89,9289.96,1230.03,6187.54,1333.1,2307.65,6946.63,7500.5,3380.59,371.491,3225.89
0.05,4092.75,4161.68,7316.21,8900.28,9291.35,1231.43,6188.93,1334.49,2309.05,6948.01,7501.89,3381.98,372.881,3227.28
0.1,4094.14,4163.06,7317.6,8901.67,9292.74,1232.83,6190.32,1335.88,2310.44,6949.4,7503.29,3383.37,374.271,3228.67
0.15,4095.53,4164.45,7318.99,8903.06,9294.13,1234.23,6191.72,1337.27,2311.83,6950.79,7504.68,3384.76,375.662,3230.05
0.2,4096.91,4165.84,7320.38,8904.45,9295.52,1235.63,6193.11,1338.65,2313.22,6952.18,7506.07,3386.16,377.052,3231.44
0.25,4098.3,4167.23,7321.76,8905.84,9296.9,1237.03,6194.5,1340.04,2314.61,6953.57,7507.46,3387.55,378.443,3232.83
0.3,4099.69,4168.62,7323.15,8907.23,9298.29,1238.43,6195.89,1341.43,2316,6954.96,7508.85,3388.94,379.833,3234.22
0.35,4101.08,4170.01,7324.54,8908.62,9299.68,1239.83,6197.28,1342.82,2317.4,6956.34,7510.24,3390.33,381.224,3235.61
0.4,4102.46,4171.4,7325.93,8910.01,9301.07,1241.23,6198.67,1344.21,2318.79,6957.73,7511.63,3391.72,382.614,3237
0.45,4103.85,4172.79,7327.32,8911.4,9302.46,1242.63,6200.06,1345.6,2320.18,6959.12,7513.02,3393.12,384.004,3238.39
0.5,4105.24,4174.18,7328.71,8912.79,9303.85,1244.03,6201.45,1346.99,2321.57,6960.51,7514.41,3394.51,385.395,3239.78
0.55,4106.62,4175.56,7330.09,8914.18,9305.24,1245.43,6202.84,1348.38,2322.96,6961.9,7515.8,3395.9,386.785,3241.17
0.6,4108.01,4176.95,7331.48,8915.57,9306.63,1246.83,6204.23,1349.77,2324.35,6963.29,7517.19,3397.29,388.176,3242.55
0.65,4109.4,4178.34,7332.87,8916.96,9308.02,1248.23,6205.62,1351.15,2325.75,6964.68,7518.58,3398.68,389.566,3243.94
0.7,4110.78,4179.73,7334.26,8918.35,9309.4,1249.63,6207.01,1352.54,2327.14,6966.06,7519.97,3400.07,390.957,3245.33
0.75,4112.17,4181.12,7335.65,8919.74,9310.79,1251.03,6208.4,1353.93,2328.53,6967.45,7521.36,3401.47,392.347,3246.72
0.8,4113.56,4182.51,7337.04,8921.13,9312.18,1252.43,6209.79,1355.32,2329.92,6968.84,7522.75,3402.86,393.737,3248.11
0.85,4114.95,4183.9,7338.43,8922.52,9313.57,1253.83,6211.18,1356.71,2331.31,6970.23,7524.14,3404.25,395.128,3249.5
0.9,4116.33,4185.29,7339.81,8923.91,9314.96,1255.23,6212.57,1358.1,2332.7,6971.62,7525.53,3405.64,396.518,3250.89
0.95,4117.72,4186.68,7341.2,8925.3,9316.35,1256.63,6213.96,1359.49,2334.1,6973.01,7526.93,3407.03,397.909,3252.28
1,4119.11,4188.06,7342.59,8926.69,9317.74,1258.03,6215.35,1360.88,2335.49,6974.4,7528.32,3408.42,399.299,3253.67
1.05,4120.49,4189.45,7343.98,8928.09,9319.13,1259.43,6216.74,1362.27,2336.88,6975.78,7529.71,3409.82,400.69,3255.05
