time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
0,1116.94,5799.18,802.163,7004.65,5510.92,1160.7,8995.13,1769.4,9442.41,1431.45,9840.53,37.097,3782.72,6098.49,5276.93,3634.36,570.518,4383.84,1811.38,8469.35,7348.05
0.05,1118.31,5800.57,803.552,7006.04,5512.31,1162.09,8996.53,1770.81,9443.8,1432.84,9841.92,38.4884,3784.13,6099.88,5278.34,3635.76,571.907,4385.23,1812.77,8470.74,7349.44
0.1,1119.67,5801.97,804.941,7007.43,5513.7,1163.48,8997.92,1772.21,9445.19,1434.23,9843.31,39.8799,3785.53,6101.26,5279.75,3637.15,573.297,4386.62,1814.15,8472.13,7350.83
0.15,1121.04,5803.37,806.33,7008.83,5515.09,1164.86,8999.31,1773.62,9446.58,1435.62,9844.7,41.2713,3786.94,6102.65,5281.17,3638.55,574.686,4388,1815.54,8473.53,7352.22
0.2,1122.41,5804.76,807.72,7010.22,5516.47,1166.25,9000.7,1775.03,9447.97,1437.01,9846.09,42.6627,3788.35,6104.04,5282.58,3639.94,576.076,4389.39,1816.93,8474.92,7353.62
0.25,1123.78,5806.16,809.109,7011.61,5517.86,1167.64,9002.1,1776.43,9449.36,1438.39,9847.48,44.0542,3789.76,6105.43,5283.99,3641.34,577.465,4390.78,1818.32,8476.31,7355.01
0.3,1125.14,5807.56,810.498,7013,5519.25,1169.03,9003.49,1777.84,9450.76,1439.78,9848.88,45.4456,3791.17,6106.82,5285.41,3642.74,578.855,4392.17,1819.71,8477.7,7356.4
0.35,1126.51,5808.95,811.887,7014.4,5520.64,1170.41,9004.88,1779.25,9452.15,1441.17,9850.27,46.8371,3792.58,6108.21,5286.82,3644.13,580.244,4393.56,1821.1,8479.1,7357.79
0.4,1127.88,5810.35,813.277,7015.79,5522.03,1171.8,9006.27,1780.65,9453.54,1442.56,9851.66,48.2285,3793.99,6109.6,5288.23,3645.53,581.634,4394.95,1822.49,8480.49,7359.19
0.45,1129.25,5811.75,814.666,7017.18,5523.42,1173.19,9007.66,1782.06,9454.93,1443.95,9853.05,49.6199,3795.39,6110.99,5289.65,3646.93,583.023,4396.34,1823.88,8481.88,7360.58
0.5,1130.61,5813.14,816.055,7018.57,5524.81,1174.58,9009.06,1783.47,9456.32,1445.34,9854.44,51.0114,3796.8,6112.38,5291.06,3648.32,584.413,4397.73,1825.27,8483.27,7361.97
0.55,1131.98,5814.54,817.444,7019.97,5526.2,1175.96,9010.45,1784.87,9457.72,1446.73,9855.83,52.4028,3798.21,6113.76,5292.47,3649.72,585.802,4399.12,1826.65,8484.66,7363.36
0.6,1133.35,5815.94,818.834,7021.36,5527.59,1177.35,9011.84,1786.28,9459.11,1448.12,9857.23,53.7942,3799.62,6115.15,5293.89,3651.11,587.192,4400.5,1828.04,8486.06,7364.75
0.65,1134.72,5817.33,820.223,7022.75,5528.97,1178.74,9013.23,1787.69,9460.5,1449.51,9858.62,55.1857,3801.03,6116.54,5295.3,3652.51,588.582,4401.89,1829.43,8487.45,7366.15
0.7,1136.08,5818.73,821.612,7024.14,5530.36,1180.13,9014.63,1789.09,9461.89,1450.89,9860.01,56.5771,3802.44,6117.93,5296.71,3653.91,589.971,4403.28,1830.82,8488.84,7367.54
0.75,1137.45,5820.13,823.001,7025.54,5531.75,1181.51,9016.02,1790.5,9463.28,1452.28,9861.4,57.9685,3803.84,6119.32,5298.13,3655.3,591.361,4404.67,1832.21,8490.23,7368.93
0.8,1138.82,5821.52,824.391,7026.93,5533.14,1182.9,9017.41,1791.91,9464.67,1453.67,9862.79,59.36,3805.25,6120.71,5299.54,3656.7,592.75,4406.06,1833.6,8491.63,7370.32
0.85,1140.19,5822.92,825.78,7028.32,5534.53,1184.29,9018.8,1793.31,9466.07,1455.06,9864.19,60.7514,3806.66,6122.1,5300.95,3658.09,594.14,4407.45,1834.99,8493.02,7371.72
0.9,1141.55,5824.32,827.169,7029.71,5535.92,1185.68,9020.2,1794.72,9467.46,1456.45,9865.58,62.1428,3808.07,6123.49,5302.37,3659.49,595.529,4408.84,1836.38,8494.41,7373.11
0.95,1142.92,5825.71,828.558,7031.11,5537.31,1187.06,9021.59,1796.13,9468.85,1457.84,9866.97,63.5343,3809.48,6124.88,5303.78,3660.89,596.919,4410.23,1837.77,8495.8,7374.5
1,1144.29,5827.11,829.948,7032.5,5538.7,1188.45,9022.98,1797.53,9470.24,1459.23,9868.36,64.9257,3810.89,6126.26,5305.19,3662.28,598.308,4411.62,1839.15,8497.2,7375.89
1.05,1145.65,5828.51,831.337,7033.89,5540.09,1189.84,9024.37,1798.94,9471.63,1460.62,9869.75,66.3172,3812.3,6127.65,5306.6,3663.68,599.698,4413,1840.54,8498.59,7377.29
1.1,1147.02,5829.9,832.726,7035.28,5541.47,1191.23,9025.76,1800.35,9473.02,1462.01,9871.14,67.7086,3813.7,6129.04,5308.02,3665.07,601.087,4414.39,1841.93,8499.98,7378.68
1.15,1148.39,5831.3,834.115,7036.68,5542.86,1192.61,9027.16,1801.75,9474.42,1463.39,9872.54,69.1,3815.11,6130.43,5309.43,3666.47,602.477,4415.78,1843.32,8501.37,7380.07
1.2,1149.76,5832.7,835.505,7038.07,5544.25,1194,9028.55,1803.16,9475.81,1464.78,9873.93,70.4915,3816.52,6131.82,5310.84,3667.87,603.866,4417.17,1844.71,8502.77,7381.46
1.25,1151.12,5834.09,836.894,7039.46,5545.64,1195.39,9029.94,1804.56,9477.2,1466.17,9875.32,71.8829,3817.93,6133.21,5312.26,3669.26,605.256,4418.56,1846.1,8504.16,7382.86
1.3,1152.49,5835.49,838.283,7040.85,5547.03,1196.78,9031.33,1805.97,9478.59,1467.56,9876.71,73.2743,3819.34,6134.6,5313.67,3670.66,606.645,4419.95,1847.49,8505.55,7384.25
1.35,1153.86,5836.89,839.672,7042.24,5548.42,1198.16,9032.73,1807.38,9479.98,1468.95,9878.1,74.6658,3820.75,6135.99,5315.08,3672.06,608.035,4421.34,1848.88,8506.94,7385.64
1.4,1155.23,5838.28,841.062,7043.64,5549.81,1199.55,9034.12,1808.78,9481.37,1470.34,9879.49,76.0572,3822.16,6137.38,5316.5,3673.45,609.425,4422.73,1850.27,8508.33,7387.03
1.45,1156.59,5839.68,842.451,7045.03,5551.2,1200.94,9035.51,1810.19,9482.77,1471.73,9880.89,77.4486,3823.56,6138.76,5317.91,3674.85,610.814,4424.12,1851.65,8509.73,7388.42
1.5,1157.96,5841.08,843.84,7046.42,5552.59,1202.33,9036.9,1811.6,9484.16,1473.12,9882.28,78.8401,3824.97,6140.15,5319.32,3676.24,612.204,4425.5,1853.04,8511.12,7389.82
1.55,1159.33,5842.47,845.229,7047.81,5553.97,1203.71,9038.29,1813,9485.55,1474.51,9883.67,80.2315,3826.38,6141.54,5320.74,3677.64,613.593,4426.89,1854.43,8512.51,7391.21
1.6,1160.7,5843.87,846.619,7049.21,5555.36,1205.1,9039.69,1814.41,9486.94,1475.89,9885.06,81.6229,3827.79,6142.93,5322.15,3679.04,614.983,4428.28,1855.82,8513.9,7392.6
1.65,1162.06,5845.27,848.008,7050.6,5556.75,1206.49,9041.08,1815.82,9488.33,1477.28,9886.45,83.0144,3829.2,6144.32,5323.56,3680.43,616.372,4429.67,1857.21,8515.3,7393.99
1.7,1163.43,5846.66,849.397,7051.99,5558.14,1207.88,9042.47,1817.22,9489.73,1478.67,9887.84,84.4058,3830.61,6145.71,5324.98,3681.83,617.762,4431.06,1858.6,8516.69,7395.39
1.75,1164.8,5848.06,850.786,7053.38,5559.53,1209.26,9043.86,1818.63,9491.12,1480.06,9889.24,85.7972,3832.02,6147.1,5326.39,3683.22,619.151,4432.45,1859.99,8518.08,7396.78
1.8,1166.17,5849.46,852.176,7054.78,5560.92,1210.65,9045.26,1820.04,9492.51,1481.45,9890.63,87.1887,3833.42,6148.49,5327.8,3684.62,620.541,4433.84,1861.38,8519.47,7398.17
1.85,1167.53,5850.85,853.565,7056.17,5562.31,1212.04,9046.65,1821.44,9493.9,1482.84,9892.02,88.5801,3834.83,6149.88,5329.22,3686.02,621.93,4435.23,1862.77,8520.87,7399.56
1.9,1168.9,5852.25,854.954,7057.56,5563.7,1213.43,9048.04,1822.85,9495.29,1484.23,9893.41,89.9715,3836.24,6151.26,5330.63,3687.41,623.32,4436.62,1864.15,8522.26,7400.96
1.95,1170.27,5853.65,856.343,7058.95,5565.09,1214.81,9049.43,1824.26,9496.68,1485.62,9894.8,91.363,3837.65,6152.65,5332.04,3688.81,624.709,4438,1865.54,8523.65,7402.35
2,1171.63,5855.04,857.732,7060.35,5566.47,1216.2,9050.83,1825.66,9498.08,1487.01,9896.19,92.7544,3839.06,6154.04,5333.46,3690.21,626.099,4439.39,1866.93,8525.04,7403.74
2.05,1173,5856.44,859.122,7061.74,5567.86,1217.59,9052.22,1827.07,9499.47,1488.39,9897.59,94.1458,3840.47,6155.43,5334.87,3691.6,627.488,4440.78,1868.32,8526.43,7405.13
2.1,1174.37,5857.84,860.511,7063.13,5569.25,1218.98,9053.61,1828.47,9500.86,1489.78,9898.98,95.5373,3841.87,6156.82,5336.28,3693,628.878,4442.17,1869.71,8527.83,7406.53
2.15,1175.74,5859.23,861.9,7064.52,5570.64,1220.36,9055,1829.88,9502.25,1491.17,9900.37,96.9287,3843.28,6158.21,5337.7,3694.39,630.267,4443.56,1871.1,8529.22,7407.92
2.2,1177.1,5860.63,863.289,7065.92,5572.03,1221.75,9056.39,1831.29,9503.64,1492.56,9901.76,98.3201,3844.69,6159.6,5339.11,3695.79,631.657,4444.95,1872.49,8530.61,7409.31
2.25,1178.47,5862.03,864.679,7067.31,5573.42,1223.14,9057.79,1832.69,9505.03,1493.95,9903.15,99.7116,3846.1,6160.99,5340.52,3697.19,633.047,4446.34,1873.88,8532,7410.7
2.3,1179.84,5863.42,866.068,7068.7,5574.81,1224.53,9059.18,1834.1,9506.43,1495.34,9904.55,101.103,3847.51,6162.38,5341.94,3698.58,634.436,4447.73,1875.27,8533.4,7412.1
2.35,1181.21,5864.82,867.457,7070.09,5576.2,1225.91,9060.57,1835.51,9507.82,1496.73,9905.94,102.494,3848.92,6163.76,5343.35,3699.98,635.826,4449.12,1876.65,8534.79,7413.49
2.4,1182.57,5866.22,868.846,7071.49,5577.59,1227.3,9061.96,1836.91,9509.21,1498.12,9907.33,103.886,3850.33,6165.15,5344.76,3701.37,637.215,4450.5,1878.04,8536.18,7414.88
2.45,1183.94,5867.61,870.236,7072.88,5578.97,1228.69,9063.36,1838.32,9510.6,1499.51,9908.72,105.277,3851.73,6166.54,5346.18,3702.77,638.605,4451.89,1879.43,8537.57,7416.27
2.5,1185.31,5869.01,871.625,7074.27,5580.36,1230.08,9064.75,1839.73,9511.99,1500.89,9910.11,106.669,3853.14,6167.93,5347.59,3704.17,639.994,4453.28,1880.82,8538.97,7417.66
