time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
1.75,4998.07,3066.22,932.268,6623.98,7751.57,8556.05,2993.04,9834.87,4031.95,2064.7,5093.66,6801.53,8666.43,528.603,8042.56
1.8,4999.44,3067.62,933.657,6625.36,7752.96,8557.44,2994.43,9836.26,4033.34,2066.11,5095.05,6802.93,8667.82,530.007,8043.95
1.85,5000.81,3069.01,935.046,6626.73,7754.35,8558.84,2995.83,9837.65,4034.73,2067.52,5096.44,6804.33,8669.2,531.412,8045.34
1.9,5002.18,3070.41,936.435,6628.11,7755.74,8560.23,2997.22,9839.04,4036.12,2068.94,5097.83,6805.73,8670.59,532.817,8046.73
1.95,5003.54,3071.8,937.824,6629.48,7757.14,8561.62,2998.61,9840.43,4037.51,2070.35,5099.22,6807.13,8671.98,534.221,8048.12
2,5004.91,3073.19,939.213,6630.86,7758.53,8563.01,3000.01,9841.83,4038.89,2071.76,5100.6,6808.52,8673.37,535.626,8049.51
2.05,5006.28,3074.59,940.601,6632.24,7759.92,8564.4,3001.4,9843.22,4040.28,2073.18,5101.99,6809.92,8674.76,537.03,8050.9
2.1,5007.65,3075.98,941.99,6633.61,7761.31,8565.79,3002.8,9844.61,4041.67,2074.59,5103.38,6811.32,8676.15,538.435,8052.29
2.15,5009.01,3077.38,943.379,6634.99,7762.7,8567.18,3004.19,9846,4043.06,2076.01,5104.77,6812.72,8677.54,539.839,8053.69
2.2,5010.38,3078.77,944.768,6636.36,7764.09,8568.57,3005.58,9847.39,4044.45,2077.42,5106.16,6814.12,8678.93,541.244,8055.08
2.25,5011.75,3080.16,946.157,6637.74,7765.48,8569.96,3006.98,9848.78,4045.84,2078.83,5107.55,6815.52,8680.32,542.649,8056.47
2.3,5013.12,3081.56,947.546,6639.11,7766.88,8571.35,3008.37,9850.17,4047.23,2080.25,5108.94,6816.92,8681.7,544.053,8057.86
2.35,5014.48,3082.95,948.935,6640.49,7768.27,8572.75,3009.76,9851.56,4048.62,2081.66,5110.33,6818.32,8683.09,545.458,8059.25
2.4,5015.85,3084.35,950.324,6641.86,7769.66,8574.14,3011.16,9852.96,4050.01,2083.07,5111.71,6819.72,8684.48,546.862,8060.64
2.45,5017.22,3085.74,951.713,6643.24,7771.05,8575.53,3012.55,9854.35,4051.39,2084.49,5113.1,6821.12,8685.87,548.267,8062.03
2.5,5018.59,3087.13,953.101,6644.62,7772.44,8576.92,3013.94,9855.74,4052.78,2085.9,5114.49,6822.52,8687.26,549.671,8063.42
2.55,5019.95,3088.53,954.49,6645.99,7773.83,8578.31,3015.34,9857.13,4054.17,2087.32,5115.88,6823.92,8688.65,551.076,8064.81
2.6,5021.32,3089.92,955.879,6647.37,7775.22,8579.7,3016.73,9858.52,4055.56,2088.73,5117.27,6825.32,8690.04,552.481,8066.21
2.65,5022.69,3091.32,957.268,6648.74,7776.61,8581.09,3018.12,9859.91,4056.95,2090.14,5118.66,6826.72,8691.43,553.885,8067.6
2.7,5024.06,3092.71,958.657,6650.12,7778.01,8582.48,3019.52,9861.3,4058.34,2091.56,5120.05,6828.12,8692.82,555.29,8068.99
2.75,5025.43,3094.1,960.046,6651.49,7779.4,8583.87,3020.91,9862.69,4059.73,2092.97,5121.43,6829.51,8694.2,556.694,8070.38
2.8,5026.79,3095.5,961.435,6652.87,7780.79,8585.26,3022.3,9864.09,4061.12,2094.39,5122.82,6830.91,8695.59,558.099,8071.77
2.85,5028.16,3096.89,962.824,6654.24,7782.18,8586.66,3023.7,9865.48,4062.5,2095.8,5124.21,6832.31,8696.98,559.504,8073.16
2.9,5029.53,3098.28,964.213,6655.62,7783.57,8588.05,3025.09,9866.87,4063.89,2097.21,5125.6,6833.71,8698.37,560.908,8074.55
2.95,5030.9,3099.68,965.601,6657,7784.96,8589.44,3026.49,9868.26,4065.28,2098.63,5126.99,6835.11,8699.76,562.313,8075.94
3,5032.26,3101.07,966.99,6658.37,7786.35,8590.83,3027.88,9869.65,4066.67,2100.04,5128.38,6836.51,8701.15,563.717,8077.33
3.05,5033.63,3102.47,968.379,6659.75,7787.75,8592.22,3029.27,9871.04,4068.06,2101.45,5129.77,6837.91,8702.54,565.122,8078.73
3.1,5035,3103.86,969.768,6661.12,7789.14,8593.61,3030.67,9872.43,4069.45,2102.87,5131.16,6839.31,8703.93,566.526,8080.12
3.15,5036.37,3105.25,971.157,6662.5,7790.53,8595,3032.06,9873.82,4070.84,2104.28,5132.54,6840.71,8705.32,567.931,8081.51
3.2,5037.73,3106.65,972.546,6663.87,7791.92,8596.39,3033.45,9875.21,4072.23,2105.7,5133.93,6842.11,8706.7,569.336,8082.9
