time,N1,N2,N3,N4,N5
4.85,7952.11,1709.57,6764.01,7709.73,4186.22
4.9,7953.5,1710.96,6765.41,7711.11,4187.62
4.95,7954.89,1712.36,6766.8,7712.49,4189.01
5,7956.28,1713.75,6768.19,7713.87,4190.4
5.05,7957.67,1715.14,6769.58,7715.26,4191.79
5.1,7959.06,1716.53,6770.97,7716.64,4193.19
5.15,7960.45,1717.93,6772.36,7718.02,4194.58
5.2,7961.83,1719.32,6773.75,7719.4,4195.97
5.25,7963.22,1720.71,6775.15,7720.79,4197.36
5.3,7964.61,1722.11,6776.54,7722.17,4198.76
5.35,7966,1723.5,6777.93,7723.55,4200.15
5.4,7967.39,1724.89,6779.32,7724.93,4201.54
5.45,7968.78,1726.28,6780.71,7726.31,4202.93
5.5,7970.17,1727.68,6782.1,7727.7,4204.33
5.55,7971.56,1729.07,6783.5,7729.08,4205.72
5.6,7972.95,1730.46,6784.89,7730.46,4207.11
5.65,7974.33,1731.85,6786.28,7731.84,4208.5
5.7,7975.72,1733.25,6787.67,7733.23,4209.9
5.75,7977.11,1734.64,6789.06,7734.61,4211.29
5.8,7978.5,1736.03,6790.45,7735.99,4212.68
5.85,7979.89,1737.43,6791.84,7737.37,4214.07
5.9,7981.28,1738.82,6793.24,7738.75,4215.47
5.95,7982.67,1740.21,6794.63,7740.14,4216.86
6,7984.06,1741.6,6796.02,7741.52,4218.25
6.05,7985.45,1743,6797.41,7742.9,4219.64
6.1,7986.83,1744.39,6798.8,7744.28,4221.04
6.15,7988.22,1745.78,6800.19,7745.67,4222.43
6.2,7989.61,1747.17,6801.59,7747.05,4223.82
6.25,7991,1748.57,6802.98,7748.43,4225.22
6.3,7992.39,1749.96,6804.37,7749.81,4226.61
6.35,7993.78,1751.35,6805.76,7751.19,4228
6.4,7995.17,1752.75,6807.15,7752.58,4229.39
6.45,7996.56,1754.14,6808.54,7753.96,4230.79
6.5,7997.95,1755.53,6809.93,7755.34,4232.18
6.55,7999.33,1756.92,6811.33,7756.72,4233.57
6.6,8000.72,1758.32,6812.72,7758.1,4234.96
6.65,8002.11,1759.71,6814.11,7759.49,4236.36
6.7,8003.5,1761.1,6815.5,7760.87,4237.75
6.75,8004.89,1762.49,6816.89,7762.25,4239.14
6.8,8006.28,1763.89,6818.28,7763.63,4240.53
6.85,8007.67,1765.28,6819.68,7765.02,4241.93
6.9,8009.06,1766.67,6821.07,7766.4,4243.32
6.95,8010.45,1768.07,6822.46,7767.78,4244.71
7,8011.83,1769.46,6823.85,7769.16,4246.1
7.05,8013.22,1770.85,6825.24,7770.54,4247.5
7.1,8014.61,1772.24,6826.63,7771.93,4248.89
7.15,8016,1773.64,6828.02,7773.31,4250.28
7.2,8017.39,1775.03,6829.42,7774.69,4251.67
7.25,8018.78,1776.42,6830.81,7776.07,4253.07
7.3,8020.17,1777.81,6832.2,7777.46,4254.46
7.35,8021.56,1779.21,6833.59,7778.84,4255.85
7.4,8022.95,1780.6,6834.98,7780.22,4257.24
7.45,8024.33,1781.99,6836.37,7781.6,4258.64
7.5,8025.72,1783.39,6837.77,7782.98,4260.03
7.55,8027.11,1784.78,6839.16,7784.37,4261.42
7.6,8028.5,1786.17,6840.55,7785.75,4262.81
7.65,8029.89,1787.56,6841.94,7787.13,4264.21
7.7,8031.28,1788.96,6843.33,7788.51,4265.6
7.75,8032.67,1790.35,6844.72,7789.9,4266.99
7.8,8034.06,1791.74,6846.11,7791.28,4268.38
7.85,8035.45,1793.13,6847.51,7792.66,4269.78
7.9,8036.83,1794.53,6848.9,7794.04,4271.17
7.95,8038.22,1795.92,6850.29,7795.42,4272.56
8,8039.61,1797.31,6851.68,7796.81,4273.95
8.05,8041,1798.71,6853.07,7798.19,4275.35
8.1,8042.39,1800.1,6854.46,7799.57,4276.74
8.15,8043.78,1801.49,6855.86,7800.95,4278.13
8.2,8045.17,1802.88,6857.25,7802.34,4279.52
8.25,8046.56,1804.28,6858.64,7803.72,4280.92
8.3,8047.95,1805.67,6860.03,7805.1,4282.31
8.35,8049.33,1807.06,6861.42,7806.48,4283.7
8.4,8050.72,1808.45,6862.81,7807.86,4285.09
8.45,8052.11,1809.85,6864.2,7809.25,4286.49
8.5,8053.5,1811.24,6865.6,7810.63,4287.88
8.55,8054.89,1812.63,6866.99,7812.01,4289.27
8.6,8056.28,1814.03,6868.38,7813.39,4290.66
8.65,8057.67,1815.42,6869.77,7814.78,4292.06
8.7,8059.06,1816.81,6871.16,7816.16,4293.45
8.75,8060.45,1818.2,6872.55,7817.54,4294.84
8.8,8061.83,1819.6,6873.95,7818.92,4296.23
8.85,8063.22,1820.99,6875.34,7820.3,4297.63
8.9,8064.61,1822.38,6876.73,7821.69,4299.02
8.95,8066,1823.77,6878.12,7823.07,4300.41
9,8067.39,1825.17,6879.51,7824.45,4301.8
9.05,8068.78,1826.56,6880.9,7825.83,4303.2
9.1,8070.17,1827.95,6882.29,7827.22,4304.59
9.15,8071.56,1829.35,6883.69,7828.6,4305.98
9.2,8072.95,1830.74,6885.08,7829.98,4307.37
9.25,8074.33,1832.13,6886.47,7831.36,4308.77
9.3,8075.72,1833.52,6887.86,7832.74,4310.16
9.35,8077.11,1834.92,6889.25,7834.13,4311.55
9.4,8078.5,1836.31,6890.64,7835.51,4312.94
