time,N1,N2,N3,N4,N5
0,6150.72,9929.58,4976.38,5876.37,2404.96
0.05,6152.11,9930.97,4977.77,5877.76,2406.35
0.1,6153.5,9932.36,4979.16,5879.14,2407.74
0.15,6154.89,9933.76,4980.56,5880.53,2409.13
0.2,6156.28,9935.15,4981.95,5881.91,2410.53
0.25,6157.67,9936.54,4983.34,5883.3,2411.92
0.3,6159.06,9937.93,4984.73,5884.68,2413.31
0.35,6160.45,9939.32,4986.12,5886.06,2414.7
0.4,6161.83,9940.72,4987.51,5887.45,2416.09
0.45,6163.22,9942.11,4988.9,5888.83,2417.49
0.5,6164.61,9943.5,4990.29,5890.22,2418.88
0.55,6166,9944.89,4991.68,5891.6,2420.27
0.6,6167.39,9946.29,4993.07,5892.99,2421.66
0.65,6168.78,9947.68,4994.46,5894.37,2423.05
0.7,6170.17,9949.07,4995.86,5895.76,2424.45
0.75,6171.56,9950.46,4997.25,5897.14,2425.84
0.8,6172.95,9951.86,4998.64,5898.53,2427.23
0.85,6174.33,9953.25,5000.03,5899.91,2428.62
0.9,6175.72,9954.64,5001.42,5901.3,2430.01
0.95,6177.11,9956.03,5002.81,5902.68,2431.41
1,6178.5,9957.42,5004.2,5904.06,2432.8
1.05,6179.89,9958.82,5005.59,5905.45,2434.19
1.1,6181.28,9960.21,5006.98,5906.83,2435.58
1.15,6182.67,9961.6,5008.37,5908.22,2436.97
1.2,6184.06,9962.99,5009.76,5909.6,2438.37
1.25,6185.45,9964.39,5011.16,5910.99,2439.76
1.3,6186.83,9965.78,5012.55,5912.37,2441.15
1.35,6188.22,9967.17,5013.94,5913.76,2442.54
1.4,6189.61,9968.56,5015.33,5915.14,2443.93
1.45,6191,9969.96,5016.72,5916.53,2445.33
1.5,6192.39,9971.35,5018.11,5917.91,2446.72
1.55,6193.78,9972.74,5019.5,5919.3,2448.11
1.6,6195.17,9974.13,5020.89,5920.68,2449.5
1.65,6196.56,9975.52,5022.28,5922.07,2450.89
1.7,6197.95,9976.92,5023.67,5923.45,2452.29
1.75,6199.33,9978.31,5025.06,5924.83,2453.68
1.8,6200.72,9979.7,5026.46,5926.22,2455.07
1.85,6202.11,9981.09,5027.85,5927.6,2456.46
1.9,6203.5,9982.49,5029.24,5928.99,2457.86
1.95,6204.89,9983.88,5030.63,5930.37,2459.25
2,6206.28,9985.27,5032.02,5931.76,2460.64
2.05,6207.67,9986.66,5033.41,5933.14,2462.03
2.1,6209.06,9988.05,5034.8,5934.53,2463.42
2.15,6210.45,9989.45,5036.19,5935.91,2464.82
2.2,6211.83,9990.84,5037.58,5937.3,2466.21
2.25,6213.22,9992.23,5038.97,5938.68,2467.6
2.3,6214.61,9993.62,5040.36,5940.07,2468.99
2.35,6216,9995.02,5041.76,5941.45,2470.38
2.4,6217.39,9996.41,5043.15,5942.83,2471.78
2.45,6218.78,9997.8,5044.54,5944.22,2473.17
2.5,6220.17,9999.19,5045.93,5945.6,2474.56
2.55,6221.56,0.585564,5047.32,5946.99,2475.95
2.6,6222.95,1.97786,5048.71,5948.37,2477.34
2.65,6224.33,3.37015,5050.1,5949.76,2478.74
2.7,6225.72,4.76245,5051.49,5951.14,2480.13
2.75,6227.11,6.15474,5052.88,5952.53,2481.52
2.8,6228.5,7.54704,5054.27,5953.91,2482.91
2.85,6229.89,8.93933,5055.66,5955.3,2484.3
2.9,6231.28,10.3316,5057.05,5956.68,2485.7
2.95,6232.67,11.7239,5058.45,5958.07,2487.09
3,6234.06,13.1162,5059.84,5959.45,2488.48
3.05,6235.45,14.5085,5061.23,5960.84,2489.87
3.1,6236.83,15.9008,5062.62,5962.22,2491.26
3.15,6238.22,17.2931,5064.01,5963.6,2492.66
3.2,6239.61,18.6854,5065.4,5964.99,2494.05
3.25,6241,20.0777,5066.79,5966.37,2495.44
3.3,6242.39,21.47,5068.18,5967.76,2496.83
3.35,6243.78,22.8623,5069.57,5969.14,2498.22
3.4,6245.17,24.2546,5070.96,5970.53,2499.62
3.45,6246.56,25.6469,5072.35,5971.91,2501.01
3.5,6247.95,27.0392,5073.75,5973.3,2502.4
3.55,6249.33,28.4314,5075.14,5974.68,2503.79
3.6,6250.72,29.8237,5076.53,5976.07,2505.19
3.65,6252.11,31.216,5077.92,5977.45,2506.58
3.7,6253.5,32.6083,5079.31,5978.84,2507.97
3.75,6254.89,34.0006,5080.7,5980.22,2509.36
3.8,6256.28,35.3929,5082.09,5981.6,2510.75
3.85,6257.67,36.7852,5083.48,5982.99,2512.15
