time,N1,N2,N3,N4,N5,N6,N7,N8
0,473.051,5721.9,6621.56,1540.58,6508.19,708.06,8455.32,5445.86
0.05,474.44,5723.29,6622.95,1541.98,6509.58,709.448,8456.71,5447.24
0.1,475.829,5724.68,6624.34,1543.38,6510.97,710.837,8458.1,5448.63
0.15,477.218,5726.07,6625.73,1544.78,6512.36,712.226,8459.49,5450.01
0.2,478.608,5727.46,6627.11,1546.18,6513.75,713.615,8460.88,5451.4
0.25,479.997,5728.85,6628.5,1547.57,6515.14,715.004,8462.27,5452.78
0.3,481.386,5730.23,6629.89,1548.97,6516.53,716.393,8463.66,5454.17
0.35,482.775,5731.62,6631.28,1550.37,6517.92,717.782,8465.05,5455.56
0.4,484.164,5733.01,6632.67,1551.77,6519.31,719.171,8466.44,5456.94
0.45,485.553,5734.4,6634.06,1553.16,6520.71,720.56,8467.83,5458.33
0.5,486.942,5735.79,6635.45,1554.56,6522.1,721.948,8469.22,5459.71
0.55,488.331,5737.18,6636.84,1555.96,6523.49,723.337,8470.61,5461.1
0.6,489.72,5738.57,6638.23,1557.36,6524.88,724.726,8472,5462.48
0.65,491.109,5739.96,6639.61,1558.76,6526.27,726.115,8473.39,5463.87
0.7,492.498,5741.35,6641,1560.15,6527.66,727.504,8474.78,5465.25
0.75,493.888,5742.73,6642.39,1561.55,6529.05,728.893,8476.18,5466.64
0.8,495.277,5744.12,6643.78,1562.95,6530.44,730.282,8477.57,5468.02
0.85,496.666,5745.51,6645.17,1564.35,6531.83,731.671,8478.96,5469.41
0.9,498.055,5746.9,6646.56,1565.74,6533.22,733.06,8480.35,5470.8
0.95,499.444,5748.29,6647.95,1567.14,6534.61,734.448,8481.74,5472.18
1,500.833,5749.68,6649.34,1568.54,6536,735.837,8483.13,5473.57
1.05,502.222,5751.07,6650.73,1569.94,6537.39,737.226,8484.52,5474.95
1.1,503.611,5752.46,6652.11,1571.34,6538.78,738.615,8485.91,5476.34
1.15,505,5753.85,6653.5,1572.73,6540.17,740.004,8487.3,5477.72
1.2,506.389,5755.23,6654.89,1574.13,6541.56,741.393,8488.69,5479.11
1.25,507.778,5756.62,6656.28,1575.53,6542.95,742.782,8490.08,5480.49
1.3,509.167,5758.01,6657.67,1576.93,6544.34,744.171,8491.47,5481.88
1.35,510.557,5759.4,6659.06,1578.32,6545.73,745.56,8492.86,5483.27
1.4,511.946,5760.79,6660.45,1579.72,6547.13,746.948,8494.25,5484.65
1.45,513.335,5762.18,6661.84,1581.12,6548.52,748.337,8495.64,5486.04
1.5,514.724,5763.57,6663.23,1582.52,6549.91,749.726,8497.03,5487.42
1.55,516.113,5764.96,6664.61,1583.92,6551.3,751.115,8498.42,5488.81
1.6,517.502,5766.35,6666,1585.31,6552.69,752.504,8499.81,5490.19
1.65,518.891,5767.73,6667.39,1586.71,6554.08,753.893,8501.2,5491.58
1.7,520.28,5769.12,6668.78,1588.11,6555.47,755.282,8502.59,5492.96
1.75,521.669,5770.51,6670.17,1589.51,6556.86,756.671,8503.98,5494.35
1.8,523.058,5771.9,6671.56,1590.9,6558.25,758.06,8505.37,5495.74
1.85,524.447,5773.29,6672.95,1592.3,6559.64,759.448,8506.76,5497.12
1.9,525.837,5774.68,6674.34,1593.7,6561.03,760.837,8508.15,5498.51
1.95,527.226,5776.07,6675.73,1595.1,6562.42,762.226,8509.54,5499.89
