time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
1.25,7672.93,2607.62,7505.45,3744.45,2212.31,7860.11,5733.24,8313.49,6174.5,8131.43,6572.3,6763.7,749.688,2799.88,2094.22,416.763,7275.95,1085,8512.77,5208.2,4087.31
1.3,7674.31,2609.02,7506.84,3745.84,2213.7,7861.5,5734.63,8314.87,6175.89,8132.82,6573.69,6765.09,751.101,2801.27,2095.59,418.158,7277.34,1086.39,8514.16,5209.6,4088.7
1.35,7675.69,2610.42,7508.23,3747.23,2215.09,7862.89,5736.02,8316.25,6177.28,8134.21,6575.09,6766.48,752.514,2802.65,2096.96,419.553,7278.73,1087.78,8515.54,5210.99,4090.09
1.4,7677.07,2611.82,7509.62,3748.63,2216.48,7864.28,5737.41,8317.63,6178.67,8135.59,6576.48,6767.87,753.928,2804.04,2098.33,420.949,7280.12,1089.17,8516.93,5212.38,4091.48
1.45,7678.45,2613.22,7511.01,3750.02,2217.86,7865.67,5738.8,8319.01,6180.06,8136.98,6577.87,6769.26,755.341,2805.43,2099.71,422.344,7281.51,1090.55,8518.32,5213.77,4092.88
1.5,7679.83,2614.62,7512.4,3751.41,2219.25,7867.06,5740.19,8320.39,6181.45,8138.37,6579.26,6770.65,756.755,2806.82,2101.08,423.739,7282.89,1091.94,8519.71,5215.16,4094.27
1.55,7681.22,2616.02,7513.79,3752.8,2220.64,7868.45,5741.59,8321.77,6182.84,8139.76,6580.65,6772.04,758.168,2808.21,2102.45,425.134,7284.28,1093.33,8521.1,5216.55,4095.66
1.6,7682.6,2617.41,7515.17,3754.19,2222.03,7869.84,5742.98,8323.14,6184.23,8141.15,6582.04,6773.43,759.582,2809.6,2103.82,426.529,7285.67,1094.72,8522.49,5217.95,4097.05
1.65,7683.98,2618.81,7516.56,3755.58,2223.42,7871.23,5744.37,8324.52,6185.62,8142.54,6583.43,6774.82,760.995,2810.99,2105.2,427.924,7287.06,1096.11,8523.88,5219.34,4098.44
1.7,7685.36,2620.21,7517.95,3756.98,2224.81,7872.62,5745.76,8325.9,6187.02,8143.93,6584.82,6776.21,762.409,2812.38,2106.57,429.319,7288.45,1097.5,8525.27,5220.73,4099.83
1.75,7686.74,2621.61,7519.34,3758.37,2226.2,7874.01,5747.15,8327.28,6188.41,8145.31,6586.21,6777.6,763.822,2813.77,2107.94,430.715,7289.84,1098.89,8526.66,5222.12,4101.23
1.8,7688.13,2623.01,7520.73,3759.76,2227.59,7875.4,5748.54,8328.66,6189.8,8146.7,6587.61,6778.99,765.235,2815.15,2109.31,432.11,7291.23,1100.28,8528.04,5223.51,4102.62
1.85,7689.51,2624.41,7522.12,3761.15,2228.98,7876.79,5749.94,8330.04,6191.19,8148.09,6589,6780.38,766.649,2816.54,2110.69,433.505,7292.62,1101.66,8529.43,5224.9,4104.01
1.9,7690.89,2625.81,7523.51,3762.54,2230.36,7878.18,5751.33,8331.42,6192.58,8149.48,6590.39,6781.77,768.062,2817.93,2112.06,434.9,7294.01,1103.05,8530.82,5226.3,4105.4
1.95,7692.27,2627.21,7524.9,3763.94,2231.75,7879.57,5752.72,8332.8,6193.97,8150.87,6591.78,6783.16,769.476,2819.32,2113.43,436.295,7295.39,1104.44,8532.21,5227.69,4106.79
