time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
0,6581.03,8084.79,4892.57,5191.27,8708.33,143.594,2037.74,4257.65,1775.63,2349.49,3557.6,1558.25,9231.39,8240.33,993.088,6927.45,6993.6
0.05,6582.42,8086.19,4893.96,5192.66,8709.72,144.983,2039.12,4259.04,1777.02,2350.89,3558.99,1559.64,9232.78,8241.72,994.481,6928.85,6994.99
0.1,6583.81,8087.58,4895.35,5194.05,8711.11,146.372,2040.51,4260.43,1778.41,2352.28,3560.38,1561.03,9234.17,8243.11,995.873,6930.25,6996.38
0.15,6585.19,8088.97,4896.74,5195.44,8712.5,147.761,2041.9,4261.82,1779.8,2353.68,3561.77,1562.42,9235.56,8244.51,997.265,6931.65,6997.76
0.2,6586.58,8090.36,4898.13,5196.83,8713.89,149.149,2043.29,4263.22,1781.19,2355.07,3563.16,1563.81,9236.95,8245.9,998.658,6933.05,6999.15
0.25,6587.97,8091.75,4899.52,5198.22,8715.28,150.538,2044.68,4264.61,1782.58,2356.47,3564.55,1565.2,9238.34,8247.29,1000.05,6934.44,7000.54
0.3,6589.36,8093.15,4900.91,5199.61,8716.67,151.927,2046.07,4266,1783.97,2357.87,3565.94,1566.59,9239.73,8248.68,1001.44,6935.84,7001.93
0.35,6590.75,8094.54,4902.3,5201,8718.06,153.316,2047.46,4267.39,1785.36,2359.26,3567.33,1567.97,9241.12,8250.07,1002.84,6937.24,7003.32
0.4,6592.14,8095.93,4903.69,5202.39,8719.45,154.705,2048.85,4268.79,1786.75,2360.66,3568.72,1569.36,9242.52,8251.46,1004.23,6938.64,7004.71
0.45,6593.53,8097.32,4905.07,5203.78,8720.84,156.094,2050.24,4270.18,1788.15,2362.05,3570.1,1570.75,9243.91,8252.85,1005.62,6940.04,7006.1
0.5,6594.92,8098.72,4906.46,5205.17,8722.23,157.483,2051.62,4271.57,1789.54,2363.45,3571.49,1572.14,9245.3,8254.24,1007.01,6941.43,7007.49
0.55,6596.31,8100.11,4907.85,5206.56,8723.62,158.872,2053.01,4272.96,1790.93,2364.84,3572.88,1573.53,9246.69,8255.63,1008.41,6942.83,7008.88
0.6,6597.69,8101.5,4909.24,5207.95,8725.01,160.261,2054.4,4274.36,1792.32,2366.24,3574.27,1574.92,9248.08,8257.02,1009.8,6944.23,7010.26
0.65,6599.08,8102.89,4910.63,5209.34,8726.4,161.649,2055.79,4275.75,1793.71,2367.64,3575.66,1576.31,9249.47,8258.41,1011.19,6945.63,7011.65
0.7,6600.47,8104.29,4912.02,5210.73,8727.79,163.038,2057.18,4277.14,1795.1,2369.03,3577.05,1577.7,9250.86,8259.81,1012.58,6947.03,7013.04
0.75,6601.86,8105.68,4913.41,5212.12,8729.18,164.427,2058.57,4278.53,1796.49,2370.43,3578.44,1579.08,9252.25,8261.2,1013.98,6948.43,7014.43
0.8,6603.25,8107.07,4914.8,5213.51,8730.57,165.816,2059.96,4279.93,1797.88,2371.82,3579.83,1580.47,9253.65,8262.59,1015.37,6949.82,7015.82
0.85,6604.64,8108.46,4916.19,5214.9,8731.96,167.205,2061.35,4281.32,1799.27,2373.22,3581.22,1581.86,9255.04,8263.98,1016.76,6951.22,7017.21
0.9,6606.03,8109.86,4917.57,5216.29,8733.35,168.594,2062.74,4282.71,1800.67,2374.62,3582.6,1583.25,9256.43,8265.37,1018.15,6952.62,7018.6
0.95,6607.42,8111.25,4918.96,5217.68,8734.74,169.983,2064.12,4284.1,1802.06,2376.01,3583.99,1584.64,9257.82,8266.76,1019.55,6954.02,7019.99
1,6608.81,8112.64,4920.35,5219.07,8736.13,171.372,2065.51,4285.5,1803.45,2377.41,3585.38,1586.03,9259.21,8268.15,1020.94,6955.42,7021.38
1.05,6610.19,8114.03,4921.74,5220.46,8737.52,172.761,2066.9,4286.89,1804.84,2378.8,3586.77,1587.42,9260.6,8269.54,1022.33,6956.81,7022.76
1.1,6611.58,8115.43,4923.13,5221.85,8738.91,174.149,2068.29,4288.28,1806.23,2380.2,3588.16,1588.8,9261.99,8270.93,1023.72,6958.21,7024.15
1.15,6612.97,8116.82,4924.52,5223.24,8740.3,175.538,2069.68,4289.67,1807.62,2381.59,3589.55,1590.19,9263.38,8272.32,1025.12,6959.61,7025.54
1.2,6614.36,8118.21,4925.91,5224.63,8741.69,176.927,2071.07,4291.06,1809.01,2382.99,3590.94,1591.58,9264.78,8273.71,1026.51,6961.01,7026.93
