time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18
0,5652.62,1437.05,5730.55,1789.52,9638.49,5075.77,7483.85,9547.5,1528.76,9431.92,2248.5,3752.57,8701.6,7215.73,5359.13,3127.42,1379.49,4894.78
0.05,5654.02,1438.42,5731.94,1790.9,9639.87,5077.16,7485.24,9548.89,1530.15,9433.31,2249.89,3753.96,8702.99,7217.13,5360.52,3128.81,1380.89,4896.16
0.1,5655.41,1439.79,5733.32,1792.29,9641.26,5078.55,7486.64,9550.28,1531.54,9434.7,2251.28,3755.35,8704.39,7218.53,5361.91,3130.2,1382.28,4897.55
0.15,5656.81,1441.16,5734.71,1793.68,9642.65,5079.94,7488.03,9551.67,1532.92,9436.09,2252.67,3756.74,8705.78,7219.93,5363.3,3131.58,1383.67,4898.93
0.2,5658.21,1442.53,5736.1,1795.07,9644.04,5081.33,7489.42,9553.06,1534.31,9437.48,2254.07,3758.13,8707.17,7221.33,5364.68,3132.97,1385.06,4900.32
0.25,5659.6,1443.9,5737.49,1796.46,9645.43,5082.72,7490.81,9554.45,1535.7,9438.87,2255.46,3759.51,8708.56,7222.73,5366.07,3134.36,1386.45,4901.71
0.3,5661,1445.26,5738.88,1797.85,9646.82,5084.11,7492.2,9555.84,1537.09,9440.26,2256.85,3760.9,8709.96,7224.13,5367.46,3135.75,1387.84,4903.09
0.35,5662.39,1446.63,5740.27,1799.24,9648.21,5085.5,7493.59,9557.22,1538.48,9441.65,2258.24,3762.29,8711.35,7225.53,5368.85,3137.14,1389.24,4904.48
0.4,5663.79,1448,5741.66,1800.63,9649.6,5086.89,7494.98,9558.61,1539.87,9443.03,2259.64,3763.68,8712.74,7226.94,5370.24,3138.53,1390.63,4905.86
0.45,5665.19,1449.37,5743.05,1802.02,9650.99,5088.28,7496.37,9560,1541.26,9444.42,2261.03,3765.07,8714.13,7228.34,5371.63,3139.91,1392.02,4907.25
0.5,5666.58,1450.74,5744.44,1803.41,9652.37,5089.67,7497.76,9561.39,1542.65,9445.81,2262.42,3766.46,8715.53,7229.74,5373.02,3141.3,1393.41,4908.63
0.55,5667.98,1452.11,5745.82,1804.8,9653.76,5091.06,7499.15,9562.78,1544.04,9447.2,2263.81,3767.84,8716.92,7231.14,5374.41,3142.69,1394.8,4910.02
