time,N1,N2,N3,N4,N5,N6,N7,N8
3.15,3889.05,9142.73,42.3912,4833.3,9900.54,4128.89,1855.17,8934.32
3.2,3890.44,9144.12,43.7801,4834.71,9901.93,4130.28,1856.56,8935.7
3.25,3891.83,9145.51,45.169,4836.11,9903.32,4131.67,1857.95,8937.08
3.3,3893.22,9146.9,46.5579,4837.51,9904.71,4133.06,1859.34,8938.46
3.35,3894.61,9148.29,47.9468,4838.91,9906.11,4134.45,1860.74,8939.84
3.4,3896,9149.68,49.3357,4840.31,9907.5,4135.84,1862.13,8941.22
3.45,3897.39,9151.07,50.7246,4841.71,9908.89,4137.23,1863.52,8942.6
3.5,3898.77,9152.46,52.1134,4843.11,9910.28,4138.61,1864.91,8943.98
3.55,3900.16,9153.84,53.5023,4844.52,9911.67,4140,1866.3,8945.36
3.6,3901.55,9155.23,54.8912,4845.92,9913.07,4141.39,1867.69,8946.74
3.65,3902.94,9156.62,56.2801,4847.32,9914.46,4142.78,1869.08,8948.12
3.7,3904.33,9158.01,57.669,4848.72,9915.85,4144.17,1870.47,8949.5
3.75,3905.72,9159.4,59.0579,4850.12,9917.24,4145.56,1871.86,8950.88
3.8,3907.11,9160.79,60.4468,4851.52,9918.63,4146.95,1873.26,8952.26
3.85,3908.5,9162.18,61.8357,4852.92,9920.03,4148.34,1874.65,8953.64
3.9,3909.89,9163.57,63.2246,4854.33,9921.42,4149.73,1876.04,8955.02
3.95,3911.28,9164.96,64.6134,4855.73,9922.81,4151.11,1877.43,8956.4
4,3912.67,9166.34,66.0023,4857.13,9924.2,4152.5,1878.82,8957.78
4.05,3914.06,9167.73,67.3912,4858.53,9925.59,4153.89,1880.21,8959.16
4.1,3915.45,9169.12,68.7801,4859.93,9926.99,4155.28,1881.6,8960.54
4.15,3916.84,9170.51,70.169,4861.33,9928.38,4156.67,1882.99,8961.92
4.2,3918.23,9171.9,71.5579,4862.74,9929.77,4158.06,1884.38,8963.3
4.25,3919.62,9173.29,72.9468,4864.14,9931.16,4159.45,1885.77,8964.68
4.3,3921.01,9174.68,74.3357,4865.54,9932.55,4160.84,1887.17,8966.06
4.35,3922.4,9176.07,75.7246,4866.94,9933.95,4162.23,1888.56,8967.44
4.4,3923.79,9177.46,77.1134,4868.34,9935.34,4163.61,1889.95,8968.83
4.45,3925.18,9178.84,78.5023,4869.74,9936.73,4165,1891.34,8970.21
4.5,3926.56,9180.23,79.8912,4871.14,9938.12,4166.39,1892.73,8971.59
4.55,3927.95,9181.62,81.2801,4872.55,9939.51,4167.78,1894.12,8972.97
4.6,3929.34,9183.01,82.669,4873.95,9940.91,4169.17,1895.51,8974.35
4.65,3930.73,9184.4,84.0579,4875.35,9942.3,4170.56,1896.9,8975.73
4.7,3932.12,9185.79,85.4468,4876.75,9943.69,4171.95,1898.29,8977.11
4.75,3933.51,9187.18,86.8357,4878.15,9945.08,4173.34,1899.68,8978.49
4.8,3934.9,9188.57,88.2246,4879.55,9946.47,4174.73,1901.08,8979.87
4.85,3936.29,9189.96,89.6134,4880.95,9947.87,4176.11,1902.47,8981.25
4.9,3937.68,9191.34,91.0023,4882.36,9949.26,4177.5,1903.86,8982.63
4.95,3939.07,9192.73,92.3912,4883.76,9950.65,4178.89,1905.25,8984.01
5,3940.46,9194.12,93.7801,4885.16,9952.04,4180.28,1906.64,8985.39
5.05,3941.85,9195.51,95.169,4886.56,9953.43,4181.67,1908.03,8986.77
5.1,3943.24,9196.9,96.5579,4887.96,9954.83,4183.06,1909.42,8988.15
5.15,3944.63,9198.29,97.9468,4889.36,9956.22,4184.45,1910.81,8989.53
5.2,3946.02,9199.68,99.3357,4890.76,9957.61,4185.84,1912.2,8990.91
5.25,3947.41,9201.07,100.725,4892.17,9959,4187.23,1913.59,8992.29
5.3,3948.8,9202.46,102.113,4893.57,9960.39,4188.61,1914.99,8993.67
5.35,3950.19,9203.84,103.502,4894.97,9961.79,4190,1916.38,8995.05
5.4,3951.58,9205.23,104.891,4896.37,9963.18,4191.39,1917.77,8996.43
5.45,3952.97,9206.62,106.28,4897.77,9964.57,4192.78,1919.16,8997.81
5.5,3954.35,9208.01,107.669,4899.17,9965.96,4194.17,1920.55,8999.19
5.55,3955.74,9209.4,109.058,4900.57,9967.35,4195.56,1921.94,9000.57
