time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18
0,7280.53,3156.86,7397.21,3454.34,1305.15,6741.4,9138.45,1208.07,3195.42,1098.59,3897.39,5422.21,350.03,8813.83,7025.79,4796.97,3028.53,6588.12
0.05,7281.93,3158.25,7398.6,3455.73,1306.54,6742.79,9139.84,1209.46,3196.81,1099.98,3898.78,5423.6,351.422,8815.23,7027.18,4798.36,3029.92,6589.51
0.1,7283.32,3159.65,7399.99,3457.12,1307.93,6744.18,9141.23,1210.85,3198.2,1101.37,3900.17,5424.98,352.813,8816.63,7028.57,4799.75,3031.31,6590.89
0.15,7284.72,3161.04,7401.38,3458.51,1309.32,6745.57,9142.62,1212.24,3199.59,1102.76,3901.56,5426.37,354.204,8818.03,7029.96,4801.14,3032.7,6592.27
0.2,7286.11,3162.44,7402.77,3459.9,1310.71,6746.96,9144.01,1213.63,3200.98,1104.15,3902.95,5427.76,355.596,8819.43,7031.35,4802.53,3034.1,6593.66
0.25,7287.51,3163.83,7404.16,3461.29,1312.1,6748.35,9145.4,1215.02,3202.37,1105.53,3904.35,5429.15,356.987,8820.83,7032.74,4803.91,3035.49,6595.04
0.3,7288.9,3165.23,7405.55,3462.67,1313.49,6749.73,9146.8,1216.41,3203.76,1106.92,3905.74,5430.54,358.378,8822.23,7034.13,4805.3,3036.88,6596.42
0.35,7290.3,3166.62,7406.94,3464.06,1314.87,6751.12,9148.19,1217.8,3205.15,1108.31,3907.13,5431.93,359.77,8823.63,7035.52,4806.69,3038.27,6597.81
0.4,7291.69,3168.02,7408.32,3465.45,1316.26,6752.51,9149.58,1219.19,3206.54,1109.7,3908.52,5433.32,361.161,8825.02,7036.91,4808.08,3039.66,6599.19
0.45,7293.08,3169.41,7409.71,3466.84,1317.65,6753.9,9150.97,1220.58,3207.92,1111.09,3909.91,5434.7,362.552,8826.42,7038.29,4809.47,3041.06,6600.57
0.5,7294.48,3170.81,7411.1,3468.23,1319.04,6755.29,9152.36,1221.97,3209.31,1112.48,3911.3,5436.09,363.944,8827.82,7039.68,4810.86,3042.45,6601.96
0.55,7295.87,3172.2,7412.49,3469.62,1320.43,6756.68,9153.75,1223.36,3210.7,1113.87,3912.69,5437.48,365.335,8829.22,7041.07,4812.25,3043.84,6603.34
0.6,7297.27,3173.6,7413.88,3471.01,1321.82,6758.07,9155.14,1224.75,3212.09,1115.26,3914.08,5438.87,366.727,8830.62,7042.46,4813.63,3045.23,6604.72
0.65,7298.66,3174.99,7415.27,3472.4,1323.21,6759.45,9156.53,1226.14,3213.48,1116.65,3915.48,5440.26,368.118,8832.02,7043.85,4815.02,3046.62,6606.11
0.7,7300.06,3176.39,7416.66,3473.79,1324.6,6760.84,9157.92,1227.53,3214.87,1118.03,3916.87,5441.65,369.509,8833.42,7045.24,4816.41,3048.02,6607.49
0.75,7301.45,3177.78,7418.05,3475.18,1325.99,6762.23,9159.31,1228.92,3216.26,1119.42,3918.26,5443.03,370.901,8834.82,7046.63,4817.8,3049.41,6608.87
0.8,7302.85,3179.18,7419.44,3476.57,1327.37,6763.62,9160.71,1230.31,3217.65,1120.81,3919.65,5444.42,372.292,8836.22,7048.02,4819.19,3050.8,6610.26
0.85,7304.24,3180.57,7420.82,3477.96,1328.76,6765.01,9162.1,1231.7,3219.04,1122.2,3921.04,5445.81,373.683,8837.62,7049.41,4820.58,3052.19,6611.64
0.9,7305.64,3181.97,7422.21,3479.35,1330.15,6766.4,9163.49,1233.09,3220.42,1123.59,3922.43,5447.2,375.075,8839.02,7050.79,4821.97,3053.58,6613.02
0.95,7307.03,3183.36,7423.6,3480.74,1331.54,6767.79,9164.88,1234.48,3221.81,1124.98,3923.82,5448.59,376.466,8840.42,7052.18,4823.35,3054.98,6614.41
