time,N1,N2,N3,N4,N5,N6,N7
0,1517.28,8689.24,3412.67,4184.91,4389.52,206.669,3510.5
0.05,1518.67,8690.63,3414.07,4186.3,4390.91,208.068,3511.9
0.1,1520.06,8692.02,3415.46,4187.68,4392.3,209.467,3513.3
0.15,1521.45,8693.41,3416.86,4189.07,4393.69,210.866,3514.7
0.2,1522.84,8694.8,3418.26,4190.45,4395.08,212.265,3516.1
0.25,1524.23,8696.19,3419.66,4191.84,4396.46,213.664,3517.5
0.3,1525.61,8697.58,3421.06,4193.23,4397.85,215.063,3518.9
0.35,1527,8698.97,3422.46,4194.61,4399.24,216.463,3520.3
0.4,1528.39,8700.37,3423.85,4196,4400.63,217.862,3521.69
0.45,1529.78,8701.76,3425.25,4197.38,4402.02,219.261,3523.09
0.5,1531.17,8703.15,3426.65,4198.77,4403.41,220.66,3524.49
0.55,1532.56,8704.54,3428.05,4200.15,4404.8,222.059,3525.89
0.6,1533.95,8705.93,3429.45,4201.54,4406.19,223.458,3527.29
0.65,1535.34,8707.32,3430.85,4202.92,4407.58,224.857,3528.69
0.7,1536.73,8708.71,3432.25,4204.31,4408.96,226.256,3530.09
0.75,1538.11,8710.1,3433.64,4205.69,4410.35,227.655,3531.48
0.8,1539.5,8711.49,3435.04,4207.08,4411.74,229.055,3532.88
0.85,1540.89,8712.88,3436.44,4208.46,4413.13,230.454,3534.28
0.9,1542.28,8714.28,3437.84,4209.85,4414.52,231.853,3535.68
0.95,1543.67,8715.67,3439.24,4211.23,4415.91,233.252,3537.08
1,1545.06,8717.06,3440.64,4212.62,4417.3,234.651,3538.48
1.05,1546.45,8718.45,3442.03,4214,4418.69,236.05,3539.88
1.1,1547.84,8719.84,3443.43,4215.39,4420.08,237.449,3541.28
1.15,1549.23,8721.23,3444.83,4216.77,4421.46,238.848,3542.67
1.2,1550.61,8722.62,3446.23,4218.16,4422.85,240.247,3544.07
1.25,1552,8724.01,3447.63,4219.54,4424.24,241.647,3545.47
1.3,1553.39,8725.4,3449.03,4220.93,4425.63,243.046,3546.87
1.35,1554.78,8726.8,3450.43,4222.31,4427.02,244.445,3548.27
1.4,1556.17,8728.19,3451.82,4223.7,4428.41,245.844,3549.67
1.45,1557.56,8729.58,3453.22,4225.08,4429.8,247.243,3551.07
1.5,1558.95,8730.97,3454.62,4226.47,4431.19,248.642,3552.46
1.55,1560.34,8732.36,3456.02,4227.85,4432.58,250.041,3553.86
1.6,1561.73,8733.75,3457.42,4229.24,4433.96,251.44,3555.26
1.65,1563.11,8735.14,3458.82,4230.63,4435.35,252.839,3556.66
1.7,1564.5,8736.53,3460.21,4232.01,4436.74,254.239,3558.06
1.75,1565.89,8737.92,3461.61,4233.4,4438.13,255.638,3559.46
1.8,1567.28,8739.31,3463.01,4234.78,4439.52,257.037,3560.86
