time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
0,7974.33,7489.78,1124.7,7582.31,2644.36,7676.73,4552.35,4126.31,5544.54,9444.85,5241.42,9656.1,2442.34,2800.22,3879.22,1307.41,6086.82,9045.22,2238.98,9154.07
0.05,7975.73,7491.18,1126.08,7583.7,2645.73,7678.12,4553.74,4127.7,5545.93,9446.24,5242.8,9657.48,2443.72,2801.61,3880.61,1308.8,6088.21,9046.61,2240.39,9155.45
0.1,7977.13,7492.59,1127.46,7585.09,2647.11,7679.51,4555.14,4129.09,5547.32,9447.64,5244.19,9658.87,2445.11,2803,3882,1310.19,6089.6,9048,2241.79,9156.84
0.15,7978.52,7493.99,1128.84,7586.49,2648.48,7680.9,4556.54,4130.47,5548.71,9449.03,5245.58,9660.26,2446.5,2804.38,3883.39,1311.58,6090.99,9049.39,2243.19,9158.23
0.2,7979.92,7495.39,1130.22,7587.88,2649.86,7682.29,4557.93,4131.86,5550.1,9450.42,5246.97,9661.65,2447.89,2805.77,3884.78,1312.97,6092.38,9050.78,2244.6,9159.62
0.25,7981.32,7496.79,1131.59,7589.28,2651.23,7683.68,4559.33,4133.25,5551.49,9451.82,5248.36,9663.04,2449.28,2807.16,3886.17,1314.35,6093.77,9052.17,2246,9161.01
0.3,7982.72,7498.2,1132.97,7590.67,2652.61,7685.07,4560.72,4134.64,5552.88,9453.21,5249.75,9664.43,2450.67,2808.55,3887.56,1315.74,6095.16,9053.56,2247.4,9162.4
0.35,7984.11,7499.6,1134.35,7592.06,2653.99,7686.46,4562.12,4136.03,5554.27,9454.6,5251.14,9665.82,2452.06,2809.94,3888.95,1317.13,6096.55,9054.95,2248.8,9163.79
0.4,7985.51,7501,1135.73,7593.46,2655.36,7687.84,4563.52,4137.42,5555.66,9456,5252.53,9667.21,2453.44,2811.33,3890.34,1318.52,6097.94,9056.34,2250.21,9165.18
0.45,7986.91,7502.4,1137.11,7594.85,2656.74,7689.23,4564.91,4138.81,5557.04,9457.39,5253.92,9668.59,2454.83,2812.72,3891.73,1319.91,6099.33,9057.73,2251.61,9166.57
0.5,7988.31,7503.81,1138.48,7596.25,2658.11,7690.62,4566.31,4140.2,5558.43,9458.79,5255.31,9669.98,2456.22,2814.11,3893.12,1321.3,6100.72,9059.12,2253.01,9167.95
0.55,7989.7,7505.21,1139.86,7597.64,2659.49,7692.01,4567.7,4141.59,5559.82,9460.18,5256.69,9671.37,2457.61,2815.5,3894.51,1322.69,6102.11,9060.51,2254.42,9169.34
0.6,7991.1,7506.61,1141.24,7599.03,2660.86,7693.4,4569.1,4142.97,5561.21,9461.57,5258.08,9672.76,2459,2816.88,3895.9,1324.08,6103.5,9061.9,2255.82,9170.73
0.65,7992.5,7508.02,1142.62,7600.43,2662.24,7694.79,4570.5,4144.36,5562.6,9462.97,5259.47,9674.15,2460.39,2818.27,3897.29,1325.47,6104.89,9063.3,2257.22,9172.12
0.7,7993.9,7509.42,1144,7601.82,2663.61,7696.18,4571.89,4145.75,5563.99,9464.36,5260.86,9675.54,2461.78,2819.66,3898.68,1326.85,6106.28,9064.69,2258.63,9173.51
0.75,7995.29,7510.82,1145.38,7603.22,2664.99,7697.57,4573.29,4147.14,5565.38,9465.76,5262.25,9676.93,2463.17,2821.05,3900.07,1328.24,6107.67,9066.08,2260.03,9174.9
0.8,7996.69,7512.22,1146.75,7604.61,2666.37,7698.96,4574.68,4148.53,5566.77,9467.15,5263.64,9678.31,2464.55,2822.44,3901.46,1329.63,6109.06,9067.47,2261.43,9176.29
0.85,7998.09,7513.63,1148.13,7606,2667.74,7700.34,4576.08,4149.92,5568.16,9468.54,5265.03,9679.7,2465.94,2823.83,3902.85,1331.02,6110.45,9068.86,2262.84,9177.68
0.9,7999.49,7515.03,1149.51,7607.4,2669.12,7701.73,4577.47,4151.31,5569.54,9469.94,5266.42,9681.09,2467.33,2825.22,3904.24,1332.41,6111.84,9070.25,2264.24,9179.07
0.95,8000.88,7516.43,1150.89,7608.79,2670.49,7703.12,4578.87,4152.7,5570.93,9471.33,5267.81,9682.48,2468.72,2826.61,3905.63,1333.8,6113.23,9071.64,2265.64,9180.45
1,8002.28,7517.83,1152.27,7610.19,2671.87,7704.51,4580.27,4154.09,5572.32,9472.73,5269.2,9683.87,2470.11,2828,3907.02,1335.19,6114.62,9073.03,2267.04,9181.84
1.05,8003.68,7519.24,1153.64,7611.58,2673.24,7705.9,4581.66,4155.47,5573.71,9474.12,5270.58,9685.26,2471.5,2829.38,3908.41,1336.58,6116.01,9074.42,2268.45,9183.23
1.1,8005.08,7520.64,1155.02,7612.97,2674.62,7707.29,4583.06,4156.86,5575.1,9475.51,5271.97,9686.65,2472.89,2830.77,3909.81,1337.97,6117.39,9075.81,2269.85,9184.62
1.15,8006.47,7522.04,1156.4,7614.37,2675.99,7708.68,4584.45,4158.25,5576.49,9476.91,5273.36,9688.03,2474.28,2832.16,3911.2,1339.35,6118.78,9077.2,2271.25,9186.01
1.2,8007.87,7523.44,1157.78,7615.76,2677.37,7710.07,4585.85,4159.64,5577.88,9478.3,5274.75,9689.42,2475.66,2833.55,3912.59,1340.74,6120.17,9078.59,2272.66,9187.4
