time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
0,6809.77,927.959,1259.15,3341.71,6654.23,1139.87,6908.37,6066.99,8771.75,3053.65,5320.34,356.298,9032.74
0.05,6811.16,929.348,1260.54,3343.1,6655.63,1141.26,6909.76,6068.38,8773.14,3055.04,5321.74,357.687,9034.13
0.1,6812.56,930.737,1261.93,3344.49,6657.03,1142.65,6911.15,6069.77,8774.53,3056.43,5323.13,359.076,9035.52
0.15,6813.95,932.126,1263.32,3345.88,6658.43,1144.05,6912.54,6071.16,8775.92,3057.82,5324.52,360.466,9036.91
0.2,6815.34,933.515,1264.71,3347.28,6659.83,1145.44,6913.93,6072.55,8777.31,3059.22,5325.91,361.855,9038.3
0.25,6816.74,934.904,1266.1,3348.67,6661.23,1146.83,6915.32,6073.94,8778.7,3060.61,5327.3,363.244,9039.69
0.3,6818.13,936.293,1267.49,3350.06,6662.63,1148.22,6916.7,6075.33,8780.09,3062,5328.69,364.633,9041.08
0.35,6819.53,937.681,1268.88,3351.45,6664.03,1149.61,6918.09,6076.71,8781.48,3063.39,5330.09,366.023,9042.47
0.4,6820.92,939.07,1270.27,3352.84,6665.43,1151,6919.48,6078.1,8782.87,3064.78,5331.48,367.412,9043.85
0.45,6822.32,940.459,1271.65,3354.23,6666.83,1152.39,6920.87,6079.49,8784.26,3066.17,5332.87,368.801,9045.24
0.5,6823.71,941.848,1273.04,3355.63,6668.23,1153.78,6922.26,6080.88,8785.65,3067.56,5334.26,370.191,9046.63
0.55,6825.1,943.237,1274.43,3357.02,6669.63,1155.17,6923.65,6082.27,8787.04,3068.95,5335.65,371.58,9048.02
0.6,6826.5,944.626,1275.82,3358.41,6671.03,1156.56,6925.04,6083.66,8788.43,3070.34,5337.04,372.969,9049.41
0.65,6827.89,946.015,1277.21,3359.8,6672.43,1157.96,6926.43,6085.05,8789.82,3071.74,5338.44,374.359,9050.8
0.7,6829.29,947.404,1278.6,3361.19,6673.83,1159.35,6927.82,6086.44,8791.21,3073.13,5339.83,375.748,9052.19
0.75,6830.68,948.793,1279.99,3362.58,6675.23,1160.74,6929.2,6087.83,8792.6,3074.52,5341.22,377.137,9053.58
0.8,6832.08,950.181,1281.38,3363.98,6676.63,1162.13,6930.59,6089.21,8793.99,3075.91,5342.61,378.527,9054.97
0.85,6833.47,951.57,1282.77,3365.37,6678.03,1163.52,6931.98,6090.6,8795.38,3077.3,5344,379.916,9056.35
0.9,6834.86,952.959,1284.15,3366.76,6679.43,1164.91,6933.37,6091.99,8796.77,3078.69,5345.39,381.305,9057.74
0.95,6836.26,954.348,1285.54,3368.15,6680.83,1166.3,6934.76,6093.38,8798.16,3080.08,5346.79,382.695,9059.13
1,6837.65,955.737,1286.93,3369.54,6682.23,1167.69,6936.15,6094.77,8799.55,3081.47,5348.18,384.084,9060.52
1.05,6839.05,957.126,1288.32,3370.93,6683.64,1169.08,6937.54,6096.16,8800.94,3082.87,5349.57,385.473,9061.91
1.1,6840.44,958.515,1289.71,3372.33,6685.04,1170.47,6938.93,6097.55,8802.33,3084.26,5350.96,386.863,9063.3
1.15,6841.84,959.904,1291.1,3373.72,6686.44,1171.87,6940.32,6098.94,8803.72,3085.65,5352.35,388.252,9064.69
1.2,6843.23,961.293,1292.49,3375.11,6687.84,1173.26,6941.7,6100.33,8805.11,3087.04,5353.74,389.641,9066.08
1.25,6844.62,962.681,1293.88,3376.5,6689.24,1174.65,6943.09,6101.71,8806.5,3088.43,5355.13,391.03,9067.47
1.3,6846.02,964.07,1295.27,3377.89,6690.64,1176.04,6944.48,6103.1,8807.89,3089.82,5356.53,392.42,9068.85
1.35,6847.41,965.459,1296.65,3379.28,6692.04,1177.43,6945.87,6104.49,8809.28,3091.21,5357.92,393.809,9070.24
1.4,6848.81,966.848,1298.04,3380.68,6693.44,1178.82,6947.26,6105.88,8810.66,3092.6,5359.31,395.198,9071.63
1.45,6850.2,968.237,1299.43,3382.07,6694.84,1180.21,6948.65,6107.27,8812.05,3093.99,5360.7,396.588,9073.02
1.5,6851.59,969.626,1300.82,3383.46,6696.24,1181.6,6950.04,6108.66,8813.44,3095.39,5362.09,397.977,9074.41
1.55,6852.99,971.015,1302.21,3384.85,6697.64,1182.99,6951.43,6110.05,8814.83,3096.78,5363.48,399.366,9075.8
1.6,6854.38,972.404,1303.6,3386.24,6699.04,1184.38,6952.82,6111.44,8816.22,3098.17,5364.88,400.756,9077.19
1.65,6855.78,973.793,1304.99,3387.63,6700.44,1185.78,6954.2,6112.83,8817.61,3099.56,5366.27,402.145,9078.58
1.7,6857.17,975.181,1306.38,3389.03,6701.84,1187.17,6955.59,6114.21,8819,3100.95,5367.66,403.534,9079.97
1.75,6858.57,976.57,1307.77,3390.42,6703.24,1188.56,6956.98,6115.6,8820.39,3102.34,5369.05,404.924,9081.35
1.8,6859.96,977.959,1309.15,3391.81,6704.64,1189.95,6958.37,6116.99,8821.78,3103.73,5370.44,406.313,9082.74
1.85,6861.35,979.348,1310.54,3393.2,6706.04,1191.34,6959.76,6118.38,8823.17,3105.12,5371.83,407.702,9084.13
1.9,6862.75,980.737,1311.93,3394.59,6707.44,1192.73,6961.15,6119.77,8824.56,3106.52,5373.23,409.092,9085.52
