time,N1,N2,N3,N4,N5,N6,N7,N8,N9
0,3520.17,2355.34,1216.43,3828.71,6968.51,6065.8,6692.36,9039.88,9808.21
0.05,3521.58,2356.72,1217.82,3830.1,6969.9,6067.19,6693.75,9041.27,9809.62
0.1,3522.98,2358.11,1219.22,3831.49,6971.29,6068.58,6695.14,9042.66,9811.02
0.15,3524.39,2359.5,1220.61,3832.88,6972.67,6069.96,6696.52,9044.05,9812.43
0.2,3525.8,2360.89,1222.01,3834.28,6974.06,6071.35,6697.91,9045.44,9813.84
0.25,3527.21,2362.28,1223.41,3835.67,6975.45,6072.74,6699.3,9046.83,9815.25
0.3,3528.61,2363.67,1224.8,3837.06,6976.84,6074.13,6700.68,9048.22,9816.65
0.35,3530.02,2365.06,1226.2,3838.45,6978.23,6075.52,6702.07,9049.61,9818.06
0.4,3531.43,2366.45,1227.6,3839.84,6979.62,6076.91,6703.46,9051,9819.47
0.45,3532.83,2367.84,1228.99,3841.24,6981.01,6078.29,6704.84,9052.39,9820.88
0.5,3534.24,2369.22,1230.39,3842.63,6982.4,6079.68,6706.23,9053.78,9822.28
0.55,3535.65,2370.61,1231.79,3844.02,6983.79,6081.07,6707.62,9055.17,9823.69
0.6,3537.05,2372,1233.18,3845.41,6985.17,6082.46,6709,9056.56,9825.1
0.65,3538.46,2373.39,1234.58,3846.8,6986.56,6083.85,6710.39,9057.95,9826.51
0.7,3539.87,2374.78,1235.98,3848.2,6987.95,6085.23,6711.78,9059.34,9827.91
0.75,3541.27,2376.17,1237.37,3849.59,6989.34,6086.62,6713.17,9060.73,9829.32
0.8,3542.68,2377.56,1238.77,3850.98,6990.73,6088.01,6714.55,9062.12,9830.73
0.85,3544.09,2378.95,1240.16,3852.37,6992.12,6089.4,6715.94,9063.51,9832.14
0.9,3545.49,2380.34,1241.56,3853.76,6993.51,6090.79,6717.33,9064.9,9833.55
0.95,3546.9,2381.72,1242.96,3855.16,6994.9,6092.17,6718.71,9066.29,9834.95
1,3548.31,2383.11,1244.35,3856.55,6996.29,6093.56,6720.1,9067.68,9836.36
1.05,3549.71,2384.5,1245.75,3857.94,6997.67,6094.95,6721.49,9069.07,9837.77
1.1,3551.12,2385.89,1247.15,3859.33,6999.06,6096.34,6722.87,9070.46,9839.18
1.15,3552.53,2387.28,1248.54,3860.72,7000.45,6097.73,6724.26,9071.85,9840.58
1.2,3553.94,2388.67,1249.94,3862.12,7001.84,6099.11,6725.65,9073.24,9841.99
1.25,3555.34,2390.06,1251.34,3863.51,7003.23,6100.5,6727.03,9074.63,9843.4
1.3,3556.75,2391.45,1252.73,3864.9,7004.62,6101.89,6728.42,9076.02,9844.81
1.35,3558.16,2392.84,1254.13,3866.29,7006.01,6103.28,6729.81,9077.41,9846.21
1.4,3559.56,2394.22,1255.52,3867.68,7007.4,6104.67,6731.2,9078.8,9847.62
1.45,3560.97,2395.61,1256.92,3869.08,7008.79,6106.05,6732.58,9080.19,9849.03
1.5,3562.38,2397,1258.32,3870.47,7010.17,6107.44,6733.97,9081.58,9850.44
1.55,3563.78,2398.39,1259.71,3871.86,7011.56,6108.83,6735.36,9082.97,9851.84
1.6,3565.19,2399.78,1261.11,3873.25,7012.95,6110.22,6736.74,9084.36,9853.25
1.65,3566.6,2401.17,1262.51,3874.64,7014.34,6111.61,6738.13,9085.75,9854.66
1.7,3568,2402.56,1263.9,3876.04,7015.73,6112.99,6739.52,9087.14,9856.07
1.75,3569.41,2403.95,1265.3,3877.43,7017.12,6114.38,6740.9,9088.53,9857.47
