time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
0,1577.57,3135.21,9892.58,242.985,3721.98,5143.6,7037.74,9307.7,6844.83,7504.36,8557.61,6558.16,4304.35,3259.64,6045.18,1750.5,1993.6
0.05,1578.96,3136.6,9893.97,244.378,3723.37,5144.98,7039.13,9309.09,6846.23,7505.76,8558.99,6559.55,4305.75,3261.03,6046.58,1751.88,1994.99
0.1,1580.35,3137.99,9895.35,245.772,3724.76,5146.37,7040.52,9310.48,6847.62,7507.16,8560.38,6560.94,4307.14,3262.42,6047.97,1753.26,1996.38
0.15,1581.74,3139.38,9896.74,247.165,3726.15,5147.76,7041.9,9311.87,6849.01,7508.56,8561.77,6562.33,4308.54,3263.81,6049.36,1754.65,1997.77
0.2,1583.12,3140.77,9898.13,248.559,3727.54,5149.15,7043.29,9313.27,6850.41,7509.96,8563.16,6563.72,4309.93,3265.2,6050.75,1756.03,1999.15
0.25,1584.51,3142.16,9899.52,249.952,3728.92,5150.54,7044.68,9314.66,6851.8,7511.36,8564.55,6565.11,4311.32,3266.59,6052.14,1757.41,2000.54
0.3,1585.9,3143.55,9900.91,251.346,3730.31,5151.93,7046.07,9316.05,6853.2,7512.76,8565.94,6566.5,4312.72,3267.98,6053.53,1758.79,2001.93
0.35,1587.29,3144.95,9902.3,252.739,3731.7,5153.32,7047.46,9317.44,6854.59,7514.16,8567.33,6567.88,4314.11,3269.37,6054.92,1760.18,2003.32
0.4,1588.68,3146.34,9903.69,254.133,3733.09,5154.71,7048.85,9318.83,6855.99,7515.56,8568.72,6569.27,4315.51,3270.75,6056.31,1761.56,2004.71
0.45,1590.07,3147.73,9905.08,255.526,3734.48,5156.1,7050.24,9320.22,6857.38,7516.96,8570.11,6570.66,4316.9,3272.14,6057.7,1762.94,2006.1
0.5,1591.46,3149.12,9906.47,256.92,3735.87,5157.48,7051.63,9321.61,6858.78,7518.36,8571.49,6572.05,4318.3,3273.53,6059.1,1764.32,2007.49
0.55,1592.84,3150.51,9907.85,258.313,3737.26,5158.87,7053.02,9323,6860.17,7519.75,8572.88,6573.44,4319.69,3274.92,6060.49,1765.71,2008.88
0.6,1594.23,3151.9,9909.24,259.707,3738.65,5160.26,7054.4,9324.39,6861.56,7521.15,8574.27,6574.83,4321.09,3276.31,6061.88,1767.09,2010.27
0.65,1595.62,3153.29,9910.63,261.1,3740.04,5161.65,7055.79,9325.78,6862.96,7522.55,8575.66,6576.22,4322.48,3277.7,6063.27,1768.47,2011.65
0.7,1597.01,3154.68,9912.02,262.493,3741.43,5163.04,7057.18,9327.18,6864.35,7523.95,8577.05,6577.61,4323.88,3279.09,6064.66,1769.85,2013.04
0.75,1598.4,3156.07,9913.41,263.887,3742.82,5164.43,7058.57,9328.57,6865.75,7525.35,8578.44,6579,4325.27,3280.48,6066.05,1771.24,2014.43
0.8,1599.79,3157.46,9914.8,265.28,3744.21,5165.82,7059.96,9329.96,6867.14,7526.75,8579.83,6580.38,4326.67,3281.87,6067.44,1772.62,2015.82
0.85,1601.17,3158.86,9916.19,266.674,3745.6,5167.21,7061.35,9331.35,6868.54,7528.15,8581.22,6581.77,4328.06,3283.26,6068.83,1774,2017.21
0.9,1602.56,3160.25,9917.58,268.067,3746.99,5168.6,7062.74,9332.74,6869.93,7529.55,8582.61,6583.16,4329.46,3284.65,6070.22,1775.38,2018.6
0.95,1603.95,3161.64,9918.97,269.461,3748.38,5169.98,7064.13,9334.13,6871.33,7530.95,8583.99,6584.55,4330.85,3286.04,6071.61,1776.77,2019.99
1,1605.34,3163.03,9920.35,270.854,3749.76,5171.37,7065.52,9335.52,6872.72,7532.35,8585.38,6585.94,4332.24,3287.43,6073.01,1778.15,2021.38
1.05,1606.73,3164.42,9921.74,272.248,3751.15,5172.76,7066.9,9336.91,6874.11,7533.75,8586.77,6587.33,4333.64,3288.82,6074.4,1779.53,2022.77
1.1,1608.12,3165.81,9923.13,273.641,3752.54,5174.15,7068.29,9338.3,6875.51,7535.15,8588.16,6588.72,4335.03,3290.21,6075.79,1780.91,2024.15
1.15,1609.5,3167.2,9924.52,275.035,3753.93,5175.54,7069.68,9339.69,6876.9,7536.54,8589.55,6590.11,4336.43,3291.59,6077.18,1782.3,2025.54
1.2,1610.89,3168.59,9925.91,276.428,3755.32,5176.93,7071.07,9341.08,6878.3,7537.94,8590.94,6591.5,4337.82,3292.98,6078.57,1783.68,2026.93
1.25,1612.28,3169.98,9927.3,277.822,3756.71,5178.32,7072.46,9342.48,6879.69,7539.34,8592.33,6592.88,4339.22,3294.37,6079.96,1785.06,2028.32
1.3,1613.67,3171.37,9928.69,279.215,3758.1,5179.71,7073.85,9343.87,6881.09,7540.74,8593.72,6594.27,4340.61,3295.76,6081.35,1786.44,2029.71
1.35,1615.06,3172.77,9930.08,280.609,3759.49,5181.1,7075.24,9345.26,6882.48,7542.14,8595.11,6595.66,4342.01,3297.15,6082.74,1787.83,2031.1
1.4,1616.45,3174.16,9931.47,282.002,3760.88,5182.48,7076.63,9346.65,6883.88,7543.54,8596.49,6597.05,4343.4,3298.54,6084.13,1789.21,2032.49
1.45,1617.84,3175.55,9932.85,283.396,3762.27,5183.87,7078.02,9348.04,6885.27,7544.94,8597.88,6598.44,4344.8,3299.93,6085.53,1790.59,2033.88
1.5,1619.22,3176.94,9934.24,284.789,3763.66,5185.26,7079.4,9349.43,6886.66,7546.34,8599.27,6599.83,4346.19,3301.32,6086.92,1791.97,2035.27
1.55,1620.61,3178.33,9935.63,286.182,3765.05,5186.65,7080.79,9350.82,6888.06,7547.74,8600.66,6601.22,4347.59,3302.71,6088.31,1793.36,2036.65
1.6,1622,3179.72,9937.02,287.576,3766.44,5188.04,7082.18,9352.21,6889.45,7549.14,8602.05,6602.61,4348.98,3304.1,6089.7,1794.74,2038.04
