time,N1,N2,N3,N4,N5,N6
0,2782.09,7022.09,6096.02,5636.46,2635.4,9443.55
0.05,2783.48,7023.48,6097.41,5637.85,2636.8,9444.94
0.1,2784.87,7024.88,6098.8,5639.24,2638.2,9446.33
0.15,2786.25,7026.27,6100.19,5640.63,2639.59,9447.72
0.2,2787.64,7027.66,6101.58,5642.02,2640.99,9449.11
0.25,2789.03,7029.06,6102.97,5643.41,2642.39,9450.5
0.3,2790.42,7030.45,6104.35,5644.8,2643.79,9451.89
0.35,2791.81,7031.85,6105.74,5646.19,2645.19,9453.27
0.4,2793.2,7033.24,6107.13,5647.58,2646.59,9454.66
0.45,2794.59,7034.63,6108.52,5648.98,2647.98,9456.05
0.5,2795.98,7036.03,6109.91,5650.37,2649.38,9457.44
0.55,2797.37,7037.42,6111.3,5651.76,2650.78,9458.83
0.6,2798.75,7038.82,6112.69,5653.15,2652.18,9460.22
0.65,2800.14,7040.21,6114.08,5654.54,2653.58,9461.61
0.7,2801.53,7041.6,6115.47,5655.93,2654.98,9463
0.75,2802.92,7043,6116.86,5657.32,2656.38,9464.39
0.8,2804.31,7044.39,6118.25,5658.71,2657.77,9465.77
0.85,2805.7,7045.79,6119.64,5660.1,2659.17,9467.16
0.9,2807.09,7047.18,6121.02,5661.49,2660.57,9468.55
0.95,2808.48,7048.58,6122.41,5662.88,2661.97,9469.94
1,2809.87,7049.97,6123.8,5664.27,2663.37,9471.33
1.05,2811.25,7051.36,6125.19,5665.66,2664.77,9472.72
1.1,2812.64,7052.76,6126.58,5667.05,2666.16,9474.11
1.15,2814.03,7054.15,6127.97,5668.45,2667.56,9475.5
1.2,2815.42,7055.55,6129.36,5669.84,2668.96,9476.89
1.25,2816.81,7056.94,6130.75,5671.23,2670.36,9478.27
1.3,2818.2,7058.33,6132.14,5672.62,2671.76,9479.66
1.35,2819.59,7059.73,6133.53,5674.01,2673.16,9481.05
1.4,2820.98,7061.12,6134.92,5675.4,2674.55,9482.44
1.45,2822.37,7062.52,6136.3,5676.79,2675.95,9483.83
1.5,2823.75,7063.91,6137.69,5678.18,2677.35,9485.22
1.55,2825.14,7065.3,6139.08,5679.57,2678.75,9486.61
1.6,2826.53,7066.7,6140.47,5680.96,2680.15,9488
1.65,2827.92,7068.09,6141.86,5682.35,2681.55,9489.39
1.7,2829.31,7069.49,6143.25,5683.74,2682.94,9490.77
1.75,2830.7,7070.88,6144.64,5685.13,2684.34,9492.16
1.8,2832.09,7072.28,6146.03,5686.52,2685.74,9493.55
1.85,2833.48,7073.67,6147.42,5687.92,2687.14,9494.94
1.9,2834.87,7075.06,6148.81,5689.31,2688.54,9496.33
1.95,2836.25,7076.46,6150.2,5690.7,2689.94,9497.72
2,2837.64,7077.85,6151.59,5692.09,2691.34,9499.11
2.05,2839.03,7079.25,6152.97,5693.48,2692.73,9500.5
2.1,2840.42,7080.64,6154.36,5694.87,2694.13,9501.89
2.15,2841.81,7082.03,6155.75,5696.26,2695.53,9503.27
2.2,2843.2,7083.43,6157.14,5697.65,2696.93,9504.66
2.25,2844.59,7084.82,6158.53,5699.04,2698.33,9506.05
2.3,2845.98,7086.22,6159.92,5700.43,2699.73,9507.44
2.35,2847.37,7087.61,6161.31,5701.82,2701.12,9508.83
2.4,2848.75,7089,6162.7,5703.21,2702.52,9510.22
2.45,2850.14,7090.4,6164.09,5704.6,2703.92,9511.61
2.5,2851.53,7091.79,6165.48,5705.99,2705.32,9513
2.55,2852.92,7093.19,6166.87,5707.39,2706.72,9514.39
2.6,2854.31,7094.58,6168.25,5708.78,2708.12,9515.77
2.65,2855.7,7095.98,6169.64,5710.17,2709.51,9517.16
2.7,2857.09,7097.37,6171.03,5711.56,2710.91,9518.55
2.75,2858.48,7098.76,6172.42,5712.95,2712.31,9519.94
2.8,2859.87,7100.16,6173.81,5714.34,2713.71,9521.33
2.85,2861.25,7101.55,6175.2,5715.73,2715.11,9522.72
2.9,2862.64,7102.95,6176.59,5717.12,2716.51,9524.11
2.95,2864.03,7104.34,6177.98,5718.51,2717.91,9525.5
3,2865.42,7105.73,6179.37,5719.9,2719.3,9526.89
3.05,2866.81,7107.13,6180.76,5721.29,2720.7,9528.27
3.1,2868.2,7108.52,6182.15,5722.68,2722.1,9529.66
3.15,2869.59,7109.92,6183.54,5724.07,2723.5,9531.05
3.2,2870.98,7111.31,6184.92,5725.47,2724.9,9532.44
3.25,2872.37,7112.7,6186.31,5726.86,2726.3,9533.83
3.3,2873.75,7114.1,6187.7,5728.25,2727.69,9535.22
3.35,2875.14,7115.49,6189.09,5729.64,2729.09,9536.61
3.4,2876.53,7116.89,6190.48,5731.03,2730.49,9538
3.45,2877.92,7118.28,6191.87,5732.42,2731.89,9539.39
3.5,2879.31,7119.68,6193.26,5733.81,2733.29,9540.77
3.55,2880.7,7121.07,6194.65,5735.2,2734.69,9542.16
3.6,2882.09,7122.46,6196.04,5736.59,2736.08,9543.55
3.65,2883.48,7123.86,6197.43,5737.98,2737.48,9544.94
3.7,2884.87,7125.25,6198.82,5739.37,2738.88,9546.33
3.75,2886.25,7126.65,6200.21,5740.76,2740.28,9547.72
3.8,2887.64,7128.04,6201.59,5742.15,2741.68,9549.11
3.85,2889.03,7129.43,6202.98,5743.54,2743.08,9550.5
3.9,2890.42,7130.83,6204.37,5744.94,2744.48,9551.89
3.95,2891.81,7132.22,6205.76,5746.33,2745.87,9553.27
4,2893.2,7133.62,6207.15,5747.72,2747.27,9554.66
4.05,2894.59,7135.01,6208.54,5749.11,2748.67,9556.05
4.1,2895.98,7136.4,6209.93,5750.5,2750.07,9557.44
4.15,2897.37,7137.8,6211.32,5751.89,2751.47,9558.83
4.2,2898.75,7139.19,6212.71,5753.28,2752.87,9560.22
4.25,2900.14,7140.59,6214.1,5754.67,2754.26,9561.61
4.3,2901.53,7141.98,6215.49,5756.06,2755.66,9563
4.35,2902.92,7143.38,6216.87,5757.45,2757.06,9564.39
4.4,2904.31,7144.77,6218.26,5758.84,2758.46,9565.77
4.45,2905.7,7146.16,6219.65,5760.23,2759.86,9567.16
4.5,2907.09,7147.56,6221.04,5761.62,2761.26,9568.55
4.55,2908.48,7148.95,6222.43,5763.01,2762.65,9569.94
4.6,2909.87,7150.35,6223.82,5764.41,2764.05,9571.33
4.65,2911.25,7151.74,6225.21,5765.8,2765.45,9572.72
4.7,2912.64,7153.13,6226.6,5767.19,2766.85,9574.11
4.75,2914.03,7154.53,6227.99,5768.58,2768.25,9575.5
4.8,2915.42,7155.92,6229.38,5769.97,2769.65,9576.89
4.85,2916.81,7157.32,6230.77,5771.36,2771.05,9578.27
4.9,2918.2,7158.71,6232.16,5772.75,2772.44,9579.66
