time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
0,9358.2,4182.51,9137.04,5358.12,3844.25,9489.46,7347.81,27.626,7792,9764.6,8189.96,8384.37,2241.14,4431.82,3764.93,2009.62,8906.79,2717.17,144.71,6822.37,5701.27
0.05,9359.58,4183.9,9138.43,5359.52,3845.64,9490.84,7349.21,28.996,7793.39,9765.99,8191.35,8385.76,2242.55,4433.21,3766.35,2011.02,8908.18,2718.56,146.099,6823.76,5702.66
0.1,9360.96,4185.3,9139.82,5360.91,3847.03,9492.23,7350.6,30.3661,7794.78,9767.38,8192.74,8387.15,2243.96,4434.6,3767.76,2012.41,8909.57,2719.95,147.488,6825.15,5704.05
0.15,9362.33,4186.7,9141.21,5362.3,3848.42,9493.62,7351.99,31.7362,7796.17,9768.76,8194.13,8388.54,2245.37,4435.99,3769.18,2013.81,8910.96,2721.34,148.877,6826.54,5705.44
0.2,9363.71,4188.1,9142.6,5363.69,3849.81,9495.01,7353.38,33.1062,7797.57,9770.15,8195.53,8389.93,2246.78,4437.38,3770.59,2015.2,8912.35,2722.73,150.266,6827.94,5706.83
0.25,9365.09,4189.5,9143.99,5365.08,3851.2,9496.4,7354.77,34.4763,7798.96,9771.54,8196.92,8391.32,2248.19,4438.76,3772.01,2016.6,8913.74,2724.12,151.655,6829.33,5708.23
0.3,9366.47,4190.89,9145.38,5366.48,3852.59,9497.79,7356.16,35.8464,7800.35,9772.93,8198.31,8392.71,2249.6,4440.15,3773.43,2017.99,8915.13,2725.5,153.044,6830.72,5709.62
0.35,9367.84,4192.29,9146.77,5367.87,3853.98,9499.18,7357.56,37.2164,7801.74,9774.32,8199.7,8394.1,2251.01,4441.54,3774.84,2019.39,8916.52,2726.89,154.433,6832.11,5711.01
0.4,9369.22,4193.69,9148.16,5369.26,3855.36,9500.57,7358.95,38.5865,7803.13,9775.71,8201.09,8395.49,2252.42,4442.93,3776.26,2020.78,8917.91,2728.28,155.822,6833.5,5712.4
0.45,9370.6,4195.09,9149.55,5370.65,3856.75,9501.95,7360.34,39.9566,7804.52,9777.1,8202.48,8396.88,2253.84,4444.32,3777.67,2022.18,8919.3,2729.67,157.21,6834.9,5713.79
0.5,9371.98,4196.48,9150.94,5372.04,3858.14,9503.34,7361.73,41.3266,7805.91,9778.49,8203.87,8398.28,2255.25,4445.71,3779.09,2023.58,8920.69,2731.06,158.599,6836.29,5715.19
0.55,9373.36,4197.88,9152.32,5373.44,3859.53,9504.73,7363.12,42.6967,7807.31,9779.87,8205.27,8399.67,2256.66,4447.1,3780.51,2024.97,8922.07,2732.45,159.988,6837.68,5716.58
0.6,9374.73,4199.28,9153.71,5374.83,3860.92,9506.12,7364.52,44.0668,7808.7,9781.26,8206.66,8401.06,2258.07,4448.49,3781.92,2026.37,8923.46,2733.84,161.377,6839.07,5717.97
0.65,9376.11,4200.68,9155.1,5376.22,3862.31,9507.51,7365.91,45.4369,7810.09,9782.65,8208.05,8402.45,2259.48,4449.88,3783.34,2027.76,8924.85,2735.23,162.766,6840.46,5719.36
0.7,9377.49,4202.08,9156.49,5377.61,3863.7,9508.9,7367.3,46.807,7811.48,9784.04,8209.44,8403.84,2260.89,4451.26,3784.75,2029.16,8926.24,2736.62,164.155,6841.86,5720.75
0.75,9378.87,4203.47,9157.88,5379.01,3865.09,9510.29,7368.69,48.1771,7812.87,9785.43,8210.83,8405.23,2262.3,4452.65,3786.17,2030.55,8927.63,2738,165.544,6843.25,5722.15
0.8,9380.24,4204.87,9159.27,5380.4,3866.48,9511.68,7370.08,49.5472,7814.26,9786.82,8212.22,8406.62,2263.71,4454.04,3787.59,2031.95,8929.02,2739.39,166.933,6844.64,5723.54
0.85,9381.62,4206.27,9160.66,5381.79,3867.86,9513.06,7371.48,50.9173,7815.65,9788.21,8213.61,8408.01,2265.12,4455.43,3789,2033.35,8930.41,2740.78,168.322,6846.03,5724.93
0.9,9383,4207.67,9162.05,5383.18,3869.25,9514.45,7372.87,52.2874,7817.05,9789.6,8215.01,8409.4,2266.53,4456.82,3790.42,2034.74,8931.8,2742.17,169.71,6847.42,5726.32
0.95,9384.38,4209.06,9163.44,5384.57,3870.64,9515.84,7374.26,53.6575,7818.44,9790.98,8216.4,8410.79,2267.95,4458.21,3791.84,2036.14,8933.19,2743.56,171.099,6848.82,5727.71
1,9385.76,4210.46,9164.83,5385.97,3872.03,9517.23,7375.65,55.0276,7819.83,9792.37,8217.79,8412.18,2269.36,4459.6,3793.25,2037.53,8934.58,2744.95,172.488,6850.21,5729.11
1.05,9387.13,4211.86,9166.21,5387.36,3873.42,9518.62,7377.04,56.3977,7821.22,9793.76,8219.18,8413.58,2270.77,4460.99,3794.67,2038.93,8935.97,2746.34,173.877,6851.6,5730.5
1.1,9388.51,4213.26,9167.6,5388.75,3874.81,9520.01,7378.44,57.7678,7822.61,9795.15,8220.57,8414.97,2272.18,4462.38,3796.08,2040.32,8937.36,2747.73,175.266,6852.99,5731.89
1.15,9389.89,4214.66,9168.99,5390.14,3876.2,9521.4,7379.83,59.1379,7824,9796.54,8221.96,8416.36,2273.59,4463.76,3797.5,2041.72,8938.75,2749.12,176.655,6854.38,5733.28
1.2,9391.27,4216.05,9170.38,5391.53,3877.59,9522.79,7381.22,60.508,7825.39,9797.93,8223.35,8417.75,2275,4465.15,3798.92,2043.11,8940.13,2750.5,178.044,6855.78,5734.68
1.25,9392.64,4217.45,9171.77,5392.93,3878.98,9524.17,7382.61,61.8782,7826.79,9799.32,8224.75,8419.14,2276.41,4466.54,3800.33,2044.51,8941.52,2751.89,179.433,6857.17,5736.07
1.3,9394.02,4218.85,9173.16,5394.32,3880.36,9525.56,7384,63.2483,7828.18,9800.71,8226.14,8420.53,2277.82,4467.93,3801.75,2045.91,8942.91,2753.28,180.822,6858.56,5737.46
