time,N1,N2,N3,N4,N5,N6,N7,N8
0,2137.9,7388.57,8288.22,3148.37,8162.77,2374.73,112.567,7138.89
0.05,2139.29,7389.96,8289.61,3149.77,8164.16,2376.11,113.958,7140.28
0.1,2140.68,7391.34,8291,3151.17,8165.55,2377.5,115.349,7141.66
0.15,2142.07,7392.73,8292.39,3152.56,8166.94,2378.89,116.739,7143.04
0.2,2143.46,7394.12,8293.78,3153.96,8168.33,2380.28,118.13,7144.43
0.25,2144.85,7395.51,8295.17,3155.36,8169.72,2381.67,119.521,7145.81
0.3,2146.24,7396.9,8296.56,3156.76,8171.11,2383.06,120.911,7147.19
0.35,2147.63,7398.29,8297.95,3158.16,8172.51,2384.45,122.302,7148.58
0.4,2149.02,7399.68,8299.34,3159.56,8173.9,2385.84,123.693,7149.96
0.45,2150.41,7401.07,8300.72,3160.96,8175.29,2387.23,125.083,7151.34
0.5,2151.8,7402.46,8302.11,3162.36,8176.68,2388.61,126.474,7152.73
0.55,2153.19,7403.84,8303.5,3163.76,8178.07,2390,127.865,7154.11
0.6,2154.57,7405.23,8304.89,3165.16,8179.46,2391.39,129.255,7155.49
0.65,2155.96,7406.62,8306.28,3166.56,8180.85,2392.78,130.646,7156.88
0.7,2157.35,7408.01,8307.67,3167.96,8182.24,2394.17,132.037,7158.26
0.75,2158.74,7409.4,8309.06,3169.36,8183.64,2395.56,133.427,7159.64
0.8,2160.13,7410.79,8310.45,3170.76,8185.03,2396.95,134.818,7161.03
0.85,2161.52,7412.18,8311.84,3172.16,8186.42,2398.34,136.209,7162.41
0.9,2162.91,7413.57,8313.22,3173.56,8187.81,2399.73,137.599,7163.79
0.95,2164.3,7414.96,8314.61,3174.96,8189.2,2401.11,138.99,7165.18
1,2165.69,7416.34,8316,3176.36,8190.59,2402.5,140.38,7166.56
1.05,2167.08,7417.73,8317.39,3177.76,8191.98,2403.89,141.771,7167.94
1.1,2168.47,7419.12,8318.78,3179.16,8193.37,2405.28,143.162,7169.33
1.15,2169.86,7420.51,8320.17,3180.56,8194.77,2406.67,144.552,7170.71
1.2,2171.25,7421.9,8321.56,3181.96,8196.16,2408.06,145.943,7172.09
1.25,2172.64,7423.29,8322.95,3183.36,8197.55,2409.45,147.334,7173.48
1.3,2174.03,7424.68,8324.34,3184.76,8198.94,2410.84,148.724,7174.86
1.35,2175.41,7426.07,8325.72,3186.16,8200.33,2412.23,150.115,7176.24
1.4,2176.8,7427.46,8327.11,3187.56,8201.72,2413.61,151.506,7177.63
1.45,2178.19,7428.84,8328.5,3188.95,8203.11,2415,152.896,7179.01
1.5,2179.58,7430.23,8329.89,3190.35,8204.5,2416.39,154.287,7180.39
1.55,2180.97,7431.62,8331.28,3191.75,8205.9,2417.78,155.678,7181.78
1.6,2182.36,7433.01,8332.67,3193.15,8207.29,2419.17,157.068,7183.16
1.65,2183.75,7434.4,8334.06,3194.55,8208.68,2420.56,158.459,7184.54
1.7,2185.14,7435.79,8335.45,3195.95,8210.07,2421.95,159.85,7185.93
1.75,2186.53,7437.18,8336.84,3197.35,8211.46,2423.34,161.24,7187.31
1.8,2187.92,7438.57,8338.22,3198.75,8212.85,2424.73,162.631,7188.69
1.85,2189.31,7439.96,8339.61,3200.15,8214.24,2426.11,164.021,7190.08
1.9,2190.7,7441.34,8341,3201.55,8215.63,2427.5,165.412,7191.46
1.95,2192.09,7442.73,8342.39,3202.95,8217.03,2428.89,166.803,7192.84
2,2193.48,7444.12,8343.78,3204.35,8218.42,2430.28,168.193,7194.23
2.05,2194.86,7445.51,8345.17,3205.75,8219.81,2431.67,169.584,7195.61
2.1,2196.25,7446.9,8346.56,3207.15,8221.2,2433.06,170.975,7196.99
