time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
1.4,2656.11,2528.16,8843.34,323.508,7161.48,3528.26,3723.96,6054.15,363.344,2170.12,4297.53,7785.74,1831.85,4084.89,8738.74,6545.41,4565.62,6190.77,46.9152
1.45,2657.5,2529.54,8844.73,324.901,7162.87,3529.65,3725.35,6055.54,364.735,2171.51,4298.92,7787.13,1833.24,4086.28,8740.11,6546.81,4567.01,6192.16,48.3351
1.5,2658.88,2530.91,8846.12,326.293,7164.26,3531.04,3726.74,6056.93,366.126,2172.9,4300.31,7788.52,1834.63,4087.66,8741.48,6548.21,4568.39,6193.55,49.755
1.55,2660.27,2532.28,8847.51,327.686,7165.65,3532.43,3728.13,6058.33,367.517,2174.29,4301.71,7789.91,1836.02,4089.05,8742.85,6549.6,4569.78,6194.94,51.1748
1.6,2661.66,2533.66,8848.9,329.079,7167.04,3533.82,3729.51,6059.72,368.909,2175.68,4303.1,7791.3,1837.41,4090.44,8744.22,6551,4571.17,6196.33,52.5947
1.65,2663.05,2535.03,8850.29,330.471,7168.43,3535.2,3730.9,6061.11,370.3,2177.07,4304.49,7792.7,1838.8,4091.83,8745.59,6552.4,4572.56,6197.71,54.0146
1.7,2664.44,2536.41,8851.68,331.864,7169.82,3536.59,3732.29,6062.5,371.691,2178.46,4305.88,7794.09,1840.19,4093.21,8746.96,6553.79,4573.95,6199.1,55.4345
1.75,2665.82,2537.78,8853.07,333.256,7171.2,3537.98,3733.68,6063.89,373.082,2179.85,4307.27,7795.48,1841.58,4094.6,8748.33,6555.19,4575.34,6200.49,56.8544
1.8,2667.21,2539.15,8854.46,334.649,7172.59,3539.37,3735.07,6065.28,374.474,2181.24,4308.67,7796.87,1842.97,4095.99,8749.7,6556.59,4576.73,6201.88,58.2743
1.85,2668.6,2540.53,8855.84,336.042,7173.98,3540.76,3736.46,6066.67,375.865,2182.63,4310.06,7798.26,1844.36,4097.38,8751.07,6557.99,4578.12,6203.27,59.6942
1.9,2669.99,2541.9,8857.23,337.434,7175.37,3542.14,3737.84,6068.06,377.256,2184.02,4311.45,7799.65,1845.75,4098.76,8752.43,6559.38,4579.51,6204.66,61.114
1.95,2671.38,2543.27,8858.62,338.827,7176.76,3543.53,3739.23,6069.45,378.647,2185.41,4312.84,7801.04,1847.14,4100.15,8753.8,6560.78,4580.89,6206.05,62.5339
2,2672.76,2544.65,8860.01,340.22,7178.15,3544.92,3740.62,6070.85,380.038,2186.8,4314.23,7802.43,1848.53,4101.54,8755.17,6562.18,4582.28,6207.44,63.9538
2.05,2674.15,2546.02,8861.4,341.612,7179.54,3546.31,3742.01,6072.24,381.43,2188.19,4315.63,7803.82,1849.92,4102.92,8756.54,6563.57,4583.67,6208.83,65.3737
2.1,2675.54,2547.39,8862.79,343.005,7180.93,3547.69,3743.4,6073.63,382.821,2189.58,4317.02,7805.22,1851.31,4104.31,8757.91,6564.97,4585.06,6210.21,66.7936
2.15,2676.93,2548.77,8864.18,344.398,7182.32,3549.08,3744.78,6075.02,384.212,2190.97,4318.41,7806.61,1852.7,4105.7,8759.28,6566.37,4586.45,6211.6,68.2135
2.2,2678.32,2550.14,8865.57,345.79,7183.7,3550.47,3746.17,6076.41,385.603,2192.36,4319.8,7808,1854.09,4107.09,8760.65,6567.77,4587.84,6212.99,69.6334
2.25,2679.71,2551.51,8866.96,347.183,7185.09,3551.86,3747.56,6077.8,386.995,2193.75,4321.19,7809.39,1855.48,4108.47,8762.02,6569.16,4589.23,6214.38,71.0533
2.3,2681.09,2552.89,8868.34,348.575,7186.48,3553.25,3748.95,6079.19,388.386,2195.14,4322.59,7810.78,1856.87,4109.86,8763.39,6570.56,4590.62,6215.77,72.4732
2.35,2682.48,2554.26,8869.73,349.968,7187.87,3554.63,3750.34,6080.58,389.777,2196.53,4323.98,7812.17,1858.26,4111.25,8764.76,6571.96,4592.01,6217.16,73.8931
2.4,2683.87,2555.63,8871.12,351.361,7189.26,3556.02,3751.73,6081.98,391.168,2197.92,4325.37,7813.56,1859.65,4112.64,8766.13,6573.35,4593.39,6218.55,75.3129
2.45,2685.26,2557.01,8872.51,352.753,7190.65,3557.41,3753.11,6083.37,392.56,2199.31,4326.76,7814.95,1861.04,4114.02,8767.5,6574.75,4594.78,6219.94,76.7328
2.5,2686.65,2558.38,8873.9,354.146,7192.04,3558.8,3754.5,6084.76,393.951,2200.7,4328.15,7816.35,1862.43,4115.41,8768.87,6576.15,4596.17,6221.33,78.1527
2.55,2688.03,2559.76,8875.29,355.538,7193.43,3560.19,3755.89,6086.15,395.342,2202.09,4329.54,7817.74,1863.82,4116.8,8770.24,6577.55,4597.56,6222.71,79.5726
2.6,2689.42,2561.13,8876.68,356.931,7194.82,3561.57,3757.28,6087.54,396.733,2203.48,4330.94,7819.13,1865.21,4118.19,8771.61,6578.94,4598.95,6224.1,80.9925
2.65,2690.81,2562.5,8878.07,358.324,7196.2,3562.96,3758.67,6088.93,398.124,2204.87,4332.33,7820.52,1866.6,4119.57,8772.97,6580.34,4600.34,6225.49,82.4124
2.7,2692.2,2563.88,8879.46,359.716,7197.59,3564.35,3760.06,6090.32,399.516,2206.26,4333.72,7821.91,1867.99,4120.96,8774.34,6581.74,4601.73,6226.88,83.8323
