time,N1,N2,N3,N4,N5,N6
4.85,6250.14,441.396,9558.73,9078.91,6003.71,2911.61
4.9,6251.53,442.788,9560.12,9080.3,6005.11,2913
4.95,6252.92,444.18,9561.51,9081.69,6006.5,2914.38
5,6254.31,445.571,9562.89,9083.08,6007.9,2915.77
5.05,6255.7,446.963,9564.28,9084.47,6009.29,2917.16
5.1,6257.09,448.355,9565.67,9085.86,6010.69,2918.55
5.15,6258.48,449.747,9567.06,9087.25,6012.09,2919.94
5.2,6259.86,451.139,9568.45,9088.65,6013.48,2921.33
5.25,6261.25,452.531,9569.84,9090.04,6014.88,2922.72
5.3,6262.64,453.923,9571.23,9091.43,6016.27,2924.11
5.35,6264.03,455.314,9572.62,9092.82,6017.67,2925.5
5.4,6265.42,456.706,9574.01,9094.21,6019.07,2926.88
5.45,6266.81,458.098,9575.4,9095.6,6020.46,2928.27
5.5,6268.2,459.49,9576.79,9096.99,6021.86,2929.66
5.55,6269.59,460.882,9578.18,9098.38,6023.26,2931.05
5.6,6270.98,462.274,9579.57,9099.78,6024.65,2932.44
5.65,6272.36,463.666,9580.96,9101.17,6026.05,2933.83
5.7,6273.75,465.057,9582.35,9102.56,6027.44,2935.22
5.75,6275.14,466.449,9583.74,9103.95,6028.84,2936.61
5.8,6276.53,467.841,9585.13,9105.34,6030.24,2938
5.85,6277.92,469.233,9586.52,9106.73,6031.63,2939.38
5.9,6279.31,470.625,9587.91,9108.12,6033.03,2940.77
5.95,6280.7,472.017,9589.3,9109.52,6034.42,2942.16
6,6282.09,473.409,9590.69,9110.91,6035.82,2943.55
6.05,6283.48,474.8,9592.08,9112.3,6037.22,2944.94
6.1,6284.86,476.192,9593.46,9113.69,6038.61,2946.33
6.15,6286.25,477.584,9594.85,9115.08,6040.01,2947.72
6.2,6287.64,478.976,9596.24,9116.47,6041.4,2949.11
6.25,6289.03,480.368,9597.63,9117.86,6042.8,2950.5
6.3,6290.42,481.76,9599.02,9119.26,6044.2,2951.88
6.35,6291.81,483.152,9600.41,9120.65,6045.59,2953.27
6.4,6293.2,484.543,9601.8,9122.04,6046.99,2954.66
6.45,6294.59,485.935,9603.19,9123.43,6048.39,2956.05
6.5,6295.98,487.327,9604.58,9124.82,6049.78,2957.44
6.55,6297.36,488.719,9605.97,9126.21,6051.18,2958.83
6.6,6298.75,490.111,9607.36,9127.6,6052.57,2960.22
6.65,6300.14,491.503,9608.75,9128.99,6053.97,2961.61
6.7,6301.53,492.895,9610.14,9130.39,6055.37,2963
6.75,6302.92,494.287,9611.53,9131.78,6056.76,2964.38
6.8,6304.31,495.678,9612.92,9133.17,6058.16,2965.77
6.85,6305.7,497.07,9614.31,9134.56,6059.55,2967.16
6.9,6307.09,498.462,9615.7,9135.95,6060.95,2968.55
6.95,6308.48,499.854,9617.09,9137.34,6062.35,2969.94
7,6309.86,501.246,9618.48,9138.73,6063.74,2971.33
7.05,6311.25,502.638,9619.87,9140.13,6065.14,2972.72
7.1,6312.64,504.03,9621.26,9141.52,6066.54,2974.11
7.15,6314.03,505.421,9622.65,9142.91,6067.93,2975.5
7.2,6315.42,506.813,9624.03,9144.3,6069.33,2976.88
7.25,6316.81,508.205,9625.42,9145.69,6070.72,2978.27
7.3,6318.2,509.597,9626.81,9147.08,6072.12,2979.66
7.35,6319.59,510.989,9628.2,9148.47,6073.52,2981.05
7.4,6320.98,512.381,9629.59,9149.86,6074.91,2982.44
7.45,6322.36,513.773,9630.98,9151.26,6076.31,2983.83
7.5,6323.75,515.165,9632.37,9152.65,6077.7,2985.22
7.55,6325.14,516.556,9633.76,9154.04,6079.1,2986.61
7.6,6326.53,517.948,9635.15,9155.43,6080.5,2988
7.65,6327.92,519.34,9636.54,9156.82,6081.89,2989.38
7.7,6329.31,520.732,9637.93,9158.21,6083.29,2990.77
7.75,6330.7,522.124,9639.32,9159.6,6084.69,2992.16
7.8,6332.09,523.516,9640.71,9161,6086.08,2993.55
7.85,6333.48,524.908,9642.1,9162.39,6087.48,2994.94
7.9,6334.86,526.3,9643.49,9163.78,6088.87,2996.33
7.95,6336.25,527.691,9644.88,9165.17,6090.27,2997.72
8,6337.64,529.083,9646.27,9166.56,6091.67,2999.11
8.05,6339.03,530.475,9647.66,9167.95,6093.06,3000.5
8.1,6340.42,531.867,9649.05,9169.34,6094.46,3001.88
8.15,6341.81,533.259,9650.44,9170.74,6095.85,3003.27
8.2,6343.2,534.651,9651.83,9172.13,6097.25,3004.66
8.25,6344.59,536.043,9653.21,9173.52,6098.65,3006.05
8.3,6345.98,537.434,9654.6,9174.91,6100.04,3007.44
8.35,6347.36,538.826,9655.99,9176.3,6101.44,3008.83
8.4,6348.75,540.218,9657.38,9177.69,6102.84,3010.22
8.45,6350.14,541.61,9658.77,9179.08,6104.23,3011.61
8.5,6351.53,543.002,9660.16,9180.47,6105.63,3013
8.55,6352.92,544.394,9661.55,9181.87,6107.02,3014.38
8.6,6354.31,545.786,9662.94,9183.26,6108.42,3015.77
8.65,6355.7,547.178,9664.33,9184.65,6109.82,3017.16
8.7,6357.09,548.569,9665.72,9186.04,6111.21,3018.55
8.75,6358.48,549.961,9667.11,9187.43,6112.61,3019.94
8.8,6359.86,551.353,9668.5,9188.82,6114,3021.33
8.85,6361.25,552.745,9669.89,9190.21,6115.4,3022.72
8.9,6362.64,554.137,9671.28,9191.61,6116.8,3024.11
8.95,6364.03,555.529,9672.67,9193,6118.19,3025.5
9,6365.42,556.921,9674.06,9194.39,6119.59,3026.88
9.05,6366.81,558.313,9675.45,9195.78,6120.98,3028.27
9.1,6368.2,559.704,9676.84,9197.17,6122.38,3029.66
9.15,6369.59,561.096,9678.23,9198.56,6123.78,3031.05
9.2,6370.98,562.488,9679.62,9199.95,6125.17,3032.44
9.25,6372.36,563.88,9681.01,9201.34,6126.57,3033.83
9.3,6373.75,565.272,9682.4,9202.74,6127.97,3035.22
9.35,6375.14,566.664,9683.78,9204.13,6129.36,3036.61
9.4,6376.53,568.056,9685.17,9205.52,6130.76,3038
9.45,6377.92,569.448,9686.56,9206.91,6132.15,3039.38
9.5,6379.31,570.839,9687.95,9208.3,6133.55,3040.77
9.55,6380.7,572.231,9689.34,9209.69,6134.95,3042.16
9.6,6382.09,573.623,9690.73,9211.08,6136.34,3043.55
9.65,6383.48,575.015,9692.12,9212.48,6137.74,3044.94
9.7,6384.86,576.407,9693.51,9213.87,6139.13,3046.33
9.75,6386.25,577.799,9694.9,9215.26,6140.53,3047.72
9.8,6387.64,579.191,9696.29,9216.65,6141.93,3049.11
9.85,6389.03,580.583,9697.68,9218.04,6143.32,3050.5
9.9,6390.42,581.974,9699.07,9219.43,6144.72,3051.88
9.95,6391.81,583.366,9700.46,9220.82,6146.12,3053.27
10,6393.2,584.758,9701.85,9222.22,6147.51,3054.66
10.05,6394.59,586.15,9703.24,9223.61,6148.91,3056.05
10.1,6395.98,587.542,9704.63,9225,6150.3,3057.44
10.15,6397.36,588.934,9706.02,9226.39,6151.7,3058.83
10.2,6398.75,590.326,9707.41,9227.78,6153.1,3060.22
10.25,6400.14,591.718,9708.8,9229.17,6154.49,3061.61
10.3,6401.53,593.109,9710.19,9230.56,6155.89,3063
10.35,6402.92,594.501,9711.58,9231.95,6157.28,3064.38
10.4,6404.31,595.893,9712.97,9233.35,6158.68,3065.77
10.45,6405.7,597.285,9714.35,9234.74,6160.08,3067.16
10.5,6407.09,598.677,9715.74,9236.13,6161.47,3068.55
10.55,6408.48,600.069,9717.13,9237.52,6162.87,3069.94
10.6,6409.86,601.461,9718.52,9238.91,6164.27,3071.33
10.65,6411.25,602.853,9719.91,9240.3,6165.66,3072.72
10.7,6412.64,604.245,9721.3,9241.69,6167.06,3074.11
10.75,6414.03,605.636,9722.69,9243.09,6168.45,3075.5
10.8,6415.42,607.028,9724.08,9244.48,6169.85,3076.88
10.85,6416.81,608.42,9725.47,9245.87,6171.25,3078.27
10.9,6418.2,609.812,9726.86,9247.26,6172.64,3079.66
10.95,6419.59,611.204,9728.25,9248.65,6174.04,3081.05
11,6420.98,612.596,9729.64,9250.04,6175.43,3082.44
11.05,6422.36,613.988,9731.03,9251.43,6176.83,3083.83
11.1,6423.75,615.38,9732.42,9252.82,6178.23,3085.22
11.15,6425.14,616.771,9733.81,9254.22,6179.62,3086.61
11.2,6426.53,618.163,9735.2,9255.61,6181.02,3088
11.25,6427.92,619.555,9736.59,9257,6182.42,3089.38
11.3,6429.31,620.947,9737.98,9258.39,6183.81,3090.77
