time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
0,7451.81,7493.62,669.479,2225.31,2623.29,4445.44,9497.12,4666.43,5598.64,284.591,826.383,6693.01,3683.5,6558.94
0.05,7453.2,7495.01,670.864,2226.69,2624.68,4446.84,9498.51,4667.82,5600.03,285.98,827.772,6694.4,3684.89,6560.33
0.1,7454.58,7496.4,672.25,2228.08,2626.07,4448.24,9499.9,4669.21,5601.43,287.368,829.161,6695.79,3686.28,6561.72
0.15,7455.97,7497.79,673.635,2229.47,2627.46,4449.64,9501.29,4670.6,5602.82,288.757,830.55,6697.18,3687.67,6563.11
0.2,7457.36,7499.17,675.021,2230.86,2628.85,4451.04,9502.69,4671.99,5604.21,290.146,831.939,6698.57,3689.06,6564.5
0.25,7458.75,7500.56,676.406,2232.25,2630.24,4452.43,9504.08,4673.38,5605.61,291.534,833.328,6699.96,3690.45,6565.89
0.3,7460.14,7501.95,677.792,2233.64,2631.63,4453.83,9505.47,4674.76,5607,292.923,834.716,6701.35,3691.85,6567.28
0.35,7461.52,7503.34,679.177,2235.03,2633.01,4455.23,9506.86,4676.15,5608.39,294.312,836.105,6702.74,3693.24,6568.67
0.4,7462.91,7504.73,680.563,2236.42,2634.4,4456.63,9508.25,4677.54,5609.79,295.701,837.494,6704.13,3694.63,6570.06
0.45,7464.3,7506.12,681.948,2237.81,2635.79,4458.02,9509.64,4678.93,5611.18,297.089,838.883,6705.52,3696.02,6571.45
0.5,7465.69,7507.51,683.334,2239.2,2637.18,4459.42,9511.03,4680.32,5612.57,298.478,840.272,6706.91,3697.41,6572.83
0.55,7467.08,7508.9,684.72,2240.59,2638.57,4460.82,9512.42,4681.71,5613.97,299.867,841.661,6708.29,3698.8,6574.22
0.6,7468.46,7510.29,686.105,2241.98,2639.96,4462.22,9513.82,4683.1,5615.36,301.255,843.05,6709.68,3700.19,6575.61
0.65,7469.85,7511.67,687.491,2243.36,2641.35,4463.61,9515.21,4684.49,5616.75,302.644,844.439,6711.07,3701.58,6577
0.7,7471.24,7513.06,688.876,2244.75,2642.74,4465.01,9516.6,4685.88,5618.15,304.033,845.828,6712.46,3702.97,6578.39
0.75,7472.63,7514.45,690.262,2246.14,2644.13,4466.41,9517.99,4687.26,5619.54,305.421,847.216,6713.85,3704.36,6579.78
0.8,7474.01,7515.84,691.647,2247.53,2645.51,4467.81,9519.38,4688.65,5620.93,306.81,848.605,6715.24,3705.75,6581.17
0.85,7475.4,7517.23,693.033,2248.92,2646.9,4469.2,9520.77,4690.04,5622.33,308.199,849.994,6716.63,3707.15,6582.56
0.9,7476.79,7518.62,694.418,2250.31,2648.29,4470.6,9522.16,4691.43,5623.72,309.588,851.383,6718.02,3708.54,6583.95
0.95,7478.18,7520.01,695.804,2251.7,2649.68,4472,9523.55,4692.82,5625.11,310.976,852.772,6719.41,3709.93,6585.34
1,7479.57,7521.4,697.189,2253.09,2651.07,4473.4,9524.95,4694.21,5626.51,312.365,854.161,6720.8,3711.32,6586.73
1.05,7480.95,7522.79,698.575,2254.48,2652.46,4474.79,9526.34,4695.6,5627.9,313.754,855.55,6722.19,3712.71,6588.11
1.1,7482.34,7524.17,699.96,2255.87,2653.85,4476.19,9527.73,4696.99,5629.29,315.142,856.939,6723.58,3714.1,6589.5
