time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
0,3246.47,4787.81,1559.24,1885.6,5385.35,6810.26,8704.4,960.592,8481.62,9112.59,224.272,8224.83,5939.89,4922.88,7697.33,3465.67,3660.26
0.05,3247.86,4789.2,1560.63,1887,5386.74,6811.65,8705.79,961.984,8483.01,9113.99,225.661,8226.22,5941.28,4924.27,7698.72,3467.05,3661.65
0.1,3249.25,4790.59,1562.02,1888.39,5388.13,6813.04,8707.18,963.375,8484.4,9115.39,227.049,8227.61,5942.67,4925.66,7700.11,3468.43,3663.04
0.15,3250.64,4791.98,1563.41,1889.78,5389.52,6814.43,8708.57,964.767,8485.8,9116.78,228.438,8228.99,5944.07,4927.05,7701.5,3469.81,3664.43
0.2,3252.03,4793.37,1564.8,1891.17,5390.91,6815.82,8709.96,966.158,8487.19,9118.18,229.827,8230.38,5945.46,4928.44,7702.89,3471.19,3665.82
0.25,3253.41,4794.76,1566.19,1892.57,5392.3,6817.21,8711.35,967.549,8488.58,9119.58,231.216,8231.77,5946.85,4929.83,7704.28,3472.57,3667.21
0.3,3254.8,4796.16,1567.58,1893.96,5393.69,6818.59,8712.74,968.941,8489.98,9120.98,232.605,8233.16,5948.25,4931.22,7705.68,3473.94,3668.6
0.35,3256.19,4797.55,1568.96,1895.35,5395.08,6819.98,8714.13,970.332,8491.37,9122.38,233.994,8234.55,5949.64,4932.6,7707.07,3475.32,3669.99
0.4,3257.58,4798.94,1570.35,1896.74,5396.47,6821.37,8715.51,971.724,8492.76,9123.77,235.383,8235.94,5951.03,4933.99,7708.46,3476.7,3671.38
0.45,3258.97,4800.33,1571.74,1898.14,5397.86,6822.76,8716.9,973.115,8494.16,9125.17,236.772,8237.33,5952.43,4935.38,7709.85,3478.08,3672.76
0.5,3260.36,4801.72,1573.13,1899.53,5399.25,6824.15,8718.29,974.507,8495.55,9126.57,238.161,8238.72,5953.82,4936.77,7711.24,3479.46,3674.15
0.55,3261.75,4803.11,1574.52,1900.92,5400.64,6825.54,8719.68,975.898,8496.94,9127.97,239.549,8240.11,5955.22,4938.16,7712.63,3480.84,3675.54
0.6,3263.13,4804.5,1575.91,1902.31,5402.03,6826.93,8721.07,977.289,8498.34,9129.37,240.938,8241.49,5956.61,4939.55,7714.03,3482.22,3676.93
0.65,3264.52,4805.9,1577.3,1903.7,5403.42,6828.32,8722.46,978.681,8499.73,9130.76,242.327,8242.88,5958,4940.94,7715.42,3483.6,3678.32
0.7,3265.91,4807.29,1578.69,1905.1,5404.81,6829.71,8723.85,980.072,8501.12,9132.16,243.716,8244.27,5959.4,4942.33,7716.81,3484.97,3679.71
0.75,3267.3,4808.68,1580.08,1906.49,5406.2,6831.09,8725.24,981.464,8502.52,9133.56,245.105,8245.66,5960.79,4943.72,7718.2,3486.35,3681.1
0.8,3268.69,4810.07,1581.46,1907.88,5407.59,6832.48,8726.63,982.855,8503.91,9134.96,246.494,8247.05,5962.18,4945.11,7719.59,3487.73,3682.49
0.85,3270.08,4811.46,1582.85,1909.27,5408.98,6833.87,8728.01,984.247,8505.3,9136.36,247.883,8248.44,5963.58,4946.5,7720.98,3489.11,3683.88
0.9,3271.47,4812.85,1584.24,1910.67,5410.37,6835.26,8729.4,985.638,8506.7,9137.75,249.272,8249.83,5964.97,4947.89,7722.37,3490.49,3685.26
0.95,3272.86,4814.24,1585.63,1912.06,5411.76,6836.65,8730.79,987.029,8508.09,9139.15,250.661,8251.22,5966.36,4949.28,7723.77,3491.87,3686.65
1,3274.24,4815.64,1587.02,1913.45,5413.15,6838.04,8732.18,988.421,8509.48,9140.55,252.049,8252.61,5967.76,4950.67,7725.16,3493.25,3688.04
1.05,3275.63,4817.03,1588.41,1914.84,5414.53,6839.43,8733.57,989.812,8510.88,9141.95,253.438,8253.99,5969.15,4952.06,7726.55,3494.63,3689.43
