time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
0,6845.69,6725.48,7014.26,3612.38,621.821,6015.41,3227.61,3033.23,498.987,5780.27,9131.85,2557.55
0.05,6847.08,6726.88,7015.65,3613.78,623.212,6016.8,3229,3034.62,500.378,5781.66,9133.24,2558.94
0.1,6848.48,6728.29,7017.04,3615.18,624.603,6018.19,3230.39,3036.02,501.769,5783.05,9134.63,2560.33
0.15,6849.87,6729.69,7018.43,3616.58,625.994,6019.57,3231.78,3037.41,503.16,5784.45,9136.02,2561.72
0.2,6851.27,6731.09,7019.81,3617.98,627.385,6020.96,3233.16,3038.81,504.551,5785.84,9137.41,2563.11
0.25,6852.66,6732.5,7021.2,3619.38,628.776,6022.35,3234.55,3040.2,505.942,5787.23,9138.8,2564.5
0.3,6854.06,6733.9,7022.59,3620.78,630.167,6023.74,3235.94,3041.6,507.333,5788.62,9140.19,2565.89
0.35,6855.45,6735.3,7023.98,3622.18,631.558,6025.13,3237.33,3042.99,508.723,5790.01,9141.58,2567.27
0.4,6856.85,6736.71,7025.37,3623.58,632.949,6026.52,3238.72,3044.38,510.114,5791.41,9142.97,2568.66
0.45,6858.24,6738.11,7026.76,3624.98,634.34,6027.91,3240.11,3045.78,511.505,5792.8,9144.37,2570.05
0.5,6859.64,6739.51,7028.15,3626.38,635.731,6029.3,3241.5,3047.17,512.896,5794.19,9145.76,2571.44
0.55,6861.03,6740.92,7029.54,3627.78,637.121,6030.69,3242.89,3048.57,514.287,5795.58,9147.15,2572.83
0.6,6862.43,6742.32,7030.93,3629.17,638.512,6032.07,3244.28,3049.96,515.678,5796.97,9148.54,2574.22
0.65,6863.82,6743.72,7032.31,3630.57,639.903,6033.46,3245.66,3051.36,517.069,5798.37,9149.93,2575.61
0.7,6865.22,6745.13,7033.7,3631.97,641.294,6034.85,3247.05,3052.75,518.46,5799.76,9151.32,2577
0.75,6866.61,6746.53,7035.09,3633.37,642.685,6036.24,3248.44,3054.15,519.851,5801.15,9152.71,2578.39
0.8,6868.01,6747.93,7036.48,3634.77,644.076,6037.63,3249.83,3055.54,521.241,5802.54,9154.1,2579.77
0.85,6869.4,6749.34,7037.87,3636.17,645.467,6039.02,3251.22,3056.93,522.632,5803.94,9155.49,2581.16
0.9,6870.8,6750.74,7039.26,3637.57,646.858,6040.41,3252.61,3058.33,524.023,5805.33,9156.88,2582.55
0.95,6872.19,6752.14,7040.65,3638.97,648.249,6041.8,3254,3059.72,525.414,5806.72,9158.27,2583.94
1,6873.58,6753.54,7042.04,3640.37,649.64,6043.19,3255.39,3061.12,526.805,5808.11,9159.67,2585.33
1.05,6874.98,6754.95,7043.43,3641.77,651.031,6044.57,3256.78,3062.51,528.196,5809.5,9161.06,2586.72
1.1,6876.37,6756.35,7044.81,3643.17,652.422,6045.96,3258.16,3063.91,529.587,5810.9,9162.45,2588.11
1.15,6877.77,6757.75,7046.2,3644.57,653.813,6047.35,3259.55,3065.3,530.978,5812.29,9163.84,2589.5
1.2,6879.16,6759.16,7047.59,3645.97,655.204,6048.74,3260.94,3066.69,532.369,5813.68,9165.23,2590.89
1.25,6880.56,6760.56,7048.98,3647.36,656.594,6050.13,3262.33,3068.09,533.76,5815.07,9166.62,2592.27
1.3,6881.95,6761.96,7050.37,3648.76,657.985,6051.52,3263.72,3069.48,535.15,5816.46,9168.01,2593.66
1.35,6883.35,6763.37,7051.76,3650.16,659.376,6052.91,3265.11,3070.88,536.541,5817.86,9169.4,2595.05
1.4,6884.74,6764.77,7053.15,3651.56,660.767,6054.3,3266.5,3072.27,537.932,5819.25,9170.79,2596.44
1.45,6886.14,6766.17,7054.54,3652.96,662.158,6055.69,3267.89,3073.67,539.323,5820.64,9172.18,2597.83
1.5,6887.53,6767.58,7055.93,3654.36,663.549,6057.07,3269.28,3075.06,540.714,5822.03,9173.57,2599.22
1.55,6888.93,6768.98,7057.31,3655.76,664.94,6058.46,3270.66,3076.45,542.105,5823.42,9174.96,2600.61
1.6,6890.32,6770.38,7058.7,3657.16,666.331,6059.85,3272.05,3077.85,543.496,5824.82,9176.36,2602
1.65,6891.72,6771.79,7060.09,3658.56,667.722,6061.24,3273.44,3079.24,544.887,5826.21,9177.75,2603.39
1.7,6893.11,6773.19,7061.48,3659.96,669.113,6062.63,3274.83,3080.64,546.278,5827.6,9179.14,2604.77
1.75,6894.51,6774.59,7062.87,3661.36,670.504,6064.02,3276.22,3082.03,547.668,5828.99,9180.53,2606.16
