time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
0,948.581,752.527,7137.79,8629.13,5455.93,1820.56,2014.65,4361.1,8675.14,472.924,2613.22,6093.12,131.114,2373.92,6949.27,4892.64,2860.06,4485.21,8535.69
0.05,949.97,753.906,7139.18,8630.52,5457.32,1821.95,2016.03,4362.49,8676.53,474.315,2614.62,6094.51,132.503,2375.3,6950.65,4894.04,2861.45,4486.6,8537.11
0.1,951.36,755.286,7140.57,8631.91,5458.71,1823.34,2017.42,4363.88,8677.93,475.706,2616.01,6095.9,133.893,2376.69,6952.03,4895.44,2862.84,4487.99,8538.53
0.15,952.749,756.666,7141.96,8633.3,5460.09,1824.73,2018.81,4365.27,8679.32,477.097,2617.4,6097.29,135.282,2378.08,6953.41,4896.84,2864.23,4489.38,8539.96
0.2,954.138,758.046,7143.35,8634.68,5461.48,1826.12,2020.2,4366.66,8680.71,478.487,2618.8,6098.68,136.672,2379.47,6954.79,4898.24,2865.62,4490.77,8541.38
0.25,955.527,759.426,7144.73,8636.07,5462.87,1827.51,2021.59,4368.05,8682.1,479.878,2620.19,6100.07,138.062,2380.86,6956.17,4899.64,2867.01,4492.16,8542.8
0.3,956.916,760.806,7146.12,8637.46,5464.26,1828.9,2022.98,4369.44,8683.49,481.269,2621.58,6101.46,139.451,2382.25,6957.54,4901.03,2868.4,4493.55,8544.23
0.35,958.306,762.186,7147.51,8638.85,5465.65,1830.29,2024.37,4370.83,8684.89,482.66,2622.98,6102.85,140.841,2383.64,6958.92,4902.43,2869.78,4494.94,8545.65
0.4,959.695,763.565,7148.9,8640.24,5467.04,1831.68,2025.75,4372.23,8686.28,484.051,2624.37,6104.24,142.23,2385.02,6960.3,4903.83,2871.17,4496.33,8547.07
0.45,961.084,764.945,7150.29,8641.63,5468.43,1833.06,2027.14,4373.62,8687.67,485.442,2625.76,6105.64,143.62,2386.41,6961.68,4905.23,2872.56,4497.71,8548.5
0.5,962.473,766.325,7151.68,8643.02,5469.82,1834.45,2028.53,4375.01,8689.06,486.832,2627.15,6107.03,145.009,2387.8,6963.06,4906.63,2873.95,4499.1,8549.92
0.55,963.862,767.705,7153.07,8644.41,5471.21,1835.84,2029.92,4376.4,8690.46,488.223,2628.55,6108.42,146.399,2389.19,6964.44,4908.03,2875.34,4500.49,8551.34
0.6,965.252,769.085,7154.46,8645.8,5472.59,1837.23,2031.31,4377.79,8691.85,489.614,2629.94,6109.81,147.789,2390.58,6965.81,4909.42,2876.73,4501.88,8552.76
0.65,966.641,770.465,7155.85,8647.18,5473.98,1838.62,2032.7,4379.18,8693.24,491.005,2631.33,6111.2,149.178,2391.97,6967.19,4910.82,2878.12,4503.27,8554.19
0.7,968.03,771.845,7157.23,8648.57,5475.37,1840.01,2034.09,4380.57,8694.63,492.396,2632.73,6112.59,150.568,2393.36,6968.57,4912.22,2879.51,4504.66,8555.61
0.75,969.419,773.224,7158.62,8649.96,5476.76,1841.4,2035.48,4381.96,8696.03,493.787,2634.12,6113.98,151.957,2394.74,6969.95,4913.62,2880.9,4506.05,8557.03
0.8,970.808,774.604,7160.01,8651.35,5478.15,1842.79,2036.86,4383.35,8697.42,495.178,2635.51,6115.37,153.347,2396.13,6971.33,4915.02,2882.28,4507.44,8558.46
0.85,972.197,775.984,7161.4,8652.74,5479.54,1844.18,2038.25,4384.74,8698.81,496.568,2636.91,6116.76,154.737,2397.52,6972.71,4916.42,2883.67,4508.83,8559.88
0.9,973.587,777.364,7162.79,8654.13,5480.93,1845.57,2039.64,4386.13,8700.2,497.959,2638.3,6118.15,156.126,2398.91,6974.09,4917.81,2885.06,4510.21,8561.3
0.95,974.976,778.744,7164.18,8655.52,5482.32,1846.96,2041.03,4387.52,8701.6,499.35,2639.69,6119.54,157.516,2400.3,6975.46,4919.21,2886.45,4511.6,8562.73
1,976.365,780.124,7165.57,8656.91,5483.71,1848.35,2042.42,4388.92,8702.99,500.741,2641.08,6120.94,158.905,2401.69,6976.84,4920.61,2887.84,4512.99,8564.15
1.05,977.754,781.504,7166.96,8658.29,5485.09,1849.73,2043.81,4390.31,8704.38,502.132,2642.48,6122.33,160.295,2403.08,6978.22,4922.01,2889.23,4514.38,8565.57
1.1,979.143,782.883,7168.35,8659.68,5486.48,1851.12,2045.2,4391.7,8705.77,503.523,2643.87,6123.72,161.685,2404.47,6979.6,4923.41,2890.62,4515.77,8566.99
1.15,980.533,784.263,7169.73,8661.07,5487.87,1852.51,2046.58,4393.09,8707.16,504.914,2645.26,6125.11,163.074,2405.85,6980.98,4924.81,2892.01,4517.16,8568.42
1.2,981.922,785.643,7171.12,8662.46,5489.26,1853.9,2047.97,4394.48,8708.56,506.304,2646.66,6126.5,164.464,2407.24,6982.36,4926.2,2893.4,4518.55,8569.84
1.25,983.311,787.023,7172.51,8663.85,5490.65,1855.29,2049.36,4395.87,8709.95,507.695,2648.05,6127.89,165.853,2408.63,6983.73,4927.6,2894.78,4519.94,8571.26
1.3,984.7,788.403,7173.9,8665.24,5492.04,1856.68,2050.75,4397.26,8711.34,509.086,2649.44,6129.28,167.243,2410.02,6985.11,4929,2896.17,4521.33,8572.69
1.35,986.089,789.783,7175.29,8666.63,5493.43,1858.07,2052.14,4398.65,8712.73,510.477,2650.84,6130.67,168.633,2411.41,6986.49,4930.4,2897.56,4522.71,8574.11
1.4,987.479,791.163,7176.68,8668.02,5494.82,1859.46,2053.53,4400.04,8714.13,511.868,2652.23,6132.06,170.022,2412.8,6987.87,4931.8,2898.95,4524.1,8575.53
1.45,988.868,792.542,7178.07,8669.41,5496.21,1860.85,2054.92,4401.43,8715.52,513.259,2653.62,6133.45,171.412,2414.19,6989.25,4933.2,2900.34,4525.49,8576.96
1.5,990.257,793.922,7179.46,8670.79,5497.59,1862.24,2056.31,4402.82,8716.91,514.65,2655.01,6134.84,172.801,2415.57,6990.63,4934.59,2901.73,4526.88,8578.38
1.55,991.646,795.302,7180.85,8672.18,5498.98,1863.63,2057.69,4404.21,8718.3,516.04,2656.41,6136.24,174.191,2416.96,6992,4935.99,2903.12,4528.27,8579.8
1.6,993.035,796.682,7182.23,8673.57,5500.37,1865.02,2059.08,4405.61,8719.7,517.431,2657.8,6137.63,175.58,2418.35,6993.38,4937.39,2904.51,4529.66,8581.22
1.65,994.425,798.062,7183.62,8674.96,5501.76,1866.4,2060.47,4407,8721.09,518.822,2659.19,6139.02,176.97,2419.74,6994.76,4938.79,2905.9,4531.05,8582.65
1.7,995.814,799.442,7185.01,8676.35,5503.15,1867.79,2061.86,4408.39,8722.48,520.213,2660.59,6140.41,178.36,2421.13,6996.14,4940.19,2907.28,4532.44,8584.07
1.75,997.203,800.822,7186.4,8677.74,5504.54,1869.18,2063.25,4409.78,8723.87,521.604,2661.98,6141.8,179.749,2422.52,6997.52,4941.58,2908.67,4533.83,8585.49
1.8,998.592,802.202,7187.79,8679.13,5505.93,1870.57,2064.64,4411.17,8725.27,522.995,2663.37,6143.19,181.139,2423.91,6998.9,4942.98,2910.06,4535.21,8586.92
1.85,999.981,803.581,7189.18,8680.52,5507.32,1871.96,2066.03,4412.56,8726.66,524.386,2664.77,6144.58,182.528,2425.29,7000.28,4944.38,2911.45,4536.6,8588.34
