time,N1,N2,N3,N4,N5,N6,N7,N8,N9
0,1965.28,688.67,9598.24,2179.62,5301.84,4393.97,5018.25,7378.31,8260.3
0.05,1966.69,690.058,9599.64,2181.01,5303.23,4395.36,5019.64,7379.7,8261.71
0.1,1968.1,691.447,9601.04,2182.4,5304.62,4396.74,5021.03,7381.09,8263.12
0.15,1969.51,692.836,9602.43,2183.79,5306.01,4398.13,5022.42,7382.47,8264.53
0.2,1970.92,694.225,9603.83,2185.19,5307.4,4399.52,5023.81,7383.86,8265.94
0.25,1972.32,695.614,9605.23,2186.58,5308.79,4400.91,5025.19,7385.25,8267.35
0.3,1973.73,697.003,9606.63,2187.97,5310.17,4402.3,5026.58,7386.64,8268.76
0.35,1975.14,698.392,9608.02,2189.36,5311.56,4403.69,5027.97,7388.03,8270.17
0.4,1976.55,699.781,9609.42,2190.75,5312.95,4405.07,5029.36,7389.42,8271.58
0.45,1977.96,701.17,9610.82,2192.14,5314.34,4406.46,5030.75,7390.81,8272.99
0.5,1979.36,702.558,9612.22,2193.54,5315.73,4407.85,5032.14,7392.2,8274.4
0.55,1980.77,703.947,9613.61,2194.93,5317.12,4409.24,5033.52,7393.59,8275.81
0.6,1982.18,705.336,9615.01,2196.32,5318.51,4410.63,5034.91,7394.98,8277.22
0.65,1983.59,706.725,9616.41,2197.71,5319.9,4412.02,5036.3,7396.37,8278.63
0.7,1985,708.114,9617.81,2199.1,5321.29,4413.4,5037.69,7397.76,8280.04
0.75,1986.41,709.503,9619.2,2200.49,5322.67,4414.79,5039.08,7399.15,8281.45
0.8,1987.81,710.892,9620.6,2201.89,5324.06,4416.18,5040.47,7400.54,8282.86
0.85,1989.22,712.281,9622,2203.28,5325.45,4417.57,5041.85,7401.93,8284.27
0.9,1990.63,713.67,9623.4,2204.67,5326.84,4418.96,5043.24,7403.32,8285.68
0.95,1992.04,715.058,9624.79,2206.06,5328.23,4420.35,5044.63,7404.71,8287.09
1,1993.45,716.447,9626.19,2207.45,5329.62,4421.73,5046.02,7406.1,8288.5
1.05,1994.86,717.836,9627.59,2208.84,5331.01,4423.12,5047.41,7407.49,8289.91
1.1,1996.26,719.225,9628.99,2210.24,5332.4,4424.51,5048.8,7408.88,8291.32
1.15,1997.67,720.614,9630.38,2211.63,5333.79,4425.9,5050.18,7410.27,8292.73
1.2,1999.08,722.003,9631.78,2213.02,5335.17,4427.29,5051.57,7411.66,8294.14
1.25,2000.49,723.392,9633.18,2214.41,5336.56,4428.68,5052.96,7413.05,8295.55
1.3,2001.9,724.781,9634.58,2215.8,5337.95,4430.06,5054.35,7414.44,8296.96
1.35,2003.3,726.17,9635.97,2217.19,5339.34,4431.45,5055.74,7415.83,8298.37
1.4,2004.71,727.558,9637.37,2218.59,5340.73,4432.84,5057.13,7417.22,8299.78
1.45,2006.12,728.947,9638.77,2219.98,5342.12,4434.23,5058.51,7418.61,8301.18
1.5,2007.53,730.336,9640.17,2221.37,5343.51,4435.62,5059.9,7419.99,8302.59
1.55,2008.94,731.725,9641.56,2222.76,5344.9,4437.01,5061.29,7421.38,8304
1.6,2010.35,733.114,9642.96,2224.15,5346.29,4438.39,5062.68,7422.77,8305.41
1.65,2011.75,734.503,9644.36,2225.54,5347.67,4439.78,5064.07,7424.16,8306.82
1.7,2013.16,735.892,9645.76,2226.94,5349.06,4441.17,5065.46,7425.55,8308.23
1.75,2014.57,737.281,9647.15,2228.33,5350.45,4442.56,5066.84,7426.94,8309.64
1.8,2015.98,738.67,9648.55,2229.72,5351.84,4443.95,5068.23,7428.33,8311.05
1.85,2017.39,740.058,9649.95,2231.11,5353.23,4445.34,5069.62,7429.72,8312.46
1.9,2018.79,741.447,9651.35,2232.5,5354.62,4446.72,5071.01,7431.11,8313.87
1.95,2020.2,742.836,9652.74,2233.89,5356.01,4448.11,5072.4,7432.5,8315.28
2,2021.61,744.225,9654.14,2235.29,5357.4,4449.5,5073.79,7433.89,8316.69
2.05,2023.02,745.614,9655.54,2236.68,5358.79,4450.89,5075.17,7435.28,8318.1
2.1,2024.43,747.003,9656.94,2238.07,5360.17,4452.28,5076.56,7436.67,8319.51
2.15,2025.84,748.392,9658.33,2239.46,5361.56,4453.67,5077.95,7438.06,8320.92
2.2,2027.24,749.781,9659.73,2240.85,5362.95,4455.05,5079.34,7439.45,8322.33
2.25,2028.65,751.17,9661.13,2242.24,5364.34,4456.44,5080.73,7440.84,8323.74
2.3,2030.06,752.558,9662.53,2243.63,5365.73,4457.83,5082.12,7442.23,8325.15
2.35,2031.47,753.947,9663.92,2245.03,5367.12,4459.22,5083.5,7443.62,8326.56
2.4,2032.88,755.336,9665.32,2246.42,5368.51,4460.61,5084.89,7445.01,8327.97
2.45,2034.29,756.725,9666.72,2247.81,5369.9,4462,5086.28,7446.4,8329.38
2.5,2035.69,758.114,9668.12,2249.2,5371.29,4463.38,5087.67,7447.79,8330.79
2.55,2037.1,759.503,9669.51,2250.59,5372.67,4464.77,5089.06,7449.18,8332.2
2.6,2038.51,760.892,9670.91,2251.98,5374.06,4466.16,5090.45,7450.57,8333.61
2.65,2039.92,762.281,9672.31,2253.38,5375.45,4467.55,5091.83,7451.96,8335.02
2.7,2041.33,763.67,9673.71,2254.77,5376.84,4468.94,5093.22,7453.35,8336.43
2.75,2042.73,765.058,9675.11,2256.16,5378.23,4470.33,5094.61,7454.74,8337.84
2.8,2044.14,766.447,9676.5,2257.55,5379.62,4471.71,5096,7456.13,8339.25
2.85,2045.55,767.836,9677.9,2258.94,5381.01,4473.1,5097.39,7457.51,8340.66
2.9,2046.96,769.225,9679.3,2260.33,5382.4,4474.49,5098.78,7458.9,8342.07
2.95,2048.37,770.614,9680.7,2261.73,5383.79,4475.88,5100.16,7460.29,8343.48
3,2049.78,772.003,9682.09,2263.12,5385.17,4477.27,5101.55,7461.68,8344.89
3.05,2051.18,773.392,9683.49,2264.51,5386.56,4478.66,5102.94,7463.07,8346.3
3.1,2052.59,774.781,9684.89,2265.9,5387.95,4480.04,5104.33,7464.46,8347.71
3.15,2054,776.17,9686.29,2267.29,5389.34,4481.43,5105.72,7465.85,8349.12
3.2,2055.41,777.558,9687.68,2268.68,5390.73,4482.82,5107.11,7467.24,8350.53
3.25,2056.82,778.947,9689.08,2270.08,5392.12,4484.21,5108.49,7468.63,8351.94
3.3,2058.23,780.336,9690.48,2271.47,5393.51,4485.6,5109.88,7470.02,8353.35
3.35,2059.63,781.725,9691.88,2272.86,5394.9,4486.99,5111.27,7471.41,8354.76
3.4,2061.04,783.114,9693.27,2274.25,5396.29,4488.37,5112.66,7472.8,8356.17
3.45,2062.45,784.503,9694.67,2275.64,5397.67,4489.76,5114.05,7474.19,8357.58
3.5,2063.86,785.892,9696.07,2277.03,5399.06,4491.15,5115.43,7475.58,8358.99
3.55,2065.27,787.281,9697.47,2278.43,5400.45,4492.54,5116.82,7476.97,8360.4
3.6,2066.67,788.67,9698.86,2279.82,5401.84,4493.93,5118.21,7478.36,8361.8
3.65,2068.08,790.058,9700.26,2281.21,5403.23,4495.32,5119.6,7479.75,8363.21
3.7,2069.49,791.447,9701.66,2282.6,5404.62,4496.7,5120.99,7481.14,8364.62
3.75,2070.9,792.836,9703.06,2283.99,5406.01,4498.09,5122.38,7482.53,8366.03
3.8,2072.31,794.225,9704.45,2285.38,5407.4,4499.48,5123.76,7483.92,8367.44
3.85,2073.72,795.614,9705.85,2286.78,5408.79,4500.87,5125.15,7485.31,8368.85
3.9,2075.12,797.003,9707.25,2288.17,5410.17,4502.26,5126.54,7486.7,8370.26
3.95,2076.53,798.392,9708.65,2289.56,5411.56,4503.65,5127.93,7488.09,8371.67
4,2077.94,799.781,9710.04,2290.95,5412.95,4505.03,5129.32,7489.48,8373.08
4.05,2079.35,801.17,9711.44,2292.34,5414.34,4506.42,5130.71,7490.87,8374.49
4.1,2080.76,802.558,9712.84,2293.73,5415.73,4507.81,5132.09,7492.26,8375.9
4.15,2082.17,803.947,9714.24,2295.13,5417.12,4509.2,5133.48,7493.65,8377.31
4.2,2083.57,805.336,9715.63,2296.52,5418.51,4510.59,5134.87,7495.03,8378.72
4.25,2084.98,806.725,9717.03,2297.91,5419.9,4511.98,5136.26,7496.42,8380.13
4.3,2086.39,808.114,9718.43,2299.3,5421.29,4513.36,5137.65,7497.81,8381.54
4.35,2087.8,809.503,9719.83,2300.69,5422.67,4514.75,5139.04,7499.2,8382.95
4.4,2089.21,810.892,9721.22,2302.08,5424.06,4516.14,5140.42,7500.59,8384.36
4.45,2090.61,812.281,9722.62,2303.48,5425.45,4517.53,5141.81,7501.98,8385.77
4.5,2092.02,813.67,9724.02,2304.87,5426.84,4518.92,5143.2,7503.37,8387.18
4.55,2093.43,815.058,9725.42,2306.26,5428.23,4520.31,5144.59,7504.76,8388.59
4.6,2094.84,816.447,9726.81,2307.65,5429.62,4521.69,5145.98,7506.15,8390
4.65,2096.25,817.836,9728.21,2309.04,5431.01,4523.08,5147.37,7507.54,8391.41
4.7,2097.66,819.225,9729.61,2310.43,5432.4,4524.47,5148.75,7508.93,8392.82
4.75,2099.06,820.614,9731.01,2311.82,5433.79,4525.86,5150.14,7510.32,8394.23
4.8,2100.47,822.003,9732.4,2313.22,5435.17,4527.25,5151.53,7511.71,8395.64
4.85,2101.88,823.392,9733.8,2314.61,5436.56,4528.64,5152.92,7513.1,8397.05
4.9,2103.29,824.781,9735.2,2316,5437.95,4530.02,5154.31,7514.49,8398.46
4.95,2104.7,826.17,9736.6,2317.39,5439.34,4531.41,5155.7,7515.88,8399.87
5,2106.11,827.558,9737.99,2318.78,5440.73,4532.8,5157.08,7517.27,8401.28
5.05,2107.51,828.947,9739.39,2320.17,5442.12,4534.19,5158.47,7518.66,8402.69
5.1,2108.92,830.336,9740.79,2321.57,5443.51,4535.58,5159.86,7520.05,8404.1
5.15,2110.33,831.725,9742.19,2322.96,5444.9,4536.97,5161.25,7521.44,8405.51
5.2,2111.74,833.114,9743.59,2324.35,5446.29,4538.35,5162.64,7522.83,8406.92
5.25,2113.15,834.503,9744.98,2325.74,5447.67,4539.74,5164.03,7524.22,8408.33
5.3,2114.55,835.892,9746.38,2327.13,5449.06,4541.13,5165.41,7525.61,8409.74
5.35,2115.96,837.281,9747.78,2328.52,5450.45,4542.52,5166.8,7527,8411.15
5.4,2117.37,838.67,9749.18,2329.92,5451.84,4543.91,5168.19,7528.39,8412.56
5.45,2118.78,840.058,9750.57,2331.31,5453.23,4545.3,5169.58,7529.78,8413.97
5.5,2120.19,841.447,9751.97,2332.7,5454.62,4546.68,5170.97,7531.17,8415.38
5.55,2121.6,842.836,9753.37,2334.09,5456.01,4548.07,5172.36,7532.55,8416.79
5.6,2123,844.225,9754.77,2335.48,5457.4,4549.46,5173.74,7533.94,8418.2
5.65,2124.41,845.614,9756.16,2336.87,5458.79,4550.85,5175.13,7535.33,8419.61
5.7,2125.82,847.003,9757.56,2338.27,5460.17,4552.24,5176.52,7536.72,8421.02
5.75,2127.23,848.392,9758.96,2339.66,5461.56,4553.63,5177.91,7538.11,8422.43
5.8,2128.64,849.781,9760.36,2341.05,5462.95,4555.02,5179.3,7539.5,8423.84
5.85,2130.05,851.17,9761.75,2342.44,5464.34,4556.4,5180.69,7540.89,8425.25
5.9,2131.45,852.558,9763.15,2343.83,5465.73,4557.79,5182.07,7542.28,8426.66
5.95,2132.86,853.947,9764.55,2345.22,5467.12,4559.18,5183.46,7543.67,8428.06
6,2134.27,855.336,9765.95,2346.62,5468.51,4560.57,5184.85,7545.06,8429.47
6.05,2135.68,856.725,9767.34,2348.01,5469.9,4561.96,5186.24,7546.45,8430.88
