time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0,8803.1,3099.5,9836.77,3817.16,905.636,3593.88,577.213,7994.24,6831.39,7881.89
0.05,8804.49,3100.95,9838.17,3818.55,907.025,3595.27,578.611,7995.63,6832.78,7883.3
0.1,8805.89,3102.39,9839.57,3819.94,908.413,3596.66,580.01,7997.02,6834.17,7884.71
0.15,8807.28,3103.84,9840.97,3821.33,909.802,3598.05,581.408,7998.42,6835.56,7886.12
0.2,8808.67,3105.28,9842.36,3822.72,911.191,3599.44,582.806,7999.81,6836.95,7887.53
0.25,8810.07,3106.73,9843.76,3824.1,912.58,3600.83,584.205,8001.2,6838.34,7888.94
0.3,8811.46,3108.17,9845.16,3825.49,913.969,3602.22,585.603,8002.6,6839.73,7890.35
0.35,8812.85,3109.62,9846.56,3826.88,915.358,3603.61,587.001,8003.99,6841.12,7891.76
0.4,8814.25,3111.07,9847.96,3828.27,916.747,3605,588.4,8005.38,6842.51,7893.17
0.45,8815.64,3112.51,9849.36,3829.66,918.136,3606.39,589.798,8006.78,6843.9,7894.58
0.5,8817.03,3113.96,9850.75,3831.05,919.525,3607.78,591.196,8008.17,6845.29,7895.99
0.55,8818.43,3115.4,9852.15,3832.44,920.913,3609.17,592.594,8009.56,6846.68,7897.4
0.6,8819.82,3116.85,9853.55,3833.83,922.302,3610.56,593.993,8010.96,6848.07,7898.81
0.65,8821.21,3118.29,9854.95,3835.22,923.691,3611.95,595.391,8012.35,6849.46,7900.21
0.7,8822.61,3119.74,9856.35,3836.6,925.08,3613.34,596.789,8013.74,6850.85,7901.62
0.75,8824,3121.18,9857.75,3837.99,926.469,3614.73,598.188,8015.14,6852.24,7903.03
0.8,8825.4,3122.63,9859.14,3839.38,927.858,3616.13,599.586,8016.53,6853.63,7904.44
0.85,8826.79,3124.07,9860.54,3840.77,929.247,3617.52,600.984,8017.92,6855.02,7905.85
0.9,8828.18,3125.52,9861.94,3842.16,930.636,3618.91,602.382,8019.32,6856.41,7907.26
0.95,8829.58,3126.96,9863.34,3843.55,932.025,3620.3,603.781,8020.71,6857.8,7908.67
1,8830.97,3128.41,9864.74,3844.94,933.413,3621.69,605.179,8022.1,6859.19,7910.08
1.05,8832.36,3129.86,9866.14,3846.33,934.802,3623.08,606.577,8023.5,6860.58,7911.49
1.1,8833.76,3131.3,9867.54,3847.72,936.191,3624.47,607.976,8024.89,6861.97,7912.9
1.15,8835.15,3132.75,9868.93,3849.1,937.58,3625.86,609.374,8026.28,6863.36,7914.31
1.2,8836.54,3134.19,9870.33,3850.49,938.969,3627.25,610.772,8027.68,6864.75,7915.72
1.25,8837.94,3135.64,9871.73,3851.88,940.358,3628.64,612.171,8029.07,6866.14,7917.13
1.3,8839.33,3137.08,9873.13,3853.27,941.747,3630.03,613.569,8030.46,6867.53,7918.54
1.35,8840.72,3138.53,9874.53,3854.66,943.136,3631.42,614.967,8031.86,6868.92,7919.95
1.4,8842.12,3139.97,9875.93,3856.05,944.525,3632.81,616.365,8033.25,6870.31,7921.36
1.45,8843.51,3141.42,9877.32,3857.44,945.913,3634.2,617.764,8034.64,6871.7,7922.77
1.5,8844.9,3142.86,9878.72,3858.83,947.302,3635.59,619.162,8036.04,6873.09,7924.17
1.55,8846.3,3144.31,9880.12,3860.22,948.691,3636.98,620.56,8037.43,6874.48,7925.58
1.6,8847.69,3145.75,9881.52,3861.6,950.08,3638.37,621.959,8038.82,6875.87,7926.99
1.65,8849.08,3147.2,9882.92,3862.99,951.469,3639.76,623.357,8040.22,6877.26,7928.4
1.7,8850.48,3148.65,9884.32,3864.38,952.858,3641.15,624.755,8041.61,6878.65,7929.81
1.75,8851.87,3150.09,9885.71,3865.77,954.247,3642.54,626.154,8043,6880.04,7931.22
1.8,8853.26,3151.54,9887.11,3867.16,955.636,3643.93,627.552,8044.4,6881.43,7932.63
1.85,8854.66,3152.98,9888.51,3868.55,957.025,3645.32,628.95,8045.79,6882.82,7934.04
1.9,8856.05,3154.43,9889.91,3869.94,958.413,3646.71,630.348,8047.18,6884.21,7935.45
1.95,8857.44,3155.87,9891.31,3871.33,959.802,3648.11,631.747,8048.58,6885.6,7936.86
2,8858.84,3157.32,9892.71,3872.72,961.191,3649.5,633.145,8049.97,6886.99,7938.27
2.05,8860.23,3158.76,9894.1,3874.1,962.58,3650.89,634.543,8051.36,6888.38,7939.68
2.1,8861.62,3160.21,9895.5,3875.49,963.969,3652.28,635.942,8052.76,6889.76,7941.09
2.15,8863.02,3161.65,9896.9,3876.88,965.358,3653.67,637.34,8054.15,6891.15,7942.5
2.2,8864.41,3163.1,9898.3,3878.27,966.747,3655.06,638.738,8055.54,6892.54,7943.91
2.25,8865.81,3164.54,9899.7,3879.66,968.136,3656.45,640.137,8056.94,6893.93,7945.32
2.3,8867.2,3165.99,9901.1,3881.05,969.525,3657.84,641.535,8058.33,6895.32,7946.73
2.35,8868.59,3167.44,9902.5,3882.44,970.913,3659.23,642.933,8059.72,6896.71,7948.13
2.4,8869.99,3168.88,9903.89,3883.83,972.302,3660.62,644.331,8061.12,6898.1,7949.54
2.45,8871.38,3170.33,9905.29,3885.22,973.691,3662.01,645.73,8062.51,6899.49,7950.95
2.5,8872.77,3171.77,9906.69,3886.6,975.08,3663.4,647.128,8063.9,6900.88,7952.36
2.55,8874.17,3173.22,9908.09,3887.99,976.469,3664.79,648.526,8065.3,6902.27,7953.77
2.6,8875.56,3174.66,9909.49,3889.38,977.858,3666.18,649.925,8066.69,6903.66,7955.18
2.65,8876.95,3176.11,9910.89,3890.77,979.247,3667.57,651.323,8068.08,6905.05,7956.59
2.7,8878.35,3177.55,9912.28,3892.16,980.636,3668.96,652.721,8069.48,6906.44,7958
2.75,8879.74,3179,9913.68,3893.55,982.025,3670.35,654.12,8070.87,6907.83,7959.41
2.8,8881.13,3180.44,9915.08,3894.94,983.413,3671.74,655.518,8072.26,6909.22,7960.82
2.85,8882.53,3181.89,9916.48,3896.33,984.802,3673.13,656.916,8073.66,6910.61,7962.23
2.9,8883.92,3183.33,9917.88,3897.72,986.191,3674.52,658.315,8075.05,6912,7963.64
2.95,8885.31,3184.78,9919.28,3899.1,987.58,3675.91,659.713,8076.45,6913.39,7965.05
3,8886.71,3186.23,9920.67,3900.49,988.969,3677.3,661.111,8077.84,6914.78,7966.46
3.05,8888.1,3187.67,9922.07,3901.88,990.358,3678.69,662.509,8079.23,6916.17,7967.87
3.1,8889.49,3189.12,9923.47,3903.27,991.747,3680.09,663.908,8080.63,6917.56,7969.28
3.15,8890.89,3190.56,9924.87,3904.66,993.136,3681.48,665.306,8082.02,6918.95,7970.69
3.2,8892.28,3192.01,9926.27,3906.05,994.525,3682.87,666.704,8083.41,6920.34,7972.1
3.25,8893.67,3193.45,9927.67,3907.44,995.913,3684.26,668.103,8084.81,6921.73,7973.5
3.3,8895.07,3194.9,9929.07,3908.83,997.302,3685.65,669.501,8086.2,6923.12,7974.91
3.35,8896.46,3196.34,9930.46,3910.22,998.691,3687.04,670.899,8087.59,6924.51,7976.32
3.4,8897.85,3197.79,9931.86,3911.6,1000.08,3688.43,672.298,8088.99,6925.9,7977.73
3.45,8899.25,3199.23,9933.26,3912.99,1001.47,3689.82,673.696,8090.38,6927.29,7979.14
3.5,8900.64,3200.68,9934.66,3914.38,1002.86,3691.21,675.094,8091.77,6928.68,7980.55
3.55,8902.03,3202.13,9936.06,3915.77,1004.25,3692.6,676.492,8093.17,6930.07,7981.96
3.6,8903.43,3203.57,9937.46,3917.16,1005.64,3693.99,677.891,8094.56,6931.46,7983.37
3.65,8904.82,3205.02,9938.85,3918.55,1007.02,3695.38,679.289,8095.95,6932.85,7984.78
3.7,8906.22,3206.46,9940.25,3919.94,1008.41,3696.77,680.687,8097.35,6934.24,7986.19
3.75,8907.61,3207.91,9941.65,3921.33,1009.8,3698.16,682.086,8098.74,6935.63,7987.6
3.8,8909,3209.35,9943.05,3922.72,1011.19,3699.55,683.484,8100.13,6937.02,7989.01
3.85,8910.4,3210.8,9944.45,3924.1,1012.58,3700.94,684.882,8101.53,6938.41,7990.42
3.9,8911.79,3212.24,9945.85,3925.49,1013.97,3702.33,686.281,8102.92,6939.8,7991.83
3.95,8913.18,3213.69,9947.24,3926.88,1015.36,3703.72,687.679,8104.31,6941.19,7993.24
4,8914.58,3215.13,9948.64,3928.27,1016.75,3705.11,689.077,8105.71,6942.58,7994.65
4.05,8915.97,3216.58,9950.04,3929.66,1018.14,3706.5,690.476,8107.1,6943.97,7996.06
