time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
0,2849.87,6851.33,3978.58,1167.69,7373.06,6226.73,2708.08,7876.35,30.5796,1743.72,4905.28,5350.24,7417.69,9886.9,3645.15,9931.91
0.05,2851.26,6852.71,3979.97,1169.08,7374.46,6228.12,2709.46,7877.74,31.9685,1745.11,4906.69,5351.64,7419.08,9888.29,3646.54,9933.29
0.1,2852.65,6854.1,3981.36,1170.47,7375.86,6229.51,2710.83,7879.13,33.3573,1746.5,4908.1,5353.03,7420.47,9889.68,3647.93,9934.68
0.15,2854.04,6855.49,3982.75,1171.86,7377.27,6230.9,2712.21,7880.52,34.7462,1747.9,4909.5,5354.42,7421.86,9891.07,3649.32,9936.06
0.2,2855.43,6856.88,3984.14,1173.25,7378.67,6232.29,2713.58,7881.91,36.1351,1749.29,4910.91,5355.81,7423.25,9892.46,3650.72,9937.45
0.25,2856.82,6858.27,3985.52,1174.64,7380.07,6233.69,2714.96,7883.3,37.524,1750.68,4912.32,5357.2,7424.63,9893.85,3652.11,9938.83
0.3,2858.21,6859.66,3986.91,1176.04,7381.47,6235.08,2716.33,7884.7,38.9129,1752.07,4913.73,5358.6,7426.02,9895.24,3653.5,9940.22
0.35,2859.6,6861.05,3988.3,1177.43,7382.87,6236.47,2717.7,7886.09,40.3018,1753.46,4915.13,5359.99,7427.41,9896.64,3654.89,9941.6
0.4,2860.99,6862.44,3989.69,1178.82,7384.27,6237.86,2719.08,7887.48,41.6907,1754.85,4916.54,5361.38,7428.8,9898.03,3656.28,9942.99
0.45,2862.37,6863.83,3991.08,1180.21,7385.68,6239.25,2720.45,7888.87,43.0796,1756.25,4917.95,5362.77,7430.19,9899.42,3657.68,9944.37
0.5,2863.76,6865.21,3992.47,1181.6,7387.08,6240.65,2721.83,7890.26,44.4685,1757.64,4919.35,5364.17,7431.58,9900.81,3659.07,9945.76
0.55,2865.15,6866.6,3993.86,1182.99,7388.48,6242.04,2723.2,7891.65,45.8573,1759.03,4920.76,5365.56,7432.97,9902.2,3660.46,9947.14
0.6,2866.54,6867.99,3995.25,1184.38,7389.88,6243.43,2724.58,7893.04,47.2462,1760.42,4922.17,5366.95,7434.36,9903.59,3661.85,9948.53
0.65,2867.93,6869.38,3996.64,1185.77,7391.28,6244.82,2725.95,7894.44,48.6351,1761.81,4923.57,5368.34,7435.75,9904.98,3663.24,9949.91
