time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
0,3194.28,1384.37,9216.99,4846.3,6054.08,6856.71,1304.52,8132.76,2315.79,505.745,3376.84,5153.01,6951.15,8912.76,6343.86
0.05,3195.66,1385.77,9218.38,4847.68,6055.47,6858.1,1305.92,8134.15,2317.18,507.162,3378.23,5154.41,6952.54,8914.17,6345.26
0.1,3197.04,1387.16,9219.77,4849.06,6056.87,6859.49,1307.31,8135.54,2318.57,508.578,3379.62,5155.81,6953.93,8915.57,6346.65
0.15,3198.42,1388.56,9221.16,4850.44,6058.26,6860.88,1308.7,8136.93,2319.96,509.995,3381,5157.21,6955.32,8916.98,6348.04
0.2,3199.8,1389.95,9222.55,4851.82,6059.65,6862.28,1310.09,8138.32,2321.35,511.411,3382.39,5158.62,6956.71,8918.39,6349.43
0.25,3201.17,1391.35,9223.94,4853.2,6061.04,6863.67,1311.49,8139.71,2322.74,512.827,3383.78,5160.02,6958.09,8919.79,6350.83
0.3,3202.55,1392.74,9225.32,4854.58,6062.44,6865.06,1312.88,8141.1,2324.12,514.244,3385.17,5161.42,6959.48,8921.2,6352.22
0.35,3203.93,1394.14,9226.71,4855.96,6063.83,6866.45,1314.27,8142.49,2325.51,515.66,3386.56,5162.82,6960.87,8922.61,6353.61
0.4,3205.31,1395.53,9228.1,4857.34,6065.22,6867.84,1315.67,8143.89,2326.9,517.077,3387.95,5164.22,6962.26,8924.01,6355
0.45,3206.69,1396.93,9229.49,4858.73,6066.61,6869.24,1317.06,8145.28,2328.29,518.493,3389.33,5165.62,6963.65,8925.42,6356.4
0.5,3208.06,1398.32,9230.88,4860.11,6068.01,6870.63,1318.45,8146.67,2329.68,519.91,3390.72,5167.02,6965.04,8926.83,6357.79
0.55,3209.44,1399.72,9232.27,4861.49,6069.4,6872.02,1319.85,8148.06,2331.07,521.326,3392.11,5168.42,6966.43,8928.23,6359.18
0.6,3210.82,1401.11,9233.66,4862.87,6070.79,6873.41,1321.24,8149.45,2332.46,522.742,3393.5,5169.82,6967.82,8929.64,6360.57
0.65,3212.2,1402.51,9235.05,4864.25,6072.18,6874.8,1322.63,8150.84,2333.84,524.159,3394.89,5171.22,6969.21,8931.05,6361.96
0.7,3213.58,1403.9,9236.44,4865.63,6073.58,6876.2,1324.03,8152.23,2335.23,525.575,3396.28,5172.62,6970.59,8932.45,6363.36
0.75,3214.95,1405.3,9237.82,4867.01,6074.97,6877.59,1325.42,8153.62,2336.62,526.992,3397.67,5174.02,6971.98,8933.86,6364.75
0.8,3216.33,1406.69,9239.21,4868.39,6076.36,6878.98,1326.81,8155.01,2338.01,528.408,3399.05,5175.43,6973.37,8935.27,6366.14
0.85,3217.71,1408.09,9240.6,4869.77,6077.75,6880.37,1328.21,8156.4,2339.4,529.825,3400.44,5176.83,6974.76,8936.67,6367.53
0.9,3219.09,1409.48,9241.99,4871.15,6079.15,6881.76,1329.6,8157.79,2340.79,531.241,3401.83,5178.23,6976.15,8938.08,6368.93
