time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
0,9287.54,9042.17,5470.9,6957.28,3789.26,159.316,350.287,2705.05,7032.7,8821.45,974.707,4437.84,8468.03,707.044,5232.44,3285.81,1193.4,2818.55,6841.35
0.05,9288.93,9043.55,5472.29,6958.66,3790.65,160.707,351.677,2706.44,7034.1,8822.84,976.101,4439.23,8469.42,708.433,5233.83,3287.21,1194.78,2819.94,6842.72
0.1,9290.32,9044.94,5473.68,6960.05,3792.04,162.097,353.066,2707.83,7035.49,8824.23,977.495,4440.62,8470.81,709.822,5235.21,3288.61,1196.17,2821.33,6844.1
0.15,9291.71,9046.32,5475.06,6961.44,3793.43,163.488,354.456,2709.22,7036.88,8825.62,978.889,4442.01,8472.2,711.211,5236.59,3290.01,1197.56,2822.72,6845.47
0.2,9293.1,9047.7,5476.45,6962.83,3794.82,164.878,355.846,2710.61,7038.28,8827.01,980.284,4443.4,8473.59,712.6,5237.97,3291.41,1198.95,2824.1,6846.84
0.25,9294.49,9049.08,5477.84,6964.22,3796.21,166.268,357.236,2712,7039.67,8828.41,981.678,4444.8,8474.98,713.989,5239.36,3292.81,1200.34,2825.49,6848.22
0.3,9295.88,9050.47,5479.23,6965.61,3797.59,167.659,358.626,2713.39,7041.06,8829.8,983.072,4446.19,8476.37,715.377,5240.74,3294.21,1201.73,2826.88,6849.59
0.35,9297.27,9051.85,5480.62,6966.99,3798.98,169.049,360.016,2714.78,7042.46,8831.19,984.466,4447.58,8477.76,716.766,5242.12,3295.61,1203.12,2828.27,6850.96
0.4,9298.67,9053.23,5482.01,6968.38,3800.37,170.44,361.406,2716.17,7043.85,8832.58,985.86,4448.97,8479.15,718.155,5243.5,3297.01,1204.51,2829.66,6852.33
0.45,9300.06,9054.62,5483.4,6969.77,3801.76,171.83,362.796,2717.56,7045.24,8833.97,987.254,4450.36,8480.54,719.544,5244.88,3298.41,1205.9,2831.05,6853.71
0.5,9301.45,9056,5484.79,6971.16,3803.15,173.221,364.186,2718.95,7046.64,8835.37,988.648,4451.75,8481.93,720.933,5246.27,3299.81,1207.28,2832.44,6855.08
