time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
0,5173.84,9261.29,9592.49,1695.25,5060.87,9485.13,5241.7,4400.33,7108.95,1399.95,3673.25,8695.57,7366.1
0.05,5175.24,9262.68,9593.88,1696.64,5062.27,9486.52,5243.09,4401.71,7110.34,1401.34,3674.64,8696.96,7367.49
0.1,5176.63,9264.07,9595.27,1698.03,5063.67,9487.91,5244.48,4403.1,7111.73,1402.73,3676.03,8698.35,7368.87
0.15,5178.02,9265.46,9596.66,1699.43,5065.08,9489.3,5245.87,4404.49,7113.12,1404.12,3677.43,8699.74,7370.26
0.2,5179.42,9266.85,9598.04,1700.82,5066.48,9490.69,5247.26,4405.88,7114.51,1405.51,3678.82,8701.13,7371.65
0.25,5180.81,9268.24,9599.43,1702.21,5067.88,9492.08,5248.65,4407.27,7115.9,1406.9,3680.21,8702.52,7373.04
0.3,5182.2,9269.63,9600.82,1703.61,5069.28,9493.47,5250.04,4408.66,7117.29,1408.29,3681.6,8703.91,7374.43
0.35,5183.6,9271.02,9602.21,1705,5070.68,9494.86,5251.43,4410.05,7118.68,1409.68,3683,8705.3,7375.82
0.4,5184.99,9272.4,9603.6,1706.39,5072.09,9496.26,5252.82,4411.44,7120.07,1411.08,3684.39,8706.69,7377.21
0.45,5186.39,9273.79,9604.99,1707.78,5073.49,9497.65,5254.2,4412.83,7121.46,1412.47,3685.78,8708.08,7378.6
0.5,5187.78,9275.18,9606.38,1709.18,5074.89,9499.04,5255.59,4414.21,7122.85,1413.86,3687.17,8709.47,7379.99
0.55,5189.17,9276.57,9607.77,1710.57,5076.29,9500.43,5256.98,4415.6,7124.24,1415.25,3688.57,8710.86,7381.37
0.6,5190.57,9277.96,9609.16,1711.96,5077.69,9501.82,5258.37,4416.99,7125.63,1416.64,3689.96,8712.26,7382.76
0.65,5191.96,9279.35,9610.54,1713.36,5079.1,9503.21,5259.76,4418.38,7127.01,1418.03,3691.35,8713.65,7384.15
0.7,5193.35,9280.74,9611.93,1714.75,5080.5,9504.6,5261.15,4419.77,7128.4,1419.42,3692.75,8715.04,7385.54
0.75,5194.75,9282.13,9613.32,1716.14,5081.9,9505.99,5262.54,4421.16,7129.79,1420.81,3694.14,8716.43,7386.93
0.8,5196.14,9283.52,9614.71,1717.53,5083.3,9507.38,5263.93,4422.55,7131.18,1422.2,3695.53,8717.82,7388.32
0.85,5197.54,9284.9,9616.1,1718.93,5084.7,9508.77,5265.32,4423.94,7132.57,1423.59,3696.92,8719.21,7389.71
0.9,5198.93,9286.29,9617.49,1720.32,5086.11,9510.16,5266.7,4425.33,7133.96,1424.98,3698.32,8720.6,7391.1
0.95,5200.32,9287.68,9618.88,1721.71,5087.51,9511.55,5268.09,4426.71,7135.35,1426.38,3699.71,8721.99,7392.49
1,5201.72,9289.07,9620.27,1723.11,5088.91,9512.94,5269.48,4428.1,7136.74,1427.77,3701.1,8723.38,7393.87
1.05,5203.11,9290.46,9621.66,1724.5,5090.31,9514.34,5270.87,4429.49,7138.13,1429.16,3702.49,8724.77,7395.26
1.1,5204.5,9291.85,9623.04,1725.89,5091.71,9515.73,5272.26,4430.88,7139.52,1430.55,3703.89,8726.16,7396.65
1.15,5205.9,9293.24,9624.43,1727.28,5093.12,9517.12,5273.65,4432.27,7140.91,1431.94,3705.28,8727.55,7398.04
1.2,5207.29,9294.63,9625.82,1728.68,5094.52,9518.51,5275.04,4433.66,7142.3,1433.33,3706.67,8728.94,7399.43
1.25,5208.69,9296.02,9627.21,1730.07,5095.92,9519.9,5276.43,4435.05,7143.69,1434.72,3708.06,8730.33,7400.82
1.3,5210.08,9297.4,9628.6,1731.46,5097.32,9521.29,5277.82,4436.44,7145.08,1436.11,3709.46,8731.72,7402.21
1.35,5211.47,9298.79,9629.99,1732.85,5098.72,9522.68,5279.2,4437.83,7146.47,1437.5,3710.85,8733.11,7403.6
1.4,5212.87,9300.18,9631.38,1734.25,5100.13,9524.07,5280.59,4439.21,7147.86,1438.89,3712.24,8734.5,7404.99
1.45,5214.26,9301.57,9632.77,1735.64,5101.53,9525.46,5281.98,4440.6,7149.25,1440.28,3713.64,8735.89,7406.37
1.5,5215.66,9302.96,9634.16,1737.03,5102.93,9526.85,5283.37,4441.99,7150.63,1441.68,3715.03,8737.28,7407.76
1.55,5217.05,9304.35,9635.54,1738.43,5104.33,9528.24,5284.76,4443.38,7152.02,1443.07,3716.42,8738.67,7409.15
1.6,5218.44,9305.74,9636.93,1739.82,5105.73,9529.63,5286.15,4444.77,7153.41,1444.46,3717.81,8740.06,7410.54
1.65,5219.84,9307.13,9638.32,1741.21,5107.14,9531.02,5287.54,4446.16,7154.8,1445.85,3719.21,8741.45,7411.93
1.7,5221.23,9308.52,9639.71,1742.6,5108.54,9532.41,5288.93,4447.55,7156.19,1447.24,3720.6,8742.85,7413.32
1.75,5222.62,9309.9,9641.1,1744,5109.94,9533.81,5290.32,4448.94,7157.58,1448.63,3721.99,8744.24,7414.71
1.8,5224.02,9311.29,9642.49,1745.39,5111.34,9535.2,5291.7,4450.33,7158.97,1450.02,3723.38,8745.63,7416.1
1.85,5225.41,9312.68,9643.88,1746.78,5112.74,9536.59,5293.09,4451.71,7160.36,1451.41,3724.78,8747.02,7417.49
1.9,5226.81,9314.07,9645.27,1748.18,5114.15,9537.98,5294.48,4453.1,7161.75,1452.8,3726.17,8748.41,7418.87
1.95,5228.2,9315.46,9646.66,1749.57,5115.55,9539.37,5295.87,4454.49,7163.14,1454.19,3727.56,8749.8,7420.26
2,5229.59,9316.85,9648.04,1750.96,5116.95,9540.76,5297.26,4455.88,7164.53,1455.58,3728.96,8751.19,7421.65
2.05,5230.99,9318.24,9649.43,1752.35,5118.35,9542.15,5298.65,4457.27,7165.92,1456.98,3730.35,8752.58,7423.04
2.1,5232.38,9319.63,9650.82,1753.75,5119.75,9543.54,5300.04,4458.66,7167.31,1458.37,3731.74,8753.97,7424.43
2.15,5233.77,9321.02,9652.21,1755.14,5121.16,9544.93,5301.43,4460.05,7168.7,1459.76,3733.13,8755.36,7425.82
2.2,5235.17,9322.4,9653.6,1756.53,5122.56,9546.32,5302.82,4461.44,7170.09,1461.15,3734.53,8756.75,7427.21
2.25,5236.56,9323.79,9654.99,1757.93,5123.96,9547.71,5304.2,4462.83,7171.48,1462.54,3735.92,8758.14,7428.6
2.3,5237.96,9325.18,9656.38,1759.32,5125.36,9549.1,5305.59,4464.21,7172.87,1463.93,3737.31,8759.53,7429.99
2.35,5239.35,9326.57,9657.77,1760.71,5126.76,9550.49,5306.98,4465.6,7174.25,1465.32,3738.7,8760.92,7431.37
2.4,5240.74,9327.96,9659.16,1762.1,5128.17,9551.88,5308.37,4466.99,7175.64,1466.71,3740.1,8762.31,7432.76
2.45,5242.14,9329.35,9660.54,1763.5,5129.57,9553.28,5309.76,4468.38,7177.03,1468.1,3741.49,8763.7,7434.15
2.5,5243.53,9330.74,9661.93,1764.89,5130.97,9554.67,5311.15,4469.77,7178.42,1469.49,3742.88,8765.09,7435.54
2.55,5244.92,9332.13,9663.32,1766.28,5132.37,9556.06,5312.54,4471.16,7179.81,1470.89,3744.28,8766.48,7436.93
2.6,5246.32,9333.52,9664.71,1767.68,5133.77,9557.45,5313.93,4472.55,7181.2,1472.28,3745.67,8767.87,7438.32
2.65,5247.71,9334.9,9666.1,1769.07,5135.18,9558.84,5315.32,4473.94,7182.59,1473.67,3747.06,8769.26,7439.71
2.7,5249.11,9336.29,9667.49,1770.46,5136.58,9560.23,5316.7,4475.33,7183.98,1475.06,3748.45,8770.65,7441.1
2.75,5250.5,9337.68,9668.88,1771.85,5137.98,9561.62,5318.09,4476.71,7185.37,1476.45,3749.85,8772.04,7442.49
2.8,5251.89,9339.07,9670.27,1773.25,5139.38,9563.01,5319.48,4478.1,7186.76,1477.84,3751.24,8773.44,7443.87
2.85,5253.29,9340.46,9671.66,1774.64,5140.78,9564.4,5320.87,4479.49,7188.15,1479.23,3752.63,8774.83,7445.26
2.9,5254.68,9341.85,9673.04,1776.03,5142.19,9565.79,5322.26,4480.88,7189.54,1480.62,3754.02,8776.22,7446.65
2.95,5256.08,9343.24,9674.43,1777.43,5143.59,9567.18,5323.65,4482.27,7190.93,1482.01,3755.42,8777.61,7448.04
3,5257.47,9344.63,9675.82,1778.82,5144.99,9568.57,5325.04,4483.66,7192.32,1483.4,3756.81,8779,7449.43
3.05,5258.86,9346.02,9677.21,1780.21,5146.39,9569.96,5326.43,4485.05,7193.71,1484.79,3758.2,8780.39,7450.82
3.1,5260.26,9347.4,9678.6,1781.6,5147.79,9571.35,5327.82,4486.44,7195.1,1486.19,3759.6,8781.78,7452.21
3.15,5261.65,9348.79,9679.99,1783,5149.2,9572.75,5329.2,4487.83,7196.49,1487.58,3760.99,8783.17,7453.6
3.2,5263.04,9350.18,9681.38,1784.39,5150.6,9574.14,5330.59,4489.21,7197.87,1488.97,3762.38,8784.56,7454.99
3.25,5264.44,9351.57,9682.77,1785.78,5152,9575.53,5331.98,4490.6,7199.26,1490.36,3763.77,8785.95,7456.37
3.3,5265.83,9352.96,9684.16,1787.18,5153.4,9576.92,5333.37,4491.99,7200.65,1491.75,3765.17,8787.34,7457.76
3.35,5267.23,9354.35,9685.54,1788.57,5154.8,9578.31,5334.76,4493.38,7202.04,1493.14,3766.56,8788.73,7459.15
3.4,5268.62,9355.74,9686.93,1789.96,5156.21,9579.7,5336.15,4494.77,7203.43,1494.53,3767.95,8790.12,7460.54
3.45,5270.01,9357.13,9688.32,1791.35,5157.61,9581.09,5337.54,4496.16,7204.82,1495.92,3769.34,8791.51,7461.93
3.5,5271.41,9358.52,9689.71,1792.75,5159.01,9582.48,5338.93,4497.55,7206.21,1497.31,3770.74,8792.9,7463.32
