time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
0,5342.87,2223.26,1278.1,4140.78,5250.12,2437.9,9237.1,9631.69,5162.84,6398.78,9095.96
0.05,5344.26,2224.65,1279.49,4142.19,5251.51,2439.29,9238.49,9633.07,5164.23,6400.17,9097.35
0.1,5345.64,2226.04,1280.88,4143.6,5252.91,2440.68,9239.88,9634.46,5165.63,6401.56,9098.74
0.15,5347.03,2227.43,1282.26,4145.01,5254.3,2442.07,9241.27,9635.85,5167.02,6402.95,9100.13
0.2,5348.42,2228.82,1283.65,4146.42,5255.7,2443.46,9242.66,9637.24,5168.41,6404.34,9101.52
0.25,5349.81,2230.21,1285.04,4147.82,5257.1,2444.85,9244.05,9638.63,5169.81,6405.73,9102.91
0.3,5351.2,2231.6,1286.43,4149.23,5258.49,2446.24,9245.44,9640.02,5171.2,6407.12,9104.3
0.35,5352.59,2232.99,1287.82,4150.64,5259.89,2447.63,9246.83,9641.41,5172.6,6408.51,9105.69
0.4,5353.98,2234.38,1289.21,4152.05,5261.29,2449.01,9248.22,9642.8,5173.99,6409.9,9107.08
0.45,5355.37,2235.77,1290.6,4153.46,5262.68,2450.4,9249.61,9644.19,5175.38,6411.29,9108.47
0.5,5356.76,2237.15,1291.99,4154.86,5264.08,2451.79,9251,9645.58,5176.78,6412.68,9109.86
0.55,5358.14,2238.54,1293.38,4156.27,5265.47,2453.18,9252.39,9646.97,5178.17,6414.07,9111.25
0.6,5359.53,2239.93,1294.76,4157.68,5266.87,2454.57,9253.78,9648.36,5179.57,6415.46,9112.64
0.65,5360.92,2241.32,1296.15,4159.09,5268.27,2455.96,9255.17,9649.74,5180.96,6416.85,9114.03
0.7,5362.31,2242.71,1297.54,4160.5,5269.66,2457.35,9256.56,9651.13,5182.36,6418.24,9115.42
0.75,5363.7,2244.1,1298.93,4161.91,5271.06,2458.74,9257.95,9652.52,5183.75,6419.63,9116.81
0.8,5365.09,2245.49,1300.32,4163.31,5272.45,2460.13,9259.34,9653.91,5185.14,6421.02,9118.2
0.85,5366.48,2246.88,1301.71,4164.72,5273.85,2461.51,9260.73,9655.3,5186.54,6422.41,9119.59
0.9,5367.87,2248.27,1303.1,4166.13,5275.25,2462.9,9262.12,9656.69,5187.93,6423.8,9120.98
0.95,5369.26,2249.66,1304.49,4167.54,5276.64,2464.29,9263.51,9658.08,5189.33,6425.2,9122.37
1,5370.64,2251.05,1305.88,4168.95,5278.04,2465.68,9264.9,9659.47,5190.72,6426.59,9123.76
1.05,5372.03,2252.44,1307.26,4170.35,5279.43,2467.07,9266.29,9660.86,5192.12,6427.98,9125.15
1.1,5373.42,2253.82,1308.65,4171.76,5280.83,2468.46,9267.68,9662.25,5193.51,6429.37,9126.54
1.15,5374.81,2255.21,1310.04,4173.17,5282.23,2469.85,9269.07,9663.64,5194.9,6430.76,9127.93
1.2,5376.2,2256.6,1311.43,4174.58,5283.62,2471.24,9270.46,9665.03,5196.3,6432.15,9129.32
1.25,5377.59,2257.99,1312.82,4175.99,5285.02,2472.63,9271.85,9666.41,5197.69,6433.54,9130.71
1.3,5378.98,2259.38,1314.21,4177.4,5286.41,2474.01,9273.24,9667.8,5199.09,6434.93,9132.1
1.35,5380.37,2260.77,1315.6,4178.8,5287.81,2475.4,9274.63,9669.19,5200.48,6436.32,9133.49
1.4,5381.76,2262.16,1316.99,4180.21,5289.21,2476.79,9276.02,9670.58,5201.87,6437.71,9134.88
1.45,5383.14,2263.55,1318.38,4181.62,5290.6,2478.18,9277.41,9671.97,5203.27,6439.1,9136.27
1.5,5384.53,2264.94,1319.76,4183.03,5292,2479.57,9278.8,9673.36,5204.66,6440.49,9137.66
1.55,5385.92,2266.33,1321.15,4184.44,5293.39,2480.96,9280.19,9674.75,5206.06,6441.88,9139.05
1.6,5387.31,2267.72,1322.54,4185.85,5294.79,2482.35,9281.58,9676.14,5207.45,6443.27,9140.44
1.65,5388.7,2269.11,1323.93,4187.25,5296.19,2483.74,9282.97,9677.53,5208.85,6444.66,9141.83
1.7,5390.09,2270.49,1325.32,4188.66,5297.58,2485.13,9284.36,9678.92,5210.24,6446.05,9143.22
1.75,5391.48,2271.88,1326.71,4190.07,5298.98,2486.51,9285.75,9680.31,5211.63,6447.44,9144.61
1.8,5392.87,2273.27,1328.1,4191.48,5300.37,2487.9,9287.14,9681.7,5213.03,6448.83,9146
1.85,5394.26,2274.66,1329.49,4192.89,5301.77,2489.29,9288.53,9683.08,5214.42,6450.22,9147.39
1.9,5395.64,2276.05,1330.88,4194.29,5303.17,2490.68,9289.92,9684.47,5215.82,6451.62,9148.78
