time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
0,6662.62,4657.31,2550.32,8299.86,9358.48,164.84,4581.72,1438.01,5650.05,3540.69,6712.15,8361.02,284.482,2058,9650.68
0.05,6664.01,4658.71,2551.71,8301.3,9359.87,166.23,4583.12,1439.4,5651.44,3542.1,6713.54,8362.41,285.871,2059.4,9652.07
0.1,6665.41,4660.1,2553.1,8302.73,9361.26,167.619,4584.51,1440.79,5652.83,3543.51,6714.93,8363.81,287.26,2060.81,9653.46
0.15,6666.8,4661.49,2554.49,8304.17,9362.65,169.009,4585.91,1442.18,5654.22,3544.92,6716.31,8365.21,288.649,2062.21,9654.85
0.2,6668.2,4662.88,2555.88,8305.6,9364.04,170.399,4587.3,1443.57,5655.61,3546.33,6717.7,8366.61,290.038,2063.61,9656.24
0.25,6669.59,4664.28,2557.27,8307.03,9365.43,171.789,4588.69,1444.96,5657,3547.74,6719.09,8368.01,291.426,2065.02,9657.63
0.3,6670.99,4665.67,2558.66,8308.47,9366.82,173.179,4590.09,1446.35,5658.39,3549.15,6720.48,8369.4,292.815,2066.42,9659.02
0.35,6672.38,4667.06,2560.05,8309.9,9368.21,174.569,4591.48,1447.75,5659.77,3550.56,6721.87,8370.8,294.204,2067.82,9660.41
0.4,6673.77,4668.45,2561.43,8311.34,9369.6,175.959,4592.88,1449.14,5661.16,3551.97,6723.26,8372.2,295.593,2069.22,9661.8
0.45,6675.17,4669.85,2562.82,8312.77,9371,177.348,4594.27,1450.53,5662.55,3553.39,6724.65,8373.6,296.982,2070.63,9663.19
0.5,6676.56,4671.24,2564.21,8314.21,9372.39,178.738,4595.66,1451.92,5663.94,3554.8,6726.04,8375,298.371,2072.03,9664.58
0.55,6677.96,4672.63,2565.6,8315.64,9373.78,180.128,4597.06,1453.31,5665.33,3556.21,6727.43,8376.39,299.76,2073.43,9665.97
0.6,6679.35,4674.03,2566.99,8317.07,9375.17,181.518,4598.45,1454.7,5666.72,3557.62,6728.81,8377.79,301.149,2074.83,9667.36
0.65,6680.75,4675.42,2568.38,8318.51,9376.56,182.908,4599.85,1456.1,5668.11,3559.03,6730.2,8379.19,302.538,2076.24,9668.75
0.7,6682.14,4676.81,2569.77,8319.94,9377.95,184.298,4601.24,1457.49,5669.5,3560.44,6731.59,8380.59,303.926,2077.64,9670.14
0.75,6683.54,4678.2,2571.16,8321.38,9379.34,185.688,4602.63,1458.88,5670.89,3561.85,6732.98,8381.98,305.315,2079.04,9671.53
0.8,6684.93,4679.6,2572.55,8322.81,9380.73,187.077,4604.03,1460.27,5672.27,3563.26,6734.37,8383.38,306.704,2080.44,9672.92
0.85,6686.32,4680.99,2573.93,8324.24,9382.12,188.467,4605.42,1461.66,5673.66,3564.67,6735.76,8384.78,308.093,2081.85,9674.31
0.9,6687.72,4682.38,2575.32,8325.68,9383.51,189.857,4606.82,1463.05,5675.05,3566.09,6737.15,8386.18,309.482,2083.25,9675.7
0.95,6689.11,4683.78,2576.71,8327.11,9384.9,191.247,4608.21,1464.44,5676.44,3567.5,6738.54,8387.58,310.871,2084.65,9677.09
1,6690.51,4685.17,2578.1,8328.55,9386.29,192.637,4609.6,1465.84,5677.83,3568.91,6739.93,8388.97,312.26,2086.05,9678.48
1.05,6691.9,4686.56,2579.49,8329.98,9387.68,194.027,4611,1467.23,5679.22,3570.32,6741.31,8390.37,313.649,2087.46,9679.87
1.1,6693.3,4687.95,2580.88,8331.41,9389.07,195.417,4612.39,1468.62,5680.61,3571.73,6742.7,8391.77,315.038,2088.86,9681.26
1.15,6694.69,4689.35,2582.27,8332.85,9390.46,196.806,4613.79,1470.01,5682,3573.14,6744.09,8393.17,316.426,2090.26,9682.65
1.2,6696.08,4690.74,2583.66,8334.28,9391.85,198.196,4615.18,1471.4,5683.39,3574.55,6745.48,8394.57,317.815,2091.66,9684.04
