time,N1,N2,N3,N4,N5
0,2817.39,6631.92,1659.5,2513.11,9104.01
0.05,2818.78,6633.31,1660.89,2514.5,9105.4
0.1,2820.17,6634.7,1662.28,2515.89,9106.8
0.15,2821.56,6636.09,1663.67,2517.27,9108.19
0.2,2822.95,6637.48,1665.05,2518.66,9109.58
0.25,2824.34,6638.87,1666.44,2520.05,9110.97
0.3,2825.72,6640.26,1667.83,2521.44,9112.36
0.35,2827.11,6641.66,1669.22,2522.83,9113.75
0.4,2828.5,6643.05,1670.61,2524.21,9115.14
0.45,2829.89,6644.44,1672,2525.6,9116.53
0.5,2831.28,6645.83,1673.39,2526.99,9117.92
0.55,2832.67,6647.22,1674.78,2528.38,9119.32
0.6,2834.06,6648.61,1676.17,2529.77,9120.71
0.65,2835.45,6650,1677.56,2531.15,9122.1
0.7,2836.84,6651.4,1678.95,2532.54,9123.49
0.75,2838.22,6652.79,1680.34,2533.93,9124.88
0.8,2839.61,6654.18,1681.73,2535.32,9126.27
0.85,2841,6655.57,1683.12,2536.7,9127.66
0.9,2842.39,6656.96,1684.51,2538.09,9129.05
0.95,2843.78,6658.35,1685.9,2539.48,9130.44
1,2845.17,6659.74,1687.29,2540.87,9131.84
1.05,2846.56,6661.14,1688.68,2542.26,9133.23
1.1,2847.95,6662.53,1690.07,2543.64,9134.62
1.15,2849.34,6663.92,1691.46,2545.03,9136.01
1.2,2850.72,6665.31,1692.85,2546.42,9137.4
1.25,2852.11,6666.7,1694.24,2547.81,9138.79
1.3,2853.5,6668.09,1695.63,2549.2,9140.18
1.35,2854.89,6669.48,1697.02,2550.58,9141.57
1.4,2856.28,6670.88,1698.41,2551.97,9142.96
1.45,2857.67,6672.27,1699.8,2553.36,9144.36
1.5,2859.06,6673.66,1701.18,2554.75,9145.75
1.55,2860.45,6675.05,1702.57,2556.14,9147.14
1.6,2861.84,6676.44,1703.96,2557.52,9148.53
1.65,2863.22,6677.83,1705.35,2558.91,9149.92
1.7,2864.61,6679.22,1706.74,2560.3,9151.31
1.75,2866,6680.62,1708.13,2561.69,9152.7
1.8,2867.39,6682.01,1709.52,2563.08,9154.09
1.85,2868.78,6683.4,1710.91,2564.46,9155.48
1.9,2870.17,6684.79,1712.3,2565.85,9156.88
1.95,2871.56,6686.18,1713.69,2567.24,9158.27
2,2872.95,6687.57,1715.08,2568.63,9159.66
2.05,2874.34,6688.96,1716.47,2570.01,9161.05
2.1,2875.72,6690.36,1717.86,2571.4,9162.44
2.15,2877.11,6691.75,1719.25,2572.79,9163.83
2.2,2878.5,6693.14,1720.64,2574.18,9165.22
2.25,2879.89,6694.53,1722.03,2575.57,9166.61
2.3,2881.28,6695.92,1723.42,2576.95,9168
2.35,2882.67,6697.31,1724.81,2578.34,9169.4
2.4,2884.06,6698.7,1726.2,2579.73,9170.79
2.45,2885.45,6700.1,1727.59,2581.12,9172.18
2.5,2886.84,6701.49,1728.98,2582.51,9173.57
2.55,2888.22,6702.88,1730.37,2583.89,9174.96
2.6,2889.61,6704.27,1731.76,2585.28,9176.35
2.65,2891,6705.66,1733.15,2586.67,9177.74
2.7,2892.39,6707.05,1734.54,2588.06,9179.13
2.75,2893.78,6708.44,1735.92,2589.45,9180.52
2.8,2895.17,6709.84,1737.31,2590.83,9181.92
2.85,2896.56,6711.23,1738.7,2592.22,9183.31
2.9,2897.95,6712.62,1740.09,2593.61,9184.7
