time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0,2077.12,5817.67,3069.53,7150.49,4238.97,6905.22,3811.31,1269.17,150.333,990.452
0.05,2078.51,5819.1,3070.93,7151.88,4240.36,6906.61,3812.71,1270.56,151.723,991.858
0.1,2079.91,5820.54,3072.32,7153.27,4241.75,6908,3814.1,1271.96,153.114,993.264
0.15,2081.3,5821.97,3073.72,7154.66,4243.13,6909.39,3815.5,1273.35,154.504,994.67
0.2,2082.7,5823.41,3075.11,7156.05,4244.52,6910.78,3816.9,1274.75,155.894,996.076
0.25,2084.09,5824.84,3076.51,7157.44,4245.91,6912.17,3818.29,1276.14,157.284,997.481
0.3,2085.48,5826.28,3077.91,7158.83,4247.3,6913.56,3819.69,1277.54,158.675,998.887
0.35,2086.88,5827.71,3079.3,7160.21,4248.69,6914.95,3821.08,1278.93,160.065,1000.29
0.4,2088.27,5829.15,3080.7,7161.6,4250.08,6916.34,3822.48,1280.32,161.455,1001.7
0.45,2089.67,5830.58,3082.09,7162.99,4251.47,6917.74,3823.88,1281.72,162.846,1003.1
0.5,2091.06,5832.02,3083.49,7164.38,4252.86,6919.13,3825.27,1283.11,164.236,1004.51
0.55,2092.46,5833.45,3084.89,7165.77,4254.25,6920.52,3826.67,1284.51,165.626,1005.92
0.6,2093.85,5834.89,3086.28,7167.16,4255.63,6921.91,3828.06,1285.9,167.017,1007.32
0.65,2095.24,5836.32,3087.68,7168.55,4257.02,6923.3,3829.46,1287.29,168.407,1008.73
0.7,2096.64,5837.76,3089.07,7169.94,4258.41,6924.69,3830.86,1288.69,169.797,1010.13
0.75,2098.03,5839.19,3090.47,7171.33,4259.8,6926.08,3832.25,1290.08,171.188,1011.54
0.8,2099.43,5840.63,3091.87,7172.71,4261.19,6927.47,3833.65,1291.48,172.578,1012.95
0.85,2100.82,5842.06,3093.26,7174.1,4262.58,6928.86,3835.04,1292.87,173.968,1014.35
0.9,2102.22,5843.5,3094.66,7175.49,4263.97,6930.25,3836.44,1294.26,175.359,1015.76
0.95,2103.61,5844.93,3096.06,7176.88,4265.36,6931.65,3837.84,1295.66,176.749,1017.16
1,2105,5846.37,3097.45,7178.27,4266.75,6933.04,3839.23,1297.05,178.139,1018.57
1.05,2106.4,5847.8,3098.85,7179.66,4268.13,6934.43,3840.63,1298.45,179.529,1019.97
1.1,2107.79,5849.24,3100.24,7181.05,4269.52,6935.82,3842.02,1299.84,180.92,1021.38
1.15,2109.19,5850.67,3101.64,7182.44,4270.91,6937.21,3843.42,1301.24,182.31,1022.79
1.2,2110.58,5852.11,3103.04,7183.83,4272.3,6938.6,3844.82,1302.63,183.7,1024.19
1.25,2111.98,5853.54,3104.43,7185.21,4273.69,6939.99,3846.21,1304.02,185.091,1025.6
1.3,2113.37,5854.98,3105.83,7186.6,4275.08,6941.38,3847.61,1305.42,186.481,1027
1.35,2114.76,5856.41,3107.22,7187.99,4276.47,6942.77,3849,1306.81,187.871,1028.41
1.4,2116.16,5857.85,3108.62,7189.38,4277.86,6944.16,3850.4,1308.21,189.262,1029.82
1.45,2117.55,5859.28,3110.02,7190.77,4279.25,6945.56,3851.8,1309.6,190.652,1031.22
1.5,2118.95,5860.72,3111.41,7192.16,4280.63,6946.95,3853.19,1310.99,192.042,1032.63
1.55,2120.34,5862.15,3112.81,7193.55,4282.02,6948.34,3854.59,1312.39,193.433,1034.03
1.6,2121.73,5863.59,3114.21,7194.94,4283.41,6949.73,3855.98,1313.78,194.823,1035.44
1.65,2123.13,5865.02,3115.6,7196.33,4284.8,6951.12,3857.38,1315.18,196.213,1036.84
1.7,2124.52,5866.46,3117,7197.71,4286.19,6952.51,3858.78,1316.57,197.604,1038.25
1.75,2125.92,5867.89,3118.39,7199.1,4287.58,6953.9,3860.17,1317.97,198.994,1039.66
1.8,2127.31,5869.33,3119.79,7200.49,4288.97,6955.29,3861.57,1319.36,200.384,1041.06
1.85,2128.71,5870.76,3121.19,7201.88,4290.36,6956.68,3862.96,1320.75,201.775,1042.47
1.9,2130.1,5872.2,3122.58,7203.27,4291.75,6958.07,3864.36,1322.15,203.165,1043.87
1.95,2131.49,5873.63,3123.98,7204.66,4293.13,6959.47,3865.76,1323.54,204.555,1045.28
2,2132.89,5875.07,3125.37,7206.05,4294.52,6960.86,3867.15,1324.94,205.945,1046.69
2.05,2134.28,5876.5,3126.77,7207.44,4295.91,6962.25,3868.55,1326.33,207.336,1048.09
2.1,2135.68,5877.94,3128.17,7208.83,4297.3,6963.64,3869.94,1327.72,208.726,1049.5
2.15,2137.07,5879.37,3129.56,7210.21,4298.69,6965.03,3871.34,1329.12,210.116,1050.9
2.2,2138.47,5880.81,3130.96,7211.6,4300.08,6966.42,3872.74,1330.51,211.507,1052.31
2.25,2139.86,5882.24,3132.36,7212.99,4301.47,6967.81,3874.13,1331.91,212.897,1053.71
2.3,2141.25,5883.68,3133.75,7214.38,4302.86,6969.2,3875.53,1333.3,214.287,1055.12
2.35,2142.65,5885.11,3135.15,7215.77,4304.25,6970.59,3876.92,1334.69,215.678,1056.53
2.4,2144.04,5886.55,3136.54,7217.16,4305.63,6971.98,3878.32,1336.09,217.068,1057.93
2.45,2145.44,5887.98,3137.94,7218.55,4307.02,6973.38,3879.72,1337.48,218.458,1059.34
2.5,2146.83,5889.42,3139.34,7219.94,4308.41,6974.77,3881.11,1338.88,219.849,1060.74
2.55,2148.22,5890.85,3140.73,7221.33,4309.8,6976.16,3882.51,1340.27,221.239,1062.15
2.6,2149.62,5892.29,3142.13,7222.71,4311.19,6977.55,3883.9,1341.67,222.629,1063.56
2.65,2151.01,5893.72,3143.52,7224.1,4312.58,6978.94,3885.3,1343.06,224.02,1064.96
2.7,2152.41,5895.16,3144.92,7225.49,4313.97,6980.33,3886.7,1344.45,225.41,1066.37
2.75,2153.8,5896.59,3146.32,7226.88,4315.36,6981.72,3888.09,1345.85,226.8,1067.77
2.8,2155.2,5898.03,3147.71,7228.27,4316.75,6983.11,3889.49,1347.24,228.19,1069.18
2.85,2156.59,5899.46,3149.11,7229.66,4318.13,6984.5,3890.88,1348.64,229.581,1070.59
2.9,2157.98,5900.9,3150.51,7231.05,4319.52,6985.89,3892.28,1350.03,230.971,1071.99
2.95,2159.38,5902.33,3151.9,7232.44,4320.91,6987.29,3893.68,1351.42,232.361,1073.4
3,2160.77,5903.77,3153.3,7233.83,4322.3,6988.68,3895.07,1352.82,233.752,1074.8
3.05,2162.17,5905.2,3154.69,7235.21,4323.69,6990.07,3896.47,1354.21,235.142,1076.21
3.1,2163.56,5906.64,3156.09,7236.6,4325.08,6991.46,3897.87,1355.61,236.532,1077.61
3.15,2164.96,5908.07,3157.49,7237.99,4326.47,6992.85,3899.26,1357,237.923,1079.02
3.2,2166.35,5909.51,3158.88,7239.38,4327.86,6994.24,3900.66,1358.4,239.313,1080.43
3.25,2167.74,5910.94,3160.28,7240.77,4329.25,6995.63,3902.05,1359.79,240.703,1081.83
3.3,2169.14,5912.38,3161.67,7242.16,4330.63,6997.02,3903.45,1361.18,242.094,1083.24
3.35,2170.53,5913.81,3163.07,7243.55,4332.02,6998.41,3904.85,1362.58,243.484,1084.64
3.4,2171.93,5915.25,3164.47,7244.94,4333.41,6999.8,3906.24,1363.97,244.874,1086.05
3.45,2173.32,5916.68,3165.86,7246.33,4334.8,7001.2,3907.64,1365.37,246.265,1087.46
3.5,2174.72,5918.12,3167.26,7247.71,4336.19,7002.59,3909.03,1366.76,247.655,1088.86
3.55,2176.11,5919.55,3168.65,7249.1,4337.58,7003.98,3910.43,1368.15,249.045,1090.27
3.6,2177.5,5920.99,3170.05,7250.49,4338.97,7005.37,3911.83,1369.55,250.435,1091.67
