time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
0,79.6997,4261.29,4592.49,6655.06,9872.75,4444,241.703,9400.32,2093.16,6354.54,8634.97,3685.37,2360.68
0.05,81.093,4262.68,4593.88,6656.45,9874.14,4445.39,243.092,9401.71,2094.55,6355.94,8636.36,3686.76,2362.07
0.1,82.4864,4264.07,4595.26,6657.84,9875.54,4446.78,244.481,9403.1,2095.94,6357.33,8637.75,3688.15,2363.46
0.15,83.8797,4265.46,4596.65,6659.23,9876.94,4448.17,245.87,9404.49,2097.33,6358.72,8639.14,3689.54,2364.85
0.2,85.2731,4266.85,4598.04,6660.62,9878.33,4449.57,247.259,9405.88,2098.72,6360.11,8640.53,3690.93,2366.24
0.25,86.6664,4268.24,4599.43,6662.01,9879.73,4450.96,248.648,9407.27,2100.11,6361.51,8641.92,3692.32,2367.63
0.3,88.0597,4269.63,4600.82,6663.39,9881.13,4452.35,250.037,9408.66,2101.5,6362.9,8643.31,3693.71,2369.02
0.35,89.4531,4271.01,4602.21,6664.78,9882.52,4453.74,251.426,9410.05,2102.89,6364.29,8644.69,3695.1,2370.41
0.4,90.8464,4272.4,4603.6,6666.17,9883.92,4455.13,252.814,9411.44,2104.28,6365.68,8646.08,3696.49,2371.8
0.45,92.2398,4273.79,4604.99,6667.56,9885.32,4456.52,254.203,9412.82,2105.67,6367.07,8647.47,3697.88,2373.19
0.5,93.6331,4275.18,4606.38,6668.95,9886.71,4457.92,255.592,9414.21,2107.06,6368.47,8648.86,3699.27,2374.58
0.55,95.0265,4276.57,4607.76,6670.34,9888.11,4459.31,256.981,9415.6,2108.45,6369.86,8650.25,3700.66,2375.97
0.6,96.4198,4277.96,4609.15,6671.73,9889.51,4460.7,258.37,9416.99,2109.84,6371.25,8651.64,3702.05,2377.36
0.65,97.8132,4279.35,4610.54,6673.12,9890.9,4462.09,259.759,9418.38,2111.23,6372.64,8653.03,3703.44,2378.75
0.7,99.2065,4280.74,4611.93,6674.51,9892.3,4463.48,261.148,9419.77,2112.62,6374.03,8654.42,3704.83,2380.14
0.75,100.6,4282.13,4613.32,6675.9,9893.7,4464.87,262.537,9421.16,2114.01,6375.43,8655.81,3706.22,2381.53
0.8,101.993,4283.51,4614.71,6677.29,9895.09,4466.27,263.926,9422.55,2115.4,6376.82,8657.2,3707.61,2382.92
0.85,103.387,4284.9,4616.1,6678.68,9896.49,4467.66,265.314,9423.94,2116.79,6378.21,8658.59,3709,2384.31
0.9,104.78,4286.29,4617.49,6680.07,9897.89,4469.05,266.703,9425.32,2118.18,6379.6,8659.98,3710.39,2385.7
0.95,106.173,4287.68,4618.88,6681.46,9899.28,4470.44,268.092,9426.71,2119.57,6380.99,8661.37,3711.78,2387.09
1,107.567,4289.07,4620.26,6682.85,9900.68,4471.83,269.481,9428.1,2120.96,6382.39,8662.76,3713.17,2388.48
1.05,108.96,4290.46,4621.65,6684.24,9902.08,4473.22,270.87,9429.49,2122.35,6383.78,8664.15,3714.56,2389.87
1.1,110.353,4291.85,4623.04,6685.63,9903.47,4474.62,272.259,9430.88,2123.74,6385.17,8665.53,3715.95,2391.26
1.15,111.747,4293.24,4624.43,6687.01,9904.87,4476.01,273.648,9432.27,2125.13,6386.56,8666.92,3717.34,2392.64
1.2,113.14,4294.63,4625.82,6688.4,9906.27,4477.4,275.037,9433.66,2126.52,6387.95,8668.31,3718.73,2394.03
1.25,114.533,4296.01,4627.21,6689.79,9907.66,4478.79,276.426,9435.05,2127.91,6389.35,8669.7,3720.12,2395.42
1.3,115.927,4297.4,4628.6,6691.18,9909.06,4480.18,277.814,9436.44,2129.3,6390.74,8671.09,3721.51,2396.81
