time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
0,7009.53,3887.2,2944.76,5695.67,6877.19,4104.57,896.638,1297.65,6796.22,8054.18,754.321
0.05,7010.92,3888.59,2946.15,5697.08,6878.58,4105.96,898.028,1299.03,6797.61,8055.57,755.711
0.1,7012.31,3889.98,2947.54,5698.49,6879.98,4107.35,899.418,1300.42,6799.01,8056.97,757.102
0.15,7013.7,3891.37,2948.93,5699.9,6881.37,4108.74,900.808,1301.81,6800.4,8058.36,758.492
0.2,7015.09,3892.76,2950.32,5701.3,6882.77,4110.13,902.199,1303.2,6801.8,8059.75,759.883
0.25,7016.48,3894.15,2951.71,5702.71,6884.16,4111.51,903.589,1304.59,6803.19,8061.14,761.273
0.3,7017.87,3895.54,2953.1,5704.12,6885.56,4112.9,904.979,1305.98,6804.59,8062.53,762.664
0.35,7019.25,3896.93,2954.49,5705.52,6886.95,4114.29,906.369,1307.37,6805.98,8063.92,764.054
0.4,7020.64,3898.32,2955.87,5706.93,6888.35,4115.68,907.759,1308.76,6807.38,8065.31,765.445
0.45,7022.03,3899.71,2957.26,5708.34,6889.74,4117.07,909.15,1310.15,6808.77,8066.7,766.835
0.5,7023.42,3901.1,2958.65,5709.74,6891.14,4118.46,910.54,1311.54,6810.17,8068.09,768.226
0.55,7024.81,3902.49,2960.04,5711.15,6892.53,4119.85,911.93,1312.93,6811.56,8069.48,769.616
0.6,7026.2,3903.88,2961.43,5712.56,6893.93,4121.24,913.32,1314.32,6812.95,8070.88,771.007
0.65,7027.59,3905.26,2962.82,5713.96,6895.32,4122.63,914.71,1315.7,6814.35,8072.27,772.397
0.7,7028.98,3906.65,2964.21,5715.37,6896.72,4124.01,916.101,1317.09,6815.74,8073.66,773.788
0.75,7030.37,3908.04,2965.6,5716.78,6898.11,4125.4,917.491,1318.48,6817.14,8075.05,775.178
0.8,7031.75,3909.43,2966.99,5718.18,6899.51,4126.79,918.881,1319.87,6818.53,8076.44,776.569
0.85,7033.14,3910.82,2968.37,5719.59,6900.9,4128.18,920.271,1321.26,6819.93,8077.83,777.959
0.9,7034.53,3912.21,2969.76,5721,6902.3,4129.57,921.661,1322.65,6821.32,8079.22,779.35
0.95,7035.92,3913.6,2971.15,5722.4,6903.69,4130.96,923.052,1324.04,6822.72,8080.61,780.74
1,7037.31,3914.99,2972.54,5723.81,6905.09,4132.35,924.442,1325.43,6824.11,8082,782.131
1.05,7038.7,3916.38,2973.93,5725.22,6906.48,4133.74,925.832,1326.82,6825.51,8083.39,783.522
1.1,7040.09,3917.77,2975.32,5726.62,6907.88,4135.13,927.222,1328.21,6826.9,8084.79,784.912
1.15,7041.48,3919.16,2976.71,5728.03,6909.27,4136.51,928.612,1329.6,6828.3,8086.18,786.303
1.2,7042.87,3920.55,2978.1,5729.44,6910.67,4137.9,930.003,1330.99,6829.69,8087.57,787.693
1.25,7044.25,3921.94,2979.49,5730.85,6912.06,4139.29,931.393,1332.38,6831.09,8088.96,789.084
1.3,7045.64,3923.33,2980.87,5732.25,6913.46,4140.68,932.783,1333.76,6832.48,8090.35,790.474
1.35,7047.03,3924.72,2982.26,5733.66,6914.85,4142.07,934.173,1335.15,6833.87,8091.74,791.865
1.4,7048.42,3926.11,2983.65,5735.07,6916.25,4143.46,935.563,1336.54,6835.27,8093.13,793.255
1.45,7049.81,3927.5,2985.04,5736.47,6917.64,4144.85,936.954,1337.93,6836.66,8094.52,794.646
1.5,7051.2,3928.89,2986.43,5737.88,6919.04,4146.24,938.344,1339.32,6838.06,8095.91,796.036
1.55,7052.59,3930.28,2987.82,5739.29,6920.43,4147.63,939.734,1340.71,6839.45,8097.3,797.427
1.6,7053.98,3931.67,2989.21,5740.69,6921.83,4149.01,941.124,1342.1,6840.85,8098.69,798.817
1.65,7055.37,3933.05,2990.6,5742.1,6923.22,4150.4,942.514,1343.49,6842.24,8100.09,800.208
1.7,7056.75,3934.44,2991.99,5743.51,6924.62,4151.79,943.905,1344.88,6843.64,8101.48,801.598
1.75,7058.14,3935.83,2993.37,5744.91,6926.01,4153.18,945.295,1346.27,6845.03,8102.87,802.989
1.8,7059.53,3937.22,2994.76,5746.32,6927.41,4154.57,946.685,1347.66,6846.43,8104.26,804.379
1.85,7060.92,3938.61,2996.15,5747.73,6928.8,4155.96,948.075,1349.05,6847.82,8105.65,805.77
1.9,7062.31,3940,2997.54,5749.13,6930.2,4157.35,949.465,1350.43,6849.22,8107.04,807.16
1.95,7063.7,3941.39,2998.93,5750.54,6931.59,4158.74,950.856,1351.82,6850.61,8108.43,808.551
2,7065.09,3942.78,3000.32,5751.95,6932.99,4160.13,952.246,1353.21,6852.01,8109.82,809.941
2.05,7066.48,3944.17,3001.71,5753.35,6934.38,4161.51,953.636,1354.6,6853.4,8111.21,811.332
2.1,7067.87,3945.56,3003.1,5754.76,6935.78,4162.9,955.026,1355.99,6854.79,8112.6,812.722
2.15,7069.25,3946.95,3004.49,5756.17,6937.17,4164.29,956.416,1357.38,6856.19,8114,814.113
2.2,7070.64,3948.34,3005.87,5757.58,6938.57,4165.68,957.807,1358.77,6857.58,8115.39,815.503
2.25,7072.03,3949.73,3007.26,5758.98,6939.96,4167.07,959.197,1360.16,6858.98,8116.78,816.894
2.3,7073.42,3951.12,3008.65,5760.39,6941.36,4168.46,960.587,1361.55,6860.37,8118.17,818.284
2.35,7074.81,3952.51,3010.04,5761.8,6942.75,4169.85,961.977,1362.94,6861.77,8119.56,819.675
2.4,7076.2,3953.9,3011.43,5763.2,6944.15,4171.24,963.367,1364.33,6863.16,8120.95,821.065
2.45,7077.59,3955.29,3012.82,5764.61,6945.54,4172.63,964.758,1365.72,6864.56,8122.34,822.456
2.5,7078.98,3956.68,3014.21,5766.02,6946.94,4174.01,966.148,1367.1,6865.95,8123.73,823.847
2.55,7080.37,3958.07,3015.6,5767.42,6948.33,4175.4,967.538,1368.49,6867.35,8125.12,825.237
2.6,7081.75,3959.46,3016.99,5768.83,6949.73,4176.79,968.928,1369.88,6868.74,8126.51,826.628
2.65,7083.14,3960.85,3018.37,5770.24,6951.12,4178.18,970.318,1371.27,6870.14,8127.91,828.018
2.7,7084.53,3962.23,3019.76,5771.64,6952.51,4179.57,971.709,1372.66,6871.53,8129.3,829.409
2.75,7085.92,3963.62,3021.15,5773.05,6953.91,4180.96,973.099,1374.05,6872.93,8130.69,830.799
2.8,7087.31,3965.01,3022.54,5774.46,6955.3,4182.35,974.489,1375.44,6874.32,8132.08,832.19
2.85,7088.7,3966.4,3023.93,5775.86,6956.7,4183.74,975.879,1376.83,6875.71,8133.47,833.58
2.9,7090.09,3967.79,3025.32,5777.27,6958.09,4185.13,977.269,1378.22,6877.11,8134.86,834.971
2.95,7091.48,3969.18,3026.71,5778.68,6959.49,4186.51,978.66,1379.61,6878.5,8136.25,836.361
3,7092.87,3970.57,3028.1,5780.08,6960.88,4187.9,980.05,1381,6879.9,8137.64,837.752
