time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
0,1475.55,9758.12,7550.32,3140.05,4412.1,5212.85,9662.67,6477.81,647.108,9012.28,1707.49,3562.4,5284.48,7357.96,4700.67
0.05,1476.94,9759.51,7551.71,3141.43,4413.5,5214.25,9664.06,6479.2,648.497,9013.7,1708.87,3563.8,5285.87,7359.36,4702.06
0.1,1478.32,9760.91,7553.1,3142.82,4414.89,5215.64,9665.45,6480.59,649.885,9015.12,1710.26,3565.21,5287.26,7360.77,4703.46
0.15,1479.7,9762.3,7554.49,3144.2,4416.29,5217.03,9666.85,6481.98,651.274,9016.54,1711.65,3566.61,5288.65,7362.18,4704.85
0.2,1481.08,9763.7,7555.88,3145.58,4417.68,5218.43,9668.24,6483.37,652.662,9017.96,1713.04,3568.01,5290.04,7363.59,4706.24
0.25,1482.46,9765.1,7557.27,3146.97,4419.07,5219.82,9669.63,6484.76,654.051,9019.37,1714.43,3569.41,5291.43,7365,4707.64
0.3,1483.85,9766.49,7558.66,3148.35,4420.47,5221.21,9671.02,6486.15,655.439,9020.79,1715.82,3570.82,5292.82,7366.41,4709.03
0.35,1485.23,9767.89,7560.05,3149.73,4421.86,5222.61,9672.42,6487.54,656.827,9022.21,1717.2,3572.22,5294.21,7367.82,4710.42
0.4,1486.61,9769.29,7561.44,3151.12,4423.25,5224,9673.81,6488.93,658.216,9023.63,1718.59,3573.62,5295.59,7369.22,4711.82
0.45,1487.99,9770.68,7562.82,3152.5,4424.65,5225.39,9675.2,6490.32,659.604,9025.05,1719.98,3575.02,5296.98,7370.63,4713.21
0.5,1489.37,9772.08,7564.21,3153.89,4426.04,5226.79,9676.6,6491.71,660.993,9026.47,1721.37,3576.42,5298.37,7372.04,4714.6
0.55,1490.76,9773.47,7565.6,3155.27,4427.43,5228.18,9677.99,6493.11,662.381,9027.89,1722.76,3577.83,5299.76,7373.45,4716
0.6,1492.14,9774.87,7566.99,3156.65,4428.83,5229.57,9679.38,6494.5,663.77,9029.31,1724.15,3579.23,5301.15,7374.86,4717.39
0.65,1493.52,9776.27,7568.38,3158.04,4430.22,5230.97,9680.77,6495.89,665.158,9030.73,1725.53,3580.63,5302.54,7376.27,4718.79
0.7,1494.9,9777.66,7569.77,3159.42,4431.61,5232.36,9682.17,6497.28,666.547,9032.15,1726.92,3582.03,5303.93,7377.68,4720.18
0.75,1496.28,9779.06,7571.16,3160.8,4433.01,5233.75,9683.56,6498.67,667.935,9033.57,1728.31,3583.44,5305.32,7379.08,4721.57
0.8,1497.67,9780.46,7572.55,3162.19,4434.4,5235.15,9684.95,6500.06,669.324,9034.98,1729.7,3584.84,5306.71,7380.49,4722.97
0.85,1499.05,9781.85,7573.94,3163.57,4435.8,5236.54,9686.35,6501.45,670.712,9036.4,1731.09,3586.24,5308.09,7381.9,4724.36
0.9,1500.43,9783.25,7575.32,3164.95,4437.19,5237.93,9687.74,6502.84,672.1,9037.82,1732.48,3587.64,5309.48,7383.31,4725.75
0.95,1501.81,9784.64,7576.71,3166.34,4438.58,5239.33,9689.13,6504.23,673.489,9039.24,1733.86,3589.05,5310.87,7384.72,4727.15
1,1503.19,9786.04,7578.1,3167.72,4439.98,5240.72,9690.52,6505.62,674.877,9040.66,1735.25,3590.45,5312.26,7386.13,4728.54
1.05,1504.58,9787.44,7579.49,3169.11,4441.37,5242.11,9691.92,6507.01,676.266,9042.08,1736.64,3591.85,5313.65,7387.53,4729.93
1.1,1505.96,9788.83,7580.88,3170.49,4442.76,5243.51,9693.31,6508.4,677.654,9043.5,1738.03,3593.25,5315.04,7388.94,4731.33
1.15,1507.34,9790.23,7582.27,3171.87,4444.16,5244.9,9694.7,6509.79,679.043,9044.92,1739.42,3594.65,5316.43,7390.35,4732.72
1.2,1508.72,9791.62,7583.66,3173.26,4445.55,5246.29,9696.1,6511.18,680.431,9046.34,1740.81,3596.06,5317.82,7391.76,4734.11
1.25,1510.1,9793.02,7585.05,3174.64,4446.94,5247.69,9697.49,6512.58,681.82,9047.76,1742.19,3597.46,5319.21,7393.17,4735.51
1.3,1511.49,9794.42,7586.44,3176.02,4448.34,5249.08,9698.88,6513.97,683.208,9049.18,1743.58,3598.86,5320.59,7394.58,4736.9
1.35,1512.87,9795.81,7587.82,3177.41,4449.73,5250.47,9700.27,6515.36,684.597,9050.59,1744.97,3600.26,5321.98,7395.99,4738.29
1.4,1514.25,9797.21,7589.21,3178.79,4451.12,5251.87,9701.67,6516.75,685.985,9052.01,1746.36,3601.67,5323.37,7397.39,4739.69
1.45,1515.63,9798.61,7590.6,3180.17,4452.52,5253.26,9703.06,6518.14,687.374,9053.43,1747.75,3603.07,5324.76,7398.8,4741.08
1.5,1517.01,9800,7591.99,3181.56,4453.91,5254.65,9704.45,6519.53,688.762,9054.85,1749.14,3604.47,5326.15,7400.21,4742.47
1.55,1518.4,9801.4,7593.38,3182.94,4455.31,5256.05,9705.85,6520.92,690.15,9056.27,1750.52,3605.87,5327.54,7401.62,4743.87
1.6,1519.78,9802.79,7594.77,3184.33,4456.7,5257.44,9707.24,6522.31,691.539,9057.69,1751.91,3607.28,5328.93,7403.03,4745.26
1.65,1521.16,9804.19,7596.16,3185.71,4458.09,5258.83,9708.63,6523.7,692.927,9059.11,1753.3,3608.68,5330.32,7404.44,4746.65
1.7,1522.54,9805.59,7597.55,3187.09,4459.49,5260.23,9710.02,6525.09,694.316,9060.53,1754.69,3610.08,5331.71,7405.85,4748.05
1.75,1523.92,9806.98,7598.94,3188.48,4460.88,5261.62,9711.42,6526.48,695.704,9061.95,1756.08,3611.48,5333.09,7407.25,4749.44
1.8,1525.31,9808.38,7600.32,3189.86,4462.27,5263.01,9712.81,6527.87,697.093,9063.37,1757.47,3612.89,5334.48,7408.66,4750.83
1.85,1526.69,9809.78,7601.71,3191.24,4463.67,5264.41,9714.2,6529.26,698.481,9064.79,1758.85,3614.29,5335.87,7410.07,4752.23
1.9,1528.07,9811.17,7603.1,3192.63,4465.06,5265.8,9715.6,6530.65,699.87,9066.2,1760.24,3615.69,5337.26,7411.48,4753.62
1.95,1529.45,9812.57,7604.49,3194.01,4466.45,5267.19,9716.99,6532.05,701.258,9067.62,1761.63,3617.09,5338.65,7412.89,4755.01
2,1530.83,9813.96,7605.88,3195.4,4467.85,5268.59,9718.38,6533.44,702.647,9069.04,1763.02,3618.49,5340.04,7414.3,4756.41
2.05,1532.22,9815.36,7607.27,3196.78,4469.24,5269.98,9719.77,6534.83,704.035,9070.46,1764.41,3619.9,5341.43,7415.71,4757.8
2.1,1533.6,9816.76,7608.66,3198.16,4470.64,5271.37,9721.17,6536.22,705.423,9071.88,1765.8,3621.3,5342.82,7417.11,4759.19
2.15,1534.98,9818.15,7610.05,3199.55,4472.03,5272.76,9722.56,6537.61,706.812,9073.3,1767.18,3622.7,5344.21,7418.52,4760.59
2.2,1536.36,9819.55,7611.44,3200.93,4473.42,5274.16,9723.95,6539,708.2,9074.72,1768.57,3624.1,5345.59,7419.93,4761.98
2.25,1537.74,9820.94,7612.82,3202.31,4474.82,5275.55,9725.35,6540.39,709.589,9076.14,1769.96,3625.51,5346.98,7421.34,4763.37
2.3,1539.13,9822.34,7614.21,3203.7,4476.21,5276.94,9726.74,6541.78,710.977,9077.56,1771.35,3626.91,5348.37,7422.75,4764.77
2.35,1540.51,9823.74,7615.6,3205.08,4477.6,5278.34,9728.13,6543.17,712.366,9078.98,1772.74,3628.31,5349.76,7424.16,4766.16
2.4,1541.89,9825.13,7616.99,3206.46,4479,5279.73,9729.52,6544.56,713.754,9080.4,1774.13,3629.71,5351.15,7425.57,4767.55
2.45,1543.27,9826.53,7618.38,3207.85,4480.39,5281.12,9730.92,6545.95,715.143,9081.81,1775.51,3631.12,5352.54,7426.97,4768.95
2.5,1544.65,9827.93,7619.77,3209.23,4481.78,5282.52,9732.31,6547.34,716.531,9083.23,1776.9,3632.52,5353.93,7428.38,4770.34
2.55,1546.04,9829.32,7621.16,3210.62,4483.18,5283.91,9733.7,6548.73,717.92,9084.65,1778.29,3633.92,5355.32,7429.79,4771.73
2.6,1547.42,9830.72,7622.55,3212,4484.57,5285.3,9735.1,6550.12,719.308,9086.07,1779.68,3635.32,5356.71,7431.2,4773.13
2.65,1548.8,9832.11,7623.94,3213.38,4485.96,5286.7,9736.49,6551.52,720.696,9087.49,1781.07,3636.72,5358.09,7432.61,4774.52
2.7,1550.18,9833.51,7625.32,3214.77,4487.36,5288.09,9737.88,6552.91,722.085,9088.91,1782.46,3638.13,5359.48,7434.02,4775.91
