time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
0,6183.21,184.658,7311.91,4473.67,552.918,9534.68,5925.8,1173.85,3363.91,5037.28,8039.35,8656.8,751.023,3220.89,6926.06,3297.15
0.05,6184.6,186.047,7313.3,4475.06,554.318,9536.07,5927.22,1175.24,3365.3,5038.67,8040.76,8658.19,752.411,3222.28,6927.46,3298.53
0.1,6185.98,187.436,7314.69,4476.46,555.718,9537.46,5928.64,1176.63,3366.69,5040.06,8042.16,8659.58,753.8,3223.67,6928.85,3299.92
0.15,6187.37,188.825,7316.08,4477.85,557.119,9538.85,5930.06,1178.02,3368.08,5041.46,8043.57,8660.97,755.189,3225.05,6930.25,3301.31
0.2,6188.76,190.214,7317.47,4479.24,558.519,9540.24,5931.48,1179.42,3369.47,5042.85,8044.97,8662.36,756.578,3226.44,6931.64,3302.7
0.25,6190.15,191.603,7318.86,4480.63,559.919,9541.63,5932.9,1180.81,3370.86,5044.24,8046.38,8663.75,757.967,3227.83,6933.04,3304.09
0.3,6191.54,192.992,7320.25,4482.02,561.319,9543.02,5934.32,1182.2,3372.25,5045.63,8047.78,8665.14,759.356,3229.22,6934.43,3305.48
0.35,6192.93,194.38,7321.64,4483.41,562.719,9544.41,5935.74,1183.59,3373.63,5047.03,8049.18,8666.53,760.745,3230.6,6935.83,3306.86
0.4,6194.32,195.769,7323.02,4484.8,564.119,9545.8,5937.16,1184.98,3375.02,5048.42,8050.59,8667.92,762.134,3231.99,6937.22,3308.25
0.45,6195.71,197.158,7324.41,4486.2,565.519,9547.19,5938.58,1186.38,3376.41,5049.81,8051.99,8669.31,763.523,3233.38,6938.62,3309.64
0.5,6197.1,198.547,7325.8,4487.59,566.92,9548.58,5940,1187.77,3377.8,5051.2,8053.4,8670.7,764.911,3234.77,6940.01,3311.03
0.55,6198.48,199.936,7327.19,4488.98,568.32,9549.97,5941.42,1189.16,3379.19,5052.6,8054.8,8672.09,766.3,3236.15,6941.4,3312.42
0.6,6199.87,201.325,7328.58,4490.37,569.72,9551.36,5942.85,1190.55,3380.58,5053.99,8056.2,8673.48,767.689,3237.54,6942.8,3313.81
0.65,6201.26,202.714,7329.97,4491.76,571.12,9552.75,5944.27,1191.95,3381.97,5055.38,8057.61,8674.87,769.078,3238.93,6944.19,3315.2
0.7,6202.65,204.103,7331.36,4493.15,572.52,9554.14,5945.69,1193.34,3383.36,5056.77,8059.01,8676.26,770.467,3240.32,6945.59,3316.58
0.75,6204.04,205.492,7332.75,4494.54,573.92,9555.53,5947.11,1194.73,3384.75,5058.17,8060.42,8677.65,771.856,3241.7,6946.98,3317.97
0.8,6205.43,206.88,7334.14,4495.94,575.321,9556.92,5948.53,1196.12,3386.13,5059.56,8061.82,8679.04,773.245,3243.09,6948.38,3319.36
0.85,6206.82,208.269,7335.52,4497.33,576.721,9558.31,5949.95,1197.51,3387.52,5060.95,8063.22,8680.43,774.634,3244.48,6949.77,3320.75
0.9,6208.21,209.658,7336.91,4498.72,578.121,9559.7,5951.37,1198.91,3388.91,5062.34,8064.63,8681.82,776.023,3245.87,6951.17,3322.14
0.95,6209.6,211.047,7338.3,4500.11,579.521,9561.09,5952.79,1200.3,3390.3,5063.74,8066.03,8683.21,777.411,3247.25,6952.56,3323.53
1,6210.98,212.436,7339.69,4501.5,580.921,9562.48,5954.21,1201.69,3391.69,5065.13,8067.44,8684.6,778.8,3248.64,6953.96,3324.91
1.05,6212.37,213.825,7341.08,4502.89,582.321,9563.87,5955.63,1203.08,3393.08,5066.52,8068.84,8685.99,780.189,3250.03,6955.35,3326.3
1.1,6213.76,215.214,7342.47,4504.28,583.722,9565.26,5957.05,1204.48,3394.47,5067.91,8070.24,8687.38,781.578,3251.42,6956.75,3327.69
1.15,6215.15,216.603,7343.86,4505.68,585.122,9566.65,5958.47,1205.87,3395.86,5069.31,8071.65,8688.77,782.967,3252.8,6958.14,3329.08
1.2,6216.54,217.992,7345.25,4507.07,586.522,9568.04,5959.9,1207.26,3397.25,5070.7,8073.05,8690.16,784.356,3254.19,6959.54,3330.47
1.25,6217.93,219.38,7346.64,4508.46,587.922,9569.43,5961.32,1208.65,3398.63,5072.09,8074.46,8691.55,785.745,3255.58,6960.93,3331.86
1.3,6219.32,220.769,7348.02,4509.85,589.322,9570.82,5962.74,1210.04,3400.02,5073.48,8075.86,8692.94,787.134,3256.97,6962.33,3333.25
1.35,6220.71,222.158,7349.41,4511.24,590.722,9572.21,5964.16,1211.44,3401.41,5074.88,8077.26,8694.33,788.523,3258.35,6963.72,3334.63
1.4,6222.1,223.547,7350.8,4512.63,592.123,9573.6,5965.58,1212.83,3402.8,5076.27,8078.67,8695.72,789.911,3259.74,6965.12,3336.02
1.45,6223.48,224.936,7352.19,4514.02,593.523,9574.99,5967,1214.22,3404.19,5077.66,8080.07,8697.11,791.3,3261.13,6966.51,3337.41
1.5,6224.87,226.325,7353.58,4515.42,594.923,9576.38,5968.42,1215.61,3405.58,5079.05,8081.48,8698.5,792.689,3262.52,6967.9,3338.8
1.55,6226.26,227.714,7354.97,4516.81,596.323,9577.77,5969.84,1217.01,3406.97,5080.45,8082.88,8699.89,794.078,3263.9,6969.3,3340.19
1.6,6227.65,229.103,7356.36,4518.2,597.723,9579.16,5971.26,1218.4,3408.36,5081.84,8084.28,8701.28,795.467,3265.29,6970.69,3341.58
1.65,6229.04,230.492,7357.75,4519.59,599.123,9580.55,5972.68,1219.79,3409.75,5083.23,8085.69,8702.67,796.856,3266.68,6972.09,3342.96
1.7,6230.43,231.88,7359.14,4520.98,600.524,9581.94,5974.1,1221.18,3411.13,5084.62,8087.09,8704.06,798.245,3268.07,6973.48,3344.35
1.75,6231.82,233.269,7360.52,4522.37,601.924,9583.33,5975.52,1222.57,3412.52,5086.02,8088.5,8705.45,799.634,3269.45,6974.88,3345.74
1.8,6233.21,234.658,7361.91,4523.76,603.324,9584.72,5976.94,1223.97,3413.91,5087.41,8089.9,8706.84,801.023,3270.84,6976.27,3347.13
1.85,6234.6,236.047,7363.3,4525.16,604.724,9586.11,5978.37,1225.36,3415.3,5088.8,8091.3,8708.23,802.411,3272.23,6977.67,3348.52
1.9,6235.98,237.436,7364.69,4526.55,606.124,9587.5,5979.79,1226.75,3416.69,5090.19,8092.71,8709.62,803.8,3273.62,6979.06,3349.91
1.95,6237.37,238.825,7366.08,4527.94,607.524,9588.89,5981.21,1228.14,3418.08,5091.59,8094.11,8711.01,805.189,3275,6980.46,3351.29
2,6238.76,240.214,7367.47,4529.33,608.925,9590.28,5982.63,1229.54,3419.47,5092.98,8095.52,8712.4,806.578,3276.39,6981.85,3352.68
2.05,6240.15,241.603,7368.86,4530.72,610.325,9591.67,5984.05,1230.93,3420.86,5094.37,8096.92,8713.79,807.967,3277.78,6983.25,3354.07
2.1,6241.54,242.992,7370.25,4532.11,611.725,9593.06,5985.47,1232.32,3422.25,5095.76,8098.33,8715.18,809.356,3279.17,6984.64,3355.46
2.15,6242.93,244.38,7371.64,4533.5,613.125,9594.45,5986.89,1233.71,3423.63,5097.16,8099.73,8716.57,810.745,3280.56,6986.04,3356.85
2.2,6244.32,245.769,7373.02,4534.9,614.525,9595.84,5988.31,1235.1,3425.02,5098.55,8101.13,8717.96,812.134,3281.94,6987.43,3358.24
2.25,6245.71,247.158,7374.41,4536.29,615.925,9597.23,5989.73,1236.5,3426.41,5099.94,8102.54,8719.35,813.523,3283.33,6988.83,3359.63
2.3,6247.1,248.547,7375.8,4537.68,617.326,9598.62,5991.15,1237.89,3427.8,5101.33,8103.94,8720.74,814.911,3284.72,6990.22,3361.01
2.35,6248.48,249.936,7377.19,4539.07,618.726,9600.01,5992.57,1239.28,3429.19,5102.73,8105.35,8722.13,816.3,3286.11,6991.61,3362.4
2.4,6249.87,251.325,7378.58,4540.46,620.126,9601.4,5993.99,1240.67,3430.58,5104.12,8106.75,8723.52,817.689,3287.49,6993.01,3363.79
2.45,6251.26,252.714,7379.97,4541.85,621.526,9602.79,5995.41,1242.07,3431.97,5105.51,8108.15,8724.91,819.078,3288.88,6994.4,3365.18
2.5,6252.65,254.103,7381.36,4543.24,622.926,9604.18,5996.84,1243.46,3433.36,5106.9,8109.56,8726.3,820.467,3290.27,6995.8,3366.57
2.55,6254.04,255.492,7382.75,4544.64,624.327,9605.57,5998.26,1244.85,3434.75,5108.3,8110.96,8727.69,821.856,3291.66,6997.19,3367.96
2.6,6255.43,256.88,7384.14,4546.03,625.727,9606.96,5999.68,1246.24,3436.13,5109.69,8112.37,8729.08,823.245,3293.04,6998.59,3369.34
2.65,6256.82,258.269,7385.52,4547.42,627.127,9608.35,6001.1,1247.63,3437.52,5111.08,8113.77,8730.47,824.634,3294.43,6999.98,3370.73
2.7,6258.21,259.658,7386.91,4548.81,628.527,9609.74,6002.52,1249.03,3438.91,5112.47,8115.17,8731.86,826.023,3295.82,7001.38,3372.12
2.75,6259.6,261.047,7388.3,4550.2,629.927,9611.13,6003.94,1250.42,3440.3,5113.87,8116.58,8733.25,827.411,3297.21,7002.77,3373.51
2.8,6260.98,262.436,7389.69,4551.59,631.327,9612.52,6005.36,1251.81,3441.69,5115.26,8117.98,8734.64,828.8,3298.59,7004.17,3374.9
2.85,6262.37,263.825,7391.08,4552.98,632.728,9613.91,6006.78,1253.2,3443.08,5116.65,8119.39,8736.03,830.189,3299.98,7005.56,3376.29
