time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
0,9592.48,9079.7,2879.17,9221.65,4434.41,9343.4,6180.31,5792.97,7211.21,1084.86,6911.13,1323.75,4109.46,4466.88,5536.29,2974.08,7747.18,704.267,3824.47,820.732
0.05,9593.87,9081.1,2880.54,9223.05,4435.8,9344.79,6181.7,5794.36,7212.6,1086.25,6912.52,1325.14,4110.85,4468.27,5537.69,2975.47,7748.57,705.656,3825.87,822.121
0.1,9595.27,9082.5,2881.9,9224.44,4437.19,9346.18,6183.09,5795.75,7213.99,1087.64,6913.9,1326.53,4112.24,4469.66,5539.08,2976.85,7749.96,707.046,3827.27,823.51
0.15,9596.67,9083.9,2883.27,9225.83,4438.58,9347.57,6184.49,5797.14,7215.38,1089.03,6915.29,1327.92,4113.63,4471.05,5540.47,2978.24,7751.35,708.435,3828.67,824.899
0.2,9598.06,9085.3,2884.64,9227.22,4439.98,9348.96,6185.88,5798.53,7216.77,1090.43,6916.68,1329.31,4115.02,4472.44,5541.86,2979.63,7752.74,709.825,3830.07,826.288
0.25,9599.46,9086.7,2886.01,9228.62,4441.37,9350.34,6187.28,5799.92,7218.16,1091.82,6918.07,1330.7,4116.4,4473.83,5543.25,2981.02,7754.13,711.215,3831.47,827.677
0.3,9600.86,9088.1,2887.38,9230.01,4442.76,9351.73,6188.67,5801.31,7219.54,1093.21,6919.46,1332.09,4117.79,4475.22,5544.64,2982.41,7755.52,712.604,3832.88,829.065
0.35,9602.25,9089.5,2888.74,9231.4,4444.15,9353.12,6190.07,5802.7,7220.93,1094.61,6920.84,1333.48,4119.18,4476.61,5546.03,2983.8,7756.91,713.994,3834.28,830.454
0.4,9603.65,9090.9,2890.11,9232.8,4445.54,9354.51,6191.46,5804.09,7222.32,1096,6922.23,1334.86,4120.57,4478,5547.42,2985.19,7758.3,715.383,3835.68,831.843
0.45,9605.04,9092.3,2891.48,9234.19,4446.94,9355.9,6192.86,5805.47,7223.71,1097.39,6923.62,1336.25,4121.96,4479.38,5548.81,2986.58,7759.69,716.773,3837.08,833.232
