time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
0,120.738,9904,347.591,6835.93,3923.81,9348.74,6560.94,6314.9,3805.13,9088.76,2437.93,5890.89
0.05,122.13,9905.4,348.98,6837.33,3925.21,9350.13,6562.33,6316.29,3806.52,9090.15,2439.33,5892.27
0.1,123.523,9906.8,350.369,6838.73,3926.6,9351.52,6563.72,6317.68,3807.91,9091.54,2440.72,5893.66
0.15,124.916,9908.2,351.758,6840.12,3927.99,9352.91,6565.11,6319.07,3809.3,9092.93,2442.11,5895.05
0.2,126.308,9909.6,353.147,6841.52,3929.38,9354.3,6566.5,6320.47,3810.69,9094.32,2443.5,5896.44
0.25,127.701,9911,354.536,6842.92,3930.77,9355.68,6567.89,6321.86,3812.08,9095.71,2444.89,5897.83
0.3,129.093,9912.4,355.925,6844.31,3932.17,9357.07,6569.27,6323.25,3813.47,9097.1,2446.28,5899.22
0.35,130.486,9913.8,357.313,6845.71,3933.56,9358.46,6570.66,6324.64,3814.87,9098.49,2447.67,5900.61
0.4,131.879,9915.2,358.702,6847.11,3934.95,9359.85,6572.05,6326.03,3816.26,9099.88,2449.07,5902
0.45,133.271,9916.6,360.091,6848.5,3936.34,9361.24,6573.44,6327.43,3817.65,9101.27,2450.46,5903.39
0.5,134.664,9918,361.48,6849.9,3937.74,9362.63,6574.83,6328.82,3819.04,9102.65,2451.85,5904.77
0.55,136.056,9919.4,362.869,6851.3,3939.13,9364.02,6576.22,6330.21,3820.43,9104.04,2453.24,5906.16
0.6,137.449,9920.8,364.258,6852.7,3940.52,9365.41,6577.61,6331.6,3821.82,9105.43,2454.63,5907.55
0.65,138.842,9922.2,365.647,6854.09,3941.91,9366.8,6579,6332.99,3823.21,9106.82,2456.02,5908.94
0.7,140.234,9923.6,367.036,6855.49,3943.3,9368.18,6580.39,6334.39,3824.61,9108.21,2457.41,5910.33
0.75,141.627,9925,368.425,6856.89,3944.7,9369.57,6581.77,6335.78,3826,9109.6,2458.81,5911.72
