time,N1
15.7,9311.41
15.75,9312.81
15.8,9314.2
15.85,9315.6
15.9,9317
15.95,9318.39
16,9319.79
16.05,9321.18
16.1,9322.58
16.15,9323.98
16.2,9325.37
16.25,9326.77
16.3,9328.16
16.35,9329.56
16.4,9330.96
16.45,9332.35
16.5,9333.75
16.55,9335.15
16.6,9336.54
16.65,9337.94
16.7,9339.33
16.75,9340.73
16.8,9342.13
16.85,9343.52
16.9,9344.92
16.95,9346.31
17,9347.71
17.05,9349.11
17.1,9350.5
17.15,9351.9
17.2,9353.3
17.25,9354.69
17.3,9356.09
17.35,9357.48
17.4,9358.88
17.45,9360.28
17.5,9361.67
17.55,9363.07
17.6,9364.46
17.65,9365.86
17.7,9367.26
17.75,9368.65
17.8,9370.05
17.85,9371.44
17.9,9372.84
17.95,9374.24
18,9375.63
18.05,9377.03
18.1,9378.43
18.15,9379.82
18.2,9381.22
18.25,9382.61
18.3,9384.01
18.35,9385.41
18.4,9386.8
18.45,9388.2
18.5,9389.59
18.55,9390.99
18.6,9392.39
18.65,9393.78
18.7,9395.18
18.75,9396.58
18.8,9397.97
18.85,9399.37
18.9,9400.76
18.95,9402.16
19,9403.56
19.05,9404.95
19.1,9406.35
19.15,9407.74
19.2,9409.14
19.25,9410.54
19.3,9411.93
19.35,9413.33
19.4,9414.73
19.45,9416.12
19.5,9417.52
19.55,9418.91
19.6,9420.31
19.65,9421.71
19.7,9423.1
19.75,9424.5
19.8,9425.89
19.85,9427.29
19.9,9428.69
19.95,9430.08
20,9431.48
20.05,9432.88
20.1,9434.27
20.15,9435.67
20.2,9437.06
20.25,9438.46
20.3,9439.86
20.35,9441.25
20.4,9442.65
20.45,9444.04
20.5,9445.44
20.55,9446.84
20.6,9448.23
20.65,9449.63
20.7,9451.02
20.75,9452.42
20.8,9453.82
20.85,9455.21
20.9,9456.61
20.95,9458.01
21,9459.4
21.05,9460.8
21.1,9462.19
21.15,9463.59
21.2,9464.99
21.25,9466.38
21.3,9467.78
21.35,9469.17
21.4,9470.57
21.45,9471.97
21.5,9473.36
21.55,9474.76
21.6,9476.16
21.65,9477.55
21.7,9478.95
21.75,9480.34
21.8,9481.74
21.85,9483.14
21.9,9484.53
21.95,9485.93
22,9487.32
22.05,9488.72
22.1,9490.12
22.15,9491.51
22.2,9492.91
22.25,9494.3
22.3,9495.7
