time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
0,8676.2,5549.15,4611.43,7258.88,8511.08,5771.24,2554.67,2960.78,8426.07,9706.85,2409.71
0.05,8677.59,5550.54,4612.82,7260.29,8512.47,5772.62,2556.06,2962.17,8427.47,9708.24,2411.1
0.1,8678.98,5551.93,4614.21,7261.69,8513.86,5774.01,2557.45,2963.56,8428.86,9709.63,2412.5
0.15,8680.37,5553.32,4615.6,7263.1,8515.26,5775.4,2558.84,2964.95,8430.26,9711.02,2413.89
0.2,8681.75,5554.71,4616.99,7264.51,8516.65,5776.79,2560.23,2966.34,8431.65,9712.42,2415.28
0.25,8683.14,5556.1,4618.37,7265.91,8518.05,5778.18,2561.63,2967.73,8433.05,9713.81,2416.67
0.3,8684.53,5557.49,4619.76,7267.32,8519.44,5779.57,2563.02,2969.12,8434.44,9715.2,2418.06
0.35,8685.92,5558.88,4621.15,7268.72,8520.83,5780.96,2564.41,2970.51,8435.84,9716.59,2419.45
0.4,8687.31,5560.27,4622.54,7270.13,8522.23,5782.35,2565.8,2971.9,8437.23,9717.98,2420.84
0.45,8688.7,5561.66,4623.93,7271.53,8523.62,5783.74,2567.19,2973.29,8438.63,9719.37,2422.23
0.5,8690.09,5563.05,4625.32,7272.94,8525.01,5785.12,2568.58,2974.68,8440.02,9720.76,2423.62
0.55,8691.48,5564.44,4626.71,7274.34,8526.41,5786.51,2569.97,2976.07,8441.42,9722.16,2425.02
0.6,8692.87,5565.83,4628.1,7275.75,8527.8,5787.9,2571.36,2977.46,8442.82,9723.55,2426.41
0.65,8694.25,5567.21,4629.49,7277.15,8529.2,5789.29,2572.75,2978.85,8444.21,9724.94,2427.8
0.7,8695.64,5568.6,4630.87,7278.56,8530.59,5790.68,2574.14,2980.24,8445.61,9726.33,2429.19
0.75,8697.03,5569.99,4632.26,7279.97,8531.98,5792.07,2575.53,2981.63,8447,9727.72,2430.58
0.8,8698.42,5571.38,4633.65,7281.37,8533.38,5793.46,2576.92,2983.02,8448.4,9729.11,2431.97
0.85,8699.81,5572.77,4635.04,7282.78,8534.77,5794.85,2578.31,2984.41,8449.79,9730.5,2433.36
0.9,8701.2,5574.16,4636.43,7284.18,8536.16,5796.24,2579.7,2985.8,8451.19,9731.9,2434.75
0.95,8702.59,5575.55,4637.82,7285.59,8537.56,5797.62,2581.09,2987.19,8452.58,9733.29,2436.14
1,8703.98,5576.94,4639.21,7286.99,8538.95,5799.01,2582.48,2988.58,8453.98,9734.68,2437.53
1.05,8705.37,5578.33,4640.6,7288.4,8540.35,5800.4,2583.87,2989.97,8455.37,9736.07,2438.93
1.1,8706.75,5579.72,4641.99,7289.8,8541.74,5801.79,2585.26,2991.36,8456.77,9737.46,2440.32
1.15,8708.14,5581.11,4643.37,7291.21,8543.13,5803.18,2586.65,2992.75,8458.16,9738.85,2441.71
1.2,8709.53,5582.5,4644.76,7292.61,8544.53,5804.57,2588.04,2994.14,8459.56,9740.24,2443.1
1.25,8710.92,5583.89,4646.15,7294.02,8545.92,5805.96,2589.43,2995.53,8460.96,9741.64,2444.49
1.3,8712.31,5585.28,4647.54,7295.43,8547.32,5807.35,2590.82,2996.92,8462.35,9743.03,2445.88
1.35,8713.7,5586.67,4648.93,7296.83,8548.71,5808.74,2592.22,2998.31,8463.75,9744.42,2447.27
1.4,8715.09,5588.06,4650.32,7298.24,8550.1,5810.12,2593.61,2999.7,8465.14,9745.81,2448.66
1.45,8716.48,5589.45,4651.71,7299.64,8551.5,5811.51,2595,3001.09,8466.54,9747.2,2450.05
