time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
1.6,4958.68,6482.21,3270.35,3579.55,7091.96,8521.37,415.514,2655.12,169.765,772.334,1935.38,9935.94,7626.79,6628.21,9391.17,5256.79,5371.38
1.65,4960.07,6483.6,3271.74,3580.94,7093.35,8522.76,416.903,2656.51,171.157,773.73,1936.77,9937.33,7628.18,6629.6,9392.56,5258.16,5372.76
1.7,4961.46,6484.99,3273.13,3582.33,7094.74,8524.15,418.292,2657.9,172.55,775.127,1938.16,9938.72,7629.57,6630.99,9393.96,5259.53,5374.15
1.75,4962.85,6486.39,3274.52,3583.73,7096.12,8525.54,419.681,2659.29,173.942,776.524,1939.55,9940.11,7630.96,6632.38,9395.35,5260.9,5375.54
1.8,4964.23,6487.78,3275.91,3585.12,7097.51,8526.93,421.07,2660.68,175.334,777.921,1940.94,9941.49,7632.36,6633.77,9396.74,5262.27,5376.93
1.85,4965.62,6489.17,3277.3,3586.51,7098.9,8528.32,422.459,2662.07,176.726,779.318,1942.33,9942.88,7633.75,6635.16,9398.13,5263.64,5378.32
1.9,4967.01,6490.56,3278.69,3587.9,7100.29,8529.71,423.848,2663.47,178.118,780.715,1943.72,9944.27,7635.14,6636.55,9399.52,5265.01,5379.71
1.95,4968.4,6491.95,3280.08,3589.29,7101.68,8531.09,425.237,2664.86,179.511,782.112,1945.1,9945.66,7636.53,6637.94,9400.92,5266.38,5381.1
2,4969.79,6493.35,3281.46,3590.68,7103.07,8532.48,426.626,2666.25,180.903,783.509,1946.49,9947.05,7637.93,6639.33,9402.31,5267.75,5382.49
2.05,4971.18,6494.74,3282.85,3592.07,7104.46,8533.87,428.014,2667.64,182.295,784.906,1947.88,9948.44,7639.32,6640.72,9403.7,5269.12,5383.88
2.1,4972.57,6496.13,3284.24,3593.46,7105.85,8535.26,429.403,2669.03,183.687,786.303,1949.27,9949.83,7640.71,6642.11,9405.09,5270.49,5385.26
2.15,4973.96,6497.52,3285.63,3594.86,7107.24,8536.65,430.792,2670.43,185.079,787.7,1950.66,9951.22,7642.1,6643.5,9406.48,5271.86,5386.65
2.2,4975.34,6498.91,3287.02,3596.25,7108.63,8538.04,432.181,2671.82,186.471,789.097,1952.05,9952.61,7643.5,6644.89,9407.88,5273.23,5388.04
2.25,4976.73,6500.3,3288.41,3597.64,7110.02,8539.43,433.57,2673.21,187.864,790.494,1953.44,9953.99,7644.89,6646.28,9409.27,5274.61,5389.43
2.3,4978.12,6501.7,3289.8,3599.03,7111.41,8540.82,434.959,2674.6,189.256,791.891,1954.83,9955.38,7646.28,6647.67,9410.66,5275.98,5390.82
2.35,4979.51,6503.09,3291.19,3600.42,7112.8,8542.21,436.348,2675.99,190.648,793.288,1956.22,9956.77,7647.67,6649.06,9412.05,5277.35,5392.21
2.4,4980.9,6504.48,3292.58,3601.81,7114.19,8543.59,437.737,2677.39,192.04,794.684,1957.6,9958.16,7649.07,6650.45,9413.44,5278.72,5393.6
2.45,4982.29,6505.87,3293.96,3603.2,7115.58,8544.98,439.126,2678.78,193.432,796.081,1958.99,9959.55,7650.46,6651.84,9414.84,5280.09,5394.99
2.5,4983.68,6507.26,3295.35,3604.59,7116.97,8546.37,440.514,2680.17,194.824,797.478,1960.38,9960.94,7651.85,6653.23,9416.23,5281.46,5396.38
2.55,4985.07,6508.66,3296.74,3605.98,7118.36,8547.76,441.903,2681.56,196.217,798.875,1961.77,9962.33,7653.24,6654.62,9417.62,5282.83,5397.76
2.6,4986.45,6510.05,3298.13,3607.38,7119.75,8549.15,443.292,2682.95,197.609,800.272,1963.16,9963.72,7654.64,6656.01,9419.01,5284.2,5399.15
2.65,4987.84,6511.44,3299.52,3608.77,7121.14,8550.54,444.681,2684.35,199.001,801.669,1964.55,9965.11,7656.03,6657.4,9420.41,5285.57,5400.54
2.7,4989.23,6512.83,3300.91,3610.16,7122.53,8551.93,446.07,2685.74,200.393,803.066,1965.94,9966.49,7657.42,6658.79,9421.8,5286.94,5401.93
2.75,4990.62,6514.22,3302.3,3611.55,7123.92,8553.32,447.459,2687.13,201.785,804.463,1967.33,9967.88,7658.81,6660.18,9423.19,5288.31,5403.32
2.8,4992.01,6515.62,3303.69,3612.94,7125.31,8554.71,448.848,2688.52,203.177,805.86,1968.72,9969.27,7660.2,6661.57,9424.58,5289.68,5404.71
2.85,4993.4,6517.01,3305.08,3614.33,7126.7,8556.09,450.237,2689.91,204.57,807.257,1970.1,9970.66,7661.6,6662.96,9425.97,5291.05,5406.1
2.9,4994.79,6518.4,3306.46,3615.72,7128.09,8557.48,451.626,2691.3,205.962,808.654,1971.49,9972.05,7662.99,6664.35,9427.37,5292.42,5407.49
2.95,4996.18,6519.79,3307.85,3617.11,7129.48,8558.87,453.014,2692.7,207.354,810.051,1972.88,9973.44,7664.38,6665.74,9428.76,5293.79,5408.88
3,4997.57,6521.18,3309.24,3618.51,7130.87,8560.26,454.403,2694.09,208.746,811.448,1974.27,9974.83,7665.77,6667.13,9430.15,5295.16,5410.26
3.05,4998.95,6522.58,3310.63,3619.9,7132.26,8561.65,455.792,2695.48,210.138,812.845,1975.66,9976.22,7667.17,6668.52,9431.54,5296.54,5411.65
3.1,5000.34,6523.97,3312.02,3621.29,7133.65,8563.04,457.181,2696.87,211.531,814.242,1977.05,9977.61,7668.56,6669.91,9432.93,5297.91,5413.04
3.15,5001.73,6525.36,3313.41,3622.68,7135.04,8564.43,458.57,2698.26,212.923,815.638,1978.44,9978.99,7669.95,6671.3,9434.33,5299.28,5414.43
3.2,5003.12,6526.75,3314.8,3624.07,7136.43,8565.82,459.959,2699.66,214.315,817.035,1979.83,9980.38,7671.34,6672.69,9435.72,5300.65,5415.82
3.25,5004.51,6528.14,3316.19,3625.46,7137.82,8567.21,461.348,2701.05,215.707,818.432,1981.22,9981.77,7672.74,6674.08,9437.11,5302.02,5417.21
3.3,5005.9,6529.53,3317.58,3626.85,7139.21,8568.59,462.737,2702.44,217.099,819.829,1982.6,9983.16,7674.13,6675.47,9438.5,5303.39,5418.6
3.35,5007.29,6530.93,3318.96,3628.24,7140.6,8569.98,464.126,2703.83,218.491,821.226,1983.99,9984.55,7675.52,6676.86,9439.89,5304.76,5419.99
3.4,5008.68,6532.32,3320.35,3629.64,7141.99,8571.37,465.514,2705.22,219.884,822.623,1985.38,9985.94,7676.91,6678.25,9441.29,5306.13,5421.38
3.45,5010.06,6533.71,3321.74,3631.03,7143.38,8572.76,466.903,2706.62,221.276,824.02,1986.77,9987.33,7678.31,6679.64,9442.68,5307.5,5422.76
3.5,5011.45,6535.1,3323.13,3632.42,7144.77,8574.15,468.292,2708.01,222.668,825.417,1988.16,9988.72,7679.7,6681.03,9444.07,5308.87,5424.15
3.55,5012.84,6536.49,3324.52,3633.81,7146.16,8575.54,469.681,2709.4,224.06,826.814,1989.55,9990.11,7681.09,6682.42,9445.46,5310.24,5425.54
3.6,5014.23,6537.89,3325.91,3635.2,7147.55,8576.93,471.07,2710.79,225.452,828.211,1990.94,9991.49,7682.48,6683.81,9446.85,5311.61,5426.93
3.65,5015.62,6539.28,3327.3,3636.59,7148.94,8578.32,472.459,2712.18,226.845,829.608,1992.33,9992.88,7683.88,6685.2,9448.25,5312.98,5428.32
3.7,5017.01,6540.67,3328.69,3637.98,7150.32,8579.71,473.848,2713.58,228.237,831.005,1993.72,9994.27,7685.27,6686.59,9449.64,5314.35,5429.71
3.75,5018.4,6542.06,3330.08,3639.37,7151.71,8581.09,475.237,2714.97,229.629,832.402,1995.1,9995.66,7686.66,6687.98,9451.03,5315.72,5431.1
3.8,5019.79,6543.45,3331.46,3640.76,7153.1,8582.48,476.626,2716.36,231.021,833.799,1996.49,9997.05,7688.05,6689.38,9452.42,5317.1,5432.49
3.85,5021.17,6544.85,3332.85,3642.16,7154.49,8583.87,478.014,2717.75,232.413,835.196,1997.88,9998.44,7689.44,6690.77,9453.81,5318.47,5433.88
3.9,5022.56,6546.24,3334.24,3643.55,7155.88,8585.26,479.403,2719.14,233.805,836.593,1999.27,9999.83,7690.84,6692.16,9455.21,5319.84,5435.26
3.95,5023.95,6547.63,3335.63,3644.94,7157.27,8586.65,480.792,2720.53,235.198,837.99,2000.66,1.21654,7692.23,6693.55,9456.6,5321.21,5436.65
4,5025.34,6549.02,3337.02,3646.33,7158.66,8588.04,482.181,2721.93,236.59,839.386,2002.05,2.60543,7693.62,6694.94,9457.99,5322.58,5438.04
4.05,5026.73,6550.41,3338.41,3647.72,7160.05,8589.43,483.57,2723.32,237.982,840.783,2003.44,3.99431,7695.01,6696.33,9459.38,5323.95,5439.43
4.1,5028.12,6551.81,3339.8,3649.11,7161.44,8590.82,484.959,2724.71,239.374,842.18,2004.83,5.3832,7696.41,6697.72,9460.77,5325.32,5440.82
4.15,5029.51,6553.2,3341.19,3650.5,7162.83,8592.21,486.348,2726.1,240.766,843.577,2006.22,6.77209,7697.8,6699.11,9462.17,5326.69,5442.21
4.2,5030.9,6554.59,3342.58,3651.89,7164.22,8593.59,487.737,2727.49,242.159,844.974,2007.6,8.16098,7699.19,6700.5,9463.56,5328.06,5443.6
4.25,5032.29,6555.98,3343.96,3653.29,7165.61,8594.98,489.126,2728.89,243.551,846.371,2008.99,9.54987,7700.58,6701.89,9464.95,5329.43,5444.99
4.3,5033.67,6557.37,3345.35,3654.68,7167,8596.37,490.514,2730.28,244.943,847.768,2010.38,10.9388,7701.98,6703.28,9466.34,5330.8,5446.38
4.35,5035.06,6558.76,3346.74,3656.07,7168.39,8597.76,491.903,2731.67,246.335,849.165,2011.77,12.3276,7703.37,6704.67,9467.73,5332.17,5447.76
4.4,5036.45,6560.16,3348.13,3657.46,7169.78,8599.15,493.292,2733.06,247.727,850.562,2013.16,13.7165,7704.76,6706.06,9469.13,5333.54,5449.15
4.45,5037.84,6561.55,3349.52,3658.85,7171.17,8600.54,494.681,2734.45,249.119,851.959,2014.55,15.1054,7706.15,6707.45,9470.52,5334.91,5450.54
4.5,5039.23,6562.94,3350.91,3660.24,7172.56,8601.93,496.07,2735.85,250.512,853.356,2015.94,16.4943,7707.55,6708.84,9471.91,5336.29,5451.93
4.55,5040.62,6564.33,3352.3,3661.63,7173.95,8603.32,497.459,2737.24,251.904,854.753,2017.33,17.8832,7708.94,6710.23,9473.3,5337.66,5453.32
4.6,5042.01,6565.72,3353.69,3663.02,7175.34,8604.71,498.848,2738.63,253.296,856.15,2018.72,19.2721,7710.33,6711.62,9474.69,5339.03,5454.71
4.65,5043.4,6567.12,3355.08,3664.42,7176.73,8606.09,500.237,2740.02,254.688,857.547,2020.1,20.661,7711.72,6713.01,9476.09,5340.4,5456.1
4.7,5044.78,6568.51,3356.46,3665.81,7178.12,8607.48,501.626,2741.41,256.08,858.944,2021.49,22.0499,7713.12,6714.4,9477.48,5341.77,5457.49
4.75,5046.17,6569.9,3357.85,3667.2,7179.51,8608.87,503.014,2742.81,257.473,860.341,2022.88,23.4388,7714.51,6715.79,9478.87,5343.14,5458.88
4.8,5047.56,6571.29,3359.24,3668.59,7180.9,8610.26,504.403,2744.2,258.865,861.738,2024.27,24.8276,7715.9,6717.18,9480.26,5344.51,5460.26
4.85,5048.95,6572.68,3360.63,3669.98,7182.29,8611.65,505.792,2745.59,260.257,863.134,2025.66,26.2165,7717.29,6718.57,9481.65,5345.88,5461.65
4.9,5050.34,6574.08,3362.02,3671.37,7183.68,8613.04,507.181,2746.98,261.649,864.531,2027.05,27.6054,7718.68,6719.96,9483.05,5347.25,5463.04
4.95,5051.73,6575.47,3363.41,3672.76,7185.07,8614.43,508.57,2748.37,263.041,865.928,2028.44,28.9943,7720.08,6721.35,9484.44,5348.62,5464.43
5,5053.12,6576.86,3364.8,3674.15,7186.46,8615.82,509.959,2749.76,264.433,867.325,2029.83,30.3832,7721.47,6722.74,9485.83,5349.99,5465.82
5.05,5054.51,6578.25,3366.19,3675.55,7187.85,8617.21,511.348,2751.16,265.826,868.722,2031.22,31.7721,7722.86,6724.13,9487.22,5351.36,5467.21
5.1,5055.89,6579.64,3367.58,3676.94,7189.24,8618.59,512.737,2752.55,267.218,870.119,2032.6,33.161,7724.25,6725.52,9488.61,5352.73,5468.6
5.15,5057.28,6581.04,3368.96,3678.33,7190.63,8619.98,514.126,2753.94,268.61,871.516,2033.99,34.5499,7725.65,6726.91,9490.01,5354.1,5469.99
5.2,5058.67,6582.43,3370.35,3679.72,7192.02,8621.37,515.514,2755.33,270.002,872.913,2035.38,35.9388,7727.04,6728.3,9491.4,5355.48,5471.38
5.25,5060.06,6583.82,3371.74,3681.11,7193.41,8622.76,516.903,2756.72,271.394,874.31,2036.77,37.3276,7728.43,6729.69,9492.79,5356.85,5472.76
5.3,5061.45,6585.21,3373.13,3682.5,7194.8,8624.15,518.292,2758.12,272.787,875.707,2038.16,38.7165,7729.82,6731.08,9494.18,5358.22,5474.15
5.35,5062.84,6586.6,3374.52,3683.89,7196.19,8625.54,519.681,2759.51,274.179,877.104,2039.55,40.1054,7731.22,6732.47,9495.57,5359.59,5475.54
5.4,5064.23,6588,3375.91,3685.28,7197.58,8626.93,521.07,2760.9,275.571,878.501,2040.94,41.4943,7732.61,6733.86,9496.97,5360.96,5476.93
5.45,5065.62,6589.39,3377.3,3686.67,7198.97,8628.32,522.459,2762.29,276.963,879.898,2042.33,42.8832,7734,6735.25,9498.36,5362.33,5478.32
5.5,5067.01,6590.78,3378.69,3688.07,7200.36,8629.71,523.848,2763.68,278.355,881.295,2043.72,44.2721,7735.39,6736.64,9499.75,5363.7,5479.71
5.55,5068.39,6592.17,3380.08,3689.46,7201.75,8631.09,525.237,2765.08,279.747,882.692,2045.1,45.661,7736.79,6738.03,9501.14,5365.07,5481.1
5.6,5069.78,6593.56,3381.46,3690.85,7203.14,8632.48,526.626,2766.47,281.14,884.089,2046.49,47.0499,7738.18,6739.42,9502.53,5366.44,5482.49
5.65,5071.17,6594.95,3382.85,3692.24,7204.53,8633.87,528.014,2767.86,282.532,885.486,2047.88,48.4388,7739.57,6740.81,9503.93,5367.81,5483.88
5.7,5072.56,6596.35,3384.24,3693.63,7205.91,8635.26,529.403,2769.25,283.924,886.883,2049.27,49.8277,7740.96,6742.2,9505.32,5369.18,5485.26
5.75,5073.95,6597.74,3385.63,3695.02,7207.3,8636.65,530.792,2770.64,285.316,888.279,2050.66,51.2165,7742.36,6743.59,9506.71,5370.55,5486.65
5.8,5075.34,6599.13,3387.02,3696.41,7208.69,8638.04,532.181,2772.04,286.708,889.676,2052.05,52.6054,7743.75,6744.98,9508.1,5371.92,5488.04
5.85,5076.73,6600.52,3388.41,3697.8,7210.08,8639.43,533.57,2773.43,288.101,891.073,2053.44,53.9943,7745.14,6746.37,9509.49,5373.3,5489.43
5.9,5078.12,6601.91,3389.8,3699.2,7211.47,8640.82,534.959,2774.82,289.493,892.47,2054.83,55.3832,7746.53,6747.76,9510.89,5374.67,5490.82
5.95,5079.5,6603.31,3391.19,3700.59,7212.86,8642.21,536.348,2776.21,290.885,893.867,2056.22,56.7721,7747.93,6749.15,9512.28,5376.04,5492.21
