time,N1,N2,N3,N4,N5
0,4484.06,8282.06,3319.87,4189.87,755.912
0.05,4485.45,8283.45,3321.26,4191.25,757.304
0.1,4486.84,8284.84,3322.65,4192.64,758.695
0.15,4488.22,8286.23,3324.04,4194.02,760.087
0.2,4489.61,8287.63,3325.43,4195.41,761.478
0.25,4491,8289.02,3326.82,4196.8,762.87
0.3,4492.39,8290.41,3328.21,4198.18,764.261
0.35,4493.78,8291.8,3329.6,4199.57,765.653
0.4,4495.17,8293.19,3330.99,4200.96,767.045
0.45,4496.56,8294.59,3332.38,4202.34,768.436
0.5,4497.95,8295.98,3333.77,4203.73,769.828
0.55,4499.34,8297.37,3335.16,4205.12,771.219
0.6,4500.72,8298.76,3336.55,4206.5,772.611
0.65,4502.11,8300.15,3337.94,4207.89,774.003
0.7,4503.5,8301.54,3339.33,4209.28,775.394
0.75,4504.89,8302.94,3340.72,4210.66,776.786
0.8,4506.28,8304.33,3342.11,4212.05,778.177
0.85,4507.67,8305.72,3343.5,4213.44,779.569
0.9,4509.06,8307.11,3344.89,4214.82,780.961
0.95,4510.45,8308.5,3346.28,4216.21,782.352
1,4511.84,8309.9,3347.68,4217.59,783.744
1.05,4513.22,8311.29,3349.07,4218.98,785.135
1.1,4514.61,8312.68,3350.46,4220.37,786.527
1.15,4516,8314.07,3351.85,4221.75,787.918
1.2,4517.39,8315.46,3353.24,4223.14,789.31
1.25,4518.78,8316.85,3354.63,4224.53,790.702
1.3,4520.17,8318.25,3356.02,4225.91,792.093
1.35,4521.56,8319.64,3357.41,4227.3,793.485
1.4,4522.95,8321.03,3358.8,4228.69,794.876
1.45,4524.34,8322.42,3360.19,4230.07,796.268
1.5,4525.72,8323.81,3361.58,4231.46,797.66
1.55,4527.11,8325.21,3362.97,4232.85,799.051
1.6,4528.5,8326.6,3364.36,4234.23,800.443
1.65,4529.89,8327.99,3365.75,4235.62,801.834
1.7,4531.28,8329.38,3367.14,4237,803.226
1.75,4532.67,8330.77,3368.53,4238.39,804.617
1.8,4534.06,8332.17,3369.92,4239.78,806.009
1.85,4535.45,8333.56,3371.31,4241.16,807.401
1.9,4536.84,8334.95,3372.7,4242.55,808.792
1.95,4538.22,8336.34,3374.09,4243.94,810.184
2,4539.61,8337.73,3375.48,4245.32,811.575
2.05,4541,8339.12,3376.87,4246.71,812.967
2.1,4542.39,8340.52,3378.26,4248.1,814.359
2.15,4543.78,8341.91,3379.65,4249.48,815.75
2.2,4545.17,8343.3,3381.04,4250.87,817.142
2.25,4546.56,8344.69,3382.43,4252.26,818.533
2.3,4547.95,8346.08,3383.82,4253.64,819.925
2.35,4549.34,8347.48,3385.21,4255.03,821.316
2.4,4550.72,8348.87,3386.6,4256.42,822.708
2.45,4552.11,8350.26,3387.99,4257.8,824.1
2.5,4553.5,8351.65,3389.38,4259.19,825.491
2.55,4554.89,8353.04,3390.77,4260.57,826.883
2.6,4556.28,8354.44,3392.16,4261.96,828.274
2.65,4557.67,8355.83,3393.55,4263.35,829.666
2.7,4559.06,8357.22,3394.94,4264.73,831.058
2.75,4560.45,8358.61,3396.33,4266.12,832.449
2.8,4561.84,8360,3397.72,4267.51,833.841
2.85,4563.22,8361.39,3399.11,4268.89,835.232
2.9,4564.61,8362.79,3400.5,4270.28,836.624
2.95,4566,8364.18,3401.9,4271.67,838.015
3,4567.39,8365.57,3403.29,4273.05,839.407
3.05,4568.78,8366.96,3404.68,4274.44,840.799
