time,N1,N2,N3,N4,N5,N6,N7,N8
0,8806.96,4055.23,4954.89,9921.67,4849.11,9041.39,6795.8,3764.03
0.05,8808.35,4056.62,4956.28,9923.06,4850.5,9042.78,6797.19,3765.42
0.1,8809.74,4058.01,4957.67,9924.46,4851.89,9044.17,6798.58,3766.8
0.15,8811.13,4059.4,4959.06,9925.86,4853.28,9045.56,6799.97,3768.19
0.2,8812.51,4060.79,4960.45,9927.25,4854.67,9046.95,6801.36,3769.58
0.25,8813.9,4062.18,4961.84,9928.65,4856.06,9048.34,6802.75,3770.96
0.3,8815.29,4063.57,4963.23,9930.04,4857.45,9049.73,6804.14,3772.35
0.35,8816.68,4064.96,4964.61,9931.44,4858.84,9051.12,6805.53,3773.74
0.4,8818.07,4066.35,4966,9932.83,4860.23,9052.5,6806.92,3775.13
0.45,8819.46,4067.73,4967.39,9934.23,4861.62,9053.89,6808.31,3776.51
0.5,8820.85,4069.12,4968.78,9935.63,4863.01,9055.28,6809.7,3777.9
0.55,8822.24,4070.51,4970.17,9937.02,4864.4,9056.67,6811.09,3779.29
0.6,8823.63,4071.9,4971.56,9938.42,4865.79,9058.06,6812.48,3780.67
0.65,8825.02,4073.29,4972.95,9939.81,4867.18,9059.45,6813.87,3782.06
0.7,8826.4,4074.68,4974.34,9941.21,4868.57,9060.84,6815.26,3783.45
0.75,8827.79,4076.07,4975.73,9942.61,4869.96,9062.23,6816.65,3784.84
0.8,8829.18,4077.46,4977.11,9944,4871.35,9063.62,6818.04,3786.22
0.85,8830.57,4078.85,4978.5,9945.4,4872.74,9065,6819.43,3787.61
0.9,8831.96,4080.23,4979.89,9946.79,4874.13,9066.39,6820.82,3789
0.95,8833.35,4081.62,4981.28,9948.19,4875.52,9067.78,6822.21,3790.38
1,8834.74,4083.01,4982.67,9949.59,4876.91,9069.17,6823.6,3791.77
1.05,8836.13,4084.4,4984.06,9950.98,4878.3,9070.56,6824.99,3793.16
1.1,8837.52,4085.79,4985.45,9952.38,4879.69,9071.95,6826.38,3794.55
1.15,8838.9,4087.18,4986.84,9953.77,4881.08,9073.34,6827.77,3795.93
1.2,8840.29,4088.57,4988.23,9955.17,4882.47,9074.73,6829.16,3797.32
1.25,8841.68,4089.96,4989.61,9956.57,4883.86,9076.12,6830.55,3798.71
1.3,8843.07,4091.35,4991,9957.96,4885.25,9077.5,6831.93,3800.09
1.35,8844.46,4092.73,4992.39,9959.36,4886.64,9078.89,6833.32,3801.48
1.4,8845.85,4094.12,4993.78,9960.75,4888.03,9080.28,6834.71,3802.87
1.45,8847.24,4095.51,4995.17,9962.15,4889.42,9081.67,6836.1,3804.26
1.5,8848.63,4096.9,4996.56,9963.54,4890.81,9083.06,6837.49,3805.64
1.55,8850.02,4098.29,4997.95,9964.94,4892.2,9084.45,6838.88,3807.03
1.6,8851.41,4099.68,4999.34,9966.34,4893.59,9085.84,6840.27,3808.42
1.65,8852.79,4101.07,5000.73,9967.73,4894.98,9087.23,6841.66,3809.81
1.7,8854.18,4102.46,5002.11,9969.13,4896.37,9088.62,6843.05,3811.19
1.75,8855.57,4103.85,5003.5,9970.52,4897.76,9090,6844.44,3812.58
1.8,8856.96,4105.23,5004.89,9971.92,4899.15,9091.39,6845.83,3813.97
1.85,8858.35,4106.62,5006.28,9973.32,4900.54,9092.78,6847.22,3815.35
1.9,8859.74,4108.01,5007.67,9974.71,4901.93,9094.17,6848.61,3816.74
1.95,8861.13,4109.4,5009.06,9976.11,4903.32,9095.56,6850,3818.13
2,8862.52,4110.79,5010.45,9977.5,4904.71,9096.95,6851.39,3819.52
2.05,8863.91,4112.18,5011.84,9978.9,4906.09,9098.34,6852.78,3820.9
2.1,8865.29,4113.57,5013.23,9980.3,4907.48,9099.73,6854.17,3822.29
2.15,8866.68,4114.96,5014.61,9981.69,4908.87,9101.12,6855.56,3823.68
2.2,8868.07,4116.35,5016,9983.09,4910.26,9102.5,6856.95,3825.06
2.25,8869.46,4117.73,5017.39,9984.48,4911.65,9103.89,6858.34,3826.45
2.3,8870.85,4119.12,5018.78,9985.88,4913.04,9105.28,6859.73,3827.84
2.35,8872.24,4120.51,5020.17,9987.28,4914.43,9106.67,6861.12,3829.23
2.4,8873.63,4121.9,5021.56,9988.67,4915.82,9108.06,6862.51,3830.61
2.45,8875.02,4123.29,5022.95,9990.07,4917.21,9109.45,6863.9,3832
2.5,8876.41,4124.68,5024.34,9991.46,4918.6,9110.84,6865.29,3833.39
2.55,8877.79,4126.07,5025.73,9992.86,4919.99,9112.23,6866.68,3834.77
2.6,8879.18,4127.46,5027.11,9994.25,4921.38,9113.62,6868.07,3836.16
2.65,8880.57,4128.85,5028.5,9995.65,4922.77,9115,6869.46,3837.55
2.7,8881.96,4130.23,5029.89,9997.05,4924.16,9116.39,6870.85,3838.94
2.75,8883.35,4131.62,5031.28,9998.44,4925.55,9117.78,6872.24,3840.32
2.8,8884.74,4133.01,5032.67,9999.84,4926.94,9119.17,6873.63,3841.71
2.85,8886.13,4134.4,5034.06,1.23432,4928.33,9120.56,6875.02,3843.1
2.9,8887.52,4135.79,5035.45,2.63022,4929.72,9121.95,6876.41,3844.48
2.95,8888.91,4137.18,5036.84,4.02613,4931.11,9123.34,6877.8,3845.87
3,8890.3,4138.57,5038.23,5.42203,4932.5,9124.73,6879.19,3847.26
3.05,8891.68,4139.96,5039.61,6.81793,4933.89,9126.12,6880.58,3848.65
3.1,8893.07,4141.35,5041,8.21383,4935.28,9127.5,6881.97,3850.03
3.15,8894.46,4142.73,5042.39,9.60973,4936.67,9128.89,6883.36,3851.42
3.2,8895.85,4144.12,5043.78,11.0056,4938.06,9130.28,6884.75,3852.81
3.25,8897.24,4145.51,5045.17,12.4015,4939.45,9131.67,6886.14,3854.19
3.3,8898.63,4146.9,5046.56,13.7974,4940.84,9133.06,6887.53,3855.58
3.35,8900.02,4148.29,5047.95,15.1933,4942.23,9134.45,6888.92,3856.97
3.4,8901.41,4149.68,5049.34,16.5892,4943.62,9135.84,6890.31,3858.36
3.45,8902.8,4151.07,5050.73,17.9851,4945.01,9137.23,6891.7,3859.74
3.5,8904.18,4152.46,5052.11,19.381,4946.4,9138.62,6893.09,3861.13
3.55,8905.57,4153.85,5053.5,20.7769,4947.79,9140,6894.48,3862.52
3.6,8906.96,4155.23,5054.89,22.1728,4949.18,9141.39,6895.87,3863.9
3.65,8908.35,4156.62,5056.28,23.5687,4950.57,9142.78,6897.26,3865.29
3.7,8909.74,4158.01,5057.67,24.9646,4951.96,9144.17,6898.65,3866.68
3.75,8911.13,4159.4,5059.06,26.3605,4953.35,9145.56,6900.04,3868.07
3.8,8912.52,4160.79,5060.45,27.7564,4954.74,9146.95,6901.43,3869.45
3.85,8913.91,4162.18,5061.84,29.1523,4956.13,9148.34,6902.82,3870.84
3.9,8915.3,4163.57,5063.23,30.5482,4957.52,9149.73,6904.21,3872.23
3.95,8916.69,4164.96,5064.61,31.9441,4958.91,9151.12,6905.6,3873.61
4,8918.07,4166.35,5066,33.34,4960.3,9152.5,6906.99,3875
4.05,8919.46,4167.73,5067.39,34.7359,4961.69,9153.89,6908.38,3876.39
4.1,8920.85,4169.12,5068.78,36.1318,4963.08,9155.28,6909.77,3877.78
4.15,8922.24,4170.51,5070.17,37.5277,4964.47,9156.67,6911.16,3879.16
4.2,8923.63,4171.9,5071.56,38.9236,4965.86,9158.06,6912.55,3880.55
4.25,8925.02,4173.29,5072.95,40.3194,4967.24,9159.45,6913.94,3881.94
4.3,8926.41,4174.68,5074.34,41.7153,4968.63,9160.84,6915.33,3883.32
4.35,8927.8,4176.07,5075.73,43.1112,4970.02,9162.23,6916.72,3884.71
4.4,8929.19,4177.46,5077.11,44.5071,4971.41,9163.62,6918.11,3886.1
4.45,8930.57,4178.85,5078.5,45.903,4972.8,9165,6919.5,3887.49
4.5,8931.96,4180.23,5079.89,47.2989,4974.19,9166.39,6920.89,3888.87
4.55,8933.35,4181.62,5081.28,48.6948,4975.58,9167.78,6922.28,3890.26
4.6,8934.74,4183.01,5082.67,50.0907,4976.97,9169.17,6923.67,3891.65
4.65,8936.13,4184.4,5084.06,51.4866,4978.36,9170.56,6925.06,3893.03
4.7,8937.52,4185.79,5085.45,52.8825,4979.75,9171.95,6926.45,3894.42
4.75,8938.91,4187.18,5086.84,54.2784,4981.14,9173.34,6927.84,3895.81
4.8,8940.3,4188.57,5088.23,55.6742,4982.53,9174.73,6929.23,3897.2
4.85,8941.69,4189.96,5089.61,57.0701,4983.92,9176.12,6930.62,3898.58
4.9,8943.08,4191.35,5091,58.466,4985.31,9177.5,6932.01,3899.97
4.95,8944.46,4192.73,5092.39,59.8619,4986.7,9178.89,6933.4,3901.36
5,8945.85,4194.12,5093.78,61.2578,4988.09,9180.28,6934.79,3902.75
5.05,8947.24,4195.51,5095.17,62.6537,4989.48,9181.67,6936.18,3904.13
5.1,8948.63,4196.9,5096.56,64.0496,4990.87,9183.06,6937.57,3905.52
5.15,8950.02,4198.29,5097.95,65.4455,4992.26,9184.45,6938.96,3906.91
5.2,8951.41,4199.68,5099.34,66.8414,4993.65,9185.84,6940.35,3908.29
5.25,8952.8,4201.07,5100.73,68.2372,4995.04,9187.23,6941.74,3909.68
5.3,8954.19,4202.46,5102.11,69.6331,4996.43,9188.62,6943.13,3911.07
5.35,8955.58,4203.85,5103.5,71.029,4997.82,9190,6944.52,3912.46
5.4,8956.96,4205.23,5104.89,72.4249,4999.21,9191.39,6945.91,3913.84
5.45,8958.35,4206.62,5106.28,73.8208,5000.6,9192.78,6947.3,3915.23
5.5,8959.74,4208.01,5107.67,75.2167,5001.99,9194.17,6948.69,3916.62
5.55,8961.13,4209.4,5109.06,76.6126,5003.38,9195.56,6950.08,3918
5.6,8962.52,4210.79,5110.45,78.0084,5004.77,9196.95,6951.47,3919.39
5.65,8963.91,4212.18,5111.84,79.4043,5006.16,9198.34,6952.85,3920.78
5.7,8965.3,4213.57,5113.23,80.8002,5007.55,9199.73,6954.24,3922.17
5.75,8966.69,4214.96,5114.61,82.1961,5008.94,9201.12,6955.63,3923.55
5.8,8968.08,4216.35,5116,83.592,5010.33,9202.5,6957.02,3924.94
5.85,8969.47,4217.73,5117.39,84.9879,5011.72,9203.89,6958.41,3926.33
5.9,8970.85,4219.12,5118.78,86.3837,5013.11,9205.28,6959.8,3927.71
5.95,8972.24,4220.51,5120.17,87.7796,5014.5,9206.67,6961.19,3929.1
6,8973.63,4221.9,5121.56,89.1755,5015.89,9208.06,6962.58,3930.49
6.05,8975.02,4223.29,5122.95,90.5714,5017.28,9209.45,6963.97,3931.88
6.1,8976.41,4224.68,5124.34,91.9673,5018.67,9210.84,6965.36,3933.26
6.15,8977.8,4226.07,5125.73,93.3632,5020.06,9212.23,6966.75,3934.65
6.2,8979.19,4227.46,5127.11,94.759,5021.45,9213.62,6968.14,3936.04
6.25,8980.58,4228.85,5128.5,96.1549,5022.84,9215,6969.53,3937.42
6.3,8981.97,4230.23,5129.89,97.5508,5024.23,9216.39,6970.92,3938.81
6.35,8983.35,4231.62,5131.28,98.9467,5025.62,9217.78,6972.31,3940.2
6.4,8984.74,4233.01,5132.67,100.343,5027,9219.17,6973.7,3941.59
6.45,8986.13,4234.4,5134.06,101.738,5028.39,9220.56,6975.09,3942.97
6.5,8987.52,4235.79,5135.45,103.134,5029.78,9221.95,6976.48,3944.36
6.55,8988.91,4237.18,5136.84,104.53,5031.17,9223.34,6977.87,3945.75
6.6,8990.3,4238.57,5138.23,105.926,5032.56,9224.73,6979.26,3947.13
6.65,8991.69,4239.96,5139.61,107.322,5033.95,9226.12,6980.65,3948.52
6.7,8993.08,4241.35,5141,108.718,5035.34,9227.5,6982.04,3949.91
6.75,8994.47,4242.73,5142.39,110.114,5036.73,9228.89,6983.43,3951.3
6.8,8995.86,4244.12,5143.78,111.51,5038.12,9230.28,6984.82,3952.68
6.85,8997.24,4245.51,5145.17,112.905,5039.51,9231.67,6986.21,3954.07
6.9,8998.63,4246.9,5146.56,114.301,5040.9,9233.06,6987.6,3955.46
6.95,9000.02,4248.29,5147.95,115.697,5042.29,9234.45,6988.99,3956.84
7,9001.41,4249.68,5149.34,117.093,5043.68,9235.84,6990.38,3958.23
7.05,9002.8,4251.07,5150.73,118.489,5045.07,9237.23,6991.77,3959.62
7.1,9004.19,4252.46,5152.11,119.885,5046.46,9238.62,6993.16,3961.01
7.15,9005.58,4253.85,5153.5,121.281,5047.85,9240,6994.55,3962.39
7.2,9006.97,4255.23,5154.89,122.677,5049.24,9241.39,6995.94,3963.78
7.25,9008.36,4256.62,5156.28,124.072,5050.63,9242.78,6997.33,3965.17
7.3,9009.75,4258.01,5157.67,125.468,5052.02,9244.17,6998.72,3966.56
7.35,9011.13,4259.4,5159.06,126.864,5053.41,9245.56,7000.11,3967.94
7.4,9012.52,4260.79,5160.45,128.26,5054.8,9246.95,7001.5,3969.33
7.45,9013.91,4262.18,5161.84,129.656,5056.19,9248.34,7002.89,3970.72
7.5,9015.3,4263.57,5163.23,131.052,5057.58,9249.73,7004.28,3972.1
7.55,9016.69,4264.96,5164.61,132.448,5058.97,9251.12,7005.67,3973.49
7.6,9018.08,4266.35,5166,133.844,5060.36,9252.5,7007.06,3974.88
7.65,9019.47,4267.73,5167.39,135.239,5061.75,9253.89,7008.45,3976.27
7.7,9020.86,4269.12,5168.78,136.635,5063.14,9255.28,7009.84,3977.65
7.75,9022.25,4270.51,5170.17,138.031,5064.53,9256.67,7011.23,3979.04
7.8,9023.63,4271.9,5171.56,139.427,5065.92,9258.06,7012.62,3980.43
7.85,9025.02,4273.29,5172.95,140.823,5067.31,9259.45,7014.01,3981.81
7.9,9026.41,4274.68,5174.34,142.219,5068.7,9260.84,7015.4,3983.2
7.95,9027.8,4276.07,5175.73,143.615,5070.09,9262.23,7016.79,3984.59
8,9029.19,4277.46,5177.11,145.011,5071.48,9263.62,7018.18,3985.98
8.05,9030.58,4278.85,5178.5,146.406,5072.87,9265,7019.57,3987.36
8.1,9031.97,4280.23,5179.89,147.802,5074.26,9266.39,7020.96,3988.75
8.15,9033.36,4281.62,5181.28,149.198,5075.65,9267.78,7022.35,3990.14
8.2,9034.75,4283.01,5182.67,150.594,5077.04,9269.17,7023.74,3991.52
8.25,9036.14,4284.4,5184.06,151.99,5078.43,9270.56,7025.13,3992.91
8.3,9037.52,4285.79,5185.45,153.386,5079.82,9271.95,7026.52,3994.3
8.35,9038.91,4287.18,5186.84,154.782,5081.21,9273.34,7027.91,3995.69
8.4,9040.3,4288.57,5188.23,156.177,5082.6,9274.73,7029.3,3997.07
8.45,9041.69,4289.96,5189.61,157.573,5083.98,9276.12,7030.69,3998.46
8.5,9043.08,4291.35,5191,158.969,5085.37,9277.5,7032.08,3999.85
8.55,9044.47,4292.73,5192.39,160.365,5086.76,9278.89,7033.47,4001.23
8.6,9045.86,4294.12,5193.78,161.761,5088.15,9280.28,7034.86,4002.62
8.65,9047.25,4295.51,5195.17,163.157,5089.54,9281.67,7036.25,4004.01
8.7,9048.64,4296.9,5196.56,164.553,5090.93,9283.06,7037.64,4005.4
8.75,9050.02,4298.29,5197.95,165.949,5092.32,9284.45,7039.03,4006.78
8.8,9051.41,4299.68,5199.34,167.344,5093.71,9285.84,7040.42,4008.17
8.85,9052.8,4301.07,5200.73,168.74,5095.1,9287.23,7041.81,4009.56
8.9,9054.19,4302.46,5202.11,170.136,5096.49,9288.62,7043.2,4010.95
8.95,9055.58,4303.85,5203.5,171.532,5097.88,9290,7044.59,4012.33
9,9056.97,4305.23,5204.89,172.928,5099.27,9291.39,7045.98,4013.72
9.05,9058.36,4306.62,5206.28,174.324,5100.66,9292.78,7047.37,4015.11
9.1,9059.75,4308.01,5207.67,175.72,5102.05,9294.17,7048.76,4016.49
9.15,9061.14,4309.4,5209.06,177.115,5103.44,9295.56,7050.15,4017.88
9.2,9062.53,4310.79,5210.45,178.511,5104.83,9296.95,7051.54,4019.27
9.25,9063.91,4312.18,5211.84,179.907,5106.22,9298.34,7052.93,4020.66
9.3,9065.3,4313.57,5213.23,181.303,5107.61,9299.73,7054.32,4022.04
9.35,9066.69,4314.96,5214.61,182.699,5109,9301.12,7055.71,4023.43
9.4,9068.08,4316.35,5216,184.095,5110.39,9302.5,7057.1,4024.82
9.45,9069.47,4317.73,5217.39,185.491,5111.78,9303.89,7058.49,4026.2
9.5,9070.86,4319.12,5218.78,186.886,5113.17,9305.28,7059.88,4027.59
9.55,9072.25,4320.51,5220.17,188.282,5114.56,9306.67,7061.27,4028.98
9.6,9073.64,4321.9,5221.56,189.678,5115.95,9308.06,7062.66,4030.37
9.65,9075.03,4323.29,5222.95,191.074,5117.34,9309.45,7064.05,4031.75
9.7,9076.42,4324.68,5224.34,192.47,5118.73,9310.84,7065.44,4033.14
9.75,9077.8,4326.07,5225.73,193.866,5120.12,9312.23,7066.83,4034.53
9.8,9079.19,4327.46,5227.11,195.262,5121.51,9313.62,7068.22,4035.91
9.85,9080.58,4328.85,5228.5,196.658,5122.9,9315,7069.6,4037.3
9.9,9081.97,4330.23,5229.89,198.053,5124.29,9316.39,7070.99,4038.69
9.95,9083.36,4331.62,5231.28,199.449,5125.68,9317.78,7072.38,4040.08
10,9084.75,4333.01,5232.67,200.845,5127.07,9319.17,7073.77,4041.46
10.05,9086.14,4334.4,5234.06,202.241,5128.46,9320.56,7075.16,4042.85
10.1,9087.53,4335.79,5235.45,203.637,5129.85,9321.95,7076.55,4044.24
10.15,9088.92,4337.18,5236.84,205.033,5131.24,9323.34,7077.94,4045.63
10.2,9090.31,4338.57,5238.23,206.429,5132.63,9324.73,7079.33,4047.01
10.25,9091.69,4339.96,5239.61,207.824,5134.02,9326.12,7080.72,4048.4
10.3,9093.08,4341.35,5241,209.22,5135.41,9327.5,7082.11,4049.79
10.35,9094.47,4342.73,5242.39,210.616,5136.8,9328.89,7083.5,4051.17
10.4,9095.86,4344.12,5243.78,212.012,5138.19,9330.28,7084.89,4052.56
10.45,9097.25,4345.51,5245.17,213.408,5139.58,9331.67,7086.28,4053.95
10.5,9098.64,4346.9,5246.56,214.804,5140.96,9333.06,7087.67,4055.34
10.55,9100.03,4348.29,5247.95,216.199,5142.35,9334.45,7089.06,4056.72
10.6,9101.42,4349.68,5249.34,217.595,5143.74,9335.84,7090.45,4058.11
10.65,9102.81,4351.07,5250.73,218.991,5145.13,9337.23,7091.84,4059.5
10.7,9104.19,4352.46,5252.11,220.387,5146.52,9338.62,7093.23,4060.88
10.75,9105.58,4353.85,5253.5,221.783,5147.91,9340,7094.62,4062.27
10.8,9106.97,4355.23,5254.89,223.179,5149.3,9341.39,7096.01,4063.66
10.85,9108.36,4356.62,5256.28,224.575,5150.69,9342.78,7097.4,4065.05
10.9,9109.75,4358.01,5257.67,225.97,5152.08,9344.17,7098.79,4066.43
10.95,9111.14,4359.4,5259.06,227.366,5153.47,9345.56,7100.18,4067.82
11,9112.53,4360.79,5260.45,228.762,5154.86,9346.95,7101.57,4069.21
11.05,9113.92,4362.18,5261.84,230.158,5156.25,9348.34,7102.96,4070.59
11.1,9115.31,4363.57,5263.23,231.554,5157.64,9349.73,7104.35,4071.98
11.15,9116.7,4364.96,5264.61,232.95,5159.03,9351.12,7105.74,4073.37
11.2,9118.08,4366.35,5266,234.346,5160.42,9352.5,7107.13,4074.76
11.25,9119.47,4367.73,5267.39,235.741,5161.81,9353.89,7108.52,4076.14
11.3,9120.86,4369.12,5268.78,237.137,5163.2,9355.28,7109.91,4077.53
11.35,9122.25,4370.51,5270.17,238.533,5164.59,9356.67,7111.3,4078.92
11.4,9123.64,4371.9,5271.56,239.929,5165.98,9358.06,7112.69,4080.31
11.45,9125.03,4373.29,5272.95,241.325,5167.37,9359.45,7114.08,4081.69
11.5,9126.42,4374.68,5274.34,242.721,5168.76,9360.84,7115.47,4083.08
11.55,9127.81,4376.07,5275.73,244.117,5170.15,9362.23,7116.86,4084.47
11.6,9129.2,4377.46,5277.11,245.512,5171.54,9363.62,7118.25,4085.85
11.65,9130.59,4378.85,5278.5,246.908,5172.93,9365,7119.64,4087.24
11.7,9131.97,4380.23,5279.89,248.304,5174.32,9366.39,7121.03,4088.63
11.75,9133.36,4381.62,5281.28,249.7,5175.71,9367.78,7122.42,4090.02
11.8,9134.75,4383.01,5282.67,251.096,5177.1,9369.17,7123.81,4091.4
11.85,9136.14,4384.4,5284.06,252.492,5178.49,9370.56,7125.2,4092.79
11.9,9137.53,4385.79,5285.45,253.887,5179.88,9371.95,7126.59,4094.18
11.95,9138.92,4387.18,5286.84,255.283,5181.27,9373.34,7127.98,4095.56
12,9140.31,4388.57,5288.23,256.679,5182.66,9374.73,7129.37,4096.95
12.05,9141.7,4389.96,5289.61,258.075,5184.05,9376.12,7130.76,4098.34
12.1,9143.09,4391.35,5291,259.471,5185.44,9377.5,7132.15,4099.73
12.15,9144.47,4392.73,5292.39,260.867,5186.83,9378.89,7133.54,4101.11
12.2,9145.86,4394.12,5293.78,262.263,5188.22,9380.28,7134.93,4102.5
12.25,9147.25,4395.51,5295.17,263.658,5189.61,9381.67,7136.32,4103.89
12.3,9148.64,4396.9,5296.56,265.054,5191,9383.06,7137.71,4105.27
