time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
2.05,8500.34,2651.57,2982.77,5051.99,8315.53,2849.87,8631.98,7790.6,490.143,4762.57,7031.26,2078.95,755.136
2.1,8501.74,2652.96,2984.15,5053.38,8316.92,2851.26,8633.37,7791.99,491.532,4763.97,7032.65,2080.34,756.526
2.15,8503.13,2654.35,2985.54,5054.77,8318.32,2852.66,8634.76,7793.38,492.922,4765.36,7034.04,2081.73,757.915
2.2,8504.53,2655.74,2986.93,5056.16,8319.72,2854.05,8636.15,7794.77,494.312,4766.75,7035.43,2083.12,759.304
2.25,8505.92,2657.13,2988.32,5057.55,8321.12,2855.44,8637.54,7796.16,495.702,4768.14,7036.82,2084.51,760.694
2.3,8507.32,2658.51,2989.71,5058.94,8322.52,2856.83,8638.93,7797.55,497.092,4769.53,7038.21,2085.9,762.083
2.35,8508.71,2659.9,2991.1,5060.33,8323.92,2858.22,8640.31,7798.94,498.482,4770.92,7039.6,2087.29,763.472
2.4,8510.1,2661.29,2992.49,5061.73,8325.32,2859.61,8641.7,7800.32,499.872,4772.31,7040.99,2088.68,764.862
2.45,8511.5,2662.68,2993.88,5063.12,8326.71,2861,8643.09,7801.71,501.262,4773.71,7042.38,2090.07,766.251
2.5,8512.89,2664.07,2995.27,5064.51,8328.11,2862.39,8644.48,7803.1,502.652,4775.1,7043.78,2091.45,767.64
2.55,8514.29,2665.46,2996.65,5065.9,8329.51,2863.79,8645.87,7804.49,504.041,4776.49,7045.17,2092.84,769.03
2.6,8515.68,2666.85,2998.04,5067.29,8330.91,2865.18,8647.26,7805.88,505.431,4777.88,7046.56,2094.23,770.419
2.65,8517.08,2668.24,2999.43,5068.68,8332.31,2866.57,8648.65,7807.27,506.821,4779.27,7047.95,2095.62,771.808
2.7,8518.47,2669.63,3000.82,5070.07,8333.71,2867.96,8650.04,7808.66,508.211,4780.66,7049.34,2097.01,773.198
2.75,8519.87,2671.01,3002.21,5071.46,8335.1,2869.35,8651.43,7810.05,509.601,4782.06,7050.73,2098.4,774.587
2.8,8521.26,2672.4,3003.6,5072.85,8336.5,2870.74,8652.81,7811.44,510.991,4783.45,7052.12,2099.79,775.976
2.85,8522.66,2673.79,3004.99,5074.24,8337.9,2872.13,8654.2,7812.82,512.381,4784.84,7053.51,2101.18,777.365
2.9,8524.05,2675.18,3006.38,5075.63,8339.3,2873.53,8655.59,7814.21,513.771,4786.23,7054.9,2102.57,778.755
2.95,8525.44,2676.57,3007.77,5077.02,8340.7,2874.92,8656.98,7815.6,515.16,4787.62,7056.29,2103.96,780.144
3,8526.84,2677.96,3009.15,5078.41,8342.1,2876.31,8658.37,7816.99,516.55,4789.01,7057.68,2105.35,781.533
3.05,8528.23,2679.35,3010.54,5079.8,8343.5,2877.7,8659.76,7818.38,517.94,4790.41,7059.07,2106.74,782.923
3.1,8529.63,2680.74,3011.93,5081.19,8344.89,2879.09,8661.15,7819.77,519.33,4791.8,7060.46,2108.12,784.312
3.15,8531.02,2682.13,3013.32,5082.58,8346.29,2880.48,8662.54,7821.16,520.72,4793.19,7061.85,2109.51,785.701
3.2,8532.42,2683.51,3014.71,5083.97,8347.69,2881.87,8663.93,7822.55,522.11,4794.58,7063.24,2110.9,787.091
3.25,8533.81,2684.9,3016.1,5085.36,8349.09,2883.26,8665.31,7823.94,523.5,4795.97,7064.63,2112.29,788.48
3.3,8535.21,2686.29,3017.49,5086.76,8350.49,2884.66,8666.7,7825.32,524.89,4797.36,7066.02,2113.68,789.869
3.35,8536.6,2687.68,3018.88,5088.15,8351.89,2886.05,8668.09,7826.71,526.279,4798.75,7067.41,2115.07,791.259
3.4,8537.99,2689.07,3020.27,5089.54,8353.28,2887.44,8669.48,7828.1,527.669,4800.15,7068.8,2116.46,792.648
3.45,8539.39,2690.46,3021.65,5090.93,8354.68,2888.83,8670.87,7829.49,529.059,4801.54,7070.19,2117.85,794.037
3.5,8540.78,2691.85,3023.04,5092.32,8356.08,2890.22,8672.26,7830.88,530.449,4802.93,7071.58,2119.24,795.427
3.55,8542.18,2693.24,3024.43,5093.71,8357.48,2891.61,8673.65,7832.27,531.839,4804.32,7072.97,2120.63,796.816
3.6,8543.57,2694.63,3025.82,5095.1,8358.88,2893,8675.04,7833.66,533.229,4805.71,7074.37,2122.02,798.205
3.65,8544.97,2696.01,3027.21,5096.49,8360.28,2894.4,8676.43,7835.05,534.619,4807.1,7075.76,2123.41,799.595
3.7,8546.36,2697.4,3028.6,5097.88,8361.68,2895.79,8677.81,7836.44,536.009,4808.5,7077.15,2124.79,800.984
3.75,8547.76,2698.79,3029.99,5099.27,8363.07,2897.18,8679.2,7837.82,537.399,4809.89,7078.54,2126.18,802.373
3.8,8549.15,2700.18,3031.38,5100.66,8364.47,2898.57,8680.59,7839.21,538.788,4811.28,7079.93,2127.57,803.763
3.85,8550.54,2701.57,3032.77,5102.05,8365.87,2899.96,8681.98,7840.6,540.178,4812.67,7081.32,2128.96,805.152
3.9,8551.94,2702.96,3034.15,5103.44,8367.27,2901.35,8683.37,7841.99,541.568,4814.06,7082.71,2130.35,806.541
3.95,8553.33,2704.35,3035.54,5104.83,8368.67,2902.74,8684.76,7843.38,542.958,4815.45,7084.1,2131.74,807.931
4,8554.73,2705.74,3036.93,5106.22,8370.07,2904.13,8686.15,7844.77,544.348,4816.85,7085.49,2133.13,809.32
4.05,8556.12,2707.13,3038.32,5107.61,8371.46,2905.53,8687.54,7846.16,545.738,4818.24,7086.88,2134.52,810.709
4.1,8557.52,2708.51,3039.71,5109,8372.86,2906.92,8688.93,7847.55,547.128,4819.63,7088.27,2135.91,812.099
