time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
0,4516.54,8517.99,5645.25,2821.47,8959.24,7877.3,4462.05,9526.12,1697.25,3391.42,6467.99,7000.12,9084.36,1549.94,5290.05,1620.92
0.05,4517.93,8519.38,5646.64,2822.86,8960.64,7878.69,4463.48,9527.51,1698.63,3392.81,6469.39,7001.51,9085.75,1551.32,5291.44,1622.3
0.1,4519.32,8520.77,5648.02,2824.25,8962.04,7880.08,4464.9,9528.91,1700.02,3394.2,6470.8,7002.9,9087.13,1552.71,5292.84,1623.69
0.15,4520.71,8522.16,5649.41,2825.64,8963.45,7881.47,4466.33,9530.3,1701.41,3395.59,6472.21,7004.29,9088.52,1554.1,5294.23,1625.07
0.2,4522.1,8523.55,5650.8,2827.03,8964.85,7882.86,4467.75,9531.69,1702.8,3396.99,6473.61,7005.68,9089.91,1555.49,5295.62,1626.46
0.25,4523.49,8524.94,5652.19,2828.42,8966.25,7884.25,4469.17,9533.08,1704.19,3398.38,6475.02,7007.07,9091.3,1556.88,5297.02,1627.85
0.3,4524.87,8526.33,5653.58,2829.82,8967.65,7885.65,4470.6,9534.47,1705.58,3399.77,6476.42,7008.46,9092.69,1558.27,5298.41,1629.23
0.35,4526.26,8527.71,5654.97,2831.21,8969.05,7887.04,4472.02,9535.87,1706.97,3401.16,6477.83,7009.85,9094.08,1559.66,5299.8,1630.62
0.4,4527.65,8529.1,5656.36,2832.6,8970.46,7888.43,4473.44,9537.26,1708.36,3402.55,6479.23,7011.25,9095.47,1561.05,5301.2,1632
0.45,4529.04,8530.49,5657.75,2833.99,8971.86,7889.82,4474.87,9538.65,1709.75,3403.95,6480.64,7012.64,9096.86,1562.44,5302.59,1633.39
0.5,4530.43,8531.88,5659.14,2835.38,8973.26,7891.21,4476.29,9540.04,1711.13,3405.34,6482.04,7014.03,9098.25,1563.82,5303.98,1634.78
0.55,4531.82,8533.27,5660.52,2836.77,8974.66,7892.6,4477.71,9541.43,1712.52,3406.73,6483.45,7015.42,9099.63,1565.21,5305.38,1636.16
0.6,4533.21,8534.66,5661.91,2838.16,8976.06,7893.99,4479.14,9542.83,1713.91,3408.12,6484.85,7016.81,9101.02,1566.6,5306.77,1637.55
0.65,4534.6,8536.05,5663.3,2839.55,8977.47,7895.38,4480.56,9544.22,1715.3,3409.52,6486.26,7018.2,9102.41,1567.99,5308.16,1638.94
