time,N1,N2,N3,N4,N5,N6,N7
0,4850.61,1993.67,6621.56,7592.11,7722.85,3436.33,6700.77
0.05,4852,1995.06,6622.96,7593.49,7724.24,3437.73,6702.18
0.1,4853.39,1996.46,6624.36,7594.87,7725.63,3439.12,6703.58
0.15,4854.78,1997.85,6625.76,7596.25,7727.02,3440.52,6704.98
0.2,4856.17,1999.24,6627.16,7597.63,7728.41,3441.91,6706.38
0.25,4857.56,2000.63,6628.56,7599.01,7729.8,3443.31,6707.79
0.3,4858.95,2002.02,6629.96,7600.39,7731.19,3444.71,6709.19
0.35,4860.34,2003.41,6631.37,7601.77,7732.57,3446.1,6710.59
0.4,4861.72,2004.81,6632.77,7603.14,7733.96,3447.5,6712
0.45,4863.11,2006.2,6634.17,7604.52,7735.35,3448.89,6713.4
0.5,4864.5,2007.59,6635.57,7605.9,7736.74,3450.29,6714.8
0.55,4865.89,2008.98,6636.97,7607.28,7738.13,3451.69,6716.21
0.6,4867.28,2010.37,6638.37,7608.66,7739.52,3453.08,6717.61
0.65,4868.67,2011.76,6639.77,7610.04,7740.91,3454.48,6719.01
0.7,4870.06,2013.15,6641.17,7611.42,7742.3,3455.87,6720.41
0.75,4871.45,2014.55,6642.57,7612.8,7743.69,3457.27,6721.82
0.8,4872.84,2015.94,6643.97,7614.18,7745.07,3458.67,6723.22
0.85,4874.22,2017.33,6645.37,7615.56,7746.46,3460.06,6724.62
0.9,4875.61,2018.72,6646.77,7616.94,7747.85,3461.46,6726.03
0.95,4877,2020.11,6648.17,7618.32,7749.24,3462.85,6727.43
1,4878.39,2021.5,6649.57,7619.7,7750.63,3464.25,6728.83
1.05,4879.78,2022.9,6650.97,7621.08,7752.02,3465.65,6730.24
1.1,4881.17,2024.29,6652.37,7622.46,7753.41,3467.04,6731.64
1.15,4882.56,2025.68,6653.77,7623.84,7754.8,3468.44,6733.04
1.2,4883.95,2027.07,6655.17,7625.22,7756.19,3469.83,6734.44
1.25,4885.34,2028.46,6656.57,7626.6,7757.57,3471.23,6735.85
1.3,4886.72,2029.85,6657.97,7627.98,7758.96,3472.63,6737.25
1.35,4888.11,2031.24,6659.37,7629.36,7760.35,3474.02,6738.65
1.4,4889.5,2032.64,6660.77,7630.74,7761.74,3475.42,6740.06
1.45,4890.89,2034.03,6662.17,7632.12,7763.13,3476.81,6741.46
1.5,4892.28,2035.42,6663.57,7633.49,7764.52,3478.21,6742.86
1.55,4893.67,2036.81,6664.97,7634.87,7765.91,3479.61,6744.26
1.6,4895.06,2038.2,6666.37,7636.25,7767.3,3481,6745.67
1.65,4896.45,2039.59,6667.77,7637.63,7768.69,3482.4,6747.07
1.7,4897.84,2040.99,6669.17,7639.01,7770.07,3483.79,6748.47
1.75,4899.22,2042.38,6670.57,7640.39,7771.46,3485.19,6749.88
1.8,4900.61,2043.77,6671.97,7641.77,7772.85,3486.59,6751.28
1.85,4902,2045.16,6673.37,7643.15,7774.24,3487.98,6752.68
