time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
0,4288.22,4246.11,471.122,1919.24,8789.26,5166.27,5355.11,7667.35,1980.45,3796.06,5910.71,9398.85,3453.45,5726.78,423.898,8126.75,6193.39,7818.55,1497.27
0.05,4289.61,4247.51,472.511,1920.64,8790.65,5167.66,5356.5,7668.74,1981.84,3797.45,5912.1,9400.24,3454.84,5728.17,425.292,8128.15,6194.78,7819.94,1498.69
0.1,4290.99,4248.91,473.9,1922.03,8792.04,5169.04,5357.89,7670.14,1983.23,3798.84,5913.49,9401.63,3456.23,5729.55,426.685,8129.55,6196.17,7821.32,1500.11
0.15,4292.38,4250.3,475.288,1923.43,8793.43,5170.43,5359.28,7671.53,1984.62,3800.23,5914.88,9403.02,3457.62,5730.94,428.079,8130.94,6197.56,7822.71,1501.52
0.2,4293.77,4251.7,476.677,1924.82,8794.82,5171.82,5360.67,7672.92,1986.01,3801.62,5916.27,9404.41,3459.01,5732.32,429.473,8132.34,6198.95,7824.1,1502.94
0.25,4295.16,4253.1,478.066,1926.22,8796.2,5173.2,5362.06,7674.31,1987.4,3803.01,5917.66,9405.8,3460.4,5733.71,430.867,8133.73,6200.34,7825.49,1504.36
0.3,4296.55,4254.49,479.455,1927.61,8797.59,5174.59,5363.45,7675.7,1988.79,3804.39,5919.05,9407.2,3461.79,5735.1,432.26,8135.13,6201.73,7826.88,1505.77
0.35,4297.94,4255.89,480.844,1929.01,8798.98,5175.98,5364.83,7677.09,1990.18,3805.78,5920.44,9408.59,3463.18,5736.48,433.654,8136.53,6203.12,7828.27,1507.19
0.4,4299.32,4257.29,482.233,1930.4,8800.37,5177.36,5366.22,7678.48,1991.57,3807.17,5921.84,9409.98,3464.57,5737.87,435.048,8137.92,6204.51,7829.66,1508.61
0.45,4300.71,4258.68,483.622,1931.8,8801.76,5178.75,5367.61,7679.88,1992.96,3808.56,5923.23,9411.37,3465.96,5739.25,436.442,8139.32,6205.89,7831.05,1510.02
0.5,4302.1,4260.08,485.011,1933.19,8803.15,5180.14,5369,7681.27,1994.35,3809.95,5924.62,9412.76,3467.35,5740.64,437.835,8140.71,6207.28,7832.44,1511.44
0.55,4303.49,4261.48,486.4,1934.59,8804.54,5181.52,5370.39,7682.66,1995.74,3811.34,5926.01,9414.15,3468.74,5742.02,439.229,8142.11,6208.67,7833.82,1512.86
0.6,4304.88,4262.87,487.788,1935.98,8805.93,5182.91,5371.78,7684.05,1997.13,3812.73,5927.4,9415.54,3470.13,5743.41,440.623,8143.51,6210.06,7835.21,1514.27
0.65,4306.27,4264.27,489.177,1937.38,8807.32,5184.29,5373.16,7685.44,1998.52,3814.12,5928.79,9416.94,3471.52,5744.8,442.017,8144.9,6211.45,7836.6,1515.69
0.7,4307.65,4265.67,490.566,1938.77,8808.7,5185.68,5374.55,7686.83,1999.91,3815.51,5930.18,9418.33,3472.91,5746.18,443.41,8146.3,6212.84,7837.99,1517.11
0.75,4309.04,4267.06,491.955,1940.16,8810.09,5187.07,5375.94,7688.22,2001.3,3816.89,5931.57,9419.72,3474.3,5747.57,444.804,8147.69,6214.23,7839.38,1518.53
0.8,4310.43,4268.46,493.344,1941.56,8811.48,5188.45,5377.33,7689.62,2002.69,3818.28,5932.96,9421.11,3475.69,5748.95,446.198,8149.09,6215.62,7840.77,1519.94
0.85,4311.82,4269.86,494.733,1942.95,8812.87,5189.84,5378.72,7691.01,2004.08,3819.67,5934.35,9422.5,3477.08,5750.34,447.592,8150.49,6217.01,7842.16,1521.36
0.9,4313.21,4271.25,496.122,1944.35,8814.26,5191.23,5380.11,7692.4,2005.47,3821.06,5935.74,9423.89,3478.47,5751.72,448.986,8151.88,6218.39,7843.55,1522.78
0.95,4314.6,4272.65,497.511,1945.74,8815.65,5192.61,5381.49,7693.79,2006.86,3822.45,5937.13,9425.28,3479.86,5753.11,450.379,8153.28,6219.78,7844.94,1524.19
1,4315.98,4274.05,498.9,1947.14,8817.04,5194,5382.88,7695.18,2008.25,3823.84,5938.52,9426.68,3481.25,5754.5,451.773,8154.67,6221.17,7846.32,1525.61
1.05,4317.37,4275.44,500.288,1948.53,8818.43,5195.39,5384.27,7696.57,2009.64,3825.23,5939.91,9428.07,3482.64,5755.88,453.167,8156.07,6222.56,7847.71,1527.03
1.1,4318.76,4276.84,501.677,1949.93,8819.82,5196.77,5385.66,7697.96,2011.03,3826.62,5941.31,9429.46,3484.03,5757.27,454.561,8157.47,6223.95,7849.1,1528.44
1.15,4320.15,4278.24,503.066,1951.32,8821.2,5198.16,5387.05,7699.36,2012.42,3828.01,5942.7,9430.85,3485.42,5758.65,455.954,8158.86,6225.34,7850.49,1529.86
1.2,4321.54,4279.63,504.455,1952.72,8822.59,5199.55,5388.44,7700.75,2013.81,3829.39,5944.09,9432.24,3486.81,5760.04,457.348,8160.26,6226.73,7851.88,1531.28
1.25,4322.92,4281.03,505.844,1954.11,8823.98,5200.93,5389.83,7702.14,2015.2,3830.78,5945.48,9433.63,3488.2,5761.42,458.742,8161.65,6228.12,7853.27,1532.69
