time,N1,N2,N3,N4,N5,N6
0,1115.42,5390.15,4430.28,3979.88,1029.29,7776.89
0.05,1116.81,5391.55,4431.67,3981.27,1030.69,7778.27
0.1,1118.2,5392.94,4433.05,3982.66,1032.09,7779.66
0.15,1119.59,5394.34,4434.44,3984.05,1033.49,7781.05
0.2,1120.98,5395.73,4435.83,3985.44,1034.89,7782.44
0.25,1122.37,5397.13,4437.22,3986.83,1036.29,7783.83
0.3,1123.76,5398.52,4438.61,3988.22,1037.68,7785.22
0.35,1125.14,5399.92,4440,3989.61,1039.08,7786.61
0.4,1126.53,5401.31,4441.39,3991,1040.48,7788
0.45,1127.92,5402.71,4442.78,3992.39,1041.88,7789.39
0.5,1129.31,5404.1,4444.17,3993.78,1043.28,7790.77
0.55,1130.7,5405.5,4445.56,3995.17,1044.68,7792.16
0.6,1132.09,5406.9,4446.94,3996.56,1046.08,7793.55
0.65,1133.48,5408.29,4448.33,3997.95,1047.48,7794.94
0.7,1134.87,5409.69,4449.72,3999.34,1048.88,7796.33
0.75,1136.26,5411.08,4451.11,4000.73,1050.28,7797.72
0.8,1137.64,5412.48,4452.5,4002.12,1051.68,7799.11
0.85,1139.03,5413.87,4453.89,4003.52,1053.08,7800.5
0.9,1140.42,5415.27,4455.28,4004.91,1054.48,7801.89
0.95,1141.81,5416.66,4456.67,4006.3,1055.88,7803.27
1,1143.2,5418.06,4458.06,4007.69,1057.28,7804.66
1.05,1144.59,5419.45,4459.44,4009.08,1058.68,7806.05
1.1,1145.98,5420.85,4460.83,4010.47,1060.08,7807.44
1.15,1147.37,5422.24,4462.22,4011.86,1061.48,7808.83
1.2,1148.76,5423.64,4463.61,4013.25,1062.88,7810.22
1.25,1150.14,5425.03,4465,4014.64,1064.28,7811.61
1.3,1151.53,5426.43,4466.39,4016.03,1065.68,7813
1.35,1152.92,5427.82,4467.78,4017.42,1067.08,7814.39
1.4,1154.31,5429.22,4469.17,4018.81,1068.47,7815.77
1.45,1155.7,5430.61,4470.56,4020.2,1069.87,7817.16
1.5,1157.09,5432.01,4471.95,4021.59,1071.27,7818.55
1.55,1158.48,5433.4,4473.33,4022.98,1072.67,7819.94
1.6,1159.87,5434.8,4474.72,4024.37,1074.07,7821.33
1.65,1161.26,5436.2,4476.11,4025.76,1075.47,7822.72
1.7,1162.64,5437.59,4477.5,4027.15,1076.87,7824.11
1.75,1164.03,5438.99,4478.89,4028.54,1078.27,7825.5
1.8,1165.42,5440.38,4480.28,4029.93,1079.67,7826.89
1.85,1166.81,5441.78,4481.67,4031.32,1081.07,7828.27
1.9,1168.2,5443.17,4483.06,4032.71,1082.47,7829.66
1.95,1169.59,5444.57,4484.45,4034.1,1083.87,7831.05
2,1170.98,5445.96,4485.83,4035.49,1085.27,7832.44
2.05,1172.37,5447.36,4487.22,4036.89,1086.67,7833.83
2.1,1173.76,5448.75,4488.61,4038.28,1088.07,7835.22
2.15,1175.14,5450.15,4490,4039.67,1089.47,7836.61
2.2,1176.53,5451.54,4491.39,4041.06,1090.87,7838
2.25,1177.92,5452.94,4492.78,4042.45,1092.27,7839.39
2.3,1179.31,5454.33,4494.17,4043.84,1093.67,7840.77
2.35,1180.7,5455.73,4495.56,4045.23,1095.07,7842.16
