time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
2.55,7233.79,1861.33,8301.98,2221.33,9309.8,2006.57,9041.75,6424.5,5240.81,6386.5
2.6,7235.18,1862.78,8303.38,2222.72,9311.19,2007.96,9043.15,6425.89,5242.2,6387.85
2.65,7236.58,1864.23,8304.78,2224.1,9312.58,2009.35,9044.55,6427.29,5243.59,6389.2
2.7,7237.97,1865.69,8306.18,2225.49,9313.97,2010.74,9045.95,6428.68,5244.98,6390.55
2.75,7239.36,1867.14,8307.58,2226.88,9315.36,2012.13,9047.35,6430.07,5246.37,6391.9
2.8,7240.76,1868.59,8308.98,2228.27,9316.75,2013.52,9048.75,6431.47,5247.76,6393.25
2.85,7242.15,1870.04,8310.38,2229.66,9318.14,2014.91,9050.15,6432.86,5249.15,6394.6
2.9,7243.54,1871.49,8311.78,2231.05,9319.52,2016.3,9051.55,6434.25,5250.54,6395.95
2.95,7244.94,1872.94,8313.18,2232.44,9320.91,2017.69,9052.95,6435.65,5251.93,6397.3
3,7246.33,1874.39,8314.58,2233.83,9322.3,2019.08,9054.34,6437.04,5253.32,6398.65
3.05,7247.72,1875.84,8315.98,2235.22,9323.69,2020.47,9055.74,6438.43,5254.71,6400
3.1,7249.11,1877.29,8317.38,2236.6,9325.08,2021.86,9057.14,6439.82,5256.1,6401.35
3.15,7250.51,1878.74,8318.78,2237.99,9326.47,2023.25,9058.54,6441.22,5257.49,6402.7
3.2,7251.9,1880.19,8320.18,2239.38,9327.86,2024.64,9059.94,6442.61,5258.88,6404.05
3.25,7253.29,1881.64,8321.58,2240.77,9329.25,2026.03,9061.34,6444,5260.27,6405.4
3.3,7254.69,1883.09,8322.98,2242.16,9330.64,2027.42,9062.74,6445.4,5261.66,6406.75
3.35,7256.08,1884.54,8324.37,2243.55,9332.02,2028.81,9064.14,6446.79,5263.04,6408.1
3.4,7257.47,1885.99,8325.77,2244.94,9333.41,2030.2,9065.54,6448.18,5264.43,6409.45
3.45,7258.87,1887.44,8327.17,2246.33,9334.8,2031.59,9066.94,6449.58,5265.82,6410.8
3.5,7260.26,1888.9,8328.57,2247.72,9336.19,2032.98,9068.34,6450.97,5267.21,6412.15
3.55,7261.65,1890.35,8329.97,2249.1,9337.58,2034.37,9069.74,6452.36,5268.6,6413.5
3.6,7263.05,1891.8,8331.37,2250.49,9338.97,2035.76,9071.14,6453.75,5269.99,6414.85
3.65,7264.44,1893.25,8332.77,2251.88,9340.36,2037.15,9072.54,6455.15,5271.38,6416.2
3.7,7265.83,1894.7,8334.17,2253.27,9341.75,2038.54,9073.94,6456.54,5272.77,6417.55
3.75,7267.23,1896.15,8335.57,2254.66,9343.14,2039.94,9075.34,6457.93,5274.16,6418.9
3.8,7268.62,1897.6,8336.97,2256.05,9344.52,2041.33,9076.74,6459.33,5275.55,6420.25
3.85,7270.01,1899.05,8338.37,2257.44,9345.91,2042.72,9078.14,6460.72,5276.94,6421.6
3.9,7271.4,1900.5,8339.77,2258.83,9347.3,2044.11,9079.53,6462.11,5278.33,6422.95
3.95,7272.8,1901.95,8341.17,2260.22,9348.69,2045.5,9080.93,6463.51,5279.72,6424.3
4,7274.19,1903.4,8342.57,2261.6,9350.08,2046.89,9082.33,6464.9,5281.11,6425.65
4.05,7275.58,1904.85,8343.97,2262.99,9351.47,2048.28,9083.73,6466.29,5282.5,6427
4.1,7276.98,1906.3,8345.37,2264.38,9352.86,2049.67,9085.13,6467.68,5283.89,6428.35
4.15,7278.37,1907.75,8346.77,2265.77,9354.25,2051.06,9086.53,6469.08,5285.28,6429.7
4.2,7279.76,1909.2,8348.17,2267.16,9355.64,2052.45,9087.93,6470.47,5286.67,6431.05
4.25,7281.16,1910.66,8349.57,2268.55,9357.02,2053.84,9089.33,6471.86,5288.06,6432.4
4.3,7282.55,1912.11,8350.97,2269.94,9358.41,2055.23,9090.73,6473.26,5289.45,6433.75
4.35,7283.94,1913.56,8352.37,2271.33,9359.8,2056.62,9092.13,6474.65,5290.84,6435.1
4.4,7285.34,1915.01,8353.77,2272.72,9361.19,2058.01,9093.53,6476.04,5292.23,6436.45
4.45,7286.73,1916.46,8355.17,2274.1,9362.58,2059.4,9094.93,6477.44,5293.62,6437.8
4.5,7288.12,1917.91,8356.56,2275.49,9363.97,2060.79,9096.33,6478.83,5295.01,6439.15
4.55,7289.51,1919.36,8357.96,2276.88,9365.36,2062.18,9097.73,6480.22,5296.4,6440.5
4.6,7290.91,1920.81,8359.36,2278.27,9366.75,2063.57,9099.13,6481.62,5297.79,6441.86
4.65,7292.3,1922.26,8360.76,2279.66,9368.14,2064.96,9100.53,6483.01,5299.18,6443.21
4.7,7293.69,1923.71,8362.16,2281.05,9369.52,2066.35,9101.93,6484.4,5300.57,6444.56
4.75,7295.09,1925.16,8363.56,2282.44,9370.91,2067.74,9103.33,6485.79,5301.96,6445.91
4.8,7296.48,1926.61,8364.96,2283.83,9372.3,2069.13,9104.72,6487.19,5303.34,6447.26
4.85,7297.87,1928.06,8366.36,2285.22,9373.69,2070.52,9106.12,6488.58,5304.73,6448.61
4.9,7299.27,1929.51,8367.76,2286.6,9375.08,2071.91,9107.52,6489.97,5306.12,6449.96
4.95,7300.66,1930.96,8369.16,2287.99,9376.47,2073.3,9108.92,6491.37,5307.51,6451.31
5,7302.05,1932.42,8370.56,2289.38,9377.86,2074.69,9110.32,6492.76,5308.9,6452.66
5.05,7303.45,1933.87,8371.96,2290.77,9379.25,2076.08,9111.72,6494.15,5310.29,6454.01
5.1,7304.84,1935.32,8373.36,2292.16,9380.64,2077.47,9113.12,6495.55,5311.68,6455.36
5.15,7306.23,1936.77,8374.76,2293.55,9382.02,2078.86,9114.52,6496.94,5313.07,6456.71
5.2,7307.62,1938.22,8376.16,2294.94,9383.41,2080.25,9115.92,6498.33,5314.46,6458.06
5.25,7309.02,1939.67,8377.56,2296.33,9384.8,2081.64,9117.32,6499.72,5315.85,6459.41
5.3,7310.41,1941.12,8378.96,2297.72,9386.19,2083.03,9118.72,6501.12,5317.24,6460.76
5.35,7311.8,1942.57,8380.36,2299.1,9387.58,2084.42,9120.12,6502.51,5318.63,6462.11
5.4,7313.2,1944.02,8381.76,2300.49,9388.97,2085.81,9121.52,6503.9,5320.02,6463.47
5.45,7314.59,1945.47,8383.16,2301.88,9390.36,2087.2,9122.92,6505.3,5321.41,6464.82
5.5,7315.98,1946.92,8384.56,2303.27,9391.75,2088.59,9124.32,6506.69,5322.8,6466.17
5.55,7317.38,1948.37,8385.96,2304.66,9393.14,2089.98,9125.72,6508.08,5324.19,6467.52
5.6,7318.77,1949.82,8387.35,2306.05,9394.52,2091.37,9127.12,6509.48,5325.58,6468.87
5.65,7320.16,1951.27,8388.75,2307.44,9395.91,2092.76,9128.52,6510.87,5326.97,6470.22
5.7,7321.56,1952.72,8390.15,2308.83,9397.3,2094.15,9129.91,6512.26,5328.36,6471.57
5.75,7322.95,1954.18,8391.55,2310.22,9398.69,2095.54,9131.31,6513.65,5329.75,6472.92
5.8,7324.34,1955.63,8392.95,2311.6,9400.08,2096.93,9132.71,6515.05,5331.14,6474.27
5.85,7325.73,1957.08,8394.35,2312.99,9401.47,2098.32,9134.11,6516.44,5332.53,6475.62
5.9,7327.13,1958.53,8395.75,2314.38,9402.86,2099.71,9135.51,6517.83,5333.92,6476.97
5.95,7328.52,1959.98,8397.15,2315.77,9404.25,2101.1,9136.91,6519.23,5335.31,6478.32
6,7329.91,1961.43,8398.55,2317.16,9405.64,2102.49,9138.31,6520.62,5336.7,6479.67
6.05,7331.31,1962.88,8399.95,2318.55,9407.02,2103.88,9139.71,6522.01,5338.09,6481.03
6.1,7332.7,1964.33,8401.35,2319.94,9408.41,2105.27,9141.11,6523.41,5339.48,6482.38
6.15,7334.09,1965.78,8402.75,2321.33,9409.8,2106.66,9142.51,6524.8,5340.87,6483.73
6.2,7335.49,1967.23,8404.15,2322.72,9411.19,2108.05,9143.91,6526.19,5342.25,6485.08
6.25,7336.88,1968.68,8405.55,2324.1,9412.58,2109.44,9145.31,6527.58,5343.64,6486.43
6.3,7338.27,1970.13,8406.95,2325.49,9413.97,2110.83,9146.71,6528.98,5345.03,6487.78
6.35,7339.67,1971.58,8408.35,2326.88,9415.36,2112.22,9148.11,6530.37,5346.42,6489.13
6.4,7341.06,1973.03,8409.75,2328.27,9416.75,2113.61,9149.51,6531.76,5347.81,6490.48
6.45,7342.45,1974.48,8411.15,2329.66,9418.14,2115,9150.91,6533.16,5349.2,6491.83
6.5,7343.85,1975.94,8412.55,2331.05,9419.52,2116.39,9152.31,6534.55,5350.59,6493.18
6.55,7345.24,1977.39,8413.95,2332.44,9420.91,2117.78,9153.71,6535.94,5351.98,6494.53
6.6,7346.63,1978.84,8415.35,2333.83,9422.3,2119.17,9155.1,6537.34,5353.37,6495.89
6.65,7348.02,1980.29,8416.75,2335.22,9423.69,2120.56,9156.5,6538.73,5354.76,6497.24
6.7,7349.42,1981.74,8418.15,2336.6,9425.08,2121.95,9157.9,6540.12,5356.15,6498.59
6.75,7350.81,1983.19,8419.54,2337.99,9426.47,2123.34,9159.3,6541.52,5357.54,6499.94
6.8,7352.2,1984.64,8420.94,2339.38,9427.86,2124.73,9160.7,6542.91,5358.93,6501.29
6.85,7353.6,1986.09,8422.34,2340.77,9429.25,2126.12,9162.1,6544.3,5360.32,6502.64
6.9,7354.99,1987.54,8423.74,2342.16,9430.64,2127.51,9163.5,6545.69,5361.71,6503.99
6.95,7356.38,1988.99,8425.14,2343.55,9432.02,2128.9,9164.9,6547.09,5363.1,6505.34
7,7357.78,1990.44,8426.54,2344.94,9433.41,2130.3,9166.3,6548.48,5364.49,6506.69
7.05,7359.17,1991.89,8427.94,2346.33,9434.8,2131.69,9167.7,6549.87,5365.88,6508.05
7.1,7360.56,1993.34,8429.34,2347.72,9436.19,2133.08,9169.1,6551.27,5367.27,6509.4
7.15,7361.96,1994.79,8430.74,2349.1,9437.58,2134.47,9170.5,6552.66,5368.66,6510.75
7.2,7363.35,1996.25,8432.14,2350.49,9438.97,2135.86,9171.9,6554.05,5370.05,6512.1
7.25,7364.74,1997.7,8433.54,2351.88,9440.36,2137.25,9173.3,6555.45,5371.44,6513.45
7.3,7366.13,1999.15,8434.94,2353.27,9441.75,2138.64,9174.7,6556.84,5372.83,6514.8
7.35,7367.53,2000.6,8436.34,2354.66,9443.14,2140.03,9176.1,6558.23,5374.22,6516.15
7.4,7368.92,2002.05,8437.74,2356.05,9444.52,2141.42,9177.5,6559.62,5375.61,6517.5
7.45,7370.31,2003.5,8439.14,2357.44,9445.91,2142.81,9178.9,6561.02,5377,6518.86
7.5,7371.71,2004.95,8440.54,2358.83,9447.3,2144.2,9180.3,6562.41,5378.39,6520.21
7.55,7373.1,2006.4,8441.94,2360.22,9448.69,2145.59,9181.69,6563.8,5379.78,6521.56
7.6,7374.49,2007.85,8443.34,2361.6,9450.08,2146.98,9183.09,6565.2,5381.16,6522.91
7.65,7375.89,2009.3,8444.74,2362.99,9451.47,2148.37,9184.49,6566.59,5382.55,6524.26
7.7,7377.28,2010.75,8446.14,2364.38,9452.86,2149.76,9185.89,6567.98,5383.94,6525.61
7.75,7378.67,2012.2,8447.54,2365.77,9454.25,2151.15,9187.29,6569.38,5385.33,6526.97
7.8,7380.07,2013.65,8448.94,2367.16,9455.64,2152.54,9188.69,6570.77,5386.72,6528.32
7.85,7381.46,2015.1,8450.34,2368.55,9457.02,2153.93,9190.09,6572.16,5388.11,6529.67
7.9,7382.85,2016.56,8451.73,2369.94,9458.41,2155.32,9191.49,6573.55,5389.5,6531.02
7.95,7384.24,2018.01,8453.13,2371.33,9459.8,2156.71,9192.89,6574.95,5390.89,6532.37
8,7385.64,2019.46,8454.53,2372.72,9461.19,2158.1,9194.29,6576.34,5392.28,6533.72
8.05,7387.03,2020.91,8455.93,2374.1,9462.58,2159.49,9195.69,6577.73,5393.67,6535.08
8.1,7388.42,2022.36,8457.33,2375.49,9463.97,2160.88,9197.09,6579.13,5395.06,6536.43
8.15,7389.82,2023.81,8458.73,2376.88,9465.36,2162.27,9198.49,6580.52,5396.45,6537.78
8.2,7391.21,2025.26,8460.13,2378.27,9466.75,2163.66,9199.89,6581.91,5397.84,6539.13
8.25,7392.6,2026.71,8461.53,2379.66,9468.14,2165.05,9201.29,6583.31,5399.23,6540.48
8.3,7394,2028.16,8462.93,2381.05,9469.52,2166.44,9202.69,6584.7,5400.62,6541.83
8.35,7395.39,2029.61,8464.33,2382.44,9470.91,2167.83,9204.09,6586.09,5402.01,6543.19
8.4,7396.78,2031.06,8465.73,2383.83,9472.3,2169.22,9205.49,6587.48,5403.4,6544.54
8.45,7398.18,2032.51,8467.13,2385.22,9473.69,2170.61,9206.88,6588.88,5404.79,6545.89
8.5,7399.57,2033.96,8468.53,2386.6,9475.08,2172,9208.28,6590.27,5406.18,6547.24
8.55,7400.96,2035.41,8469.93,2387.99,9476.47,2173.39,9209.68,6591.66,5407.57,6548.59
8.6,7402.35,2036.87,8471.33,2389.38,9477.86,2174.78,9211.08,6593.06,5408.96,6549.95
8.65,7403.75,2038.32,8472.73,2390.77,9479.25,2176.17,9212.48,6594.45,5410.35,6551.3
8.7,7405.14,2039.77,8474.13,2392.16,9480.64,2177.56,9213.88,6595.84,5411.74,6552.65
8.75,7406.53,2041.22,8475.53,2393.55,9482.02,2178.95,9215.28,6597.24,5413.13,6554
8.8,7407.93,2042.67,8476.93,2394.94,9483.41,2180.34,9216.68,6598.63,5414.52,6555.35
8.85,7409.32,2044.12,8478.33,2396.33,9484.8,2181.73,9218.08,6600.02,5415.91,6556.71
8.9,7410.71,2045.57,8479.73,2397.72,9486.19,2183.12,9219.48,6601.41,5417.3,6558.06
8.95,7412.11,2047.02,8481.13,2399.1,9487.58,2184.51,9220.88,6602.81,5418.69,6559.41
9,7413.5,2048.47,8482.53,2400.49,9488.97,2185.9,9222.28,6604.2,5420.08,6560.76
9.05,7414.89,2049.92,8483.93,2401.88,9490.36,2187.29,9223.68,6605.59,5421.46,6562.12
9.1,7416.29,2051.37,8485.32,2403.27,9491.75,2188.68,9225.08,6606.99,5422.85,6563.47
9.15,7417.68,2052.82,8486.72,2404.66,9493.14,2190.07,9226.48,6608.38,5424.24,6564.82
9.2,7419.07,2054.27,8488.12,2406.05,9494.52,2191.46,9227.88,6609.77,5425.63,6566.17
9.25,7420.46,2055.73,8489.52,2407.44,9495.91,2192.85,9229.28,6611.17,5427.02,6567.53
9.3,7421.86,2057.18,8490.92,2408.83,9497.3,2194.24,9230.68,6612.56,5428.41,6568.88
9.35,7423.25,2058.63,8492.32,2410.22,9498.69,2195.63,9232.08,6613.95,5429.8,6570.23
9.4,7424.64,2060.08,8493.72,2411.6,9500.08,2197.02,9233.47,6615.35,5431.19,6571.58
9.45,7426.04,2061.53,8495.12,2412.99,9501.47,2198.41,9234.87,6616.74,5432.58,6572.94
9.5,7427.43,2062.98,8496.52,2414.38,9502.86,2199.8,9236.27,6618.13,5433.97,6574.29
9.55,7428.82,2064.43,8497.92,2415.77,9504.25,2201.19,9237.67,6619.52,5435.36,6575.64
9.6,7430.22,2065.88,8499.32,2417.16,9505.64,2202.58,9239.07,6620.92,5436.75,6576.99
9.65,7431.61,2067.33,8500.72,2418.55,9507.02,2203.97,9240.47,6622.31,5438.14,6578.35
9.7,7433,2068.78,8502.12,2419.94,9508.41,2205.36,9241.87,6623.7,5439.53,6579.7
9.75,7434.4,2070.23,8503.52,2421.33,9509.8,2206.75,9243.27,6625.1,5440.92,6581.05
9.8,7435.79,2071.68,8504.92,2422.72,9511.19,2208.14,9244.67,6626.49,5442.31,6582.4
9.85,7437.18,2073.13,8506.32,2424.1,9512.58,2209.53,9246.07,6627.88,5443.7,6583.76
9.9,7438.58,2074.58,8507.72,2425.49,9513.97,2210.92,9247.47,6629.28,5445.09,6585.11
9.95,7439.97,2076.04,8509.12,2426.88,9515.36,2212.31,9248.87,6630.67,5446.48,6586.46
10,7441.36,2077.49,8510.52,2428.27,9516.75,2213.7,9250.27,6632.06,5447.87,6587.81
10.05,7442.75,2078.94,8511.92,2429.66,9518.14,2215.09,9251.67,6633.45,5449.26,6589.17
10.1,7444.15,2080.39,8513.32,2431.05,9519.52,2216.48,9253.07,6634.85,5450.65,6590.52
10.15,7445.54,2081.84,8514.72,2432.44,9520.91,2217.87,9254.47,6636.24,5452.04,6591.87
10.2,7446.93,2083.29,8516.12,2433.83,9522.3,2219.26,9255.87,6637.63,5453.43,6593.23
10.25,7448.33,2084.74,8517.51,2435.22,9523.69,2220.65,9257.27,6639.03,5454.82,6594.58
10.3,7449.72,2086.19,8518.91,2436.6,9525.08,2222.05,9258.66,6640.42,5456.21,6595.93
10.35,7451.11,2087.64,8520.31,2437.99,9526.47,2223.44,9260.06,6641.81,5457.6,6597.29
10.4,7452.51,2089.09,8521.71,2439.38,9527.86,2224.83,9261.46,6643.21,5458.99,6598.64
10.45,7453.9,2090.54,8523.11,2440.77,9529.25,2226.22,9262.86,6644.6,5460.37,6599.99
10.5,7455.29,2091.99,8524.51,2442.16,9530.64,2227.61,9264.26,6645.99,5461.76,6601.34
10.55,7456.69,2093.44,8525.91,2443.55,9532.02,2229,9265.66,6647.38,5463.15,6602.7
10.6,7458.08,2094.9,8527.31,2444.94,9533.41,2230.39,9267.06,6648.78,5464.54,6604.05
10.65,7459.47,2096.35,8528.71,2446.33,9534.8,2231.78,9268.46,6650.17,5465.93,6605.4
10.7,7460.86,2097.8,8530.11,2447.72,9536.19,2233.17,9269.86,6651.56,5467.32,6606.76
10.75,7462.26,2099.25,8531.51,2449.1,9537.58,2234.56,9271.26,6652.96,5468.71,6608.11
10.8,7463.65,2100.7,8532.91,2450.49,9538.97,2235.95,9272.66,6654.35,5470.1,6609.46
10.85,7465.04,2102.15,8534.31,2451.88,9540.36,2237.34,9274.06,6655.74,5471.49,6610.82
10.9,7466.44,2103.6,8535.71,2453.27,9541.75,2238.73,9275.46,6657.14,5472.88,6612.17
10.95,7467.83,2105.05,8537.11,2454.66,9543.14,2240.12,9276.86,6658.53,5474.27,6613.52
11,7469.22,2106.5,8538.51,2456.05,9544.52,2241.51,9278.26,6659.92,5475.66,6614.88
11.05,7470.62,2107.95,8539.91,2457.44,9545.91,2242.9,9279.66,6661.31,5477.05,6616.23
11.1,7472.01,2109.4,8541.31,2458.83,9547.3,2244.29,9281.06,6662.71,5478.44,6617.58
11.15,7473.4,2110.85,8542.71,2460.22,9548.69,2245.68,9282.46,6664.1,5479.83,6618.94
11.2,7474.8,2112.3,8544.11,2461.6,9550.08,2247.07,9283.86,6665.49,5481.22,6620.29
11.25,7476.19,2113.76,8545.51,2462.99,9551.47,2248.46,9285.25,6666.89,5482.61,6621.64
11.3,7477.58,2115.21,8546.91,2464.38,9552.86,2249.85,9286.65,6668.28,5484,6623
11.35,7478.97,2116.66,8548.31,2465.77,9554.25,2251.24,9288.05,6669.67,5485.39,6624.35
11.4,7480.37,2118.11,8549.71,2467.16,9555.64,2252.63,9289.45,6671.07,5486.78,6625.71
11.45,7481.76,2119.56,8551.1,2468.55,9557.02,2254.02,9290.85,6672.46,5488.17,6627.06
11.5,7483.15,2121.01,8552.5,2469.94,9558.41,2255.41,9292.25,6673.85,5489.56,6628.41
11.55,7484.55,2122.46,8553.9,2471.33,9559.8,2256.8,9293.65,6675.24,5490.95,6629.77
11.6,7485.94,2123.91,8555.3,2472.72,9561.19,2258.19,9295.05,6676.64,5492.34,6631.12
11.65,7487.33,2125.36,8556.7,2474.1,9562.58,2259.58,9296.45,6678.03,5493.73,6632.47
11.7,7488.73,2126.81,8558.1,2475.49,9563.97,2260.97,9297.85,6679.42,5495.12,6633.83
11.75,7490.12,2128.26,8559.5,2476.88,9565.36,2262.36,9299.25,6680.82,5496.51,6635.18
11.8,7491.51,2129.71,8560.9,2478.27,9566.75,2263.75,9300.65,6682.21,5497.9,6636.54
11.85,7492.91,2131.16,8562.3,2479.66,9568.14,2265.14,9302.05,6683.6,5499.28,6637.89
11.9,7494.3,2132.62,8563.7,2481.05,9569.52,2266.53,9303.45,6685,5500.67,6639.24
11.95,7495.69,2134.07,8565.1,2482.44,9570.91,2267.92,9304.85,6686.39,5502.06,6640.6
12,7497.08,2135.52,8566.5,2483.83,9572.3,2269.31,9306.25,6687.78,5503.45,6641.95
12.05,7498.48,2136.97,8567.9,2485.22,9573.69,2270.7,9307.65,6689.17,5504.84,6643.31
12.1,7499.87,2138.42,8569.3,2486.6,9575.08,2272.09,9309.05,6690.57,5506.23,6644.66
12.15,7501.26,2139.87,8570.7,2487.99,9576.47,2273.48,9310.45,6691.96,5507.62,6646.01
12.2,7502.66,2141.32,8572.1,2489.38,9577.86,2274.87,9311.84,6693.35,5509.01,6647.37
12.25,7504.05,2142.77,8573.5,2490.77,9579.25,2276.26,9313.24,6694.75,5510.4,6648.72
12.3,7505.44,2144.22,8574.9,2492.16,9580.64,2277.65,9314.64,6696.14,5511.79,6650.08
