time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
0,2777.02,7422.66,2466.08,8648.96,7177.59,2840.36,640.41,3424.17,1090.93,3098.08,1489.22,1687.13,5339.09,7765.15,6806.18,5255.87,2232.4,6050.5,3478.04,114.354,8992.86
0.05,2778.41,7424.06,2467.47,8650.36,7178.97,2841.74,641.803,3425.56,1092.33,3099.47,1490.61,1688.52,5340.5,7766.54,6807.59,5257.27,2233.79,6051.89,3479.43,115.747,8994.25
0.1,2779.81,7425.45,2468.86,8651.75,7180.36,2843.13,643.195,3426.96,1093.72,3100.86,1492.01,1689.91,5341.91,7767.93,6809,5258.67,2235.18,6053.28,3480.82,117.139,8995.64
0.15,2781.2,7426.85,2470.25,8653.14,7181.75,2844.51,644.588,3428.35,1095.11,3102.25,1493.4,1691.31,5343.31,7769.32,6810.41,5260.06,2236.57,6054.67,3482.21,118.532,8997.03
0.2,2782.6,7428.24,2471.64,8654.53,7183.14,2845.9,645.98,3429.75,1096.5,3103.64,1494.79,1692.7,5344.72,7770.71,6811.82,5261.46,2237.96,6056.06,3483.6,119.925,8998.43
0.25,2783.99,7429.64,2473.03,8655.93,7184.53,2847.29,647.373,3431.14,1097.89,3105.03,1496.18,1694.09,5346.12,7772.1,6813.23,5262.86,2239.35,6057.45,3484.99,121.317,8999.82
0.3,2785.38,7431.04,2474.42,8657.32,7185.92,2848.67,648.766,3432.54,1099.29,3106.42,1497.57,1695.48,5347.53,7773.49,6814.64,5264.25,2240.74,6058.84,3486.38,122.71,9001.21
0.35,2786.78,7432.43,2475.81,8658.71,7187.31,2850.06,650.158,3433.93,1100.68,3107.8,1498.97,1696.87,5348.94,7774.87,6816.05,5265.65,2242.13,6060.23,3487.77,124.103,9002.61
0.4,2788.17,7433.83,2477.2,8660.11,7188.7,2851.44,651.551,3435.32,1102.07,3109.19,1500.36,1698.26,5350.34,7776.26,6817.46,5267.05,2243.52,6061.62,3489.15,125.495,9004
0.45,2789.57,7435.22,2478.58,8661.5,7190.09,2852.83,652.944,3436.72,1103.46,3110.58,1501.75,1699.66,5351.75,7777.65,6818.87,5268.44,2244.91,6063,3490.54,126.888,9005.39
0.5,2790.96,7436.62,2479.97,8662.89,7191.47,2854.22,654.336,3438.11,1104.86,3111.97,1503.14,1701.05,5353.15,7779.04,6820.28,5269.84,2246.3,6064.39,3491.93,128.281,9006.78
0.55,2792.35,7438.01,2481.36,8664.29,7192.86,2855.6,655.729,3439.51,1106.25,3113.36,1504.53,1702.44,5354.56,7780.43,6821.69,5271.24,2247.69,6065.78,3493.32,129.673,9008.18
0.6,2793.75,7439.41,2482.75,8665.68,7194.25,2856.99,657.121,3440.9,1107.64,3114.75,1505.93,1703.83,5355.97,7781.82,6823.1,5272.63,2249.08,6067.17,3494.71,131.066,9009.57
0.65,2795.14,7440.8,2484.14,8667.07,7195.64,2858.37,658.514,3442.3,1109.03,3116.14,1507.32,1705.22,5357.37,7783.21,6824.51,5274.03,2250.47,6068.56,3496.1,132.459,9010.96
0.7,2796.54,7442.2,2485.53,8668.46,7197.03,2859.76,659.907,3443.69,1110.42,3117.53,1508.71,1706.62,5358.78,7784.6,6825.92,5275.43,2251.86,6069.95,3497.49,133.851,9012.35
0.75,2797.93,7443.6,2486.92,8669.86,7198.42,2861.14,661.299,3445.09,1111.82,3118.92,1510.1,1708.01,5360.18,7785.99,6827.33,5276.82,2253.25,6071.34,3498.88,135.244,9013.75
0.8,2799.33,7444.99,2488.31,8671.25,7199.81,2862.53,662.692,3446.48,1113.21,3120.3,1511.5,1709.4,5361.59,7787.37,6828.74,5278.22,2254.64,6072.73,3500.27,136.637,9015.14
0.85,2800.72,7446.39,2489.7,8672.64,7201.2,2863.92,664.084,3447.88,1114.6,3121.69,1512.89,1710.79,5363,7788.76,6830.15,5279.62,2256.03,6074.12,3501.65,138.029,9016.53
0.9,2802.11,7447.78,2491.09,8674.04,7202.59,2865.3,665.477,3449.27,1115.99,3123.08,1514.28,1712.18,5364.4,7790.15,6831.56,5281.01,2257.42,6075.5,3503.04,139.422,9017.93
0.95,2803.51,7449.18,2492.48,8675.43,7203.97,2866.69,666.87,3450.66,1117.38,3124.47,1515.67,1713.58,5365.81,7791.54,6832.97,5282.41,2258.81,6076.89,3504.43,140.815,9019.32
1,2804.9,7450.57,2493.87,8676.82,7205.36,2868.07,668.262,3452.06,1118.78,3125.86,1517.06,1714.97,5367.21,7792.93,6834.38,5283.81,2260.2,6078.28,3505.82,142.207,9020.71
1.05,2806.3,7451.97,2495.26,8678.21,7206.75,2869.46,669.655,3453.45,1120.17,3127.25,1518.46,1716.36,5368.62,7794.32,6835.79,5285.2,2261.59,6079.67,3507.21,143.6,9022.1
1.1,2807.69,7453.36,2496.65,8679.61,7208.14,2870.85,671.048,3454.85,1121.56,3128.64,1519.85,1717.75,5370.03,7795.71,6837.2,5286.6,2262.98,6081.06,3508.6,144.993,9023.5
1.15,2809.08,7454.76,2498.04,8681,7209.53,2872.23,672.44,3456.24,1122.95,3130.03,1521.24,1719.14,5371.43,7797.1,6838.62,5288,2264.37,6082.45,3509.99,146.385,9024.89
1.2,2810.48,7456.16,2499.43,8682.39,7210.92,2873.62,673.833,3457.64,1124.34,3131.42,1522.63,1720.53,5372.84,7798.49,6840.03,5289.39,2265.76,6083.84,3511.38,147.778,9026.28
