time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
0,8479.81,8310.62,8680.92,5220.65,2274.54,7682.07,4894.28,4670.66,2152.84,7431.11,785.693,4224.22
0.05,8481.2,8312.02,8682.31,5222.05,2275.93,7683.46,4895.66,4672.05,2154.23,7432.5,787.084,4225.61
0.1,8482.59,8313.42,8683.7,5223.45,2277.32,7684.85,4897.05,4673.44,2155.63,7433.89,788.476,4227
0.15,8483.99,8314.82,8685.09,5224.85,2278.71,7686.24,4898.44,4674.84,2157.02,7435.28,789.867,4228.39
0.2,8485.38,8316.23,8686.48,5226.24,2280.1,7687.63,4899.83,4676.23,2158.41,7436.67,791.258,4229.77
0.25,8486.77,8317.63,8687.87,5227.64,2281.49,7689.02,4901.22,4677.62,2159.8,7438.06,792.649,4231.16
0.3,8488.17,8319.03,8689.26,5229.04,2282.88,7690.41,4902.61,4679.02,2161.19,7439.45,794.04,4232.55
0.35,8489.56,8320.43,8690.65,5230.44,2284.28,7691.8,4904,4680.41,2162.58,7440.84,795.431,4233.94
0.4,8490.96,8321.83,8692.04,5231.84,2285.67,7693.19,4905.39,4681.8,2163.97,7442.23,796.822,4235.33
0.45,8492.35,8323.24,8693.42,5233.24,2287.06,7694.57,4906.78,4683.2,2165.36,7443.63,798.214,4236.72
0.5,8493.74,8324.64,8694.81,5234.63,2288.45,7695.96,4908.16,4684.59,2166.75,7445.02,799.605,4238.11
0.55,8495.14,8326.04,8696.2,5236.03,2289.84,7697.35,4909.55,4685.98,2168.15,7446.41,800.996,4239.5
0.6,8496.53,8327.44,8697.59,5237.43,2291.23,7698.74,4910.94,4687.37,2169.54,7447.8,802.387,4240.89
0.65,8497.92,8328.84,8698.98,5238.83,2292.63,7700.13,4912.33,4688.77,2170.93,7449.19,803.778,4242.27
0.7,8499.32,8330.24,8700.37,5240.23,2294.02,7701.52,4913.72,4690.16,2172.32,7450.58,805.169,4243.66
0.75,8500.71,8331.65,8701.76,5241.62,2295.41,7702.91,4915.11,4691.55,2173.71,7451.97,806.561,4245.05
0.8,8502.11,8333.05,8703.15,5243.02,2296.8,7704.3,4916.5,4692.95,2175.1,7453.36,807.952,4246.44
0.85,8503.5,8334.45,8704.54,5244.42,2298.19,7705.69,4917.89,4694.34,2176.49,7454.75,809.343,4247.83
0.9,8504.89,8335.85,8705.92,5245.82,2299.58,7707.07,4919.28,4695.73,2177.88,7456.14,810.734,4249.22
0.95,8506.29,8337.25,8707.31,5247.22,2300.97,7708.46,4920.66,4697.13,2179.27,7457.53,812.125,4250.61
1,8507.68,8338.66,8708.7,5248.61,2302.37,7709.85,4922.05,4698.52,2180.67,7458.93,813.516,4252
1.05,8509.07,8340.06,8710.09,5250.01,2303.76,7711.24,4923.44,4699.91,2182.06,7460.32,814.907,4253.39
1.1,8510.47,8341.46,8711.48,5251.41,2305.15,7712.63,4924.83,4701.31,2183.45,7461.71,816.299,4254.77
1.15,8511.86,8342.86,8712.87,5252.81,2306.54,7714.02,4926.22,4702.7,2184.84,7463.1,817.69,4256.16
1.2,8513.26,8344.26,8714.26,5254.21,2307.93,7715.41,4927.61,4704.09,2186.23,7464.49,819.081,4257.55
1.25,8514.65,8345.66,8715.65,5255.6,2309.32,7716.8,4929,4705.49,2187.62,7465.88,820.472,4258.94
1.3,8516.04,8347.07,8717.04,5257,2310.71,7718.19,4930.39,4706.88,2189.01,7467.27,821.863,4260.33
1.35,8517.44,8348.47,8718.42,5258.4,2312.11,7719.57,4931.78,4708.27,2190.4,7468.66,823.254,4261.72
1.4,8518.83,8349.87,8719.81,5259.8,2313.5,7720.96,4933.16,4709.67,2191.8,7470.05,824.646,4263.11
1.45,8520.22,8351.27,8721.2,5261.2,2314.89,7722.35,4934.55,4711.06,2193.19,7471.44,826.037,4264.5
1.5,8521.62,8352.67,8722.59,5262.59,2316.28,7723.74,4935.94,4712.45,2194.58,7472.84,827.428,4265.89
1.55,8523.01,8354.07,8723.98,5263.99,2317.67,7725.13,4937.33,4713.85,2195.97,7474.23,828.819,4267.27
1.6,8524.41,8355.48,8725.37,5265.39,2319.06,7726.52,4938.72,4715.24,2197.36,7475.62,830.21,4268.66
1.65,8525.8,8356.88,8726.76,5266.79,2320.46,7727.91,4940.11,4716.63,2198.75,7477.01,831.601,4270.05
1.7,8527.19,8358.28,8728.15,5268.19,2321.85,7729.3,4941.5,4718.03,2200.14,7478.4,832.992,4271.44
1.75,8528.59,8359.68,8729.54,5269.58,2323.24,7730.69,4942.89,4719.42,2201.53,7479.79,834.384,4272.83
1.8,8529.98,8361.08,8730.92,5270.98,2324.63,7732.07,4944.28,4720.81,2202.92,7481.18,835.775,4274.22
1.85,8531.37,8362.49,8732.31,5272.38,2326.02,7733.46,4945.66,4722.2,2204.32,7482.57,837.166,4275.61
1.9,8532.77,8363.89,8733.7,5273.78,2327.41,7734.85,4947.05,4723.6,2205.71,7483.96,838.557,4277
