time,N1,N2,N3,N4,N5,N6
0,4448.75,8660.83,7760.59,7291.15,4248.4,1110.22
0.05,4450.14,8662.22,7761.98,7292.54,4249.8,1111.61
0.1,4451.53,8663.62,7763.36,7293.93,4251.19,1113
0.15,4452.92,8665.01,7764.75,7295.32,4252.59,1114.38
0.2,4454.31,8666.4,7766.14,7296.71,4253.99,1115.77
0.25,4455.7,8667.8,7767.53,7298.1,4255.38,1117.16
0.3,4457.09,8669.19,7768.92,7299.49,4256.78,1118.55
0.35,4458.48,8670.58,7770.31,7300.88,4258.18,1119.94
0.4,4459.87,8671.98,7771.7,7302.28,4259.58,1121.33
0.45,4461.25,8673.37,7773.09,7303.67,4260.97,1122.72
0.5,4462.64,8674.76,7774.48,7305.06,4262.37,1124.11
0.55,4464.03,8676.15,7775.87,7306.45,4263.77,1125.5
0.6,4465.42,8677.55,7777.26,7307.84,4265.17,1126.88
0.65,4466.81,8678.94,7778.65,7309.23,4266.56,1128.27
0.7,4468.2,8680.33,7780.04,7310.62,4267.96,1129.66
0.75,4469.59,8681.73,7781.43,7312.01,4269.36,1131.05
0.8,4470.98,8683.12,7782.82,7313.4,4270.75,1132.44
0.85,4472.37,8684.51,7784.2,7314.8,4272.15,1133.83
0.9,4473.75,8685.91,7785.59,7316.19,4273.55,1135.22
0.95,4475.14,8687.3,7786.98,7317.58,4274.95,1136.61
1,4476.53,8688.69,7788.37,7318.97,4276.34,1138
1.05,4477.92,8690.08,7789.76,7320.36,4277.74,1139.38
1.1,4479.31,8691.48,7791.15,7321.75,4279.14,1140.77
1.15,4480.7,8692.87,7792.54,7323.14,4280.54,1142.16
1.2,4482.09,8694.26,7793.93,7324.53,4281.93,1143.55
1.25,4483.48,8695.66,7795.32,7325.92,4283.33,1144.94
1.3,4484.87,8697.05,7796.71,7327.31,4284.73,1146.33
1.35,4486.25,8698.44,7798.1,7328.71,4286.12,1147.72
1.4,4487.64,8699.84,7799.49,7330.1,4287.52,1149.11
1.45,4489.03,8701.23,7800.88,7331.49,4288.92,1150.5
1.5,4490.42,8702.62,7802.27,7332.88,4290.32,1151.88
1.55,4491.81,8704.01,7803.66,7334.27,4291.71,1153.27
1.6,4493.2,8705.41,7805.04,7335.66,4293.11,1154.66
1.65,4494.59,8706.8,7806.43,7337.05,4294.51,1156.05
1.7,4495.98,8708.19,7807.82,7338.44,4295.91,1157.44
1.75,4497.37,8709.59,7809.21,7339.83,4297.3,1158.83
1.8,4498.75,8710.98,7810.6,7341.22,4298.7,1160.22
1.85,4500.14,8712.37,7811.99,7342.62,4300.1,1161.61
1.9,4501.53,8713.77,7813.38,7344.01,4301.49,1163
1.95,4502.92,8715.16,7814.77,7345.4,4302.89,1164.38
2,4504.31,8716.55,7816.16,7346.79,4304.29,1165.77
2.05,4505.7,8717.94,7817.55,7348.18,4305.69,1167.16
2.1,4507.09,8719.34,7818.94,7349.57,4307.08,1168.55
2.15,4508.48,8720.73,7820.33,7350.96,4308.48,1169.94
2.2,4509.87,8722.12,7821.72,7352.35,4309.88,1171.33
2.25,4511.25,8723.52,7823.11,7353.74,4311.28,1172.72
2.3,4512.64,8724.91,7824.5,7355.14,4312.67,1174.11
2.35,4514.03,8726.3,7825.88,7356.53,4314.07,1175.5
2.4,4515.42,8727.69,7827.27,7357.92,4315.47,1176.88
2.45,4516.81,8729.09,7828.66,7359.31,4316.86,1178.27
2.5,4518.2,8730.48,7830.05,7360.7,4318.26,1179.66
2.55,4519.59,8731.87,7831.44,7362.09,4319.66,1181.05
2.6,4520.98,8733.27,7832.83,7363.48,4321.06,1182.44
2.65,4522.37,8734.66,7834.22,7364.87,4322.45,1183.83
2.7,4523.75,8736.05,7835.61,7366.26,4323.85,1185.22
2.75,4525.14,8737.45,7837,7367.65,4325.25,1186.61
2.8,4526.53,8738.84,7838.39,7369.05,4326.65,1188
2.85,4527.92,8740.23,7839.78,7370.44,4328.04,1189.38
2.9,4529.31,8741.62,7841.17,7371.83,4329.44,1190.77
2.95,4530.7,8743.02,7842.56,7373.22,4330.84,1192.16
3,4532.09,8744.41,7843.95,7374.61,4332.23,1193.55
3.05,4533.48,8745.8,7845.34,7376,4333.63,1194.94
3.1,4534.87,8747.2,7846.72,7377.39,4335.03,1196.33
3.15,4536.25,8748.59,7848.11,7378.78,4336.43,1197.72
3.2,4537.64,8749.98,7849.5,7380.17,4337.82,1199.11
3.25,4539.03,8751.38,7850.89,7381.57,4339.22,1200.5
3.3,4540.42,8752.77,7852.28,7382.96,4340.62,1201.88
3.35,4541.81,8754.16,7853.67,7384.35,4342.02,1203.27
3.4,4543.2,8755.55,7855.06,7385.74,4343.41,1204.66
3.45,4544.59,8756.95,7856.45,7387.13,4344.81,1206.05
3.5,4545.98,8758.34,7857.84,7388.52,4346.21,1207.44
3.55,4547.37,8759.73,7859.23,7389.91,4347.6,1208.83
3.6,4548.75,8761.13,7860.62,7391.3,4349,1210.22
3.65,4550.14,8762.52,7862.01,7392.69,4350.4,1211.61
3.7,4551.53,8763.91,7863.4,7394.08,4351.8,1213
3.75,4552.92,8765.31,7864.79,7395.48,4353.19,1214.38
3.8,4554.31,8766.7,7866.18,7396.87,4354.59,1215.77
3.85,4555.7,8768.09,7867.56,7398.26,4355.99,1217.16
3.9,4557.09,8769.48,7868.95,7399.65,4357.39,1218.55
3.95,4558.48,8770.88,7870.34,7401.04,4358.78,1219.94
4,4559.87,8772.27,7871.73,7402.43,4360.18,1221.33
4.05,4561.25,8773.66,7873.12,7403.82,4361.58,1222.72
4.1,4562.64,8775.06,7874.51,7405.21,4362.97,1224.11
4.15,4564.03,8776.45,7875.9,7406.6,4364.37,1225.5
4.2,4565.42,8777.84,7877.29,7407.99,4365.77,1226.88
4.25,4566.81,8779.24,7878.68,7409.39,4367.17,1228.27
4.3,4568.2,8780.63,7880.07,7410.78,4368.56,1229.66
4.35,4569.59,8782.02,7881.46,7412.17,4369.96,1231.05
4.4,4570.98,8783.41,7882.85,7413.56,4371.36,1232.44
4.45,4572.37,8784.81,7884.24,7414.95,4372.76,1233.83
4.5,4573.75,8786.2,7885.63,7416.34,4374.15,1235.22
4.55,4575.14,8787.59,7887.02,7417.73,4375.55,1236.61
4.6,4576.53,8788.99,7888.4,7419.12,4376.95,1238
4.65,4577.92,8790.38,7889.79,7420.51,4378.34,1239.38
4.7,4579.31,8791.77,7891.18,7421.91,4379.74,1240.77
4.75,4580.7,8793.17,7892.57,7423.3,4381.14,1242.16
4.8,4582.09,8794.56,7893.96,7424.69,4382.54,1243.55
4.85,4583.48,8795.95,7895.35,7426.08,4383.93,1244.94
4.9,4584.87,8797.34,7896.74,7427.47,4385.33,1246.33
4.95,4586.25,8798.74,7898.13,7428.86,4386.73,1247.72
5,4587.64,8800.13,7899.52,7430.25,4388.13,1249.11
5.05,4589.03,8801.52,7900.91,7431.64,4389.52,1250.5
5.1,4590.42,8802.92,7902.3,7433.03,4390.92,1251.88
5.15,4591.81,8804.31,7903.69,7434.42,4392.32,1253.27
5.2,4593.2,8805.7,7905.08,7435.82,4393.71,1254.66
5.25,4594.59,8807.1,7906.47,7437.21,4395.11,1256.05
5.3,4595.98,8808.49,7907.86,7438.6,4396.51,1257.44
5.35,4597.37,8809.88,7909.24,7439.99,4397.91,1258.83
