time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
1.85,9170.1,9211.67,2413.57,3940.62,4341.33,6115.04,1200.2,6384.49,7288.41,2003.21,2544.44,8410.02,5388.73,8274.2
1.9,9171.49,9213.06,2414.95,3942.01,4342.72,6116.44,1201.59,6385.88,7289.81,2004.6,2545.83,8411.41,5390.12,8275.59
1.95,9172.88,9214.45,2416.34,3943.4,4344.11,6117.83,1202.98,6387.26,7291.2,2005.99,2547.22,8412.8,5391.51,8276.98
2,9174.26,9215.84,2417.72,3944.79,4345.5,6119.23,1204.37,6388.65,7292.59,2007.38,2548.6,8414.19,5392.9,8278.37
2.05,9175.65,9217.23,2419.1,3946.18,4346.89,6120.63,1205.76,6390.04,7293.99,2008.76,2549.99,8415.58,5394.29,8279.76
2.1,9177.04,9218.62,2420.49,3947.56,4348.28,6122.02,1207.16,6391.43,7295.38,2010.15,2551.38,8416.97,5395.68,8281.15
2.15,9178.43,9220.01,2421.87,3948.95,4349.67,6123.42,1208.55,6392.82,7296.78,2011.54,2552.77,8418.36,5397.07,8282.54
2.2,9179.82,9221.4,2423.25,3950.34,4351.06,6124.82,1209.94,6394.21,7298.17,2012.93,2554.16,8419.75,5398.46,8283.93
2.25,9181.21,9222.79,2424.64,3951.73,4352.45,6126.21,1211.33,6395.6,7299.56,2014.32,2555.55,8421.13,5399.85,8285.32
2.3,9182.6,9224.17,2426.02,3953.12,4353.83,6127.61,1212.72,6396.99,7300.96,2015.71,2556.94,8422.52,5401.25,8286.71
2.35,9183.99,9225.56,2427.4,3954.51,4355.22,6129.01,1214.11,6398.38,7302.35,2017.1,2558.33,8423.91,5402.64,8288.1
2.4,9185.38,9226.95,2428.79,3955.9,4356.61,6130.4,1215.51,6399.76,7303.75,2018.49,2559.72,8425.3,5404.03,8289.49
2.45,9186.77,9228.34,2430.17,3957.29,4358,6131.8,1216.9,6401.15,7305.14,2019.88,2561.1,8426.69,5405.42,8290.88
2.5,9188.16,9229.73,2431.55,3958.68,4359.39,6133.2,1218.29,6402.54,7306.53,2021.26,2562.49,8428.08,5406.81,8292.27
2.55,9189.55,9231.12,2432.94,3960.07,4360.78,6134.59,1219.68,6403.93,7307.93,2022.65,2563.88,8429.47,5408.2,8293.66
2.6,9190.94,9232.51,2434.32,3961.46,4362.17,6135.99,1221.07,6405.32,7309.32,2024.04,2565.27,8430.86,5409.59,8295.05
2.65,9192.33,9233.9,2435.7,3962.85,4363.56,6137.38,1222.46,6406.71,7310.72,2025.43,2566.66,8432.25,5410.98,8296.44
2.7,9193.72,9235.29,2437.09,3964.24,4364.95,6138.78,1223.85,6408.1,7312.11,2026.82,2568.05,8433.64,5412.38,8297.83
2.75,9195.11,9236.67,2438.47,3965.63,4366.33,6140.18,1225.25,6409.49,7313.5,2028.21,2569.44,8435.02,5413.77,8299.22
2.8,9196.5,9238.06,2439.85,3967.02,4367.72,6141.57,1226.64,6410.88,7314.9,2029.6,2570.83,8436.41,5415.16,8300.61
2.85,9197.89,9239.45,2441.24,3968.41,4369.11,6142.97,1228.03,6412.26,7316.29,2030.99,2572.22,8437.8,5416.55,8302
2.9,9199.28,9240.84,2442.62,3969.8,4370.5,6144.37,1229.42,6413.65,7317.69,2032.38,2573.6,8439.19,5417.94,8303.39
2.95,9200.67,9242.23,2444,3971.19,4371.89,6145.76,1230.81,6415.04,7319.08,2033.76,2574.99,8440.58,5419.33,8304.78
3,9202.06,9243.62,2445.39,3972.58,4373.28,6147.16,1232.2,6416.43,7320.47,2035.15,2576.38,8441.97,5420.72,8306.17
3.05,9203.45,9245.01,2446.77,3973.97,4374.67,6148.56,1233.6,6417.82,7321.87,2036.54,2577.77,8443.36,5422.11,8307.56
3.1,9204.84,9246.4,2448.15,3975.36,4376.06,6149.95,1234.99,6419.21,7323.26,2037.93,2579.16,8444.75,5423.5,8308.95
3.15,9206.23,9247.79,2449.54,3976.75,4377.45,6151.35,1236.38,6420.6,7324.66,2039.32,2580.55,8446.14,5424.9,8310.34
3.2,9207.62,9249.17,2450.92,3978.13,4378.83,6152.75,1237.77,6421.99,7326.05,2040.71,2581.94,8447.52,5426.29,8311.73
3.25,9209.01,9250.56,2452.3,3979.52,4380.22,6154.14,1239.16,6423.38,7327.45,2042.1,2583.33,8448.91,5427.68,8313.12
3.3,9210.4,9251.95,2453.69,3980.91,4381.61,6155.54,1240.55,6424.76,7328.84,2043.49,2584.72,8450.3,5429.07,8314.51
3.35,9211.79,9253.34,2455.07,3982.3,4383,6156.94,1241.94,6426.15,7330.23,2044.88,2586.1,8451.69,5430.46,8315.9
3.4,9213.18,9254.73,2456.45,3983.69,4384.39,6158.33,1243.34,6427.54,7331.63,2046.26,2587.49,8453.08,5431.85,8317.29
3.45,9214.57,9256.12,2457.84,3985.08,4385.78,6159.73,1244.73,6428.93,7333.02,2047.65,2588.88,8454.47,5433.24,8318.68
