time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18
0,8915.26,4789.94,9063.88,5117.96,2971.82,8414.34,792.78,2866.99,4862.09,2765.26,5553.09,7090.7,2005.27,419.826,8692.46,6465.39,4675.79,8297.04
0.05,8916.65,4791.33,9065.27,5119.35,2973.21,8415.73,794.17,2868.38,4863.48,2766.64,5554.48,7092.09,2006.66,421.224,8693.85,6466.78,4677.18,8298.42
0.1,8918.05,4792.73,9066.66,5120.74,2974.6,8417.11,795.561,2869.77,4864.87,2768.03,5555.87,7093.48,2008.05,422.622,8695.24,6468.16,4678.58,8299.8
0.15,8919.44,4794.12,9068.05,5122.13,2975.98,8418.5,796.951,2871.16,4866.26,2769.42,5557.26,7094.87,2009.44,424.021,8696.63,6469.55,4679.97,8301.18
0.2,8920.83,4795.51,9069.43,5123.52,2977.37,8419.89,798.342,2872.55,4867.65,2770.81,5558.65,7096.26,2010.83,425.419,8698.02,6470.94,4681.36,8302.56
0.25,8922.23,4796.91,9070.82,5124.91,2978.76,8421.27,799.732,2873.94,4869.04,2772.2,5560.04,7097.65,2012.22,426.817,8699.41,6472.33,4682.75,8303.94
0.3,8923.62,4798.3,9072.21,5126.3,2980.15,8422.66,801.123,2875.33,4870.42,2773.59,5561.43,7099.03,2013.61,428.216,8700.79,6473.72,4684.14,8305.32
0.35,8925.01,4799.69,9073.6,5127.68,2981.54,8424.05,802.513,2876.72,4871.81,2774.98,5562.82,7100.42,2015,429.614,8702.18,6475.11,4685.54,8306.7
0.4,8926.41,4801.09,9074.99,5129.07,2982.93,8425.44,803.904,2878.11,4873.2,2776.37,5564.21,7101.81,2016.39,431.012,8703.57,6476.5,4686.93,8308.08
0.45,8927.8,4802.48,9076.38,5130.46,2984.32,8426.82,805.295,2879.5,4874.59,2777.76,5565.6,7103.2,2017.78,432.411,8704.96,6477.89,4688.32,8309.46
0.5,8929.19,4803.88,9077.77,5131.85,2985.71,8428.21,806.685,2880.89,4875.98,2779.14,5566.99,7104.59,2019.17,433.809,8706.35,6479.27,4689.71,8310.84
0.55,8930.59,4805.27,9079.16,5133.24,2987.1,8429.6,808.076,2882.28,4877.37,2780.53,5568.38,7105.98,2020.56,435.208,8707.74,6480.66,4691.11,8312.22
0.6,8931.98,4806.66,9080.55,5134.63,2988.48,8430.98,809.466,2883.67,4878.76,2781.92,5569.77,7107.37,2021.95,436.606,8709.13,6482.05,4692.5,8313.6
0.65,8933.38,4808.06,9081.93,5136.02,2989.87,8432.37,810.857,2885.06,4880.15,2783.31,5571.16,7108.75,2023.34,438.004,8710.52,6483.44,4693.89,8314.99
0.7,8934.77,4809.45,9083.32,5137.41,2991.26,8433.76,812.247,2886.45,4881.54,2784.7,5572.55,7110.14,2024.73,439.403,8711.91,6484.83,4695.28,8316.37
0.75,8936.16,4810.85,9084.71,5138.8,2992.65,8435.15,813.638,2887.84,4882.92,2786.09,5573.94,7111.53,2026.12,440.801,8713.29,6486.22,4696.67,8317.75
0.8,8937.56,4812.24,9086.1,5140.19,2994.04,8436.53,815.028,2889.23,4884.31,2787.48,5575.33,7112.92,2027.51,442.199,8714.68,6487.61,4698.07,8319.13
0.85,8938.95,4813.63,9087.49,5141.58,2995.43,8437.92,816.419,2890.62,4885.7,2788.87,5576.72,7114.31,2028.9,443.598,8716.07,6489,4699.46,8320.51
0.9,8940.34,4815.03,9088.88,5142.97,2996.82,8439.31,817.809,2892.01,4887.09,2790.26,5578.11,7115.7,2030.29,444.996,8717.46,6490.38,4700.85,8321.89
0.95,8941.74,4816.42,9090.27,5144.36,2998.21,8440.69,819.2,2893.4,4888.48,2791.64,5579.5,7117.09,2031.68,446.394,8718.85,6491.77,4702.24,8323.27
1,8943.13,4817.82,9091.66,5145.75,2999.6,8442.08,820.59,2894.79,4889.87,2793.03,5580.89,7118.48,2033.07,447.793,8720.24,6493.16,4703.64,8324.65
1.05,8944.52,4819.21,9093.05,5147.14,3000.98,8443.47,821.981,2896.18,4891.26,2794.42,5582.28,7119.86,2034.46,449.191,8721.63,6494.55,4705.03,8326.03
1.1,8945.92,4820.6,9094.43,5148.53,3002.37,8444.86,823.371,2897.58,4892.65,2795.81,5583.67,7121.25,2035.85,450.589,8723.02,6495.94,4706.42,8327.41
1.15,8947.31,4822,9095.82,5149.92,3003.76,8446.24,824.762,2898.97,4894.04,2797.2,5585.07,7122.64,2037.24,451.988,8724.41,6497.33,4707.81,8328.79
1.2,8948.71,4823.39,9097.21,5151.31,3005.15,8447.63,826.152,2900.36,4895.42,2798.59,5586.46,7124.03,2038.63,453.386,8725.79,6498.72,4709.21,8330.17
1.25,8950.1,4824.79,9098.6,5152.7,3006.54,8449.02,827.543,2901.75,4896.81,2799.98,5587.85,7125.42,2040.02,454.784,8727.18,6500.1,4710.6,8331.55
1.3,8951.49,4826.18,9099.99,5154.09,3007.93,8450.4,828.933,2903.14,4898.2,2801.37,5589.24,7126.81,2041.41,456.183,8728.57,6501.49,4711.99,8332.93
1.35,8952.89,4827.57,9101.38,5155.47,3009.32,8451.79,830.324,2904.53,4899.59,2802.76,5590.63,7128.2,2042.8,457.581,8729.96,6502.88,4713.38,8334.31
1.4,8954.28,4828.97,9102.77,5156.86,3010.71,8453.18,831.714,2905.92,4900.98,2804.14,5592.02,7129.58,2044.19,458.979,8731.35,6504.27,4714.77,8335.69
1.45,8955.67,4830.36,9104.16,5158.25,3012.1,8454.57,833.105,2907.31,4902.37,2805.53,5593.41,7130.97,2045.58,460.378,8732.74,6505.66,4716.17,8337.07
1.5,8957.07,4831.75,9105.55,5159.64,3013.48,8455.95,834.495,2908.7,4903.76,2806.92,5594.8,7132.36,2046.97,461.776,8734.13,6507.05,4717.56,8338.45
1.55,8958.46,4833.15,9106.93,5161.03,3014.87,8457.34,835.886,2910.09,4905.15,2808.31,5596.19,7133.75,2048.37,463.174,8735.52,6508.44,4718.95,8339.83
1.6,8959.85,4834.54,9108.32,5162.42,3016.26,8458.73,837.276,2911.48,4906.54,2809.7,5597.58,7135.14,2049.76,464.573,8736.91,6509.83,4720.34,8341.21
1.65,8961.25,4835.94,9109.71,5163.81,3017.65,8460.12,838.667,2912.87,4907.92,2811.09,5598.97,7136.53,2051.15,465.971,8738.29,6511.21,4721.74,8342.59
1.7,8962.64,4837.33,9111.1,5165.2,3019.04,8461.5,840.058,2914.26,4909.31,2812.48,5600.36,7137.92,2052.54,467.37,8739.68,6512.6,4723.13,8343.97
1.75,8964.04,4838.72,9112.49,5166.59,3020.43,8462.89,841.448,2915.65,4910.7,2813.87,5601.75,7139.31,2053.93,468.768,8741.07,6513.99,4724.52,8345.35
1.8,8965.43,4840.12,9113.88,5167.98,3021.82,8464.28,842.839,2917.04,4912.09,2815.26,5603.14,7140.69,2055.32,470.166,8742.46,6515.38,4725.91,8346.73
1.85,8966.82,4841.51,9115.27,5169.37,3023.21,8465.66,844.229,2918.43,4913.48,2816.64,5604.53,7142.08,2056.71,471.565,8743.85,6516.77,4727.3,8348.11
1.9,8968.22,4842.91,9116.66,5170.76,3024.6,8467.05,845.62,2919.82,4914.87,2818.03,5605.92,7143.47,2058.1,472.963,8745.24,6518.16,4728.7,8349.49
1.95,8969.61,4844.3,9118.05,5172.15,3025.98,8468.44,847.01,2921.21,4916.26,2819.42,5607.31,7144.86,2059.49,474.361,8746.63,6519.55,4730.09,8350.87
2,8971,4845.69,9119.43,5173.54,3027.37,8469.83,848.401,2922.6,4917.65,2820.81,5608.7,7146.25,2060.88,475.76,8748.02,6520.94,4731.48,8352.25
2.05,8972.4,4847.09,9120.82,5174.93,3028.76,8471.21,849.791,2923.99,4919.04,2822.2,5610.09,7147.64,2062.27,477.158,8749.41,6522.32,4732.87,8353.63
2.1,8973.79,4848.48,9122.21,5176.32,3030.15,8472.6,851.182,2925.38,4920.42,2823.59,5611.48,7149.03,2063.66,478.556,8750.79,6523.71,4734.27,8355.01
2.15,8975.18,4849.88,9123.6,5177.71,3031.54,8473.99,852.572,2926.77,4921.81,2824.98,5612.87,7150.42,2065.05,479.955,8752.18,6525.1,4735.66,8356.39
2.2,8976.58,4851.27,9124.99,5179.1,3032.93,8475.37,853.963,2928.16,4923.2,2826.37,5614.26,7151.8,2066.44,481.353,8753.57,6526.49,4737.05,8357.77
2.25,8977.97,4852.66,9126.38,5180.49,3034.32,8476.76,855.353,2929.55,4924.59,2827.76,5615.65,7153.19,2067.83,482.751,8754.96,6527.88,4738.44,8359.15
2.3,8979.37,4854.06,9127.77,5181.88,3035.71,8478.15,856.744,2930.94,4925.98,2829.14,5617.04,7154.58,2069.22,484.15,8756.35,6529.27,4739.84,8360.53
2.35,8980.76,4855.45,9129.16,5183.26,3037.1,8479.54,858.134,2932.33,4927.37,2830.53,5618.43,7155.97,2070.61,485.548,8757.74,6530.66,4741.23,8361.91
2.4,8982.15,4856.85,9130.55,5184.65,3038.48,8480.92,859.525,2933.72,4928.76,2831.92,5619.82,7157.36,2072,486.946,8759.13,6532.04,4742.62,8363.29
2.45,8983.55,4858.24,9131.93,5186.04,3039.87,8482.31,860.915,2935.11,4930.15,2833.31,5621.21,7158.75,2073.39,488.345,8760.52,6533.43,4744.01,8364.67
2.5,8984.94,4859.63,9133.32,5187.43,3041.26,8483.7,862.306,2936.5,4931.54,2834.7,5622.6,7160.14,2074.78,489.743,8761.91,6534.82,4745.4,8366.05
2.55,8986.33,4861.03,9134.71,5188.82,3042.65,8485.08,863.696,2937.89,4932.92,2836.09,5623.99,7161.52,2076.17,491.141,8763.29,6536.21,4746.8,8367.43
