time,N1,N2,N3,N4,N5,N6,N7,N8,N9
0,5083.38,4022,2841.42,5475.62,8635.17,7736.95,8375.55,700.158,1368.94
0.05,5084.78,4023.39,2842.82,5477.01,8636.56,7738.34,8376.93,701.548,1370.35
0.1,5086.19,4024.78,2844.21,5478.4,8637.95,7739.73,8378.32,702.938,1371.75
0.15,5087.59,4026.17,2845.61,5479.8,8639.34,7741.12,8379.7,704.328,1373.16
0.2,5089,4027.56,2847,5481.19,8640.73,7742.5,8381.09,705.718,1374.56
0.25,5090.4,4028.95,2848.4,5482.58,8642.12,7743.89,8382.47,707.108,1375.97
0.3,5091.81,4030.34,2849.79,5483.97,8643.51,7745.28,8383.86,708.498,1377.37
0.35,5093.21,4031.72,2851.19,5485.37,8644.9,7746.67,8385.24,709.888,1378.78
0.4,5094.62,4033.11,2852.58,5486.76,8646.29,7748.06,8386.63,711.278,1380.18
0.45,5096.03,4034.5,2853.98,5488.15,8647.67,7749.44,8388.01,712.669,1381.59
0.5,5097.43,4035.89,2855.37,5489.54,8649.06,7750.83,8389.4,714.059,1382.99
0.55,5098.84,4037.28,2856.77,5490.93,8650.45,7752.22,8390.79,715.449,1384.4
0.6,5100.24,4038.67,2858.16,5492.33,8651.84,7753.61,8392.17,716.839,1385.81
0.65,5101.65,4040.06,2859.56,5493.72,8653.23,7755,8393.56,718.229,1387.21
0.7,5103.05,4041.45,2860.95,5495.11,8654.62,7756.39,8394.94,719.619,1388.62
0.75,5104.46,4042.84,2862.35,5496.5,8656.01,7757.77,8396.33,721.009,1390.02
0.8,5105.86,4044.22,2863.74,5497.9,8657.4,7759.16,8397.71,722.399,1391.43
0.85,5107.27,4045.61,2865.14,5499.29,8658.79,7760.55,8399.1,723.789,1392.83
0.9,5108.67,4047,2866.54,5500.68,8660.17,7761.94,8400.48,725.179,1394.24
0.95,5110.08,4048.39,2867.93,5502.07,8661.56,7763.33,8401.87,726.569,1395.64
1,5111.49,4049.78,2869.33,5503.47,8662.95,7764.72,8403.25,727.959,1397.05
1.05,5112.89,4051.17,2870.72,5504.86,8664.34,7766.1,8404.64,729.349,1398.46
1.1,5114.3,4052.56,2872.12,5506.25,8665.73,7767.49,8406.02,730.739,1399.86
1.15,5115.7,4053.95,2873.51,5507.64,8667.12,7768.88,8407.41,732.129,1401.27
1.2,5117.11,4055.34,2874.91,5509.04,8668.51,7770.27,8408.79,733.52,1402.67
1.25,5118.51,4056.72,2876.3,5510.43,8669.9,7771.66,8410.18,734.91,1404.08
1.3,5119.92,4058.11,2877.7,5511.82,8671.29,7773.04,8411.56,736.3,1405.48
