time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0,441.266,4442.94,1449.74,5483.83,2572.3,5250.39,2190.86,9632.85,8491.54,9430.8
0.05,442.66,4444.38,1451.14,5485.21,2573.69,5251.78,2192.25,9634.24,8492.93,9432.21
0.1,444.054,4445.82,1452.54,5486.6,2575.08,5253.17,2193.65,9635.63,8494.32,9433.62
0.15,445.447,4447.26,1453.94,5487.99,2576.47,5254.56,2195.05,9637.03,8495.71,9435.03
0.2,446.841,4448.7,1455.33,5489.38,2577.86,5255.96,2196.45,9638.42,8497.1,9436.43
0.25,448.235,4450.14,1456.73,5490.77,2579.25,5257.35,2197.84,9639.82,8498.49,9437.84
0.3,449.629,4451.58,1458.13,5492.16,2580.64,5258.74,2199.24,9641.21,8499.88,9439.25
0.35,451.023,4453.02,1459.53,5493.55,2582.02,5260.13,2200.64,9642.6,8501.27,9440.66
0.4,452.416,4454.46,1460.92,5494.94,2583.41,5261.52,2202.03,9644,8502.66,9442.07
0.45,453.81,4455.9,1462.32,5496.33,2584.8,5262.91,2203.43,9645.39,8504.05,9443.47
0.5,455.204,4457.34,1463.72,5497.71,2586.19,5264.3,2204.83,9646.78,8505.44,9444.88
0.55,456.598,4458.78,1465.11,5499.1,2587.58,5265.69,2206.23,9648.18,8506.83,9446.29
0.6,457.992,4460.22,1466.51,5500.49,2588.97,5267.08,2207.62,9649.57,8508.22,9447.7
0.65,459.386,4461.66,1467.91,5501.88,2590.36,5268.47,2209.02,9650.97,8509.61,9449.1
0.7,460.779,4463.1,1469.31,5503.27,2591.75,5269.86,2210.42,9652.36,8511,9450.51
0.75,462.173,4464.54,1470.7,5504.66,2593.14,5271.25,2211.81,9653.75,8512.39,9451.92
0.8,463.567,4465.98,1472.1,5506.05,2594.52,5272.64,2213.21,9655.15,8513.78,9453.33
0.85,464.961,4467.42,1473.5,5507.44,2595.91,5274.03,2214.61,9656.54,8515.17,9454.73
0.9,466.355,4468.86,1474.9,5508.83,2597.3,5275.43,2216.01,9657.93,8516.56,9456.14
0.95,467.749,4470.3,1476.29,5510.21,2598.69,5276.82,2217.4,9659.33,8517.95,9457.55
1,469.142,4471.74,1477.69,5511.6,2600.08,5278.21,2218.8,9660.72,8519.34,9458.96
1.05,470.536,4473.18,1479.09,5512.99,2601.47,5279.6,2220.2,9662.12,8520.73,9460.36
1.1,471.93,4474.62,1480.48,5514.38,2602.86,5280.99,2221.59,9663.51,8522.12,9461.77
1.15,473.324,4476.06,1481.88,5515.77,2604.25,5282.38,2222.99,9664.9,8523.51,9463.18
1.2,474.718,4477.51,1483.28,5517.16,2605.64,5283.77,2224.39,9666.3,8524.9,9464.59
1.25,476.112,4478.95,1484.68,5518.55,2607.02,5285.16,2225.79,9667.69,8526.29,9465.99
1.3,477.505,4480.39,1486.07,5519.94,2608.41,5286.55,2227.18,9669.08,8527.68,9467.4
1.35,478.899,4481.83,1487.47,5521.33,2609.8,5287.94,2228.58,9670.48,8529.07,9468.81
1.4,480.293,4483.27,1488.87,5522.71,2611.19,5289.33,2229.98,9671.87,8530.46,9470.22
1.45,481.687,4484.71,1490.27,5524.1,2612.58,5290.72,2231.38,9673.27,8531.85,9471.63
1.5,483.081,4486.15,1491.66,5525.49,2613.97,5292.11,2232.77,9674.66,8533.24,9473.03
1.55,484.475,4487.59,1493.06,5526.88,2615.36,5293.5,2234.17,9676.05,8534.63,9474.44
1.6,485.868,4489.03,1494.46,5528.27,2616.75,5294.9,2235.57,9677.45,8536.02,9475.85
1.65,487.262,4490.47,1495.85,5529.66,2618.14,5296.29,2236.96,9678.84,8537.41,9477.26
1.7,488.656,4491.91,1497.25,5531.05,2619.52,5297.68,2238.36,9680.23,8538.8,9478.66
1.75,490.05,4493.35,1498.65,5532.44,2620.91,5299.07,2239.76,9681.63,8540.19,9480.07
1.8,491.444,4494.79,1500.05,5533.83,2622.3,5300.46,2241.16,9683.02,8541.58,9481.48
1.85,492.837,4496.23,1501.44,5535.21,2623.69,5301.85,2242.55,9684.42,8542.97,9482.89
1.9,494.231,4497.67,1502.84,5536.6,2625.08,5303.24,2243.95,9685.81,8544.36,9484.29
1.95,495.625,4499.11,1504.24,5537.99,2626.47,5304.63,2245.35,9687.2,8545.75,9485.7
2,497.019,4500.55,1505.64,5539.38,2627.86,5306.02,2246.74,9688.6,8547.14,9487.11
2.05,498.413,4501.99,1507.03,5540.77,2629.25,5307.41,2248.14,9689.99,8548.53,9488.52
2.1,499.807,4503.43,1508.43,5542.16,2630.64,5308.8,2249.54,9691.38,8549.92,9489.92
2.15,501.2,4504.87,1509.83,5543.55,2632.02,5310.19,2250.94,9692.78,8551.31,9491.33
2.2,502.594,4506.31,1511.22,5544.94,2633.41,5311.58,2252.33,9694.17,8552.7,9492.74
2.25,503.988,4507.75,1512.62,5546.33,2634.8,5312.97,2253.73,9695.57,8554.09,9494.15
2.3,505.382,4509.19,1514.02,5547.71,2636.19,5314.37,2255.13,9696.96,8555.48,9495.55
2.35,506.776,4510.63,1515.42,5549.1,2637.58,5315.76,2256.52,9698.35,8556.87,9496.96
2.4,508.17,4512.07,1516.81,5550.49,2638.97,5317.15,2257.92,9699.75,8558.26,9498.37
2.45,509.563,4513.51,1518.21,5551.88,2640.36,5318.54,2259.32,9701.14,8559.65,9499.78
2.5,510.957,4514.95,1519.61,5553.27,2641.75,5319.93,2260.72,9702.53,8561.04,9501.19
2.55,512.351,4516.39,1521.01,5554.66,2643.14,5321.32,2262.11,9703.93,8562.43,9502.59
2.6,513.745,4517.83,1522.4,5556.05,2644.52,5322.71,2263.51,9705.32,8563.82,9504
2.65,515.139,4519.27,1523.8,5557.44,2645.91,5324.1,2264.91,9706.72,8565.21,9505.41
2.7,516.532,4520.71,1525.2,5558.83,2647.3,5325.49,2266.3,9708.11,8566.6,9506.82
2.75,517.926,4522.15,1526.59,5560.21,2648.69,5326.88,2267.7,9709.5,8567.99,9508.22
2.8,519.32,4523.59,1527.99,5561.6,2650.08,5328.27,2269.1,9710.9,8569.38,9509.63
2.85,520.714,4525.03,1529.39,5562.99,2651.47,5329.66,2270.5,9712.29,8570.77,9511.04
2.9,522.108,4526.47,1530.79,5564.38,2652.86,5331.05,2271.89,9713.68,8572.16,9512.45
2.95,523.502,4527.91,1532.18,5565.77,2654.25,5332.44,2273.29,9715.08,8573.55,9513.85
3,524.895,4529.35,1533.58,5567.16,2655.64,5333.84,2274.69,9716.47,8574.94,9515.26
3.05,526.289,4530.79,1534.98,5568.55,2657.02,5335.23,2276.08,9717.87,8576.33,9516.67
3.1,527.683,4532.23,1536.38,5569.94,2658.41,5336.62,2277.48,9719.26,8577.72,9518.08
3.15,529.077,4533.67,1537.77,5571.33,2659.8,5338.01,2278.88,9720.65,8579.11,9519.48
3.2,530.471,4535.11,1539.17,5572.71,2661.19,5339.4,2280.28,9722.05,8580.5,9520.89
