time,N1,N2,N3,N4,N5,N6,N7
0,3183.95,342.258,5019.64,5880.25,6056.19,1816.77,5112.12
0.05,3185.34,343.649,5021.04,5881.63,6057.57,1818.16,5113.52
0.1,3186.73,345.04,5022.44,5883.02,6058.96,1819.56,5114.92
0.15,3188.11,346.431,5023.84,5884.4,6060.35,1820.96,5116.32
0.2,3189.5,347.823,5025.24,5885.78,6061.74,1822.36,5117.72
0.25,3190.89,349.214,5026.64,5887.16,6063.13,1823.75,5119.12
0.3,3192.28,350.605,5028.04,5888.55,6064.52,1825.15,5120.52
0.35,3193.67,351.997,5029.44,5889.93,6065.91,1826.55,5121.92
0.4,3195.06,353.388,5030.84,5891.31,6067.3,1827.95,5123.32
0.45,3196.45,354.779,5032.23,5892.7,6068.69,1829.34,5124.72
0.5,3197.84,356.17,5033.63,5894.08,6070.07,1830.74,5126.12
0.55,3199.23,357.562,5035.03,5895.46,6071.46,1832.14,5127.52
0.6,3200.61,358.953,5036.43,5896.85,6072.85,1833.54,5128.92
0.65,3202,360.344,5037.83,5898.23,6074.24,1834.93,5130.33
0.7,3203.39,361.736,5039.23,5899.61,6075.63,1836.33,5131.73
0.75,3204.78,363.127,5040.63,5900.99,6077.02,1837.73,5133.13
0.8,3206.17,364.518,5042.03,5902.38,6078.41,1839.13,5134.53
0.85,3207.56,365.91,5043.43,5903.76,6079.8,1840.52,5135.93
0.9,3208.95,367.301,5044.83,5905.14,6081.19,1841.92,5137.33
0.95,3210.34,368.692,5046.23,5906.53,6082.57,1843.32,5138.73
1,3211.73,370.083,5047.63,5907.91,6083.96,1844.72,5140.13
1.05,3213.11,371.475,5049.03,5909.29,6085.35,1846.11,5141.53
1.1,3214.5,372.866,5050.42,5910.67,6086.74,1847.51,5142.93
1.15,3215.89,374.257,5051.82,5912.06,6088.13,1848.91,5144.33
1.2,3217.28,375.649,5053.22,5913.44,6089.52,1850.31,5145.73
1.25,3218.67,377.04,5054.62,5914.82,6090.91,1851.7,5147.14
1.3,3220.06,378.431,5056.02,5916.21,6092.3,1853.1,5148.54
1.35,3221.45,379.822,5057.42,5917.59,6093.69,1854.5,5149.94
1.4,3222.84,381.214,5058.82,5918.97,6095.07,1855.9,5151.34
1.45,3224.23,382.605,5060.22,5920.35,6096.46,1857.29,5152.74
1.5,3225.61,383.996,5061.62,5921.74,6097.85,1858.69,5154.14
1.55,3227,385.388,5063.02,5923.12,6099.24,1860.09,5155.54
