time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
0,5773.32,5826.95,8987.75,559.551,956.626,2834.33,7843.4,2999.77,3955.58,8616.16,9160.5,5033.39,2028.23,4892.55
0.05,5774.71,5828.34,8989.14,560.94,958.015,2835.73,7844.79,3001.15,3956.97,8617.55,9161.89,5034.79,2029.62,4893.94
0.1,5776.09,5829.73,8990.53,562.33,959.404,2837.13,7846.18,3002.54,3958.37,8618.94,9163.28,5036.18,2031.01,4895.33
0.15,5777.48,5831.12,8991.91,563.719,960.793,2838.53,7847.57,3003.93,3959.76,8620.33,9164.67,5037.57,2032.4,4896.72
0.2,5778.87,5832.51,8993.3,565.108,962.182,2839.93,7848.96,3005.32,3961.15,8621.72,9166.06,5038.96,2033.79,4898.11
0.25,5780.25,5833.9,8994.69,566.498,963.571,2841.32,7850.35,3006.71,3962.54,8623.11,9167.45,5040.35,2035.18,4899.5
0.3,5781.64,5835.29,8996.08,567.887,964.96,2842.72,7851.74,3008.1,3963.94,8624.49,9168.84,5041.74,2036.57,4900.89
0.35,5783.02,5836.68,8997.46,569.276,966.349,2844.12,7853.13,3009.49,3965.33,8625.88,9170.23,5043.13,2037.96,4902.28
0.4,5784.41,5838.06,8998.85,570.666,967.737,2845.52,7854.53,3010.88,3966.72,8627.27,9171.62,5044.52,2039.35,4903.67
0.45,5785.8,5839.45,9000.24,572.055,969.126,2846.92,7855.92,3012.27,3968.11,8628.66,9173,5045.91,2040.74,4905.05
0.5,5787.18,5840.84,9001.62,573.444,970.515,2848.32,7857.31,3013.65,3969.51,8630.05,9174.39,5047.3,2042.13,4906.44
0.55,5788.57,5842.23,9003.01,574.834,971.904,2849.72,7858.7,3015.04,3970.9,8631.44,9175.78,5048.69,2043.53,4907.83
0.6,5789.95,5843.62,9004.4,576.223,973.293,2851.12,7860.09,3016.43,3972.29,8632.83,9177.17,5050.08,2044.92,4909.22
0.65,5791.34,5845.01,9005.79,577.612,974.682,2852.51,7861.48,3017.82,3973.68,8634.21,9178.56,5051.47,2046.31,4910.61
0.7,5792.72,5846.4,9007.17,579.002,976.071,2853.91,7862.87,3019.21,3975.08,8635.6,9179.95,5052.86,2047.7,4912
0.75,5794.11,5847.79,9008.56,580.391,977.46,2855.31,7864.26,3020.6,3976.47,8636.99,9181.34,5054.25,2049.09,4913.39
0.8,5795.5,5849.18,9009.95,581.78,978.849,2856.71,7865.65,3021.99,3977.86,8638.38,9182.73,5055.65,2050.48,4914.78
0.85,5796.88,5850.56,9011.33,583.169,980.237,2858.11,7867.04,3023.38,3979.25,8639.77,9184.12,5057.04,2051.87,4916.17
0.9,5798.27,5851.95,9012.72,584.559,981.626,2859.51,7868.43,3024.77,3980.65,8641.16,9185.51,5058.43,2053.26,4917.55
0.95,5799.65,5853.34,9014.11,585.948,983.015,2860.91,7869.83,3026.15,3982.04,8642.54,9186.9,5059.82,2054.65,4918.94
1,5801.04,5854.73,9015.5,587.337,984.404,2862.31,7871.22,3027.54,3983.43,8643.93,9188.29,5061.21,2056.04,4920.33
1.05,5802.43,5856.12,9016.88,588.727,985.793,2863.7,7872.61,3028.93,3984.82,8645.32,9189.68,5062.6,2057.43,4921.72
1.1,5803.81,5857.51,9018.27,590.116,987.182,2865.1,7874,3030.32,3986.22,8646.71,9191.07,5063.99,2058.82,4923.11
1.15,5805.2,5858.9,9019.66,591.505,988.571,2866.5,7875.39,3031.71,3987.61,8648.1,9192.46,5065.38,2060.21,4924.5
1.2,5806.58,5860.29,9021.04,592.895,989.96,2867.9,7876.78,3033.1,3989,8649.49,9193.85,5066.77,2061.6,4925.89
1.25,5807.97,5861.68,9022.43,594.284,991.349,2869.3,7878.17,3034.49,3990.39,8650.88,9195.24,5068.16,2062.99,4927.28
1.3,5809.36,5863.06,9023.82,595.673,992.737,2870.7,7879.56,3035.88,3991.79,8652.26,9196.63,5069.55,2064.39,4928.67
1.35,5810.74,5864.45,9025.21,597.063,994.126,2872.1,7880.95,3037.27,3993.18,8653.65,9198.01,5070.94,2065.78,4930.05
1.4,5812.13,5865.84,9026.59,598.452,995.515,2873.5,7882.34,3038.65,3994.57,8655.04,9199.4,5072.33,2067.17,4931.44
1.45,5813.51,5867.23,9027.98,599.841,996.904,2874.89,7883.73,3040.04,3995.96,8656.43,9200.79,5073.72,2068.56,4932.83
1.5,5814.9,5868.62,9029.37,601.231,998.293,2876.29,7885.12,3041.43,3997.35,8657.82,9202.18,5075.11,2069.95,4934.22
1.55,5816.29,5870.01,9030.75,602.62,999.682,2877.69,7886.52,3042.82,3998.75,8659.21,9203.57,5076.5,2071.34,4935.61
1.6,5817.67,5871.4,9032.14,604.009,1001.07,2879.09,7887.91,3044.21,4000.14,8660.59,9204.96,5077.9,2072.73,4937
1.65,5819.06,5872.79,9033.53,605.399,1002.46,2880.49,7889.3,3045.6,4001.53,8661.98,9206.35,5079.29,2074.12,4938.39
1.7,5820.44,5874.18,9034.92,606.788,1003.85,2881.89,7890.69,3046.99,4002.92,8663.37,9207.74,5080.68,2075.51,4939.78
1.75,5821.83,5875.56,9036.3,608.177,1005.24,2883.29,7892.08,3048.38,4004.32,8664.76,9209.13,5082.07,2076.9,4941.17
1.8,5823.22,5876.95,9037.69,609.567,1006.63,2884.69,7893.47,3049.77,4005.71,8666.15,9210.52,5083.46,2078.29,4942.55
1.85,5824.6,5878.34,9039.08,610.956,1008.02,2886.08,7894.86,3051.15,4007.1,8667.54,9211.91,5084.85,2079.68,4943.94
1.9,5825.99,5879.73,9040.46,612.345,1009.4,2887.48,7896.25,3052.54,4008.49,8668.93,9213.3,5086.24,2081.07,4945.33
1.95,5827.37,5881.12,9041.85,613.735,1010.79,2888.88,7897.64,3053.93,4009.89,8670.31,9214.69,5087.63,2082.46,4946.72
2,5828.76,5882.51,9043.24,615.124,1012.18,2890.28,7899.03,3055.32,4011.28,8671.7,9216.08,5089.02,2083.85,4948.11
2.05,5830.15,5883.9,9044.63,616.513,1013.57,2891.68,7900.42,3056.71,4012.67,8673.09,9217.47,5090.41,2085.25,4949.5
2.1,5831.53,5885.29,9046.01,617.903,1014.96,2893.08,7901.82,3058.1,4014.06,8674.48,9218.86,5091.8,2086.64,4950.89
2.15,5832.92,5886.68,9047.4,619.292,1016.35,2894.48,7903.21,3059.49,4015.46,8675.87,9220.25,5093.19,2088.03,4952.28
2.2,5834.3,5888.06,9048.79,620.681,1017.74,2895.87,7904.6,3060.88,4016.85,8677.26,9221.64,5094.58,2089.42,4953.67
2.25,5835.69,5889.45,9050.17,622.071,1019.13,2897.27,7905.99,3062.27,4018.24,8678.65,9223.02,5095.97,2090.81,4955.05
2.3,5837.07,5890.84,9051.56,623.46,1020.52,2898.67,7907.38,3063.65,4019.63,8680.03,9224.41,5097.36,2092.2,4956.44
2.35,5838.46,5892.23,9052.95,624.849,1021.9,2900.07,7908.77,3065.04,4021.03,8681.42,9225.8,5098.75,2093.59,4957.83
2.4,5839.85,5893.62,9054.34,626.239,1023.29,2901.47,7910.16,3066.43,4022.42,8682.81,9227.19,5100.15,2094.98,4959.22
2.45,5841.23,5895.01,9055.72,627.628,1024.68,2902.87,7911.55,3067.82,4023.81,8684.2,9228.58,5101.54,2096.37,4960.61
2.5,5842.62,5896.4,9057.11,629.017,1026.07,2904.27,7912.94,3069.21,4025.2,8685.59,9229.97,5102.93,2097.76,4962
2.55,5844,5897.79,9058.5,630.407,1027.46,2905.67,7914.33,3070.6,4026.6,8686.98,9231.36,5104.32,2099.15,4963.39
2.6,5845.39,5899.18,9059.88,631.796,1028.85,2907.06,7915.72,3071.99,4027.99,8688.36,9232.75,5105.71,2100.54,4964.78
2.65,5846.78,5900.56,9061.27,633.185,1030.24,2908.46,7917.11,3073.38,4029.38,8689.75,9234.14,5107.1,2101.93,4966.17
